cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Place of Birth",Native,682058,"(+/- 6667 )",713941,"(+/- 4909 )",702636,"(+/- 3608 )",634861,"(+/- 6056 )",700177,"(+/- 6187 )",686264,"(+/- 4323 )",698831,"(+/- 3448 )",709427,"(+/- 3295 )"
People,"Place of Birth","Born in United States",675016,"(+/- 6807 )",707685,"(+/- 4663 )",698836,"(+/- 3887 )",618689,"(+/- 6093 )",693161,"(+/- 6444 )",680931,"(+/- 4503 )",695185,"(+/- 3606 )",703600,"(+/- 3695 )"
People,"Place of Birth","State of residence",480585,"(+/- 7343 )",490422,"(+/- 7111 )",513542,"(+/- 5991 )",463623,"(+/- 7630 )",560106,"(+/- 9045 )",557865,"(+/- 5685 )",485789,"(+/- 6476 )",577700,"(+/- 6936 )"
People,"Place of Birth","Different state",194431,"(+/- 7076 )",217263,"(+/- 7585 )",185294,"(+/- 5753 )",155066,"(+/- 6654 )",133055,"(+/- 6287 )",123066,"(+/- 5113 )",209396,"(+/- 5791 )",125900,"(+/- 5959 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7042,"(+/- 2069 )",6256,"(+/- 1566 )",3800,"(+/- 869 )",16172,"(+/- 2654 )",7016,"(+/- 1801 )",5333,"(+/- 1238 )",3646,"(+/- 885 )",5827,"(+/- 1509 )"
People,"Place of Birth","Foreign born",39633,"(+/- 4749 )",59722,"(+/- 4438 )",20533,"(+/- 2006 )",69285,"(+/- 5415 )",33137,"(+/- 2856 )",29564,"(+/- 3277 )",15713,"(+/- 1388 )",26652,"(+/- 2700 )"
People,Ancestry,"Total population",721691,"(+/- 6018 )",773663,"(+/- 2179 )",723169,"(+/- 3245 )",704146,"(+/- 3827 )",733314,"(+/- 5498 )",715828,"(+/- 3214 )",714544,"(+/- 3122 )",736079,"(+/- 1485 )"
People,Ancestry,American,18305,"(+/- 2833 )",23711,"(+/- 3181 )",25665,"(+/- 2913 )",8694,"(+/- 1362 )",20518,"(+/- 2780 )",29261,"(+/- 2427 )",31755,"(+/- 3106 )",31224,"(+/- 4792 )"
People,Ancestry,Arab,2125,"(+/- 930 )",1712,"(+/- 708 )",919,"(+/- 411 )",5490,"(+/- 3227 )",839,"(+/- 503 )",2074,"(+/- 1587 )",778,"(+/- 481 )",2080,"(+/- 1340 )"
People,Ancestry,Czech,7141,"(+/- 1651 )",11509,"(+/- 1925 )",14602,"(+/- 1999 )",4230,"(+/- 990 )",6711,"(+/- 1515 )",11534,"(+/- 1563 )",14411,"(+/- 1831 )",13454,"(+/- 1892 )"
People,Ancestry,Danish,11319,"(+/- 2050 )",6830,"(+/- 1464 )",7929,"(+/- 1736 )",2246,"(+/- 649 )",4548,"(+/- 1110 )",5539,"(+/- 1085 )",6317,"(+/- 713 )",5754,"(+/- 964 )"
People,Ancestry,Dutch,12137,"(+/- 2224 )",13119,"(+/- 2380 )",14503,"(+/- 2842 )",7174,"(+/- 1669 )",12644,"(+/- 1933 )",28249,"(+/- 2825 )",11679,"(+/- 1426 )",38768,"(+/- 3905 )"
People,Ancestry,English,44469,"(+/- 4167 )",64092,"(+/- 3869 )",45387,"(+/- 3635 )",16615,"(+/- 2101 )",43544,"(+/- 3201 )",40590,"(+/- 3485 )",38045,"(+/- 2531 )",35669,"(+/- 3287 )"
People,Ancestry,"French (except Basque)",18050,"(+/- 2241 )",19103,"(+/- 2454 )",17467,"(+/- 2238 )",12410,"(+/- 1955 )",20069,"(+/- 2481 )",24016,"(+/- 2879 )",25014,"(+/- 2727 )",29955,"(+/- 3017 )"
People,Ancestry,"French Canadian",4387,"(+/- 968 )",4479,"(+/- 1429 )",5659,"(+/- 1067 )",2583,"(+/- 771 )",6170,"(+/- 1445 )",5122,"(+/- 1144 )",8866,"(+/- 1374 )",10425,"(+/- 1755 )"
People,Ancestry,German,255543,"(+/- 8838 )",273683,"(+/- 7956 )",273453,"(+/- 7810 )",122942,"(+/- 6099 )",323972,"(+/- 8351 )",330614,"(+/- 8086 )",278195,"(+/- 7374 )",285507,"(+/- 7590 )"
People,Ancestry,Greek,2751,"(+/- 1039 )",2254,"(+/- 828 )",1448,"(+/- 578 )",2980,"(+/- 2054 )",4203,"(+/- 1354 )",2154,"(+/- 984 )",1428,"(+/- 508 )",1502,"(+/- 453 )"
People,Ancestry,Hungarian,3864,"(+/- 1200 )",2094,"(+/- 622 )",1195,"(+/- 530 )",1406,"(+/- 550 )",4729,"(+/- 1004 )",3007,"(+/- 1057 )",2763,"(+/- 836 )",1780,"(+/- 572 )"
People,Ancestry,Irish,85931,"(+/- 5529 )",96860,"(+/- 5796 )",80159,"(+/- 4376 )",45934,"(+/- 4019 )",86708,"(+/- 6337 )",65966,"(+/- 5286 )",65597,"(+/- 3112 )",72071,"(+/- 4507 )"
People,Ancestry,Italian,46690,"(+/- 4486 )",25957,"(+/- 3007 )",16933,"(+/- 1889 )",20218,"(+/- 2951 )",36699,"(+/- 3858 )",19602,"(+/- 2697 )",22452,"(+/- 2676 )",16428,"(+/- 2151 )"
People,Ancestry,Lithuanian,4419,"(+/- 1200 )",2755,"(+/- 1005 )",1585,"(+/- 601 )",1682,"(+/- 886 )",1547,"(+/- 578 )",1115,"(+/- 428 )",1471,"(+/- 563 )",1332,"(+/- 656 )"
People,Ancestry,Norwegian,40239,"(+/- 3267 )",75057,"(+/- 4223 )",107282,"(+/- 4363 )",13689,"(+/- 2335 )",34346,"(+/- 3157 )",32470,"(+/- 3748 )",72039,"(+/- 4301 )",30296,"(+/- 2839 )"
People,Ancestry,Polish,79578,"(+/- 6440 )",40159,"(+/- 3534 )",58909,"(+/- 3545 )",53321,"(+/- 3972 )",81856,"(+/- 5556 )",53541,"(+/- 4054 )",66546,"(+/- 3971 )",64750,"(+/- 5420 )"
People,Ancestry,Portuguese,480,"(+/- 335 )",838,"(+/- 536 )",1212,"(+/- 1394 )",230,"(+/- 163 )",887,"(+/- 370 )",524,"(+/- 516 )",513,"(+/- 306 )",0,"(+/- 153 )"
People,Ancestry,Russian,5902,"(+/- 1759 )",5584,"(+/- 1717 )",1921,"(+/- 606 )",5293,"(+/- 1682 )",5012,"(+/- 1511 )",7883,"(+/- 1660 )",3525,"(+/- 1124 )",4595,"(+/- 1328 )"
People,Ancestry,Scotch-Irish,3936,"(+/- 977 )",5089,"(+/- 1058 )",3066,"(+/- 794 )",1822,"(+/- 599 )",2932,"(+/- 792 )",2455,"(+/- 719 )",2754,"(+/- 699 )",2288,"(+/- 678 )"
People,Ancestry,Scottish,8104,"(+/- 1801 )",11889,"(+/- 2510 )",8139,"(+/- 1158 )",2930,"(+/- 759 )",9509,"(+/- 1824 )",8627,"(+/- 1563 )",8277,"(+/- 1403 )",4667,"(+/- 982 )"
People,Ancestry,Slovak,2884,"(+/- 1142 )",1420,"(+/- 1166 )",1540,"(+/- 818 )",1249,"(+/- 410 )",2634,"(+/- 1155 )",898,"(+/- 444 )",1353,"(+/- 301 )",560,"(+/- 314 )"
People,Ancestry,"Subsaharan African",2201,"(+/- 1227 )",16783,"(+/- 3158 )",1746,"(+/- 849 )",6814,"(+/- 2232 )",897,"(+/- 835 )",1602,"(+/- 756 )",1132,"(+/- 411 )",1457,"(+/- 779 )"
People,Ancestry,Swedish,18208,"(+/- 2606 )",15348,"(+/- 2091 )",20425,"(+/- 2706 )",6590,"(+/- 1542 )",13940,"(+/- 2083 )",13250,"(+/- 2264 )",36059,"(+/- 2562 )",15022,"(+/- 2051 )"
People,Ancestry,Swiss,3103,"(+/- 1039 )",20102,"(+/- 1992 )",6337,"(+/- 1120 )",1722,"(+/- 743 )",5761,"(+/- 1445 )",5238,"(+/- 1429 )",6423,"(+/- 1047 )",2714,"(+/- 733 )"
People,Ancestry,Ukrainian,2330,"(+/- 1200 )",1803,"(+/- 868 )",680,"(+/- 388 )",852,"(+/- 268 )",845,"(+/- 355 )",753,"(+/- 434 )",1150,"(+/- 434 )",807,"(+/- 743 )"
People,Ancestry,Welsh,4629,"(+/- 1145 )",5199,"(+/- 1175 )",3558,"(+/- 1089 )",1351,"(+/- 459 )",4041,"(+/- 1219 )",4569,"(+/- 1012 )",3394,"(+/- 710 )",2151,"(+/- 596 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",365,"(+/- 281 )",574,"(+/- 400 )",698,"(+/- 415 )",1854,"(+/- 1063 )",1117,"(+/- 813 )",1040,"(+/- 688 )",153,"(+/- 210 )",293,"(+/- 282 )"
People,"Veteran Status","Civilian population 18 years and over",558502,"(+/- 5318 )",610573,"(+/- 2065 )",574364,"(+/- 2435 )",528567,"(+/- 3806 )",583800,"(+/- 4702 )",565522,"(+/- 2512 )",562207,"(+/- 2493 )",572242,"(+/- 1325 )"
People,"Veteran Status","Civilian veterans",41229,"(+/- 3021 )",36319,"(+/- 3351 )",42501,"(+/- 2529 )",22609,"(+/- 1947 )",40169,"(+/- 2756 )",41769,"(+/- 2426 )",49227,"(+/- 2060 )",41751,"(+/- 3013 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",710468,"(+/- 6160 )",767635,"(+/- 2611 )",712051,"(+/- 3928 )",699084,"(+/- 4008 )",727868,"(+/- 5791 )",700886,"(+/- 3789 )",705405,"(+/- 3329 )",728007,"(+/- 2123 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",85960,"(+/- 5973 )",71600,"(+/- 4616 )",89946,"(+/- 3440 )",82655,"(+/- 4311 )",76128,"(+/- 4247 )",87628,"(+/- 4680 )",97862,"(+/- 3264 )",85471,"(+/- 4541 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",162151,"(+/- 4832 )",162043,"(+/- 1499 )",148299,"(+/- 1815 )",175476,"(+/- 3510 )",149247,"(+/- 4218 )",149975,"(+/- 1979 )",152104,"(+/- 1675 )",163444,"(+/- 926 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7638,"(+/- 1840 )",5009,"(+/- 1133 )",5964,"(+/- 1083 )",8586,"(+/- 2137 )",4850,"(+/- 1034 )",5349,"(+/- 1154 )",5520,"(+/- 863 )",7306,"(+/- 1466 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",426899,"(+/- 5590 )",489635,"(+/- 2430 )",434414,"(+/- 3240 )",440512,"(+/- 3999 )",441753,"(+/- 4744 )",418203,"(+/- 3220 )",406969,"(+/- 2553 )",436900,"(+/- 2059 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",40540,"(+/- 4025 )",34936,"(+/- 3077 )",42838,"(+/- 2591 )",45793,"(+/- 3420 )",33722,"(+/- 2942 )",41889,"(+/- 3147 )",46112,"(+/- 2672 )",42614,"(+/- 3421 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",121418,"(+/- 3740 )",115957,"(+/- 1528 )",129338,"(+/- 1702 )",83096,"(+/- 2874 )",136868,"(+/- 3569 )",132708,"(+/- 1931 )",146332,"(+/- 1999 )",127663,"(+/- 1286 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37782,"(+/- 2800 )",31655,"(+/- 2544 )",41144,"(+/- 2267 )",28276,"(+/- 2108 )",37556,"(+/- 2685 )",40390,"(+/- 2495 )",46230,"(+/- 1987 )",35551,"(+/- 2440 )"
People,"Residence 1 Year Ago","Population 1 year and over",714446,"(+/- 6400 )",764385,"(+/- 2699 )",715999,"(+/- 3342 )",694376,"(+/- 4168 )",726004,"(+/- 5745 )",708591,"(+/- 3190 )",707487,"(+/- 3308 )",729193,"(+/- 1795 )"
People,"Residence 1 Year Ago","Same house",623316,"(+/- 9007 )",643662,"(+/- 8666 )",603516,"(+/- 6613 )",593506,"(+/- 9065 )",638035,"(+/- 8100 )",618353,"(+/- 6332 )",634464,"(+/- 5430 )",646288,"(+/- 6661 )"
People,"Residence 1 Year Ago","Different house in the U.S.",90061,"(+/- 7516 )",115316,"(+/- 8230 )",110456,"(+/- 6405 )",97482,"(+/- 7963 )",86706,"(+/- 6922 )",89045,"(+/- 5639 )",72082,"(+/- 4629 )",81557,"(+/- 6709 )"
People,"Residence 1 Year Ago","Same county",57449,"(+/- 6961 )",74800,"(+/- 7314 )",56984,"(+/- 4820 )",71653,"(+/- 6966 )",39275,"(+/- 4261 )",47220,"(+/- 4933 )",39534,"(+/- 3829 )",50991,"(+/- 5781 )"
People,"Residence 1 Year Ago","Different county",32612,"(+/- 4122 )",40516,"(+/- 4736 )",53472,"(+/- 4354 )",25829,"(+/- 4142 )",47431,"(+/- 4850 )",41825,"(+/- 3578 )",32548,"(+/- 2933 )",30566,"(+/- 3392 )"
People,"Residence 1 Year Ago","Same state",20918,"(+/- 2766 )",19223,"(+/- 2231 )",34413,"(+/- 3500 )",12062,"(+/- 3247 )",33411,"(+/- 3519 )",33937,"(+/- 3402 )",20443,"(+/- 2156 )",22419,"(+/- 2733 )"
People,"Residence 1 Year Ago","Different state",11694,"(+/- 2471 )",21293,"(+/- 4022 )",19059,"(+/- 2763 )",13767,"(+/- 2625 )",14020,"(+/- 3376 )",7888,"(+/- 1659 )",12105,"(+/- 1897 )",8147,"(+/- 1916 )"
People,"Residence 1 Year Ago",Abroad,1069,"(+/- 804 )",5407,"(+/- 2205 )",2027,"(+/- 850 )",3388,"(+/- 2005 )",1263,"(+/- 467 )",1193,"(+/- 596 )",941,"(+/- 405 )",1348,"(+/- 521 )"
Workers,"Employment Status","Population 16 years and over",577886,"(+/- 5279 )",629758,"(+/- 2199 )",590652,"(+/- 2651 )",546997,"(+/- 4097 )",604434,"(+/- 4794 )",583445,"(+/- 2629 )",581939,"(+/- 2536 )",592313,"(+/- 1742 )"
Workers,"Employment Status","In labor force",374407,"(+/- 6151 )",443291,"(+/- 5143 )",379534,"(+/- 4930 )",348699,"(+/- 7233 )",413081,"(+/- 5690 )",381274,"(+/- 5480 )",365488,"(+/- 4202 )",398418,"(+/- 4347 )"
Workers,"Employment Status","Civilian labor force",373564,"(+/- 6063 )",442246,"(+/- 5088 )",379219,"(+/- 4949 )",348662,"(+/- 7232 )",412886,"(+/- 5666 )",380944,"(+/- 5539 )",365278,"(+/- 4224 )",398148,"(+/- 4399 )"
Workers,"Employment Status",Employed,357686,"(+/- 6078 )",432620,"(+/- 5463 )",368118,"(+/- 4999 )",331449,"(+/- 7065 )",399779,"(+/- 5763 )",371282,"(+/- 5735 )",354597,"(+/- 4479 )",386543,"(+/- 4927 )"
Workers,"Employment Status",Unemployed,15878,"(+/- 2334 )",9626,"(+/- 1430 )",11101,"(+/- 1608 )",17213,"(+/- 2551 )",13107,"(+/- 2124 )",9662,"(+/- 1540 )",10681,"(+/- 1242 )",11605,"(+/- 1816 )"
Workers,"Employment Status","Armed Forces",843,"(+/- 734 )",1045,"(+/- 630 )",315,"(+/- 195 )",37,"(+/- 52 )",195,"(+/- 276 )",330,"(+/- 239 )",210,"(+/- 151 )",270,"(+/- 399 )"
Workers,"Employment Status","Not in labor force",203479,"(+/- 5310 )",186467,"(+/- 4932 )",211118,"(+/- 4650 )",198298,"(+/- 6640 )",191353,"(+/- 5283 )",202171,"(+/- 4783 )",216451,"(+/- 3586 )",193895,"(+/- 4228 )"
Workers,"Employment Status","Civilian labor force",373564,"(+/- 6063 )",442246,"(+/- 5088 )",379219,"(+/- 4949 )",348662,"(+/- 7232 )",412886,"(+/- 5666 )",380944,"(+/- 5539 )",365278,"(+/- 4224 )",398148,"(+/- 4399 )"
Workers,"Employment Status","Unemployment Rate",4.3,"(+/- 0.6 )",2.2,"(+/- 0.3 )",2.9,"(+/- 0.4 )",4.9,"(+/- 0.7 )",3.2,"(+/- 0.5 )",2.5,"(+/- 0.4 )",2.9,"(+/- 0.3 )",2.9,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",351962,"(+/- 6381 )",427988,"(+/- 5929 )",362354,"(+/- 5118 )",326690,"(+/- 7064 )",394571,"(+/- 5800 )",365399,"(+/- 5957 )",349044,"(+/- 4622 )",381473,"(+/- 5111 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",297546,"(+/- 6592 )",324792,"(+/- 7058 )",286089,"(+/- 6170 )",244569,"(+/- 6044 )",329439,"(+/- 5967 )",304149,"(+/- 6061 )",281043,"(+/- 4363 )",322302,"(+/- 5240 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",27564,"(+/- 3870 )",29493,"(+/- 2935 )",31121,"(+/- 2572 )",33198,"(+/- 3188 )",28087,"(+/- 2744 )",27374,"(+/- 2508 )",32127,"(+/- 2289 )",27577,"(+/- 2655 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2892,"(+/- 859 )",16947,"(+/- 2170 )",1350,"(+/- 558 )",19712,"(+/- 2375 )",3466,"(+/- 946 )",2398,"(+/- 1037 )",1236,"(+/- 425 )",2098,"(+/- 862 )"
Workers,"Commuting to Work",Walked,5618,"(+/- 1086 )",22039,"(+/- 2926 )",13879,"(+/- 1455 )",12706,"(+/- 2208 )",9615,"(+/- 1752 )",7750,"(+/- 1345 )",9458,"(+/- 1466 )",6550,"(+/- 1058 )"
Workers,"Commuting to Work","Other means",3199,"(+/- 1075 )",11452,"(+/- 1913 )",8154,"(+/- 1623 )",3621,"(+/- 859 )",4981,"(+/- 1439 )",5071,"(+/- 979 )",4429,"(+/- 696 )",3557,"(+/- 905 )"
Workers,"Commuting to Work","Worked from home",15143,"(+/- 1656 )",23265,"(+/- 2443 )",21761,"(+/- 2210 )",12884,"(+/- 1742 )",18983,"(+/- 2328 )",18657,"(+/- 2235 )",20751,"(+/- 1495 )",19389,"(+/- 1997 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.4,"(+/- 0.7 )",22.8,"(+/- 0.5 )",21.1,"(+/- 0.4 )",22.7,"(+/- 0.6 )",23.8,"(+/- 0.6 )",21.4,"(+/- 0.4 )",22.8,"(+/- 0.5 )",21.4,"(+/- 0.5 )"
