cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
Workers,"Employment Status","In labor force",371318,"(+/- 3958 )",412808,"(+/- 4798 )",410408,"(+/- 7064 )",388735,"(+/- 5157 )",430188,"(+/- 7417 )",411769,"(+/- 5832 )",347355,"(+/- 3853 )",340318,"(+/- 3801 )"
Workers,"Employment Status","Civilian labor force",370829,"(+/- 4087 )",412271,"(+/- 4786 )",410149,"(+/- 7117 )",388344,"(+/- 5221 )",429948,"(+/- 7407 )",410961,"(+/- 5856 )",347098,"(+/- 3845 )",339579,"(+/- 3891 )"
Workers,"Employment Status",Employed,361919,"(+/- 4388 )",398600,"(+/- 4927 )",399997,"(+/- 7274 )",375442,"(+/- 5678 )",412946,"(+/- 7868 )",398498,"(+/- 5593 )",335990,"(+/- 3902 )",327060,"(+/- 3948 )"
Workers,"Employment Status",Unemployed,8910,"(+/- 1380 )",13671,"(+/- 2254 )",10152,"(+/- 1783 )",12902,"(+/- 1869 )",17002,"(+/- 2126 )",12463,"(+/- 1814 )",11108,"(+/- 1471 )",12519,"(+/- 1476 )"
Workers,"Employment Status","Armed Forces",489,"(+/- 332 )",537,"(+/- 441 )",259,"(+/- 248 )",391,"(+/- 290 )",240,"(+/- 214 )",808,"(+/- 451 )",257,"(+/- 142 )",739,"(+/- 276 )"
Workers,"Employment Status","Not in labor force",167068,"(+/- 3947 )",148954,"(+/- 4320 )",168482,"(+/- 5842 )",180391,"(+/- 4606 )",159061,"(+/- 5223 )",153811,"(+/- 4478 )",180524,"(+/- 3307 )",208266,"(+/- 3374 )"
Workers,"Employment Status","Civilian labor force",370829,"(+/- 4087 )",412271,"(+/- 4786 )",410149,"(+/- 7117 )",388344,"(+/- 5221 )",429948,"(+/- 7407 )",410961,"(+/- 5856 )",347098,"(+/- 3845 )",339579,"(+/- 3891 )"
Workers,"Employment Status","Unemployment Rate",2.4,"(+/- 0.4 )",3.3,"(+/- 0.5 )",2.5,"(+/- 0.4 )",3.3,"(+/- 0.5 )",4.0,"(+/- 0.5 )",3.0,"(+/- 0.4 )",3.2,"(+/- 0.4 )",3.7,"(+/- 0.4 )"
Workers,"Commuting to Work","Workers 16 years and over",354594,"(+/- 4362 )",392874,"(+/- 5115 )",395224,"(+/- 6956 )",368395,"(+/- 5554 )",404702,"(+/- 8184 )",391180,"(+/- 5813 )",330699,"(+/- 3851 )",321322,"(+/- 3726 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",277002,"(+/- 4804 )",315149,"(+/- 6255 )",317237,"(+/- 6559 )",276112,"(+/- 5913 )",272526,"(+/- 7457 )",320161,"(+/- 6861 )",259148,"(+/- 4476 )",259533,"(+/- 4123 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",31663,"(+/- 2773 )",28695,"(+/- 3532 )",27016,"(+/- 3253 )",36214,"(+/- 3657 )",29873,"(+/- 3145 )",30279,"(+/- 3759 )",30105,"(+/- 2327 )",29740,"(+/- 2649 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",6663,"(+/- 1453 )",10281,"(+/- 1479 )",12680,"(+/- 1943 )",21860,"(+/- 2576 )",36733,"(+/- 3399 )",6875,"(+/- 1436 )",2085,"(+/- 748 )",3468,"(+/- 687 )"
Workers,"Commuting to Work",Walked,12383,"(+/- 1684 )",7052,"(+/- 1643 )",3892,"(+/- 1033 )",8540,"(+/- 1392 )",22181,"(+/- 2701 )",4589,"(+/- 1228 )",11222,"(+/- 1257 )",7703,"(+/- 1059 )"
Workers,"Commuting to Work","Other means",4705,"(+/- 1002 )",4394,"(+/- 1047 )",5208,"(+/- 1050 )",5616,"(+/- 1097 )",17180,"(+/- 2036 )",3634,"(+/- 1326 )",4919,"(+/- 1118 )",3879,"(+/- 834 )"
Workers,"Commuting to Work","Worked from home",22178,"(+/- 1773 )",27303,"(+/- 2739 )",29191,"(+/- 2995 )",20053,"(+/- 2458 )",26209,"(+/- 2631 )",25642,"(+/- 2881 )",23220,"(+/- 1695 )",16999,"(+/- 1521 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19.8,"(+/- 0.4 )",25.5,"(+/- 0.5 )",24.8,"(+/- 0.6 )",24.9,"(+/- 0.5 )",23.9,"(+/- 0.6 )",29.0,"(+/- 0.7 )",21.2,"(+/- 0.5 )",25.5,"(+/- 0.5 )"
