cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","45 to 54 years",98331,"(+/- 2179 )",104937,"(+/- 3796 )",86364,"(+/- 2667 )",113091,"(+/- 2669 )",95366,"(+/- 1554 )",110308,"(+/- 3398 )",96395,"(+/- 2767 )"
People,"Sex and Age","55 to 59 years",43121,"(+/- 3073 )",56008,"(+/- 2954 )",48575,"(+/- 2686 )",57034,"(+/- 3063 )",51576,"(+/- 3764 )",53915,"(+/- 3029 )",47726,"(+/- 3128 )"
People,"Sex and Age","60 to 64 years",44664,"(+/- 2961 )",53141,"(+/- 3133 )",56403,"(+/- 2628 )",52181,"(+/- 3395 )",52712,"(+/- 3410 )",46461,"(+/- 2583 )",48323,"(+/- 3076 )"
People,"Sex and Age","65 to 74 years",66231,"(+/- 1640 )",81627,"(+/- 3384 )",92562,"(+/- 1896 )",74846,"(+/- 2016 )",75085,"(+/- 1402 )",66866,"(+/- 2653 )",67752,"(+/- 2568 )"
People,"Sex and Age","75 to 84 years",26456,"(+/- 1710 )",34252,"(+/- 1946 )",40842,"(+/- 1883 )",37169,"(+/- 2276 )",35724,"(+/- 2062 )",27032,"(+/- 1774 )",30360,"(+/- 2070 )"
People,"Sex and Age","85 years and over",14931,"(+/- 1612 )",11820,"(+/- 1792 )",14618,"(+/- 1720 )",10770,"(+/- 1466 )",10614,"(+/- 1624 )",11818,"(+/- 1561 )",14003,"(+/- 1919 )"
People,"Sex and Age","Median age (years)",35.3,"(+/- 0.2 )",38.0,"(+/- 0.5 )",40.6,"(+/- 0.4 )",38.0,"(+/- 0.4 )",36.3,"(+/- 0.3 )",36.7,"(+/- 0.4 )",36.3,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",686840,"(+/- 4444 )",665698,"(+/- 5423 )",598950,"(+/- 3619 )",655423,"(+/- 4892 )",636863,"(+/- 1791 )",627939,"(+/- 6931 )",630703,"(+/- 6853 )"
People,"Sex and Age","65 years and over",107618,"(+/- 2136 )",127699,"(+/- 3738 )",148022,"(+/- 2239 )",122785,"(+/- 2872 )",121423,"(+/- 1715 )",105716,"(+/- 3640 )",112115,"(+/- 3078 )"
People,Race,"Total population",852816,"(+/- 5329 )",824050,"(+/- 7031 )",756569,"(+/- 4594 )",868302,"(+/- 5989 )",820255,"(+/- 1903 )",828201,"(+/- 8112 )",808543,"(+/- 8300 )"
People,Race,"One race",814321,"(+/- 6686 )",798816,"(+/- 7619 )",735889,"(+/- 4883 )",841137,"(+/- 6217 )",771870,"(+/- 5968 )",791753,"(+/- 9009 )",772007,"(+/- 10093 )"
People,Race,White,669632,"(+/- 9513 )",743729,"(+/- 7595 )",676878,"(+/- 7300 )",773040,"(+/- 8135 )",663089,"(+/- 6678 )",605860,"(+/- 9925 )",690151,"(+/- 10183 )"
People,Race,"Black or African American",66434,"(+/- 3837 )",8646,"(+/- 1950 )",7114,"(+/- 1565 )",14142,"(+/- 2334 )",48944,"(+/- 3832 )",80789,"(+/- 4136 )",14469,"(+/- 3058 )"
People,Race,"American Indian and Alaska Native",5488,"(+/- 1476 )",6021,"(+/- 1989 )",16586,"(+/- 2954 )",8183,"(+/- 2076 )",7825,"(+/- 2391 )",5813,"(+/- 1946 )",7662,"(+/- 2516 )"
People,Race,Asian,29017,"(+/- 1459 )",29524,"(+/- 2456 )",8688,"(+/- 1497 )",19408,"(+/- 2360 )",21211,"(+/- 1778 )",52237,"(+/- 3732 )",28376,"(+/- 3543 )"
People,Race,"Native Hawaiian and Other Pacific Islander",570,"(+/- 692 )",545,"(+/- 338 )",709,"(+/- 525 )",1221,"(+/- 937 )",2263,"(+/- 891 )",1781,"(+/- 682 )",667,"(+/- 355 )"
People,Race,"Some other race",43180,"(+/- 8441 )",10351,"(+/- 3036 )",25914,"(+/- 4144 )",25143,"(+/- 4820 )",28538,"(+/- 5788 )",45273,"(+/- 7314 )",30682,"(+/- 5652 )"
People,Race,"Two or more races",38495,"(+/- 4324 )",25234,"(+/- 3222 )",20680,"(+/- 2827 )",27165,"(+/- 3067 )",48385,"(+/- 5507 )",36448,"(+/- 5728 )",36536,"(+/- 5151 )"
People,"Hispanic or Latino and Race","Total population",852816,"(+/- 5329 )",824050,"(+/- 7031 )",756569,"(+/- 4594 )",868302,"(+/- 5989 )",820255,"(+/- 1903 )",828201,"(+/- 8112 )",808543,"(+/- 8300 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",231229,"(+/- 3550 )",90376,"(+/- 5061 )",189513,"(+/- 3340 )",194184,"(+/- 5017 )",137286,"(+/- 1254 )",173992,"(+/- 6703 )",240323,"(+/- 6289 )"
People,"Hispanic or Latino and Race",Mexican,179597,"(+/- 6264 )",61947,"(+/- 5365 )",122790,"(+/- 6084 )",150942,"(+/- 7044 )",76386,"(+/- 5396 )",137470,"(+/- 7749 )",191096,"(+/- 8225 )"
People,"Hispanic or Latino and Race","Puerto Rican",5189,"(+/- 1628 )",4668,"(+/- 1622 )",3360,"(+/- 1494 )",3590,"(+/- 1593 )",15768,"(+/- 3913 )",5155,"(+/- 1661 )",4795,"(+/- 2115 )"
People,"Hispanic or Latino and Race",Cuban,2012,"(+/- 1158 )",2084,"(+/- 1118 )",2559,"(+/- 1806 )",1167,"(+/- 905 )",3510,"(+/- 1722 )",733,"(+/- 377 )",758,"(+/- 481 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",44431,"(+/- 5312 )",21677,"(+/- 4301 )",60804,"(+/- 5602 )",38485,"(+/- 4850 )",41622,"(+/- 5570 )",30634,"(+/- 5576 )",43674,"(+/- 5627 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",621587,"(+/- 5677 )",733674,"(+/- 7917 )",567056,"(+/- 4833 )",674118,"(+/- 6153 )",682969,"(+/- 2045 )",654209,"(+/- 8808 )",568220,"(+/- 7754 )"
People,"Place of Birth","Total population",852816,"(+/- 5329 )",824050,"(+/- 7031 )",756569,"(+/- 4594 )",868302,"(+/- 5989 )",820255,"(+/- 1903 )",828201,"(+/- 8112 )",808543,"(+/- 8300 )"
People,"Place of Birth",Native,749163,"(+/- 8296 )",767463,"(+/- 7985 )",709754,"(+/- 5893 )",797176,"(+/- 9096 )",769759,"(+/- 4969 )",697096,"(+/- 9605 )",721436,"(+/- 9210 )"
People,"Place of Birth","Born in United States",733446,"(+/- 8812 )",755796,"(+/- 7811 )",700657,"(+/- 6033 )",787500,"(+/- 9177 )",743066,"(+/- 5807 )",681051,"(+/- 10327 )",708051,"(+/- 9951 )"
People,"Place of Birth","State of residence",344682,"(+/- 10412 )",301706,"(+/- 9586 )",366205,"(+/- 8753 )",409325,"(+/- 9842 )",264701,"(+/- 9438 )",333591,"(+/- 10026 )",411280,"(+/- 10663 )"
People,"Place of Birth","Different state",388764,"(+/- 10767 )",454090,"(+/- 9652 )",334452,"(+/- 8179 )",378175,"(+/- 8177 )",478365,"(+/- 9187 )",347460,"(+/- 8731 )",296771,"(+/- 7964 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",15717,"(+/- 3237 )",11667,"(+/- 2031 )",9097,"(+/- 1875 )",9676,"(+/- 1990 )",26693,"(+/- 3118 )",16045,"(+/- 3359 )",13385,"(+/- 2976 )"
People,"Place of Birth","Foreign born",103653,"(+/- 7975 )",56587,"(+/- 4658 )",46815,"(+/- 3698 )",71126,"(+/- 6485 )",50496,"(+/- 4765 )",131105,"(+/- 7304 )",87107,"(+/- 5463 )"
People,Ancestry,"Total population",852816,"(+/- 5329 )",824050,"(+/- 7031 )",756569,"(+/- 4594 )",868302,"(+/- 5989 )",820255,"(+/- 1903 )",828201,"(+/- 8112 )",808543,"(+/- 8300 )"
People,Ancestry,American,27411,"(+/- 2706 )",35251,"(+/- 3842 )",27387,"(+/- 3525 )",42900,"(+/- 4069 )",36046,"(+/- 4508 )",33838,"(+/- 4638 )",27494,"(+/- 3539 )"
People,Ancestry,Arab,3063,"(+/- 1454 )",3393,"(+/- 1183 )",1270,"(+/- 622 )",1653,"(+/- 664 )",1874,"(+/- 1094 )",5607,"(+/- 2381 )",3368,"(+/- 1472 )"
People,Ancestry,Czech,4300,"(+/- 1044 )",7197,"(+/- 1537 )",3237,"(+/- 1268 )",5791,"(+/- 1516 )",5042,"(+/- 1234 )",3475,"(+/- 1250 )",4429,"(+/- 1197 )"
People,Ancestry,Danish,4620,"(+/- 1434 )",6676,"(+/- 1398 )",4720,"(+/- 1174 )",7748,"(+/- 2115 )",3679,"(+/- 1157 )",5799,"(+/- 1778 )",4904,"(+/- 1548 )"
People,Ancestry,Dutch,11358,"(+/- 2556 )",12817,"(+/- 1988 )",11688,"(+/- 2099 )",11960,"(+/- 2169 )",10698,"(+/- 1958 )",10578,"(+/- 1886 )",9910,"(+/- 1922 )"
People,Ancestry,English,75810,"(+/- 6458 )",94506,"(+/- 6361 )",79890,"(+/- 5634 )",86010,"(+/- 6019 )",78087,"(+/- 6421 )",70097,"(+/- 4908 )",68473,"(+/- 5034 )"
People,Ancestry,"French (except Basque)",18656,"(+/- 2504 )",24464,"(+/- 3424 )",19497,"(+/- 2777 )",17304,"(+/- 2489 )",19294,"(+/- 2686 )",15480,"(+/- 2101 )",18058,"(+/- 2331 )"
People,Ancestry,"French Canadian",4264,"(+/- 1339 )",3789,"(+/- 841 )",3145,"(+/- 1027 )",3682,"(+/- 1300 )",5436,"(+/- 1371 )",2835,"(+/- 896 )",3732,"(+/- 1111 )"
People,Ancestry,German,112392,"(+/- 6317 )",156452,"(+/- 6566 )",117153,"(+/- 6884 )",181195,"(+/- 8185 )",135207,"(+/- 8665 )",128156,"(+/- 7940 )",129387,"(+/- 7940 )"
People,Ancestry,Greek,2755,"(+/- 849 )",3008,"(+/- 984 )",2490,"(+/- 977 )",4140,"(+/- 1687 )",1419,"(+/- 723 )",3306,"(+/- 1390 )",2269,"(+/- 1200 )"
People,Ancestry,Hungarian,2717,"(+/- 941 )",3407,"(+/- 821 )",1740,"(+/- 685 )",2834,"(+/- 1022 )",4510,"(+/- 2073 )",3006,"(+/- 1014 )",1801,"(+/- 639 )"
People,Ancestry,Irish,88342,"(+/- 5199 )",95788,"(+/- 6857 )",81283,"(+/- 5939 )",88121,"(+/- 6713 )",83668,"(+/- 6488 )",81340,"(+/- 6226 )",76232,"(+/- 5392 )"
People,Ancestry,Italian,40144,"(+/- 3429 )",40187,"(+/- 4281 )",37260,"(+/- 4558 )",39265,"(+/- 3832 )",35142,"(+/- 4011 )",34988,"(+/- 4231 )",37859,"(+/- 3916 )"
People,Ancestry,Lithuanian,1695,"(+/- 851 )",2321,"(+/- 693 )",2022,"(+/- 1211 )",1911,"(+/- 856 )",1417,"(+/- 705 )",1413,"(+/- 668 )",892,"(+/- 589 )"
People,Ancestry,Norwegian,15708,"(+/- 2084 )",21970,"(+/- 3091 )",14124,"(+/- 2661 )",18114,"(+/- 2583 )",16808,"(+/- 2861 )",16961,"(+/- 2801 )",15231,"(+/- 1972 )"
People,Ancestry,Polish,24482,"(+/- 3092 )",22770,"(+/- 2719 )",17198,"(+/- 3549 )",17778,"(+/- 3407 )",18315,"(+/- 3169 )",18357,"(+/- 2613 )",17489,"(+/- 2576 )"
People,Ancestry,Portuguese,2275,"(+/- 1258 )",2444,"(+/- 891 )",2033,"(+/- 896 )",1283,"(+/- 619 )",2074,"(+/- 777 )",3743,"(+/- 2525 )",1288,"(+/- 591 )"
People,Ancestry,Russian,10510,"(+/- 2134 )",10859,"(+/- 2501 )",6325,"(+/- 1809 )",8764,"(+/- 2011 )",4709,"(+/- 1586 )",8740,"(+/- 2418 )",5247,"(+/- 1682 )"
People,Ancestry,Scotch-Irish,7678,"(+/- 1480 )",10574,"(+/- 1758 )",10797,"(+/- 2046 )",9310,"(+/- 1602 )",8905,"(+/- 1998 )",9250,"(+/- 2217 )",9281,"(+/- 1869 )"
People,Ancestry,Scottish,19495,"(+/- 2771 )",22032,"(+/- 3356 )",20516,"(+/- 2477 )",20390,"(+/- 2557 )",20168,"(+/- 2720 )",16303,"(+/- 2594 )",16133,"(+/- 2658 )"
People,Ancestry,Slovak,1445,"(+/- 706 )",1654,"(+/- 843 )",828,"(+/- 545 )",1103,"(+/- 451 )",836,"(+/- 426 )",925,"(+/- 431 )",1121,"(+/- 444 )"
People,Ancestry,"Subsaharan African",13567,"(+/- 3810 )",3026,"(+/- 929 )",830,"(+/- 374 )",4536,"(+/- 2093 )",6672,"(+/- 2898 )",23335,"(+/- 5057 )",4625,"(+/- 1405 )"
People,Ancestry,Swedish,16283,"(+/- 2147 )",20053,"(+/- 2773 )",16013,"(+/- 2712 )",20772,"(+/- 2703 )",14932,"(+/- 2225 )",16753,"(+/- 2376 )",17397,"(+/- 2666 )"
People,Ancestry,Swiss,2840,"(+/- 1051 )",3999,"(+/- 913 )",3556,"(+/- 1171 )",2184,"(+/- 766 )",2509,"(+/- 849 )",2622,"(+/- 989 )",2351,"(+/- 819 )"
People,Ancestry,Ukrainian,2874,"(+/- 1099 )",2488,"(+/- 829 )",1443,"(+/- 988 )",2677,"(+/- 1297 )",1252,"(+/- 633 )",2958,"(+/- 1137 )",933,"(+/- 423 )"
People,Ancestry,Welsh,7140,"(+/- 1340 )",9322,"(+/- 2500 )",6221,"(+/- 1319 )",8716,"(+/- 1808 )",7132,"(+/- 1509 )",5355,"(+/- 1114 )",5305,"(+/- 1490 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",3873,"(+/- 1924 )",594,"(+/- 464 )",158,"(+/- 179 )",492,"(+/- 341 )",3968,"(+/- 1868 )",1180,"(+/- 645 )",35,"(+/- 72 )"
People,"Veteran Status","Civilian population 18 years and over",686161,"(+/- 4409 )",665095,"(+/- 5418 )",598263,"(+/- 3702 )",654444,"(+/- 4907 )",609151,"(+/- 2641 )",624610,"(+/- 6924 )",630266,"(+/- 6845 )"
People,"Veteran Status","Civilian veterans",39899,"(+/- 3415 )",39544,"(+/- 3024 )",50846,"(+/- 2928 )",51298,"(+/- 3142 )",94738,"(+/- 5453 )",47367,"(+/- 2390 )",43600,"(+/- 3106 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",845929,"(+/- 5429 )",818597,"(+/- 7313 )",747545,"(+/- 5089 )",856147,"(+/- 6377 )",776934,"(+/- 3415 )",818738,"(+/- 7997 )",800309,"(+/- 8126 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",78631,"(+/- 5479 )",68809,"(+/- 4731 )",105172,"(+/- 5598 )",91824,"(+/- 4802 )",94837,"(+/- 4856 )",72444,"(+/- 4141 )",88031,"(+/- 5228 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",165700,"(+/- 2808 )",158189,"(+/- 4122 )",157448,"(+/- 2686 )",211881,"(+/- 3942 )",183144,"(+/- 1713 )",200125,"(+/- 4278 )",177352,"(+/- 4365 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5918,"(+/- 1827 )",5509,"(+/- 1226 )",8102,"(+/- 1706 )",8262,"(+/- 1589 )",8488,"(+/- 1746 )",5329,"(+/- 1201 )",8450,"(+/- 2395 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",575011,"(+/- 4045 )",534337,"(+/- 5227 )",444640,"(+/- 4430 )",523963,"(+/- 5406 )",474773,"(+/- 3060 )",514951,"(+/- 6638 )",513346,"(+/- 6528 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39613,"(+/- 3993 )",32629,"(+/- 3874 )",50921,"(+/- 3642 )",45305,"(+/- 3664 )",50084,"(+/- 4173 )",38200,"(+/- 3744 )",43373,"(+/- 3697 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",105218,"(+/- 2161 )",126071,"(+/- 3678 )",145457,"(+/- 2257 )",120303,"(+/- 2759 )",119017,"(+/- 1832 )",103662,"(+/- 3726 )",109611,"(+/- 3181 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",33100,"(+/- 2259 )",30671,"(+/- 2685 )",46149,"(+/- 3278 )",38257,"(+/- 2153 )",36265,"(+/- 2301 )",28915,"(+/- 2199 )",36208,"(+/- 2694 )"
People,"Residence 1 Year Ago","Population 1 year and over",844157,"(+/- 5688 )",816865,"(+/- 6934 )",750212,"(+/- 4696 )",858514,"(+/- 5992 )",810793,"(+/- 2530 )",821097,"(+/- 8133 )",800020,"(+/- 8332 )"
People,"Residence 1 Year Ago","Same house",692205,"(+/- 9855 )",649297,"(+/- 10590 )",638019,"(+/- 8521 )",723946,"(+/- 10846 )",645711,"(+/- 11871 )",682672,"(+/- 13745 )",663971,"(+/- 11020 )"
People,"Residence 1 Year Ago","Different house in the U.S.",146473,"(+/- 8838 )",161975,"(+/- 10191 )",108779,"(+/- 7884 )",130880,"(+/- 9932 )",161415,"(+/- 11719 )",134113,"(+/- 10186 )",133279,"(+/- 9639 )"
People,"Residence 1 Year Ago","Same county",63123,"(+/- 6021 )",71486,"(+/- 6776 )",57346,"(+/- 6319 )",61402,"(+/- 7117 )",81600,"(+/- 8755 )",57485,"(+/- 7591 )",62013,"(+/- 7236 )"
People,"Residence 1 Year Ago","Different county",83350,"(+/- 6805 )",90489,"(+/- 6923 )",51433,"(+/- 5607 )",69478,"(+/- 6608 )",79815,"(+/- 9009 )",76628,"(+/- 7179 )",71266,"(+/- 6780 )"
People,"Residence 1 Year Ago","Same state",42168,"(+/- 5124 )",44084,"(+/- 5496 )",26981,"(+/- 4370 )",45626,"(+/- 5046 )",22282,"(+/- 3724 )",52597,"(+/- 6443 )",48121,"(+/- 6503 )"
People,"Residence 1 Year Ago","Different state",41182,"(+/- 4319 )",46405,"(+/- 5330 )",24452,"(+/- 3426 )",23852,"(+/- 3975 )",57533,"(+/- 7937 )",24031,"(+/- 3788 )",23145,"(+/- 3750 )"
People,"Residence 1 Year Ago",Abroad,5479,"(+/- 2068 )",5593,"(+/- 1505 )",3414,"(+/- 1735 )",3688,"(+/- 1511 )",3667,"(+/- 1107 )",4312,"(+/- 1816 )",2770,"(+/- 1283 )"
Workers,"Employment Status","Population 16 years and over",703312,"(+/- 4791 )",684654,"(+/- 5497 )",617195,"(+/- 4293 )",680057,"(+/- 4882 )",657741,"(+/- 2342 )",650802,"(+/- 7439 )",652019,"(+/- 7078 )"
Workers,"Employment Status","In labor force",511950,"(+/- 6840 )",466661,"(+/- 7532 )",379110,"(+/- 6263 )",465100,"(+/- 6451 )",430194,"(+/- 6258 )",469387,"(+/- 7522 )",459694,"(+/- 7345 )"
Workers,"Employment Status","Civilian labor force",511271,"(+/- 6857 )",466058,"(+/- 7532 )",378423,"(+/- 6337 )",464121,"(+/- 6455 )",402482,"(+/- 6741 )",466058,"(+/- 7510 )",459257,"(+/- 7345 )"
Workers,"Employment Status",Employed,495986,"(+/- 6887 )",451258,"(+/- 7625 )",363986,"(+/- 6509 )",449312,"(+/- 6329 )",380885,"(+/- 6934 )",448845,"(+/- 7609 )",441901,"(+/- 6900 )"
Workers,"Employment Status",Unemployed,15285,"(+/- 1966 )",14800,"(+/- 2428 )",14437,"(+/- 2174 )",14809,"(+/- 2276 )",21597,"(+/- 2607 )",17213,"(+/- 2578 )",17356,"(+/- 3032 )"
Workers,"Employment Status","Armed Forces",679,"(+/- 501 )",603,"(+/- 388 )",687,"(+/- 555 )",979,"(+/- 545 )",27712,"(+/- 2286 )",3329,"(+/- 1276 )",437,"(+/- 329 )"
Workers,"Employment Status","Not in labor force",191362,"(+/- 6425 )",217993,"(+/- 6848 )",238085,"(+/- 6112 )",214957,"(+/- 5405 )",227547,"(+/- 6767 )",181415,"(+/- 5826 )",192325,"(+/- 6515 )"
Workers,"Employment Status","Civilian labor force",511271,"(+/- 6857 )",466058,"(+/- 7532 )",378423,"(+/- 6337 )",464121,"(+/- 6455 )",402482,"(+/- 6741 )",466058,"(+/- 7510 )",459257,"(+/- 7345 )"
Workers,"Employment Status","Unemployment Rate",3.0,"(+/- 0.4 )",3.2,"(+/- 0.5 )",3.8,"(+/- 0.6 )",3.2,"(+/- 0.5 )",5.4,"(+/- 0.6 )",3.7,"(+/- 0.5 )",3.8,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",485051,"(+/- 6748 )",443959,"(+/- 7905 )",357741,"(+/- 6417 )",442759,"(+/- 6425 )",402162,"(+/- 6344 )",445113,"(+/- 7671 )",434827,"(+/- 7125 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",330815,"(+/- 7690 )",313056,"(+/- 7731 )",261426,"(+/- 7108 )",344011,"(+/- 6887 )",308437,"(+/- 7956 )",338071,"(+/- 7717 )",338526,"(+/- 7848 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",36068,"(+/- 3880 )",25627,"(+/- 2879 )",39179,"(+/- 3798 )",40383,"(+/- 3621 )",38829,"(+/- 4204 )",40555,"(+/- 3802 )",37784,"(+/- 3562 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",34503,"(+/- 3802 )",15825,"(+/- 2074 )",6525,"(+/- 1885 )",4377,"(+/- 1162 )",1605,"(+/- 786 )",17094,"(+/- 2429 )",16218,"(+/- 2293 )"
Workers,"Commuting to Work",Walked,24174,"(+/- 3438 )",14349,"(+/- 1905 )",13175,"(+/- 2117 )",7889,"(+/- 1475 )",11980,"(+/- 1560 )",4953,"(+/- 1018 )",4596,"(+/- 938 )"
Workers,"Commuting to Work","Other means",16151,"(+/- 2276 )",17729,"(+/- 2498 )",9265,"(+/- 1678 )",4599,"(+/- 1147 )",7700,"(+/- 1568 )",5564,"(+/- 1242 )",5809,"(+/- 1205 )"
Workers,"Commuting to Work","Worked from home",43340,"(+/- 4051 )",57373,"(+/- 4262 )",28171,"(+/- 3516 )",41500,"(+/- 4005 )",33611,"(+/- 2715 )",38876,"(+/- 3057 )",31894,"(+/- 3690 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",27.1,"(+/- 0.6 )",24.9,"(+/- 0.5 )",22.7,"(+/- 0.8 )",27.1,"(+/- 0.6 )",24.7,"(+/- 0.6 )",29.3,"(+/- 0.6 )",29.0,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",495986,"(+/- 6887 )",451258,"(+/- 7625 )",363986,"(+/- 6509 )",449312,"(+/- 6329 )",380885,"(+/- 6934 )",448845,"(+/- 7609 )",441901,"(+/- 6900 )"
Workers,Occupation,"Management, business, science, and arts occupations",256634,"(+/- 6817 )",235528,"(+/- 6815 )",135573,"(+/- 5834 )",192872,"(+/- 5425 )",170374,"(+/- 7351 )",198804,"(+/- 5639 )",178507,"(+/- 6381 )"
Workers,Occupation,"Service occupations",74032,"(+/- 6169 )",71789,"(+/- 4735 )",75917,"(+/- 5535 )",67358,"(+/- 4357 )",70866,"(+/- 4754 )",74046,"(+/- 4568 )",76348,"(+/- 5588 )"
Workers,Occupation,"Sales and office occupations",91519,"(+/- 4879 )",79561,"(+/- 4312 )",71457,"(+/- 4128 )",86744,"(+/- 4653 )",75550,"(+/- 5508 )",91928,"(+/- 4539 )",93583,"(+/- 4633 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",29982,"(+/- 3961 )",31255,"(+/- 3419 )",43796,"(+/- 3353 )",45629,"(+/- 3423 )",32523,"(+/- 3484 )",36484,"(+/- 3117 )",46862,"(+/- 3577 )"
Workers,Occupation,"Production, transportation, and material moving occupations",43819,"(+/- 4547 )",33125,"(+/- 3102 )",37243,"(+/- 3388 )",56709,"(+/- 3212 )",31572,"(+/- 3020 )",47583,"(+/- 3965 )",46601,"(+/- 2946 )"
Workers,Industry,"Civilian employed population 16 years and over",495986,"(+/- 6887 )",451258,"(+/- 7625 )",363986,"(+/- 6509 )",449312,"(+/- 6329 )",380885,"(+/- 6934 )",448845,"(+/- 7609 )",441901,"(+/- 6900 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4793,"(+/- 1210 )",8925,"(+/- 1811 )",20252,"(+/- 2811 )",22940,"(+/- 2583 )",4084,"(+/- 1112 )",4911,"(+/- 1361 )",8264,"(+/- 1911 )"
Workers,Industry,Construction,35438,"(+/- 4354 )",26697,"(+/- 2792 )",34601,"(+/- 3249 )",38781,"(+/- 2454 )",30273,"(+/- 3319 )",35270,"(+/- 3229 )",39609,"(+/- 2865 )"
Workers,Industry,Manufacturing,32729,"(+/- 3696 )",39904,"(+/- 3196 )",14905,"(+/- 2202 )",40796,"(+/- 3854 )",19223,"(+/- 2265 )",26557,"(+/- 2630 )",32296,"(+/- 3055 )"
Workers,Industry,"Wholesale trade",14558,"(+/- 3088 )",8221,"(+/- 1356 )",8154,"(+/- 1639 )",13949,"(+/- 2278 )",5512,"(+/- 1541 )",10324,"(+/- 1803 )",11854,"(+/- 2044 )"
Workers,Industry,"Retail trade",38717,"(+/- 3378 )",41862,"(+/- 3685 )",42689,"(+/- 4041 )",45886,"(+/- 3869 )",38617,"(+/- 3529 )",43299,"(+/- 3391 )",49236,"(+/- 4461 )"
