cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Hispanic or Latino and Race","Total population",799917,"(+/- 13340 )",788021,"(+/- 13871 )",785101,"(+/- 3139 )",737674,"(+/- 4597 )",734377,"(+/- 9114 )",803704,"(+/- 12526 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",70979,"(+/- 5275 )",52181,"(+/- 5150 )",32885,"(+/- 859 )",32679,"(+/- 2119 )",19978,"(+/- 2061 )",41501,"(+/- 2845 )"
People,"Hispanic or Latino and Race",Mexican,15561,"(+/- 3547 )",12744,"(+/- 3359 )",15727,"(+/- 2834 )",20049,"(+/- 2936 )",11758,"(+/- 1740 )",13868,"(+/- 3361 )"
People,"Hispanic or Latino and Race","Puerto Rican",2548,"(+/- 1717 )",2960,"(+/- 1432 )",1318,"(+/- 896 )",2431,"(+/- 1012 )",1399,"(+/- 405 )",4166,"(+/- 2589 )"
People,"Hispanic or Latino and Race",Cuban,8265,"(+/- 3827 )",4344,"(+/- 1780 )",1779,"(+/- 973 )",1105,"(+/- 569 )",709,"(+/- 389 )",1171,"(+/- 821 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",44605,"(+/- 6479 )",32133,"(+/- 4658 )",14061,"(+/- 2781 )",9094,"(+/- 2392 )",6112,"(+/- 1498 )",22296,"(+/- 3472 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",728938,"(+/- 11706 )",735840,"(+/- 13088 )",752216,"(+/- 3198 )",704995,"(+/- 4671 )",714399,"(+/- 9395 )",762203,"(+/- 12385 )"
People,"Place of Birth","Total population",799917,"(+/- 13340 )",788021,"(+/- 13871 )",785101,"(+/- 3139 )",737674,"(+/- 4597 )",734377,"(+/- 9114 )",803704,"(+/- 12526 )"
People,"Place of Birth",Native,743769,"(+/- 12589 )",742765,"(+/- 14190 )",761470,"(+/- 3876 )",719317,"(+/- 4999 )",718049,"(+/- 9540 )",766849,"(+/- 13618 )"
People,"Place of Birth","Born in United States",734955,"(+/- 12614 )",736033,"(+/- 13809 )",756976,"(+/- 4331 )",714522,"(+/- 5126 )",713303,"(+/- 9991 )",759628,"(+/- 13052 )"
People,"Place of Birth","State of residence",585709,"(+/- 12147 )",610031,"(+/- 14327 )",648738,"(+/- 6920 )",546621,"(+/- 9442 )",586748,"(+/- 9885 )",629550,"(+/- 13940 )"
People,"Place of Birth","Different state",149246,"(+/- 8590 )",126002,"(+/- 6883 )",108238,"(+/- 6099 )",167901,"(+/- 8242 )",126555,"(+/- 6864 )",130078,"(+/- 8695 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8814,"(+/- 2923 )",6732,"(+/- 1816 )",4494,"(+/- 1461 )",4795,"(+/- 1148 )",4746,"(+/- 1939 )",7221,"(+/- 2271 )"
People,"Place of Birth","Foreign born",56148,"(+/- 6244 )",45256,"(+/- 5124 )",23631,"(+/- 2971 )",18357,"(+/- 2958 )",16328,"(+/- 2548 )",36855,"(+/- 4007 )"
People,Ancestry,"Total population",799917,"(+/- 13340 )",788021,"(+/- 13871 )",785101,"(+/- 3139 )",737674,"(+/- 4597 )",734377,"(+/- 9114 )",803704,"(+/- 12526 )"
People,Ancestry,American,53123,"(+/- 6950 )",30347,"(+/- 4196 )",60275,"(+/- 7157 )",94473,"(+/- 7884 )",74276,"(+/- 7225 )",79378,"(+/- 8332 )"
People,Ancestry,Arab,6782,"(+/- 3124 )",4556,"(+/- 2658 )",1813,"(+/- 1092 )",1483,"(+/- 943 )",5093,"(+/- 3009 )",2590,"(+/- 1970 )"
People,Ancestry,Czech,1065,"(+/- 727 )",707,"(+/- 531 )",107,"(+/- 140 )",671,"(+/- 521 )",390,"(+/- 278 )",880,"(+/- 411 )"
People,Ancestry,Danish,444,"(+/- 356 )",465,"(+/- 450 )",450,"(+/- 319 )",263,"(+/- 234 )",233,"(+/- 188 )",362,"(+/- 272 )"
People,Ancestry,Dutch,5134,"(+/- 1501 )",2307,"(+/- 1007 )",2570,"(+/- 1252 )",2553,"(+/- 1102 )",2334,"(+/- 918 )",1327,"(+/- 614 )"
People,Ancestry,English,51372,"(+/- 5154 )",19127,"(+/- 2765 )",27638,"(+/- 4467 )",36226,"(+/- 4811 )",36355,"(+/- 4819 )",42737,"(+/- 4810 )"
People,Ancestry,"French (except Basque)",125664,"(+/- 8337 )",43963,"(+/- 4692 )",100082,"(+/- 8958 )",29536,"(+/- 3641 )",42389,"(+/- 5735 )",103030,"(+/- 7810 )"
People,Ancestry,"French Canadian",13987,"(+/- 2288 )",6397,"(+/- 1797 )",65023,"(+/- 7945 )",12824,"(+/- 3020 )",9540,"(+/- 2508 )",21217,"(+/- 3612 )"
People,Ancestry,German,96744,"(+/- 7277 )",34362,"(+/- 3537 )",48344,"(+/- 6347 )",30473,"(+/- 3872 )",27300,"(+/- 3998 )",51606,"(+/- 5086 )"
People,Ancestry,Greek,2108,"(+/- 1436 )",1330,"(+/- 727 )",323,"(+/- 299 )",185,"(+/- 214 )",1219,"(+/- 971 )",875,"(+/- 670 )"
People,Ancestry,Hungarian,1838,"(+/- 1110 )",854,"(+/- 575 )",423,"(+/- 310 )",775,"(+/- 428 )",194,"(+/- 170 )",2440,"(+/- 1376 )"
People,Ancestry,Irish,77682,"(+/- 6929 )",25807,"(+/- 3503 )",33375,"(+/- 4867 )",38957,"(+/- 3293 )",52590,"(+/- 3942 )",54377,"(+/- 6324 )"
People,Ancestry,Italian,78683,"(+/- 7140 )",27809,"(+/- 4523 )",16795,"(+/- 3663 )",10773,"(+/- 2028 )",15782,"(+/- 3316 )",45779,"(+/- 5600 )"
People,Ancestry,Lithuanian,2302,"(+/- 1649 )",217,"(+/- 131 )",159,"(+/- 186 )",173,"(+/- 149 )",126,"(+/- 162 )",646,"(+/- 663 )"
People,Ancestry,Norwegian,3724,"(+/- 1606 )",1559,"(+/- 812 )",1489,"(+/- 732 )",759,"(+/- 546 )",2260,"(+/- 1186 )",2031,"(+/- 1007 )"
People,Ancestry,Polish,5963,"(+/- 1854 )",3763,"(+/- 853 )",3139,"(+/- 1332 )",3457,"(+/- 1249 )",1493,"(+/- 778 )",2725,"(+/- 1079 )"
People,Ancestry,Portuguese,2119,"(+/- 1237 )",715,"(+/- 437 )",588,"(+/- 401 )",314,"(+/- 290 )",105,"(+/- 122 )",438,"(+/- 312 )"
People,Ancestry,Russian,2103,"(+/- 836 )",1304,"(+/- 582 )",446,"(+/- 369 )",541,"(+/- 510 )",1181,"(+/- 724 )",770,"(+/- 546 )"
People,Ancestry,Scotch-Irish,11025,"(+/- 2726 )",3059,"(+/- 1497 )",2863,"(+/- 913 )",5707,"(+/- 1468 )",6421,"(+/- 2708 )",7952,"(+/- 2343 )"
People,Ancestry,Scottish,13158,"(+/- 2892 )",3680,"(+/- 998 )",6041,"(+/- 2314 )",7867,"(+/- 1585 )",5413,"(+/- 1752 )",7826,"(+/- 2205 )"
People,Ancestry,Slovak,522,"(+/- 555 )",172,"(+/- 226 )",0,"(+/- 224 )",44,"(+/- 73 )",88,"(+/- 90 )",925,"(+/- 728 )"
People,Ancestry,"Subsaharan African",1536,"(+/- 638 )",28041,"(+/- 4494 )",1607,"(+/- 738 )",6575,"(+/- 3369 )",3892,"(+/- 1515 )",3689,"(+/- 1695 )"
People,Ancestry,Swedish,4048,"(+/- 1837 )",1230,"(+/- 441 )",2137,"(+/- 1469 )",2210,"(+/- 1055 )",816,"(+/- 433 )",2412,"(+/- 1002 )"
People,Ancestry,Swiss,620,"(+/- 352 )",426,"(+/- 337 )",300,"(+/- 303 )",24,"(+/- 43 )",144,"(+/- 164 )",431,"(+/- 350 )"
People,Ancestry,Ukrainian,413,"(+/- 414 )",337,"(+/- 198 )",85,"(+/- 146 )",7,"(+/- 13 )",433,"(+/- 329 )",310,"(+/- 320 )"
People,Ancestry,Welsh,2240,"(+/- 803 )",1968,"(+/- 1109 )",1852,"(+/- 1004 )",1890,"(+/- 746 )",2496,"(+/- 937 )",4513,"(+/- 1909 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1881,"(+/- 2173 )",4264,"(+/- 1750 )",511,"(+/- 524 )",491,"(+/- 409 )",1041,"(+/- 962 )",833,"(+/- 722 )"
People,"Veteran Status","Civilian population 18 years and over",613920,"(+/- 9903 )",610650,"(+/- 10120 )",591105,"(+/- 2507 )",551625,"(+/- 4058 )",560786,"(+/- 6759 )",614975,"(+/- 8552 )"
People,"Veteran Status","Civilian veterans",38269,"(+/- 2686 )",35499,"(+/- 2927 )",38659,"(+/- 3627 )",45929,"(+/- 3334 )",36590,"(+/- 3244 )",34992,"(+/- 3760 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",791735,"(+/- 13129 )",776326,"(+/- 13933 )",776597,"(+/- 3873 )",705741,"(+/- 5806 )",691099,"(+/- 9277 )",798192,"(+/- 12528 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",133916,"(+/- 6795 )",121331,"(+/- 6827 )",109418,"(+/- 6857 )",122137,"(+/- 5449 )",114274,"(+/- 6393 )",118744,"(+/- 8339 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",183123,"(+/- 5902 )",175556,"(+/- 6991 )",193047,"(+/- 1618 )",172434,"(+/- 2698 )",171425,"(+/- 4445 )",188151,"(+/- 6811 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",12629,"(+/- 2097 )",8979,"(+/- 1948 )",9721,"(+/- 1926 )",11029,"(+/- 2647 )",9946,"(+/- 1794 )",12704,"(+/- 2443 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",471639,"(+/- 9236 )",482625,"(+/- 9193 )",467841,"(+/- 3358 )",409747,"(+/- 4422 )",405110,"(+/- 6610 )",496252,"(+/- 8455 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",68882,"(+/- 5655 )",66322,"(+/- 5275 )",55964,"(+/- 4799 )",61319,"(+/- 4441 )",60086,"(+/- 4449 )",63349,"(+/- 5840 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",136973,"(+/- 3094 )",118145,"(+/- 3598 )",115709,"(+/- 1810 )",123560,"(+/- 2290 )",114564,"(+/- 2542 )",113789,"(+/- 3302 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",52405,"(+/- 2979 )",46030,"(+/- 3303 )",43733,"(+/- 3544 )",49789,"(+/- 3086 )",44242,"(+/- 3110 )",42691,"(+/- 3526 )"
People,"Residence 1 Year Ago","Population 1 year and over",791326,"(+/- 13156 )",778177,"(+/- 13790 )",777051,"(+/- 3187 )",728583,"(+/- 4947 )",724333,"(+/- 9383 )",795641,"(+/- 12666 )"
People,"Residence 1 Year Ago","Same house",696628,"(+/- 14416 )",667836,"(+/- 17104 )",686685,"(+/- 9600 )",651339,"(+/- 8572 )",624495,"(+/- 11089 )",691909,"(+/- 12431 )"
People,"Residence 1 Year Ago","Different house in the U.S.",93011,"(+/- 9278 )",107221,"(+/- 9643 )",88632,"(+/- 9338 )",74689,"(+/- 8144 )",96129,"(+/- 8521 )",99299,"(+/- 10597 )"
People,"Residence 1 Year Ago","Same county",54838,"(+/- 8682 )",66926,"(+/- 8036 )",54907,"(+/- 7589 )",45264,"(+/- 6540 )",61083,"(+/- 7377 )",56320,"(+/- 7358 )"
People,"Residence 1 Year Ago","Different county",38173,"(+/- 4737 )",40295,"(+/- 5059 )",33725,"(+/- 5487 )",29425,"(+/- 3874 )",35046,"(+/- 5329 )",42979,"(+/- 7123 )"
People,"Residence 1 Year Ago","Same state",22357,"(+/- 3612 )",23362,"(+/- 3904 )",25790,"(+/- 5511 )",17989,"(+/- 2914 )",27347,"(+/- 4995 )",35158,"(+/- 6524 )"
People,"Residence 1 Year Ago","Different state",15816,"(+/- 3618 )",16933,"(+/- 3324 )",7935,"(+/- 2748 )",11436,"(+/- 2779 )",7699,"(+/- 1916 )",7821,"(+/- 2098 )"
People,"Residence 1 Year Ago",Abroad,1687,"(+/- 755 )",3120,"(+/- 1231 )",1734,"(+/- 953 )",2555,"(+/- 1018 )",3709,"(+/- 1751 )",4433,"(+/- 2180 )"
Workers,"Employment Status","Population 16 years and over",637043,"(+/- 10587 )",628954,"(+/- 11162 )",611910,"(+/- 2911 )",583779,"(+/- 4229 )",583522,"(+/- 7156 )",638845,"(+/- 9011 )"
Workers,"Employment Status","In labor force",390411,"(+/- 10663 )",393762,"(+/- 9378 )",359462,"(+/- 8067 )",319562,"(+/- 8206 )",306587,"(+/- 7170 )",409399,"(+/- 9841 )"
Workers,"Employment Status","Civilian labor force",387625,"(+/- 10646 )",392232,"(+/- 9298 )",358635,"(+/- 8089 )",306107,"(+/- 8064 )",304764,"(+/- 7323 )",408973,"(+/- 9907 )"
Workers,"Employment Status",Employed,371255,"(+/- 10743 )",362298,"(+/- 8818 )",339969,"(+/- 8160 )",287460,"(+/- 8041 )",287930,"(+/- 6607 )",391413,"(+/- 10471 )"
Workers,"Employment Status",Unemployed,16370,"(+/- 2589 )",29934,"(+/- 4078 )",18666,"(+/- 3111 )",18647,"(+/- 2480 )",16834,"(+/- 2799 )",17560,"(+/- 3084 )"
Workers,"Employment Status","Armed Forces",2786,"(+/- 1199 )",1530,"(+/- 684 )",827,"(+/- 543 )",13455,"(+/- 2141 )",1823,"(+/- 984 )",426,"(+/- 363 )"
Workers,"Employment Status","Not in labor force",246632,"(+/- 6737 )",235192,"(+/- 8346 )",252448,"(+/- 7834 )",264217,"(+/- 8120 )",276935,"(+/- 6615 )",229446,"(+/- 8976 )"
Workers,"Employment Status","Civilian labor force",387625,"(+/- 10646 )",392232,"(+/- 9298 )",358635,"(+/- 8089 )",306107,"(+/- 8064 )",304764,"(+/- 7323 )",408973,"(+/- 9907 )"
Workers,"Employment Status","Unemployment Rate",4.2,"(+/- 0.7 )",7.6,"(+/- 1.0 )",5.2,"(+/- 0.9 )",6.1,"(+/- 0.8 )",5.5,"(+/- 0.9 )",4.3,"(+/- 0.8 )"
Workers,"Commuting to Work","Workers 16 years and over",368876,"(+/- 10859 )",357051,"(+/- 9084 )",335303,"(+/- 8270 )",296195,"(+/- 8459 )",282602,"(+/- 6494 )",384239,"(+/- 10118 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",296875,"(+/- 9733 )",266878,"(+/- 8713 )",286935,"(+/- 9018 )",249422,"(+/- 8315 )",233784,"(+/- 6463 )",328443,"(+/- 10202 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",32652,"(+/- 4281 )",41433,"(+/- 4669 )",23850,"(+/- 2849 )",24745,"(+/- 3317 )",26547,"(+/- 3052 )",28455,"(+/- 3783 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2219,"(+/- 954 )",12242,"(+/- 2095 )",1451,"(+/- 775 )",2176,"(+/- 1086 )",3365,"(+/- 977 )",2345,"(+/- 1022 )"
Workers,"Commuting to Work",Walked,8863,"(+/- 2011 )",11835,"(+/- 2456 )",6381,"(+/- 1820 )",5696,"(+/- 2067 )",4484,"(+/- 1313 )",5766,"(+/- 1561 )"
Workers,"Commuting to Work","Other means",6748,"(+/- 1723 )",10600,"(+/- 1799 )",4819,"(+/- 1417 )",4879,"(+/- 1425 )",6788,"(+/- 2066 )",3917,"(+/- 1733 )"
Workers,"Commuting to Work","Worked from home",21519,"(+/- 3140 )",14063,"(+/- 2069 )",11867,"(+/- 2129 )",9277,"(+/- 1979 )",7634,"(+/- 1654 )",15313,"(+/- 2718 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",27.5,"(+/- 0.8 )",25.1,"(+/- 0.6 )",25.5,"(+/- 0.9 )",25.5,"(+/- 1.0 )",27.8,"(+/- 1.3 )",27.8,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",371255,"(+/- 10743 )",362298,"(+/- 8818 )",339969,"(+/- 8160 )",287460,"(+/- 8041 )",287930,"(+/- 6607 )",391413,"(+/- 10471 )"
Workers,Occupation,"Management, business, science, and arts occupations",148028,"(+/- 7799 )",124610,"(+/- 5991 )",119450,"(+/- 6435 )",89446,"(+/- 5312 )",87564,"(+/- 5671 )",153314,"(+/- 7083 )"
Workers,Occupation,"Service occupations",69919,"(+/- 5597 )",84945,"(+/- 5332 )",58935,"(+/- 4766 )",61415,"(+/- 4091 )",67043,"(+/- 4867 )",61925,"(+/- 4987 )"
Workers,Occupation,"Sales and office occupations",78824,"(+/- 5185 )",73230,"(+/- 4960 )",72804,"(+/- 4710 )",60892,"(+/- 4576 )",57651,"(+/- 3838 )",83591,"(+/- 6270 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",38268,"(+/- 4508 )",32099,"(+/- 3072 )",40103,"(+/- 3862 )",34624,"(+/- 3952 )",37045,"(+/- 3233 )",43613,"(+/- 5160 )"
Workers,Occupation,"Production, transportation, and material moving occupations",36216,"(+/- 3563 )",47414,"(+/- 4831 )",48677,"(+/- 4757 )",41083,"(+/- 3392 )",38627,"(+/- 3888 )",48970,"(+/- 3951 )"
Workers,Industry,"Civilian employed population 16 years and over",371255,"(+/- 10743 )",362298,"(+/- 8818 )",339969,"(+/- 8160 )",287460,"(+/- 8041 )",287930,"(+/- 6607 )",391413,"(+/- 10471 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",10386,"(+/- 1812 )",4965,"(+/- 1460 )",23453,"(+/- 2910 )",15095,"(+/- 2420 )",14187,"(+/- 2020 )",9293,"(+/- 2419 )"
Workers,Industry,Construction,32730,"(+/- 3954 )",24775,"(+/- 2566 )",27729,"(+/- 3263 )",22105,"(+/- 2995 )",22558,"(+/- 2807 )",38229,"(+/- 3953 )"
Workers,Industry,Manufacturing,20655,"(+/- 2776 )",22437,"(+/- 2920 )",25380,"(+/- 3212 )",23907,"(+/- 3046 )",17424,"(+/- 2560 )",38830,"(+/- 3508 )"
Workers,Industry,"Wholesale trade",13190,"(+/- 2144 )",8003,"(+/- 1778 )",7772,"(+/- 1862 )",6010,"(+/- 1490 )",6113,"(+/- 1594 )",10394,"(+/- 2219 )"
Workers,Industry,"Retail trade",41233,"(+/- 3937 )",38978,"(+/- 4449 )",44015,"(+/- 5163 )",29532,"(+/- 3462 )",36252,"(+/- 3092 )",44185,"(+/- 5386 )"
Workers,Industry,"Transportation and warehousing, and utilities",22385,"(+/- 2912 )",24951,"(+/- 3546 )",18171,"(+/- 3262 )",16697,"(+/- 2186 )",16456,"(+/- 2733 )",17373,"(+/- 2841 )"
Workers,Industry,Information,5672,"(+/- 1443 )",4236,"(+/- 901 )",4421,"(+/- 1312 )",3881,"(+/- 1120 )",4790,"(+/- 1532 )",6302,"(+/- 1476 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",19753,"(+/- 2630 )",16383,"(+/- 2668 )",15300,"(+/- 2042 )",15718,"(+/- 2549 )",15528,"(+/- 2317 )",21188,"(+/- 3371 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",41151,"(+/- 3746 )",38245,"(+/- 3529 )",32709,"(+/- 3791 )",21827,"(+/- 2687 )",19230,"(+/- 2796 )",37300,"(+/- 3438 )"
Workers,Industry,"Educational services, and health care and social assistance",84667,"(+/- 5592 )",94526,"(+/- 5437 )",79684,"(+/- 4513 )",71178,"(+/- 4714 )",79215,"(+/- 5696 )",92687,"(+/- 6226 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",42336,"(+/- 4891 )",50943,"(+/- 4775 )",32778,"(+/- 3531 )",28256,"(+/- 3718 )",23566,"(+/- 3541 )",38375,"(+/- 4985 )"
Workers,Industry,"Other services, except public administration",18881,"(+/- 2911 )",16500,"(+/- 2183 )",15267,"(+/- 2240 )",16594,"(+/- 2443 )",14788,"(+/- 2485 )",15698,"(+/- 2417 )"
Workers,Industry,"Public administration",18216,"(+/- 2792 )",17356,"(+/- 2409 )",13290,"(+/- 2505 )",16660,"(+/- 2470 )",17823,"(+/- 2310 )",21559,"(+/- 2773 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",371255,"(+/- 10743 )",362298,"(+/- 8818 )",339969,"(+/- 8160 )",287460,"(+/- 8041 )",287930,"(+/- 6607 )",391413,"(+/- 10471 )"
Workers,"Class of Worker","Private wage and salary workers",294584,"(+/- 10507 )",286021,"(+/- 9111 )",269108,"(+/- 7885 )",219910,"(+/- 7569 )",217410,"(+/- 6393 )",307107,"(+/- 9987 )"
Workers,"Class of Worker","Government workers",46810,"(+/- 3357 )",53935,"(+/- 4252 )",44572,"(+/- 4306 )",51568,"(+/- 4335 )",51212,"(+/- 4396 )",63110,"(+/- 5449 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",28639,"(+/- 3321 )",21832,"(+/- 2522 )",25493,"(+/- 3273 )",15395,"(+/- 2180 )",18989,"(+/- 2566 )",20794,"(+/- 2922 )"
Workers,"Class of Worker","Unpaid family workers",1222,"(+/- 606 )",510,"(+/- 355 )",796,"(+/- 453 )",587,"(+/- 524 )",319,"(+/- 234 )",402,"(+/- 299 )"
Housing,"Housing Occupancy","Total housing units",339426,"(+/- 5205 )",356807,"(+/- 5110 )",349938,"(+/- 1534 )",353356,"(+/- 2360 )",340933,"(+/- 3168 )",349364,"(+/- 4824 )"
Housing,"Housing Occupancy","Occupied housing units",299885,"(+/- 5832 )",296502,"(+/- 4896 )",297618,"(+/- 4983 )",284771,"(+/- 5180 )",269916,"(+/- 4999 )",292384,"(+/- 6791 )"
Housing,"Housing Occupancy","Vacant housing units",39541,"(+/- 4291 )",60305,"(+/- 3501 )",52320,"(+/- 4958 )",68585,"(+/- 4691 )",71017,"(+/- 4158 )",56980,"(+/- 5811 )"
