cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE","District 53 Estimate","District 53 MOE"
People,Ancestry,Swiss,3689,"(+/- 1191 )",5315,"(+/- 1915 )",2309,"(+/- 1100 )",2549,"(+/- 956 )",3782,"(+/- 1025 )",951,"(+/- 420 )",2686,"(+/- 1095 )",923,"(+/- 492 )",1634,"(+/- 1113 )",1983,"(+/- 743 )",2994,"(+/- 1108 )",2606,"(+/- 1041 )",2215,"(+/- 754 )",2090,"(+/- 981 )",2647,"(+/- 1109 )",319,"(+/- 258 )",1797,"(+/- 749 )",4816,"(+/- 1387 )",1928,"(+/- 752 )",3233,"(+/- 1073 )",482,"(+/- 377 )",1048,"(+/- 564 )",3102,"(+/- 1628 )",4246,"(+/- 1292 )",967,"(+/- 336 )",1046,"(+/- 531 )",1253,"(+/- 749 )",2152,"(+/- 866 )",644,"(+/- 467 )",1620,"(+/- 781 )",1307,"(+/- 1037 )",772,"(+/- 574 )",2881,"(+/- 1075 )",430,"(+/- 344 )",917,"(+/- 845 )",1551,"(+/- 510 )",1566,"(+/- 717 )",640,"(+/- 575 )",739,"(+/- 385 )",153,"(+/- 208 )",957,"(+/- 538 )",1341,"(+/- 620 )",1133,"(+/- 749 )",169,"(+/- 196 )",3018,"(+/- 1392 )",520,"(+/- 421 )",833,"(+/- 542 )",2010,"(+/- 705 )",2306,"(+/- 880 )",2398,"(+/- 827 )",1170,"(+/- 739 )",2210,"(+/- 1076 )",1433,"(+/- 578 )"
People,Ancestry,Ukrainian,1401,"(+/- 552 )",2635,"(+/- 1149 )",1776,"(+/- 805 )",4823,"(+/- 2580 )",1036,"(+/- 452 )",15088,"(+/- 6391 )",6896,"(+/- 2045 )",1959,"(+/- 1020 )",542,"(+/- 468 )",396,"(+/- 260 )",2770,"(+/- 1013 )",5444,"(+/- 1404 )",2651,"(+/- 951 )",3083,"(+/- 858 )",1401,"(+/- 539 )",348,"(+/- 328 )",2690,"(+/- 1113 )",3197,"(+/- 1088 )",2087,"(+/- 1368 )",1103,"(+/- 474 )",0,"(+/- 216 )",995,"(+/- 589 )",1147,"(+/- 865 )",1134,"(+/- 526 )",2317,"(+/- 1735 )",1909,"(+/- 998 )",1233,"(+/- 517 )",4314,"(+/- 1552 )",1798,"(+/- 890 )",6188,"(+/- 1842 )",1858,"(+/- 1394 )",352,"(+/- 260 )",5595,"(+/- 1414 )",799,"(+/- 475 )",649,"(+/- 664 )",710,"(+/- 329 )",1370,"(+/- 724 )",840,"(+/- 848 )",1066,"(+/- 770 )",40,"(+/- 65 )",824,"(+/- 548 )",595,"(+/- 332 )",1142,"(+/- 816 )",350,"(+/- 269 )",2139,"(+/- 901 )",422,"(+/- 281 )",834,"(+/- 446 )",3963,"(+/- 2096 )",1849,"(+/- 987 )",1353,"(+/- 556 )",236,"(+/- 165 )",3178,"(+/- 1670 )",1621,"(+/- 701 )"
People,Ancestry,Welsh,5472,"(+/- 1748 )",7650,"(+/- 1598 )",4628,"(+/- 1517 )",9061,"(+/- 2008 )",4479,"(+/- 1264 )",4629,"(+/- 1642 )",4470,"(+/- 1055 )",5828,"(+/- 2447 )",3929,"(+/- 2067 )",2652,"(+/- 884 )",4534,"(+/- 1436 )",2450,"(+/- 857 )",3508,"(+/- 1306 )",2376,"(+/- 799 )",3461,"(+/- 889 )",1687,"(+/- 839 )",1141,"(+/- 465 )",3356,"(+/- 834 )",2262,"(+/- 861 )",3662,"(+/- 1061 )",1012,"(+/- 918 )",2103,"(+/- 646 )",5939,"(+/- 2646 )",6532,"(+/- 1954 )",2595,"(+/- 861 )",4681,"(+/- 1547 )",1856,"(+/- 582 )",2510,"(+/- 744 )",912,"(+/- 407 )",3045,"(+/- 924 )",2354,"(+/- 1038 )",1498,"(+/- 582 )",4141,"(+/- 1279 )",1518,"(+/- 648 )",1282,"(+/- 691 )",3441,"(+/- 895 )",1240,"(+/- 517 )",1798,"(+/- 515 )",3027,"(+/- 835 )",180,"(+/- 177 )",980,"(+/- 435 )",3266,"(+/- 1092 )",770,"(+/- 823 )",393,"(+/- 232 )",3356,"(+/- 1021 )",795,"(+/- 580 )",1864,"(+/- 485 )",4829,"(+/- 1599 )",6132,"(+/- 1864 )",5359,"(+/- 1494 )",743,"(+/- 378 )",4879,"(+/- 2015 )",2907,"(+/- 1089 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",627,"(+/- 718 )",1636,"(+/- 1148 )",1512,"(+/- 807 )",599,"(+/- 323 )",2538,"(+/- 1082 )",692,"(+/- 505 )",773,"(+/- 513 )",2392,"(+/- 1714 )",1527,"(+/- 1014 )",115,"(+/- 178 )",1785,"(+/- 1410 )",2350,"(+/- 1020 )",2159,"(+/- 1004 )",1860,"(+/- 1146 )",1082,"(+/- 606 )",724,"(+/- 551 )",297,"(+/- 219 )",988,"(+/- 535 )",752,"(+/- 674 )",1274,"(+/- 806 )",1561,"(+/- 1704 )",902,"(+/- 921 )",801,"(+/- 486 )",556,"(+/- 502 )",1533,"(+/- 1060 )",636,"(+/- 497 )",1132,"(+/- 521 )",2136,"(+/- 1026 )",2342,"(+/- 1254 )",2620,"(+/- 1300 )",2643,"(+/- 1301 )",598,"(+/- 455 )",2042,"(+/- 915 )",1972,"(+/- 826 )",2009,"(+/- 1904 )",500,"(+/- 290 )",12719,"(+/- 3512 )",1135,"(+/- 1192 )",787,"(+/- 542 )",1864,"(+/- 960 )",5049,"(+/- 3095 )",2223,"(+/- 1188 )",10856,"(+/- 3675 )",1900,"(+/- 996 )",1847,"(+/- 1319 )",132,"(+/- 126 )",1706,"(+/- 1153 )",444,"(+/- 407 )",1166,"(+/- 537 )",945,"(+/- 768 )",1301,"(+/- 1138 )",613,"(+/- 419 )",1988,"(+/- 1383 )"
People,"Veteran Status","Civilian population 18 years and over",566694,"(+/- 5121 )",571758,"(+/- 5673 )",576505,"(+/- 5792 )",600566,"(+/- 6304 )",580046,"(+/- 7679 )",586773,"(+/- 8715 )",588789,"(+/- 8840 )",507484,"(+/- 7893 )",578111,"(+/- 8235 )",563575,"(+/- 4387 )",596603,"(+/- 6981 )",673938,"(+/- 6947 )",626886,"(+/- 5336 )",606422,"(+/- 8103 )",602606,"(+/- 7645 )",529295,"(+/- 9762 )",634218,"(+/- 10220 )",581227,"(+/- 9924 )",574606,"(+/- 11655 )",557219,"(+/- 5450 )",499643,"(+/- 12954 )",547015,"(+/- 10608 )",543721,"(+/- 11818 )",584622,"(+/- 2023 )",535347,"(+/- 11008 )",554923,"(+/- 3957 )",579805,"(+/- 10484 )",586312,"(+/- 12665 )",554761,"(+/- 18609 )",620256,"(+/- 19312 )",567325,"(+/- 10301 )",553767,"(+/- 11519 )",570814,"(+/- 11659 )",589742,"(+/- 14012 )",566946,"(+/- 10239 )",602011,"(+/- 9701 )",595469,"(+/- 18404 )",553040,"(+/- 10902 )",566991,"(+/- 9933 )",512607,"(+/- 11911 )",575531,"(+/- 8619 )",612695,"(+/- 9789 )",571636,"(+/- 14612 )",533713,"(+/- 14214 )",625461,"(+/- 9557 )",559197,"(+/- 9770 )",564873,"(+/- 11832 )",573126,"(+/- 9883 )",541707,"(+/- 8759 )",572615,"(+/- 13535 )",537873,"(+/- 12998 )",599497,"(+/- 12169 )",614116,"(+/- 15984 )"
People,"Veteran Status","Civilian veterans",47806,"(+/- 3345 )",35694,"(+/- 2775 )",46701,"(+/- 2798 )",52835,"(+/- 3207 )",33779,"(+/- 2254 )",32337,"(+/- 2849 )",39220,"(+/- 3052 )",39046,"(+/- 3869 )",31308,"(+/- 3290 )",27153,"(+/- 3098 )",25626,"(+/- 2622 )",18844,"(+/- 2233 )",21974,"(+/- 2325 )",20982,"(+/- 2440 )",21187,"(+/- 2015 )",23137,"(+/- 2486 )",18934,"(+/- 2211 )",20146,"(+/- 2123 )",19844,"(+/- 2061 )",25690,"(+/- 2402 )",18008,"(+/- 2223 )",30976,"(+/- 3813 )",38189,"(+/- 3465 )",36351,"(+/- 2187 )",24482,"(+/- 2951 )",30327,"(+/- 2568 )",17584,"(+/- 1952 )",14329,"(+/- 1777 )",13292,"(+/- 1944 )",22045,"(+/- 2136 )",28769,"(+/- 2966 )",17241,"(+/- 2098 )",21230,"(+/- 2862 )",11117,"(+/- 1901 )",19393,"(+/- 2420 )",43590,"(+/- 3372 )",15761,"(+/- 2287 )",19844,"(+/- 1946 )",23854,"(+/- 2111 )",7044,"(+/- 1292 )",24514,"(+/- 2879 )",43299,"(+/- 3835 )",19768,"(+/- 3429 )",15730,"(+/- 1932 )",25585,"(+/- 2295 )",14392,"(+/- 2174 )",26585,"(+/- 2643 )",25675,"(+/- 2629 )",40800,"(+/- 2996 )",53515,"(+/- 3898 )",26815,"(+/- 2619 )",48013,"(+/- 4291 )",51107,"(+/- 4323 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",695860,"(+/- 5816 )",698776,"(+/- 6152 )",735565,"(+/- 6788 )",746471,"(+/- 7282 )",720432,"(+/- 9167 )",777030,"(+/- 12227 )",749278,"(+/- 12130 )",701790,"(+/- 9846 )",773874,"(+/- 8098 )",759200,"(+/- 4724 )",761625,"(+/- 7739 )",776212,"(+/- 8178 )",765212,"(+/- 4870 )",739785,"(+/- 9718 )",776989,"(+/- 8854 )",736138,"(+/- 12729 )",785478,"(+/- 12432 )",749782,"(+/- 13407 )",734673,"(+/- 14396 )",724951,"(+/- 7179 )",691883,"(+/- 16987 )",763350,"(+/- 14585 )",722305,"(+/- 16607 )",722596,"(+/- 2437 )",711932,"(+/- 12171 )",718617,"(+/- 3511 )",707051,"(+/- 11489 )",689443,"(+/- 15526 )",713937,"(+/- 23252 )",760292,"(+/- 25124 )",737966,"(+/- 12890 )",696910,"(+/- 11847 )",700456,"(+/- 14828 )",715286,"(+/- 20386 )",755326,"(+/- 12103 )",744767,"(+/- 11324 )",730323,"(+/- 22192 )",700788,"(+/- 12097 )",715138,"(+/- 10412 )",714137,"(+/- 16806 )",782960,"(+/- 9148 )",831705,"(+/- 11450 )",744905,"(+/- 17466 )",710552,"(+/- 18625 )",789233,"(+/- 8195 )",724139,"(+/- 11611 )",713442,"(+/- 12854 )",716409,"(+/- 9723 )",703247,"(+/- 9940 )",750011,"(+/- 14928 )",703439,"(+/- 17403 )",742071,"(+/- 15444 )",763844,"(+/- 19553 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",115334,"(+/- 4889 )",91339,"(+/- 5510 )",89663,"(+/- 5355 )",102892,"(+/- 5623 )",85539,"(+/- 4599 )",89678,"(+/- 6124 )",94203,"(+/- 6200 )",103856,"(+/- 7575 )",98034,"(+/- 6704 )",95244,"(+/- 6430 )",81974,"(+/- 5738 )",77294,"(+/- 4616 )",72328,"(+/- 4997 )",58696,"(+/- 4082 )",62633,"(+/- 4041 )",100761,"(+/- 6062 )",53217,"(+/- 3920 )",56925,"(+/- 4031 )",73757,"(+/- 4848 )",71527,"(+/- 4378 )",73539,"(+/- 5739 )",88510,"(+/- 5596 )",89650,"(+/- 5946 )",82549,"(+/- 5393 )",74583,"(+/- 5532 )",76079,"(+/- 5312 )",64986,"(+/- 4254 )",75120,"(+/- 4606 )",79881,"(+/- 4521 )",75630,"(+/- 5173 )",79106,"(+/- 5966 )",76251,"(+/- 4486 )",54390,"(+/- 4235 )",76330,"(+/- 5879 )",71338,"(+/- 5371 )",120378,"(+/- 7792 )",67485,"(+/- 4948 )",67577,"(+/- 4730 )",63148,"(+/- 5481 )",57707,"(+/- 5004 )",85842,"(+/- 5144 )",78749,"(+/- 5402 )",78025,"(+/- 5512 )",68823,"(+/- 4811 )",60062,"(+/- 4695 )",57162,"(+/- 4505 )",76437,"(+/- 4788 )",63923,"(+/- 4755 )",66673,"(+/- 5216 )",81623,"(+/- 5408 )",83020,"(+/- 5701 )",60289,"(+/- 5082 )",74664,"(+/- 5455 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",144127,"(+/- 2653 )",135788,"(+/- 3376 )",172823,"(+/- 4450 )",155079,"(+/- 2924 )",145327,"(+/- 5329 )",194336,"(+/- 7699 )",167068,"(+/- 6965 )",203093,"(+/- 8676 )",206531,"(+/- 6281 )",201019,"(+/- 4295 )",168733,"(+/- 5130 )",105587,"(+/- 2479 )",140830,"(+/- 4699 )",136284,"(+/- 3809 )",178395,"(+/- 5735 )",222745,"(+/- 6727 )",155863,"(+/- 6996 )",172082,"(+/- 6970 )",161814,"(+/- 6009 )",178693,"(+/- 3021 )",222861,"(+/- 9101 )",220320,"(+/- 7783 )",193664,"(+/- 8541 )",147885,"(+/- 1174 )",182916,"(+/- 8784 )",167054,"(+/- 2243 )",132232,"(+/- 6846 )",106767,"(+/- 7141 )",162410,"(+/- 8753 )",143217,"(+/- 9765 )",185597,"(+/- 8247 )",146342,"(+/- 8079 )",131932,"(+/- 6938 )",139551,"(+/- 9531 )",197305,"(+/- 8105 )",152943,"(+/- 8329 )",136814,"(+/- 8061 )",150629,"(+/- 7459 )",149684,"(+/- 7268 )",203220,"(+/- 10427 )",210430,"(+/- 8030 )",224198,"(+/- 7884 )",175756,"(+/- 9096 )",182577,"(+/- 9084 )",165500,"(+/- 7100 )",174531,"(+/- 7094 )",151508,"(+/- 7173 )",144678,"(+/- 6720 )",164266,"(+/- 8189 )",180494,"(+/- 8235 )",183482,"(+/- 7858 )",147701,"(+/- 8361 )",153402,"(+/- 9593 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5133,"(+/- 1337 )",5516,"(+/- 1483 )",5362,"(+/- 1444 )",4772,"(+/- 1211 )",6455,"(+/- 1850 )",7929,"(+/- 2012 )",6839,"(+/- 1771 )",11715,"(+/- 3333 )",7019,"(+/- 1846 )",7010,"(+/- 1401 )",4763,"(+/- 1329 )",2405,"(+/- 824 )",4614,"(+/- 1337 )",3370,"(+/- 999 )",5225,"(+/- 1103 )",9957,"(+/- 2082 )",2145,"(+/- 706 )",4065,"(+/- 1019 )",5327,"(+/- 1332 )",6644,"(+/- 1654 )",7183,"(+/- 1723 )",8446,"(+/- 2309 )",6715,"(+/- 2021 )",5133,"(+/- 1528 )",5186,"(+/- 1072 )",6728,"(+/- 1747 )",3454,"(+/- 807 )",2159,"(+/- 740 )",6208,"(+/- 1404 )",4153,"(+/- 1174 )",5585,"(+/- 1560 )",4054,"(+/- 1062 )",2916,"(+/- 1098 )",3451,"(+/- 909 )",7148,"(+/- 1884 )",8002,"(+/- 2229 )",3744,"(+/- 1083 )",4175,"(+/- 1079 )",3802,"(+/- 1145 )",5201,"(+/- 1290 )",8875,"(+/- 1692 )",6394,"(+/- 1739 )",4578,"(+/- 1225 )",6569,"(+/- 1754 )",4558,"(+/- 1598 )",5025,"(+/- 1435 )",5987,"(+/- 1460 )",5671,"(+/- 2311 )",6950,"(+/- 2449 )",4375,"(+/- 1099 )",7045,"(+/- 1861 )",4518,"(+/- 1877 )",6458,"(+/- 1478 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",402719,"(+/- 4879 )",407265,"(+/- 5524 )",452853,"(+/- 5518 )",424867,"(+/- 5396 )",440095,"(+/- 7696 )",483044,"(+/- 8843 )",463443,"(+/- 8974 )",404651,"(+/- 7784 )",459733,"(+/- 6669 )",461469,"(+/- 4349 )",468185,"(+/- 5936 )",551272,"(+/- 6541 )",512805,"(+/- 6133 )",478193,"(+/- 7635 )",488704,"(+/- 8101 )",432005,"(+/- 9225 )",536901,"(+/- 10048 )",460176,"(+/- 8886 )",468571,"(+/- 10440 )",439386,"(+/- 4974 )",403526,"(+/- 11589 )",447092,"(+/- 10295 )",427374,"(+/- 11124 )",445505,"(+/- 2489 )",438271,"(+/- 10355 )",435167,"(+/- 3929 )",451284,"(+/- 10819 )",471334,"(+/- 13165 )",471225,"(+/- 17477 )",495826,"(+/- 19007 )",461325,"(+/- 9943 )",443347,"(+/- 10227 )",442328,"(+/- 11444 )",485703,"(+/- 12331 )",480484,"(+/- 10239 )",415717,"(+/- 9786 )",501062,"(+/- 17172 )",441587,"(+/- 10211 )",447942,"(+/- 9899 )",445701,"(+/- 11919 )",498179,"(+/- 8983 )",504483,"(+/- 9541 )",476764,"(+/- 13186 )",445537,"(+/- 14427 )",500924,"(+/- 8733 )",473420,"(+/- 8371 )",458889,"(+/- 10457 )",443400,"(+/- 8970 )",420672,"(+/- 8731 )",451239,"(+/- 12408 )",428887,"(+/- 12051 )",483396,"(+/- 12441 )",506940,"(+/- 15525 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",57799,"(+/- 4063 )",40430,"(+/- 3918 )",42813,"(+/- 3788 )",41459,"(+/- 3686 )",38114,"(+/- 3842 )",43734,"(+/- 4128 )",43983,"(+/- 4507 )",51472,"(+/- 4507 )",49640,"(+/- 4764 )",49754,"(+/- 4632 )",40509,"(+/- 4326 )",32415,"(+/- 3405 )",33063,"(+/- 3433 )",21204,"(+/- 2452 )",24254,"(+/- 2173 )",54707,"(+/- 4768 )",22280,"(+/- 2404 )",21968,"(+/- 2386 )",33701,"(+/- 3987 )",33330,"(+/- 3192 )",39729,"(+/- 4173 )",44385,"(+/- 4256 )",43156,"(+/- 4151 )",37922,"(+/- 3786 )",37207,"(+/- 4149 )",33650,"(+/- 3945 )",24590,"(+/- 2659 )",30541,"(+/- 3203 )",40874,"(+/- 2989 )",31373,"(+/- 2911 )",41638,"(+/- 4076 )",33007,"(+/- 3112 )",16795,"(+/- 2468 )",38366,"(+/- 4210 )",33515,"(+/- 3936 )",50345,"(+/- 5161 )",32992,"(+/- 2958 )",32146,"(+/- 3228 )",27025,"(+/- 3364 )",28507,"(+/- 3068 )",45025,"(+/- 3922 )",35913,"(+/- 3647 )",40583,"(+/- 3894 )",33249,"(+/- 3212 )",24610,"(+/- 3406 )",27013,"(+/- 2902 )",35857,"(+/- 3027 )",21834,"(+/- 2286 )",27120,"(+/- 3043 )",40672,"(+/- 4043 )",41127,"(+/- 3974 )",23650,"(+/- 3112 )",35210,"(+/- 3819 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",149014,"(+/- 2878 )",155723,"(+/- 3892 )",109889,"(+/- 3172 )",166525,"(+/- 3278 )",135010,"(+/- 4253 )",99650,"(+/- 4329 )",118767,"(+/- 3972 )",94046,"(+/- 5158 )",107610,"(+/- 4839 )",96712,"(+/- 2841 )",124707,"(+/- 4105 )",119353,"(+/- 3019 )",111577,"(+/- 4302 )",125308,"(+/- 3894 )",109890,"(+/- 4584 )",81388,"(+/- 3439 )",92714,"(+/- 5276 )",117524,"(+/- 5147 )",104288,"(+/- 4698 )",106872,"(+/- 2140 )",65496,"(+/- 3823 )",95938,"(+/- 3657 )",101267,"(+/- 3673 )",129206,"(+/- 1247 )",90745,"(+/- 5232 )",116396,"(+/- 2663 )",123535,"(+/- 5914 )",111342,"(+/- 5453 )",80302,"(+/- 5026 )",121249,"(+/- 5855 )",91044,"(+/- 4710 )",107221,"(+/- 4752 )",126196,"(+/- 5836 )",90032,"(+/- 5084 )",77537,"(+/- 5037 )",176107,"(+/- 5732 )",92447,"(+/- 5688 )",108572,"(+/- 5471 )",117512,"(+/- 5670 )",65216,"(+/- 4757 )",74351,"(+/- 4049 )",103024,"(+/- 4460 )",92385,"(+/- 5467 )",82438,"(+/- 5393 )",122809,"(+/- 4908 )",76188,"(+/- 4943 )",103045,"(+/- 6047 )",128331,"(+/- 5204 )",118309,"(+/- 5704 )",118278,"(+/- 5935 )",91070,"(+/- 3537 )",110974,"(+/- 5981 )",103502,"(+/- 5101 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",52402,"(+/- 3117 )",45393,"(+/- 3379 )",41488,"(+/- 3309 )",56661,"(+/- 3165 )",40970,"(+/- 2419 )",38015,"(+/- 3180 )",43381,"(+/- 3096 )",40669,"(+/- 3858 )",41375,"(+/- 3697 )",38480,"(+/- 3222 )",36702,"(+/- 3085 )",42474,"(+/- 3350 )",34651,"(+/- 2689 )",34122,"(+/- 2725 )",33154,"(+/- 2949 )",36097,"(+/- 2879 )",28792,"(+/- 2729 )",30892,"(+/- 3076 )",34729,"(+/- 2518 )",31553,"(+/- 2573 )",26627,"(+/- 2923 )",35679,"(+/- 3070 )",39779,"(+/- 3537 )",39494,"(+/- 2675 )",32190,"(+/- 3343 )",35701,"(+/- 2439 )",36942,"(+/- 3084 )",42420,"(+/- 3187 )",32799,"(+/- 2929 )",40104,"(+/- 3703 )",31883,"(+/- 3029 )",39190,"(+/- 3211 )",34679,"(+/- 3325 )",34513,"(+/- 3120 )",30675,"(+/- 3243 )",62031,"(+/- 4270 )",30749,"(+/- 3457 )",31256,"(+/- 2951 )",32321,"(+/- 3288 )",23999,"(+/- 2690 )",31942,"(+/- 2604 )",36442,"(+/- 3345 )",32864,"(+/- 3087 )",29005,"(+/- 3129 )",30894,"(+/- 2681 )",25124,"(+/- 2871 )",34593,"(+/- 3340 )",36418,"(+/- 2882 )",32603,"(+/- 3177 )",36576,"(+/- 3389 )",34848,"(+/- 3052 )",32121,"(+/- 3467 )",32996,"(+/- 3260 )"
People,"Residence 1 Year Ago","Population 1 year and over",704376,"(+/- 5848 )",702590,"(+/- 5632 )",747192,"(+/- 6500 )",752300,"(+/- 7385 )",720310,"(+/- 8992 )",771857,"(+/- 11943 )",749333,"(+/- 12265 )",715408,"(+/- 10361 )",777113,"(+/- 8215 )",754071,"(+/- 4829 )",755234,"(+/- 8133 )",772496,"(+/- 7913 )",761176,"(+/- 4805 )",736242,"(+/- 9884 )",775308,"(+/- 8977 )",744128,"(+/- 12699 )",781024,"(+/- 12432 )",744735,"(+/- 13189 )",730187,"(+/- 14354 )",734032,"(+/- 7010 )",718948,"(+/- 17361 )",758684,"(+/- 14287 )",734745,"(+/- 16332 )",728431,"(+/- 2243 )",711200,"(+/- 12640 )",716383,"(+/- 3821 )",705954,"(+/- 11437 )",687795,"(+/- 15284 )",710876,"(+/- 23022 )",755713,"(+/- 24723 )",744306,"(+/- 12769 )",694391,"(+/- 11738 )",697613,"(+/- 14755 )",721338,"(+/- 20150 )",754982,"(+/- 11939 )",750575,"(+/- 11555 )",727120,"(+/- 22159 )",698165,"(+/- 12080 )",710528,"(+/- 10501 )",706717,"(+/- 16483 )",777508,"(+/- 9165 )",830806,"(+/- 11269 )",738091,"(+/- 17511 )",708104,"(+/- 18489 )",783564,"(+/- 8031 )",726407,"(+/- 11233 )",709125,"(+/- 13011 )",709261,"(+/- 9938 )",722611,"(+/- 11161 )",748605,"(+/- 14898 )",732845,"(+/- 17741 )",758681,"(+/- 16372 )",774864,"(+/- 19744 )"
People,"Residence 1 Year Ago","Same house",586859,"(+/- 10347 )",601719,"(+/- 9069 )",629457,"(+/- 10605 )",654734,"(+/- 9621 )",633068,"(+/- 10257 )",641496,"(+/- 14925 )",649769,"(+/- 13644 )",636377,"(+/- 11507 )",704241,"(+/- 12030 )",684595,"(+/- 7680 )",665549,"(+/- 11393 )",658272,"(+/- 11194 )",646705,"(+/- 9029 )",652279,"(+/- 11093 )",692992,"(+/- 10847 )",655342,"(+/- 16790 )",651749,"(+/- 15367 )",639549,"(+/- 13849 )",655840,"(+/- 14426 )",644902,"(+/- 8684 )",646810,"(+/- 18573 )",663142,"(+/- 17618 )",629149,"(+/- 18624 )",586497,"(+/- 8997 )",647292,"(+/- 12409 )",652808,"(+/- 7770 )",643462,"(+/- 11972 )",611151,"(+/- 15225 )",641138,"(+/- 20609 )",672351,"(+/- 24363 )",658948,"(+/- 14631 )",639931,"(+/- 11550 )",591953,"(+/- 13179 )",633659,"(+/- 19912 )",677612,"(+/- 13096 )",655912,"(+/- 13798 )",650719,"(+/- 21108 )",648432,"(+/- 13067 )",632263,"(+/- 12113 )",669854,"(+/- 16881 )",695594,"(+/- 11713 )",729069,"(+/- 13580 )",663476,"(+/- 16670 )",654868,"(+/- 18038 )",668477,"(+/- 13009 )",645751,"(+/- 13812 )",635244,"(+/- 13583 )",615530,"(+/- 10826 )",618587,"(+/- 13594 )",658354,"(+/- 16399 )",669940,"(+/- 18412 )",632867,"(+/- 17725 )",667886,"(+/- 20208 )"
People,"Residence 1 Year Ago","Different house in the U.S.",116477,"(+/- 8691 )",97532,"(+/- 8614 )",111536,"(+/- 9603 )",93630,"(+/- 7130 )",84788,"(+/- 7779 )",124248,"(+/- 10923 )",95801,"(+/- 8234 )",76834,"(+/- 9508 )",71294,"(+/- 8442 )",67571,"(+/- 6410 )",82318,"(+/- 8846 )",103724,"(+/- 9239 )",106828,"(+/- 7605 )",76596,"(+/- 6958 )",74917,"(+/- 7294 )",86509,"(+/- 8929 )",113562,"(+/- 9319 )",93427,"(+/- 7611 )",68442,"(+/- 6278 )",86145,"(+/- 7276 )",68100,"(+/- 7428 )",94456,"(+/- 10890 )",101818,"(+/- 13034 )",136258,"(+/- 8323 )",62118,"(+/- 6701 )",60931,"(+/- 6509 )",56391,"(+/- 5991 )",71913,"(+/- 6028 )",64379,"(+/- 7265 )",77752,"(+/- 9152 )",83278,"(+/- 9354 )",51684,"(+/- 6672 )",96005,"(+/- 9294 )",81355,"(+/- 7085 )",73421,"(+/- 9124 )",87900,"(+/- 8253 )",70033,"(+/- 6332 )",47045,"(+/- 6523 )",71890,"(+/- 7725 )",34801,"(+/- 5198 )",77947,"(+/- 9931 )",97929,"(+/- 9324 )",69236,"(+/- 7779 )",51662,"(+/- 7900 )",104128,"(+/- 9165 )",77741,"(+/- 8838 )",70899,"(+/- 7225 )",89757,"(+/- 8474 )",97675,"(+/- 9004 )",88241,"(+/- 9137 )",58138,"(+/- 7396 )",116133,"(+/- 8775 )",100150,"(+/- 9333 )"
