cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","45 to 54 years",90013,"(+/- 2530 )",104768,"(+/- 3514 )",104843,"(+/- 5318 )",108198,"(+/- 4732 )",96700,"(+/- 5421 )",106800,"(+/- 3537 )",86861,"(+/- 3702 )",100224,"(+/- 4022 )",95998,"(+/- 4035 )"
People,"Sex and Age","55 to 59 years",51591,"(+/- 3136 )",53469,"(+/- 4101 )",57087,"(+/- 3331 )",55818,"(+/- 3823 )",52654,"(+/- 4014 )",60014,"(+/- 3618 )",42368,"(+/- 3633 )",55296,"(+/- 3745 )",55291,"(+/- 3569 )"
People,"Sex and Age","60 to 64 years",53201,"(+/- 3183 )",53095,"(+/- 3577 )",53934,"(+/- 3953 )",54722,"(+/- 3338 )",44109,"(+/- 3537 )",54619,"(+/- 3751 )",36952,"(+/- 3354 )",51400,"(+/- 3568 )",55997,"(+/- 3255 )"
People,"Sex and Age","65 to 74 years",79764,"(+/- 1717 )",75746,"(+/- 2891 )",67897,"(+/- 3921 )",74043,"(+/- 4027 )",72900,"(+/- 3456 )",82082,"(+/- 3788 )",51911,"(+/- 2483 )",73551,"(+/- 3573 )",98263,"(+/- 2664 )"
People,"Sex and Age","75 to 84 years",37123,"(+/- 1990 )",36350,"(+/- 2652 )",32818,"(+/- 3017 )",37823,"(+/- 2533 )",34387,"(+/- 3339 )",42155,"(+/- 2853 )",27068,"(+/- 2561 )",38100,"(+/- 3135 )",50378,"(+/- 3143 )"
People,"Sex and Age","85 years and over",18689,"(+/- 1820 )",14932,"(+/- 1673 )",15272,"(+/- 1924 )",16010,"(+/- 2156 )",16190,"(+/- 1681 )",22840,"(+/- 3032 )",14318,"(+/- 2122 )",20068,"(+/- 2362 )",21615,"(+/- 2290 )"
People,"Sex and Age","Median age (years)",41.1,"(+/- 0.5 )",40.3,"(+/- 0.8 )",39.6,"(+/- 0.8 )",41.1,"(+/- 0.8 )",38.2,"(+/- 0.8 )",43.0,"(+/- 0.7 )",32.3,"(+/- 0.4 )",40.1,"(+/- 0.7 )",45.5,"(+/- 0.9 )"
People,"Sex and Age","18 years and over",576503,"(+/- 4852 )",614908,"(+/- 7536 )",607142,"(+/- 10220 )",602202,"(+/- 7704 )",616459,"(+/- 8014 )",615200,"(+/- 5785 )",679828,"(+/- 8476 )",623032,"(+/- 8372 )",605452,"(+/- 6962 )"
People,"Sex and Age","65 years and over",135576,"(+/- 2073 )",127028,"(+/- 3985 )",115987,"(+/- 5210 )",127876,"(+/- 4871 )",123477,"(+/- 5034 )",147077,"(+/- 4600 )",93297,"(+/- 3280 )",131719,"(+/- 5041 )",170256,"(+/- 3704 )"
People,Race,"Total population",723831,"(+/- 6486 )",759750,"(+/- 9057 )",771723,"(+/- 10690 )",765466,"(+/- 7933 )",768043,"(+/- 8751 )",770998,"(+/- 5274 )",819035,"(+/- 9529 )",765516,"(+/- 9332 )",748141,"(+/- 7725 )"
People,Race,"One race",698013,"(+/- 6666 )",734959,"(+/- 9384 )",750555,"(+/- 11223 )",740521,"(+/- 9223 )",743825,"(+/- 10084 )",750790,"(+/- 6478 )",749888,"(+/- 12548 )",744466,"(+/- 9738 )",729027,"(+/- 8948 )"
People,Race,White,606927,"(+/- 7983 )",631470,"(+/- 9638 )",570854,"(+/- 13439 )",640671,"(+/- 10091 )",567113,"(+/- 12485 )",654348,"(+/- 9739 )",405025,"(+/- 12990 )",571726,"(+/- 11009 )",657251,"(+/- 10398 )"
People,Race,"Black or African American",47937,"(+/- 3772 )",39423,"(+/- 3365 )",31917,"(+/- 5743 )",27124,"(+/- 4254 )",43083,"(+/- 5695 )",31328,"(+/- 5235 )",208307,"(+/- 8523 )",87191,"(+/- 5359 )",27319,"(+/- 3437 )"
People,Race,"American Indian and Alaska Native",1278,"(+/- 558 )",2206,"(+/- 1198 )",2099,"(+/- 1114 )",1193,"(+/- 1007 )",1361,"(+/- 841 )",1520,"(+/- 965 )",2641,"(+/- 841 )",2050,"(+/- 959 )",3527,"(+/- 1020 )"
People,Race,Asian,15576,"(+/- 1626 )",45317,"(+/- 2881 )",57317,"(+/- 6110 )",55145,"(+/- 4822 )",102948,"(+/- 6865 )",34427,"(+/- 3833 )",87777,"(+/- 5566 )",63219,"(+/- 5119 )",11169,"(+/- 2046 )"
People,Race,"Native Hawaiian and Other Pacific Islander",267,"(+/- 401 )",617,"(+/- 408 )",629,"(+/- 439 )",89,"(+/- 138 )",190,"(+/- 260 )",282,"(+/- 352 )",688,"(+/- 256 )",236,"(+/- 231 )",0,"(+/- 216 )"
People,Race,"Some other race",26028,"(+/- 4928 )",15926,"(+/- 3996 )",87739,"(+/- 8391 )",16299,"(+/- 3757 )",29130,"(+/- 6161 )",28885,"(+/- 7225 )",45450,"(+/- 6105 )",20044,"(+/- 4085 )",29761,"(+/- 4971 )"
People,Race,"Two or more races",25818,"(+/- 3904 )",24791,"(+/- 3416 )",21168,"(+/- 3669 )",24945,"(+/- 3967 )",24218,"(+/- 3920 )",20208,"(+/- 4258 )",69147,"(+/- 7595 )",21050,"(+/- 3987 )",19114,"(+/- 4064 )"
People,"Hispanic or Latino and Race","Total population",723831,"(+/- 6486 )",759750,"(+/- 9057 )",771723,"(+/- 10690 )",765466,"(+/- 7933 )",768043,"(+/- 8751 )",770998,"(+/- 5274 )",819035,"(+/- 9529 )",765516,"(+/- 9332 )",748141,"(+/- 7725 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",139602,"(+/- 2814 )",79317,"(+/- 5177 )",164536,"(+/- 10097 )",38257,"(+/- 5034 )",76799,"(+/- 8518 )",80627,"(+/- 5646 )",183075,"(+/- 8676 )",46832,"(+/- 4454 )",44690,"(+/- 3922 )"
People,"Hispanic or Latino and Race",Mexican,4691,"(+/- 1894 )",4184,"(+/- 1971 )",6569,"(+/- 2298 )",3078,"(+/- 1247 )",7475,"(+/- 2735 )",5093,"(+/- 2140 )",10982,"(+/- 2612 )",2517,"(+/- 1151 )",2738,"(+/- 1369 )"
People,"Hispanic or Latino and Race","Puerto Rican",115235,"(+/- 4914 )",46133,"(+/- 5113 )",61346,"(+/- 8083 )",11786,"(+/- 2554 )",15465,"(+/- 3732 )",12535,"(+/- 3589 )",39524,"(+/- 7128 )",16340,"(+/- 2672 )",22529,"(+/- 4422 )"
People,"Hispanic or Latino and Race",Cuban,2287,"(+/- 1471 )",654,"(+/- 455 )",1635,"(+/- 901 )",1819,"(+/- 1345 )",2253,"(+/- 1065 )",1188,"(+/- 725 )",3823,"(+/- 1661 )",3666,"(+/- 2026 )",1705,"(+/- 1155 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",17389,"(+/- 4420 )",28346,"(+/- 4345 )",94986,"(+/- 8661 )",21574,"(+/- 4538 )",51606,"(+/- 8657 )",61811,"(+/- 5440 )",128746,"(+/- 10706 )",24309,"(+/- 3686 )",17718,"(+/- 4368 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",584229,"(+/- 6125 )",680433,"(+/- 9954 )",607187,"(+/- 14429 )",727209,"(+/- 9910 )",691244,"(+/- 8883 )",690371,"(+/- 7262 )",635960,"(+/- 9581 )",718684,"(+/- 8915 )",703451,"(+/- 8469 )"
People,"Place of Birth","Total population",723831,"(+/- 6486 )",759750,"(+/- 9057 )",771723,"(+/- 10690 )",765466,"(+/- 7933 )",768043,"(+/- 8751 )",770998,"(+/- 5274 )",819035,"(+/- 9529 )",765516,"(+/- 9332 )",748141,"(+/- 7725 )"
People,"Place of Birth",Native,670104,"(+/- 6932 )",661157,"(+/- 9465 )",623546,"(+/- 11501 )",649259,"(+/- 8221 )",578444,"(+/- 11676 )",658170,"(+/- 8918 )",559530,"(+/- 13158 )",628408,"(+/- 12244 )",673693,"(+/- 9878 )"
People,"Place of Birth","Born in United States",618465,"(+/- 7768 )",634906,"(+/- 10058 )",589527,"(+/- 12854 )",633883,"(+/- 8497 )",562917,"(+/- 11542 )",647407,"(+/- 9039 )",531053,"(+/- 12457 )",612727,"(+/- 12077 )",659958,"(+/- 9883 )"
People,"Place of Birth","State of residence",477264,"(+/- 8798 )",475535,"(+/- 11035 )",458995,"(+/- 11788 )",447249,"(+/- 9733 )",385270,"(+/- 10646 )",521991,"(+/- 8780 )",339269,"(+/- 11542 )",475414,"(+/- 11854 )",510804,"(+/- 10471 )"
People,"Place of Birth","Different state",141201,"(+/- 6504 )",159371,"(+/- 8327 )",130532,"(+/- 5422 )",186634,"(+/- 7441 )",177647,"(+/- 6717 )",125416,"(+/- 6314 )",191784,"(+/- 6605 )",137313,"(+/- 6059 )",149154,"(+/- 6507 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",51639,"(+/- 4351 )",26251,"(+/- 3974 )",34019,"(+/- 4661 )",15376,"(+/- 2647 )",15527,"(+/- 2749 )",10763,"(+/- 1933 )",28477,"(+/- 4186 )",15681,"(+/- 2247 )",13735,"(+/- 2835 )"
People,"Place of Birth","Foreign born",53727,"(+/- 4450 )",98593,"(+/- 5498 )",148177,"(+/- 7578 )",116207,"(+/- 6711 )",189599,"(+/- 9832 )",112828,"(+/- 7032 )",259505,"(+/- 11283 )",137108,"(+/- 8230 )",74448,"(+/- 5929 )"
People,Ancestry,"Total population",723831,"(+/- 6486 )",759750,"(+/- 9057 )",771723,"(+/- 10690 )",765466,"(+/- 7933 )",768043,"(+/- 8751 )",770998,"(+/- 5274 )",819035,"(+/- 9529 )",765516,"(+/- 9332 )",748141,"(+/- 7725 )"
People,Ancestry,American,40864,"(+/- 6292 )",48719,"(+/- 6132 )",29558,"(+/- 4568 )",31060,"(+/- 3574 )",23788,"(+/- 3859 )",23667,"(+/- 3985 )",18070,"(+/- 2923 )",26828,"(+/- 4499 )",31963,"(+/- 4113 )"
People,Ancestry,Arab,3302,"(+/- 1243 )",7499,"(+/- 2739 )",7297,"(+/- 2264 )",11733,"(+/- 3164 )",11054,"(+/- 2933 )",5871,"(+/- 1797 )",9145,"(+/- 2486 )",11387,"(+/- 3786 )",3395,"(+/- 1354 )"
People,Ancestry,Czech,1276,"(+/- 635 )",1194,"(+/- 759 )",1379,"(+/- 841 )",1038,"(+/- 505 )",2301,"(+/- 860 )",1443,"(+/- 525 )",1384,"(+/- 532 )",1875,"(+/- 1043 )",1407,"(+/- 687 )"
People,Ancestry,Danish,546,"(+/- 318 )",1219,"(+/- 643 )",1395,"(+/- 768 )",2246,"(+/- 892 )",3588,"(+/- 1744 )",2165,"(+/- 824 )",1310,"(+/- 552 )",1014,"(+/- 500 )",1253,"(+/- 564 )"
People,Ancestry,Dutch,3990,"(+/- 1209 )",4440,"(+/- 1120 )",4970,"(+/- 1296 )",3740,"(+/- 1484 )",4129,"(+/- 1158 )",5319,"(+/- 1806 )",2902,"(+/- 637 )",3903,"(+/- 1609 )",4129,"(+/- 1352 )"
People,Ancestry,English,50992,"(+/- 4826 )",75011,"(+/- 5858 )",62987,"(+/- 5559 )",77493,"(+/- 5525 )",63656,"(+/- 5538 )",84565,"(+/- 6656 )",30157,"(+/- 2853 )",64011,"(+/- 5475 )",106282,"(+/- 6753 )"
People,Ancestry,"French (except Basque)",69959,"(+/- 6410 )",66378,"(+/- 5491 )",47477,"(+/- 4521 )",49081,"(+/- 4527 )",19876,"(+/- 2623 )",39907,"(+/- 4701 )",13254,"(+/- 2057 )",21115,"(+/- 3404 )",48817,"(+/- 5609 )"
People,Ancestry,"French Canadian",40781,"(+/- 4240 )",40973,"(+/- 4578 )",35008,"(+/- 3971 )",25467,"(+/- 4238 )",19103,"(+/- 3939 )",28265,"(+/- 3228 )",7560,"(+/- 1753 )",15492,"(+/- 2416 )",27471,"(+/- 3682 )"
People,Ancestry,German,41930,"(+/- 4169 )",41835,"(+/- 4610 )",44815,"(+/- 6714 )",46278,"(+/- 4178 )",41053,"(+/- 3758 )",43509,"(+/- 5286 )",31618,"(+/- 2445 )",35942,"(+/- 4008 )",46128,"(+/- 4934 )"
People,Ancestry,Greek,6611,"(+/- 1738 )",6793,"(+/- 1936 )",10780,"(+/- 2939 )",7321,"(+/- 1948 )",9573,"(+/- 2206 )",20272,"(+/- 3679 )",5677,"(+/- 1209 )",8803,"(+/- 2604 )",4340,"(+/- 1500 )"
People,Ancestry,Hungarian,1357,"(+/- 661 )",1444,"(+/- 586 )",2392,"(+/- 1056 )",1298,"(+/- 571 )",3737,"(+/- 1535 )",2166,"(+/- 810 )",2380,"(+/- 1079 )",2391,"(+/- 1025 )",2278,"(+/- 1059 )"
People,Ancestry,Irish,114228,"(+/- 7506 )",135364,"(+/- 8642 )",136063,"(+/- 8807 )",154754,"(+/- 7829 )",136035,"(+/- 8707 )",188043,"(+/- 10529 )",70781,"(+/- 5375 )",209642,"(+/- 10217 )",171184,"(+/- 8690 )"
People,Ancestry,Italian,74079,"(+/- 5541 )",87246,"(+/- 7330 )",86237,"(+/- 8633 )",91739,"(+/- 6499 )",97230,"(+/- 6660 )",128343,"(+/- 7728 )",56072,"(+/- 4336 )",95756,"(+/- 7880 )",85471,"(+/- 6595 )"
People,Ancestry,Lithuanian,2989,"(+/- 910 )",8939,"(+/- 1552 )",5514,"(+/- 1290 )",3983,"(+/- 1580 )",5009,"(+/- 1558 )",3739,"(+/- 1434 )",1970,"(+/- 774 )",5740,"(+/- 1302 )",6084,"(+/- 2424 )"
People,Ancestry,Norwegian,2555,"(+/- 1015 )",3071,"(+/- 953 )",3493,"(+/- 1179 )",3778,"(+/- 1438 )",3566,"(+/- 1109 )",3187,"(+/- 991 )",2394,"(+/- 813 )",4233,"(+/- 1144 )",5381,"(+/- 1894 )"
People,Ancestry,Polish,65992,"(+/- 5788 )",52579,"(+/- 5302 )",22162,"(+/- 3365 )",29556,"(+/- 3971 )",21676,"(+/- 3112 )",28608,"(+/- 4382 )",15080,"(+/- 2014 )",21479,"(+/- 3638 )",24070,"(+/- 3358 )"
People,Ancestry,Portuguese,14135,"(+/- 3130 )",14794,"(+/- 3919 )",19321,"(+/- 4108 )",71038,"(+/- 6473 )",12289,"(+/- 2502 )",19562,"(+/- 3339 )",9201,"(+/- 1856 )",13216,"(+/- 2760 )",101107,"(+/- 7748 )"
People,Ancestry,Russian,11235,"(+/- 4017 )",6659,"(+/- 1527 )",7816,"(+/- 2127 )",17864,"(+/- 2593 )",15660,"(+/- 2653 )",12939,"(+/- 2581 )",9929,"(+/- 1801 )",7990,"(+/- 2265 )",4397,"(+/- 1292 )"
People,Ancestry,Scotch-Irish,4037,"(+/- 1236 )",5382,"(+/- 1455 )",4143,"(+/- 1073 )",4291,"(+/- 1117 )",5368,"(+/- 1536 )",6737,"(+/- 1811 )",2624,"(+/- 843 )",6415,"(+/- 1909 )",6016,"(+/- 1277 )"
People,Ancestry,Scottish,11704,"(+/- 2101 )",13428,"(+/- 2588 )",14080,"(+/- 2547 )",15480,"(+/- 2459 )",16167,"(+/- 2510 )",18163,"(+/- 2623 )",8710,"(+/- 1546 )",15551,"(+/- 3003 )",17529,"(+/- 2582 )"
People,Ancestry,Slovak,733,"(+/- 541 )",542,"(+/- 340 )",622,"(+/- 438 )",1511,"(+/- 673 )",1645,"(+/- 707 )",937,"(+/- 648 )",948,"(+/- 527 )",672,"(+/- 659 )",698,"(+/- 451 )"
People,Ancestry,"Subsaharan African",7138,"(+/- 2886 )",19988,"(+/- 3565 )",11901,"(+/- 4007 )",14051,"(+/- 3466 )",10156,"(+/- 4029 )",7512,"(+/- 3404 )",34765,"(+/- 5908 )",27662,"(+/- 4399 )",16580,"(+/- 3734 )"
People,Ancestry,Swedish,8185,"(+/- 2022 )",16588,"(+/- 2121 )",9805,"(+/- 2431 )",13359,"(+/- 3038 )",11379,"(+/- 3686 )",11204,"(+/- 2268 )",6289,"(+/- 1183 )",9569,"(+/- 2284 )",14958,"(+/- 2775 )"
People,Ancestry,Swiss,663,"(+/- 374 )",642,"(+/- 419 )",1012,"(+/- 433 )",1279,"(+/- 722 )",1734,"(+/- 982 )",1269,"(+/- 807 )",1599,"(+/- 1117 )",1061,"(+/- 653 )",950,"(+/- 486 )"
People,Ancestry,Ukrainian,3237,"(+/- 1255 )",1877,"(+/- 578 )",2117,"(+/- 1059 )",6032,"(+/- 2887 )",4011,"(+/- 1276 )",2786,"(+/- 974 )",1896,"(+/- 1030 )",1998,"(+/- 771 )",1411,"(+/- 791 )"
People,Ancestry,Welsh,2873,"(+/- 956 )",3198,"(+/- 833 )",2237,"(+/- 794 )",1889,"(+/- 792 )",2764,"(+/- 908 )",3058,"(+/- 990 )",2018,"(+/- 740 )",2057,"(+/- 634 )",2642,"(+/- 1472 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",10417,"(+/- 3293 )",6010,"(+/- 2001 )",7283,"(+/- 3018 )",7118,"(+/- 3206 )",13578,"(+/- 4406 )",10985,"(+/- 5019 )",55230,"(+/- 7580 )",28445,"(+/- 5041 )",9092,"(+/- 2910 )"
People,"Veteran Status","Civilian population 18 years and over",575378,"(+/- 4871 )",614471,"(+/- 7561 )",606659,"(+/- 10193 )",601895,"(+/- 7696 )",616028,"(+/- 8055 )",614888,"(+/- 5774 )",679384,"(+/- 8569 )",622483,"(+/- 8362 )",604126,"(+/- 6886 )"
People,"Veteran Status","Civilian veterans",36089,"(+/- 2560 )",35204,"(+/- 2822 )",29895,"(+/- 2964 )",31177,"(+/- 2757 )",20064,"(+/- 2111 )",35526,"(+/- 2965 )",13722,"(+/- 1955 )",32419,"(+/- 3096 )",43718,"(+/- 3140 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",715584,"(+/- 6725 )",751941,"(+/- 9066 )",759947,"(+/- 10643 )",757705,"(+/- 7983 )",762502,"(+/- 8915 )",763333,"(+/- 5329 )",814583,"(+/- 9440 )",755850,"(+/- 9366 )",739524,"(+/- 7821 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",105402,"(+/- 6133 )",89709,"(+/- 5043 )",91609,"(+/- 6034 )",76185,"(+/- 5376 )",68362,"(+/- 5074 )",86924,"(+/- 5042 )",91999,"(+/- 5316 )",76761,"(+/- 4840 )",98142,"(+/- 5366 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",147000,"(+/- 2920 )",144510,"(+/- 4602 )",164253,"(+/- 5225 )",162827,"(+/- 6335 )",151064,"(+/- 5628 )",155570,"(+/- 4918 )",139054,"(+/- 5176 )",142367,"(+/- 4786 )",142616,"(+/- 4940 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",10526,"(+/- 2132 )",5352,"(+/- 1255 )",7358,"(+/- 1504 )",5177,"(+/- 1314 )",6036,"(+/- 1557 )",6631,"(+/- 1485 )",7836,"(+/- 2110 )",5079,"(+/- 1198 )",7226,"(+/- 1871 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",437253,"(+/- 4838 )",484856,"(+/- 6678 )",483347,"(+/- 9974 )",471046,"(+/- 6703 )",491545,"(+/- 8124 )",464873,"(+/- 6118 )",584158,"(+/- 8014 )",487116,"(+/- 7392 )",430812,"(+/- 6987 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",52850,"(+/- 4584 )",47550,"(+/- 3757 )",46569,"(+/- 4132 )",37186,"(+/- 3936 )",29313,"(+/- 3598 )",34882,"(+/- 3171 )",48369,"(+/- 3621 )",34462,"(+/- 2973 )",43107,"(+/- 3883 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",131331,"(+/- 2100 )",122575,"(+/- 4167 )",112347,"(+/- 5122 )",123832,"(+/- 4849 )",119893,"(+/- 4972 )",142890,"(+/- 4558 )",91371,"(+/- 3253 )",126367,"(+/- 5175 )",166096,"(+/- 3699 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42026,"(+/- 2966 )",36807,"(+/- 3351 )",37682,"(+/- 3258 )",33822,"(+/- 2980 )",33013,"(+/- 2656 )",45411,"(+/- 3473 )",35794,"(+/- 3231 )",37220,"(+/- 2861 )",47809,"(+/- 3517 )"
People,"Residence 1 Year Ago","Population 1 year and over",716753,"(+/- 6377 )",752541,"(+/- 8852 )",764583,"(+/- 10769 )",758568,"(+/- 7928 )",759741,"(+/- 8556 )",763751,"(+/- 5415 )",810661,"(+/- 9301 )",758427,"(+/- 9339 )",743085,"(+/- 7839 )"
People,"Residence 1 Year Ago","Same house",644835,"(+/- 8691 )",651704,"(+/- 11352 )",672014,"(+/- 15959 )",678546,"(+/- 10711 )",645163,"(+/- 12422 )",684104,"(+/- 10929 )",658437,"(+/- 12261 )",670003,"(+/- 10960 )",670801,"(+/- 9796 )"
People,"Residence 1 Year Ago","Different house in the U.S.",69637,"(+/- 6045 )",96300,"(+/- 6920 )",87898,"(+/- 9412 )",73396,"(+/- 6991 )",97927,"(+/- 8461 )",74214,"(+/- 8072 )",138062,"(+/- 9335 )",81959,"(+/- 6833 )",69221,"(+/- 7252 )"
People,"Residence 1 Year Ago","Same county",49552,"(+/- 5832 )",56972,"(+/- 6110 )",58522,"(+/- 8449 )",33610,"(+/- 4451 )",54024,"(+/- 6344 )",43467,"(+/- 6101 )",70492,"(+/- 6410 )",37926,"(+/- 4889 )",39320,"(+/- 5268 )"
People,"Residence 1 Year Ago","Different county",20085,"(+/- 2973 )",39328,"(+/- 4280 )",29376,"(+/- 4691 )",39786,"(+/- 5201 )",43903,"(+/- 5247 )",30747,"(+/- 5993 )",67570,"(+/- 5895 )",44033,"(+/- 5318 )",29901,"(+/- 4769 )"
People,"Residence 1 Year Ago","Same state",10239,"(+/- 2184 )",21507,"(+/- 3323 )",18158,"(+/- 3714 )",23398,"(+/- 3463 )",22471,"(+/- 3689 )",20667,"(+/- 5494 )",33439,"(+/- 3827 )",30923,"(+/- 4414 )",19848,"(+/- 4487 )"
People,"Residence 1 Year Ago","Different state",9846,"(+/- 2330 )",17821,"(+/- 2981 )",11218,"(+/- 2371 )",16388,"(+/- 3241 )",21432,"(+/- 3024 )",10080,"(+/- 2595 )",34131,"(+/- 4037 )",13110,"(+/- 2561 )",10053,"(+/- 2583 )"
People,"Residence 1 Year Ago",Abroad,2281,"(+/- 1005 )",4537,"(+/- 890 )",4671,"(+/- 2228 )",6626,"(+/- 2226 )",16651,"(+/- 4729 )",5433,"(+/- 2226 )",14162,"(+/- 2218 )",6465,"(+/- 2193 )",3063,"(+/- 1234 )"
Workers,"Employment Status","Population 16 years and over",596615,"(+/- 5929 )",633592,"(+/- 7897 )",627494,"(+/- 10327 )",623303,"(+/- 7952 )",632626,"(+/- 8455 )",634743,"(+/- 5749 )",695943,"(+/- 8749 )",640519,"(+/- 8709 )",622419,"(+/- 7447 )"
Workers,"Employment Status","In labor force",375992,"(+/- 7586 )",417515,"(+/- 8774 )",428488,"(+/- 9942 )",421554,"(+/- 7922 )",445983,"(+/- 9645 )",430589,"(+/- 7739 )",495532,"(+/- 8999 )",449861,"(+/- 8771 )",391955,"(+/- 8378 )"
Workers,"Employment Status","Civilian labor force",374867,"(+/- 7528 )",417078,"(+/- 8824 )",428005,"(+/- 9928 )",421247,"(+/- 7945 )",445552,"(+/- 9683 )",430277,"(+/- 7722 )",495088,"(+/- 9066 )",449312,"(+/- 8769 )",390629,"(+/- 8362 )"
Workers,"Employment Status",Employed,357576,"(+/- 7379 )",399501,"(+/- 9483 )",408701,"(+/- 10219 )",406924,"(+/- 8183 )",431505,"(+/- 9577 )",414986,"(+/- 8141 )",472007,"(+/- 9249 )",433680,"(+/- 8718 )",375363,"(+/- 7638 )"
Workers,"Employment Status",Unemployed,17291,"(+/- 2182 )",17577,"(+/- 2498 )",19304,"(+/- 2759 )",14323,"(+/- 2372 )",14047,"(+/- 2227 )",15291,"(+/- 3227 )",23081,"(+/- 2963 )",15632,"(+/- 2587 )",15266,"(+/- 2389 )"
Workers,"Employment Status","Armed Forces",1125,"(+/- 550 )",437,"(+/- 362 )",483,"(+/- 339 )",307,"(+/- 310 )",431,"(+/- 209 )",312,"(+/- 246 )",444,"(+/- 363 )",549,"(+/- 280 )",1326,"(+/- 490 )"
