cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,Race,"Some other race",24174,"(+/- 4656 )",8762,"(+/- 3360 )",12745,"(+/- 3140 )",24078,"(+/- 4132 )",6444,"(+/- 3617 )",25904,"(+/- 4061 )",10578,"(+/- 3831 )"
People,Race,"Two or more races",24736,"(+/- 4578 )",17506,"(+/- 3567 )",18616,"(+/- 3297 )",19026,"(+/- 3386 )",18853,"(+/- 4169 )",14404,"(+/- 3113 )",12390,"(+/- 2489 )"
People,"Hispanic or Latino and Race","Total population",821107,"(+/- 8715 )",722542,"(+/- 10209 )",706961,"(+/- 7205 )",754148,"(+/- 7106 )",738205,"(+/- 5763 )",665215,"(+/- 13766 )",740536,"(+/- 3127 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",50332,"(+/- 2739 )",42935,"(+/- 2127 )",33297,"(+/- 2337 )",67931,"(+/- 2096 )",32546,"(+/- 2463 )",40198,"(+/- 4127 )",31239,"(+/- 1572 )"
People,"Hispanic or Latino and Race",Mexican,24418,"(+/- 4427 )",22309,"(+/- 3864 )",17268,"(+/- 3454 )",33003,"(+/- 4777 )",15409,"(+/- 4061 )",25714,"(+/- 4065 )",17521,"(+/- 3875 )"
People,"Hispanic or Latino and Race","Puerto Rican",5484,"(+/- 2902 )",8334,"(+/- 3036 )",3678,"(+/- 1579 )",7637,"(+/- 2244 )",2998,"(+/- 1703 )",2978,"(+/- 1179 )",2912,"(+/- 1168 )"
People,"Hispanic or Latino and Race",Cuban,1710,"(+/- 1158 )",2182,"(+/- 1423 )",1217,"(+/- 879 )",1538,"(+/- 743 )",3009,"(+/- 1813 )",257,"(+/- 177 )",813,"(+/- 555 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",18720,"(+/- 3232 )",10110,"(+/- 3210 )",11134,"(+/- 2287 )",25753,"(+/- 4519 )",11130,"(+/- 3183 )",11249,"(+/- 2795 )",9993,"(+/- 3436 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",770775,"(+/- 8032 )",679607,"(+/- 10233 )",673664,"(+/- 6738 )",686217,"(+/- 6965 )",705659,"(+/- 5656 )",625017,"(+/- 14094 )",709297,"(+/- 3419 )"
People,"Place of Birth","Total population",821107,"(+/- 8715 )",722542,"(+/- 10209 )",706961,"(+/- 7205 )",754148,"(+/- 7106 )",738205,"(+/- 5763 )",665215,"(+/- 13766 )",740536,"(+/- 3127 )"
People,"Place of Birth",Native,763329,"(+/- 10193 )",686106,"(+/- 10266 )",679154,"(+/- 7169 )",691408,"(+/- 8573 )",700861,"(+/- 6484 )",630400,"(+/- 14395 )",709046,"(+/- 5056 )"
People,"Place of Birth","Born in United States",749215,"(+/- 10433 )",673305,"(+/- 10334 )",672733,"(+/- 7426 )",681878,"(+/- 8547 )",694840,"(+/- 6612 )",623730,"(+/- 14116 )",702252,"(+/- 5139 )"
People,"Place of Birth","State of residence",334641,"(+/- 11632 )",381534,"(+/- 12163 )",462127,"(+/- 10962 )",416331,"(+/- 9900 )",395373,"(+/- 12809 )",443092,"(+/- 13791 )",397674,"(+/- 8462 )"
People,"Place of Birth","Different state",414574,"(+/- 10627 )",291771,"(+/- 10781 )",210606,"(+/- 9878 )",265547,"(+/- 8814 )",299467,"(+/- 11694 )",180638,"(+/- 10021 )",304578,"(+/- 7928 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",14114,"(+/- 3006 )",12801,"(+/- 2261 )",6421,"(+/- 1515 )",9530,"(+/- 2321 )",6021,"(+/- 1535 )",6670,"(+/- 1726 )",6794,"(+/- 1614 )"
People,"Place of Birth","Foreign born",57778,"(+/- 6238 )",36436,"(+/- 3856 )",27807,"(+/- 3222 )",62740,"(+/- 4269 )",37344,"(+/- 4897 )",34815,"(+/- 4762 )",31490,"(+/- 3448 )"
People,Ancestry,"Total population",821107,"(+/- 8715 )",722542,"(+/- 10209 )",706961,"(+/- 7205 )",754148,"(+/- 7106 )",738205,"(+/- 5763 )",665215,"(+/- 13766 )",740536,"(+/- 3127 )"
People,Ancestry,American,92484,"(+/- 9289 )",97242,"(+/- 7975 )",72927,"(+/- 6440 )",66360,"(+/- 6382 )",95549,"(+/- 8624 )",44150,"(+/- 4519 )",70165,"(+/- 6471 )"
People,Ancestry,Arab,1703,"(+/- 853 )",2209,"(+/- 1133 )",728,"(+/- 357 )",2971,"(+/- 1295 )",4699,"(+/- 2728 )",1931,"(+/- 1275 )",1542,"(+/- 1092 )"
People,Ancestry,Czech,3021,"(+/- 1937 )",1042,"(+/- 674 )",817,"(+/- 335 )",1316,"(+/- 711 )",794,"(+/- 680 )",353,"(+/- 286 )",218,"(+/- 171 )"
People,Ancestry,Danish,2392,"(+/- 987 )",875,"(+/- 436 )",1169,"(+/- 745 )",1178,"(+/- 595 )",923,"(+/- 566 )",343,"(+/- 304 )",1380,"(+/- 870 )"
People,Ancestry,Dutch,4513,"(+/- 1077 )",6463,"(+/- 2221 )",5900,"(+/- 1754 )",6761,"(+/- 1957 )",5380,"(+/- 1900 )",3299,"(+/- 1419 )",4280,"(+/- 1293 )"
People,Ancestry,English,77104,"(+/- 5641 )",56097,"(+/- 4560 )",59144,"(+/- 4857 )",73402,"(+/- 5779 )",52635,"(+/- 5982 )",23129,"(+/- 3260 )",67353,"(+/- 6202 )"
People,Ancestry,"French (except Basque)",17809,"(+/- 3056 )",13617,"(+/- 3080 )",10368,"(+/- 2221 )",11817,"(+/- 2219 )",10407,"(+/- 2544 )",6746,"(+/- 1434 )",11171,"(+/- 2140 )"
People,Ancestry,"French Canadian",6160,"(+/- 1931 )",1375,"(+/- 802 )",2189,"(+/- 1009 )",3129,"(+/- 949 )",2851,"(+/- 1473 )",1250,"(+/- 628 )",2243,"(+/- 861 )"
People,Ancestry,German,82890,"(+/- 6265 )",68838,"(+/- 7514 )",55014,"(+/- 4763 )",68914,"(+/- 6919 )",63365,"(+/- 6712 )",31120,"(+/- 4359 )",57303,"(+/- 4659 )"
People,Ancestry,Greek,4274,"(+/- 1501 )",1614,"(+/- 799 )",2247,"(+/- 1284 )",4165,"(+/- 2663 )",1824,"(+/- 1313 )",1313,"(+/- 1427 )",2350,"(+/- 940 )"
People,Ancestry,Hungarian,3786,"(+/- 1087 )",1559,"(+/- 884 )",1202,"(+/- 646 )",1473,"(+/- 597 )",1912,"(+/- 1812 )",513,"(+/- 303 )",2543,"(+/- 991 )"
People,Ancestry,Irish,80356,"(+/- 7176 )",56969,"(+/- 6442 )",56821,"(+/- 5269 )",67106,"(+/- 6264 )",53822,"(+/- 6046 )",22825,"(+/- 3140 )",65689,"(+/- 5798 )"
People,Ancestry,Italian,37678,"(+/- 4275 )",17835,"(+/- 3072 )",14707,"(+/- 3234 )",19319,"(+/- 3223 )",21641,"(+/- 4038 )",9228,"(+/- 1873 )",29353,"(+/- 3467 )"
People,Ancestry,Lithuanian,907,"(+/- 496 )",838,"(+/- 567 )",635,"(+/- 514 )",390,"(+/- 271 )",644,"(+/- 507 )",273,"(+/- 204 )",839,"(+/- 478 )"
People,Ancestry,Norwegian,3928,"(+/- 1077 )",3256,"(+/- 1211 )",3574,"(+/- 1383 )",4005,"(+/- 1167 )",2726,"(+/- 1922 )",1365,"(+/- 743 )",2200,"(+/- 767 )"
People,Ancestry,Polish,19022,"(+/- 3447 )",7752,"(+/- 1817 )",8631,"(+/- 1755 )",10710,"(+/- 1937 )",9261,"(+/- 1989 )",2995,"(+/- 928 )",14358,"(+/- 2608 )"
People,Ancestry,Portuguese,1925,"(+/- 703 )",872,"(+/- 489 )",478,"(+/- 278 )",1034,"(+/- 556 )",1728,"(+/- 1030 )",489,"(+/- 436 )",1075,"(+/- 974 )"
People,Ancestry,Russian,4867,"(+/- 1522 )",2244,"(+/- 1159 )",2814,"(+/- 1388 )",4604,"(+/- 1637 )",2346,"(+/- 1574 )",841,"(+/- 532 )",2038,"(+/- 753 )"
People,Ancestry,Scotch-Irish,13002,"(+/- 2195 )",13845,"(+/- 2529 )",21543,"(+/- 4369 )",19021,"(+/- 3108 )",20167,"(+/- 2981 )",6204,"(+/- 1368 )",18909,"(+/- 3604 )"
People,Ancestry,Scottish,18547,"(+/- 3098 )",17407,"(+/- 3568 )",18000,"(+/- 3485 )",20828,"(+/- 3754 )",15389,"(+/- 2872 )",6736,"(+/- 1866 )",14081,"(+/- 2224 )"
People,Ancestry,Slovak,1795,"(+/- 624 )",185,"(+/- 178 )",919,"(+/- 542 )",546,"(+/- 395 )",873,"(+/- 654 )",189,"(+/- 158 )",1090,"(+/- 665 )"
People,Ancestry,"Subsaharan African",3128,"(+/- 1354 )",10469,"(+/- 3186 )",5913,"(+/- 1811 )",6086,"(+/- 1795 )",7470,"(+/- 2227 )",12222,"(+/- 3055 )",2396,"(+/- 1396 )"
People,Ancestry,Swedish,5187,"(+/- 1613 )",4141,"(+/- 1328 )",3558,"(+/- 1047 )",4383,"(+/- 1084 )",2305,"(+/- 966 )",1319,"(+/- 601 )",2046,"(+/- 758 )"
People,Ancestry,Swiss,1212,"(+/- 501 )",883,"(+/- 530 )",655,"(+/- 384 )",947,"(+/- 394 )",598,"(+/- 376 )",704,"(+/- 364 )",1090,"(+/- 692 )"
People,Ancestry,Ukrainian,2392,"(+/- 1350 )",996,"(+/- 815 )",930,"(+/- 686 )",3492,"(+/- 1673 )",2428,"(+/- 1866 )",228,"(+/- 131 )",1334,"(+/- 679 )"
People,Ancestry,Welsh,5843,"(+/- 1243 )",3264,"(+/- 838 )",4910,"(+/- 1706 )",5886,"(+/- 1415 )",5907,"(+/- 3084 )",1341,"(+/- 532 )",3814,"(+/- 1228 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",4593,"(+/- 3252 )",3601,"(+/- 1481 )",2140,"(+/- 1452 )",1540,"(+/- 828 )",2006,"(+/- 1366 )",3376,"(+/- 2242 )",2390,"(+/- 1672 )"
People,"Veteran Status","Civilian population 18 years and over",633785,"(+/- 6158 )",547299,"(+/- 7472 )",553217,"(+/- 5014 )",583797,"(+/- 4806 )",565795,"(+/- 4453 )",522986,"(+/- 9178 )",592761,"(+/- 2755 )"
People,"Veteran Status","Civilian veterans",70627,"(+/- 4697 )",50408,"(+/- 3257 )",42213,"(+/- 3441 )",41595,"(+/- 3363 )",51652,"(+/- 3836 )",42674,"(+/- 2988 )",55500,"(+/- 3390 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",809379,"(+/- 8633 )",701000,"(+/- 10145 )",696331,"(+/- 7546 )",746564,"(+/- 7129 )",725524,"(+/- 5983 )",636888,"(+/- 13490 )",732827,"(+/- 3868 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",96306,"(+/- 6067 )",94272,"(+/- 4973 )",114444,"(+/- 6463 )",103011,"(+/- 5754 )",95712,"(+/- 6106 )",101687,"(+/- 6964 )",111378,"(+/- 5694 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",177649,"(+/- 4317 )",161613,"(+/- 4945 )",152399,"(+/- 4324 )",169468,"(+/- 3822 )",167096,"(+/- 3065 )",133493,"(+/- 7209 )",147214,"(+/- 2005 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6664,"(+/- 1854 )",5949,"(+/- 1501 )",7164,"(+/- 1633 )",8526,"(+/- 1485 )",7858,"(+/- 1759 )",5860,"(+/- 1551 )",5668,"(+/- 1592 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",478386,"(+/- 5993 )",419681,"(+/- 6938 )",414407,"(+/- 5123 )",455207,"(+/- 4421 )",432275,"(+/- 4015 )",399453,"(+/- 8831 )",423111,"(+/- 3157 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",45969,"(+/- 3868 )",45811,"(+/- 3692 )",58660,"(+/- 4762 )",50590,"(+/- 4703 )",47489,"(+/- 4747 )",55294,"(+/- 5356 )",53882,"(+/- 3858 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",153344,"(+/- 3057 )",119706,"(+/- 2626 )",129525,"(+/- 2168 )",121889,"(+/- 2103 )",126153,"(+/- 2025 )",103942,"(+/- 4092 )",162502,"(+/- 2329 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43673,"(+/- 3638 )",42512,"(+/- 2751 )",48620,"(+/- 3012 )",43895,"(+/- 3158 )",40365,"(+/- 3184 )",40533,"(+/- 3255 )",51828,"(+/- 3361 )"
People,"Residence 1 Year Ago","Population 1 year and over",810971,"(+/- 8351 )",714539,"(+/- 10087 )",697956,"(+/- 7187 )",744945,"(+/- 7306 )",731078,"(+/- 5748 )",659394,"(+/- 13654 )",733844,"(+/- 3604 )"
People,"Residence 1 Year Ago","Same house",689286,"(+/- 11793 )",617932,"(+/- 10798 )",605493,"(+/- 11666 )",634983,"(+/- 10801 )",644657,"(+/- 10257 )",561258,"(+/- 14507 )",661161,"(+/- 7569 )"
People,"Residence 1 Year Ago","Different house in the U.S.",115757,"(+/- 8778 )",93937,"(+/- 7920 )",88556,"(+/- 9617 )",105178,"(+/- 9291 )",83950,"(+/- 9709 )",96127,"(+/- 9618 )",71395,"(+/- 6669 )"
People,"Residence 1 Year Ago","Same county",52360,"(+/- 6691 )",40808,"(+/- 5794 )",40630,"(+/- 6853 )",59434,"(+/- 7568 )",35890,"(+/- 6277 )",48991,"(+/- 7191 )",41106,"(+/- 6342 )"
People,"Residence 1 Year Ago","Different county",63397,"(+/- 7388 )",53129,"(+/- 6006 )",47926,"(+/- 6828 )",45744,"(+/- 5432 )",48060,"(+/- 8567 )",47136,"(+/- 5182 )",30289,"(+/- 3524 )"
People,"Residence 1 Year Ago","Same state",30170,"(+/- 5037 )",24312,"(+/- 4955 )",28728,"(+/- 5097 )",23457,"(+/- 3962 )",17047,"(+/- 4679 )",25475,"(+/- 3508 )",10484,"(+/- 2035 )"
People,"Residence 1 Year Ago","Different state",33227,"(+/- 4889 )",28817,"(+/- 3570 )",19198,"(+/- 4236 )",22287,"(+/- 3734 )",31013,"(+/- 7632 )",21661,"(+/- 3375 )",19805,"(+/- 2987 )"
People,"Residence 1 Year Ago",Abroad,5928,"(+/- 2410 )",2670,"(+/- 1340 )",3907,"(+/- 1976 )",4784,"(+/- 2275 )",2471,"(+/- 1341 )",2009,"(+/- 814 )",1288,"(+/- 1349 )"
Workers,"Employment Status","Population 16 years and over",661605,"(+/- 6667 )",579047,"(+/- 8228 )",570572,"(+/- 5263 )",603936,"(+/- 5335 )",590328,"(+/- 4928 )",543307,"(+/- 10346 )",609522,"(+/- 3539 )"
Workers,"Employment Status","In labor force",424517,"(+/- 7383 )",365549,"(+/- 9253 )",330428,"(+/- 6753 )",382393,"(+/- 7196 )",364717,"(+/- 6465 )",309310,"(+/- 9528 )",336174,"(+/- 7765 )"
Workers,"Employment Status","Civilian labor force",414969,"(+/- 6976 )",352659,"(+/- 8828 )",329678,"(+/- 6758 )",381890,"(+/- 7145 )",359733,"(+/- 6635 )",301124,"(+/- 9365 )",335698,"(+/- 7824 )"
Workers,"Employment Status",Employed,401103,"(+/- 6848 )",336153,"(+/- 8164 )",314021,"(+/- 6869 )",366549,"(+/- 7143 )",342402,"(+/- 6270 )",280920,"(+/- 8988 )",318566,"(+/- 8034 )"
Workers,"Employment Status",Unemployed,13866,"(+/- 2578 )",16506,"(+/- 3541 )",15657,"(+/- 2297 )",15341,"(+/- 2622 )",17331,"(+/- 2770 )",20204,"(+/- 2833 )",17132,"(+/- 2254 )"
Workers,"Employment Status","Armed Forces",9548,"(+/- 2258 )",12890,"(+/- 2639 )",750,"(+/- 387 )",503,"(+/- 387 )",4984,"(+/- 1343 )",8186,"(+/- 2516 )",476,"(+/- 365 )"
Workers,"Employment Status","Not in labor force",237088,"(+/- 6654 )",213498,"(+/- 6701 )",240144,"(+/- 6028 )",221543,"(+/- 7267 )",225611,"(+/- 6232 )",233997,"(+/- 8691 )",273348,"(+/- 7945 )"
Workers,"Employment Status","Civilian labor force",414969,"(+/- 6976 )",352659,"(+/- 8828 )",329678,"(+/- 6758 )",381890,"(+/- 7145 )",359733,"(+/- 6635 )",301124,"(+/- 9365 )",335698,"(+/- 7824 )"
Workers,"Employment Status","Unemployment Rate",3.3,"(+/- 0.6 )",4.7,"(+/- 1.0 )",4.7,"(+/- 0.7 )",4.0,"(+/- 0.7 )",4.8,"(+/- 0.7 )",6.7,"(+/- 0.9 )",5.1,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",405386,"(+/- 7326 )",343171,"(+/- 8454 )",307012,"(+/- 6932 )",361223,"(+/- 7213 )",343158,"(+/- 6313 )",283477,"(+/- 9153 )",314549,"(+/- 7976 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",327793,"(+/- 7869 )",283945,"(+/- 8332 )",257546,"(+/- 7541 )",293912,"(+/- 8267 )",282032,"(+/- 7177 )",230800,"(+/- 9015 )",258702,"(+/- 8322 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",34118,"(+/- 4825 )",23619,"(+/- 3183 )",29822,"(+/- 3231 )",36184,"(+/- 3568 )",30310,"(+/- 3651 )",22657,"(+/- 3464 )",26970,"(+/- 3506 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2582,"(+/- 993 )",637,"(+/- 458 )",1376,"(+/- 842 )",1393,"(+/- 828 )",1793,"(+/- 912 )",5316,"(+/- 1507 )",740,"(+/- 510 )"
Workers,"Commuting to Work",Walked,4508,"(+/- 1468 )",15726,"(+/- 1944 )",3519,"(+/- 1024 )",5844,"(+/- 1356 )",6006,"(+/- 1651 )",9143,"(+/- 1776 )",3567,"(+/- 1136 )"
Workers,"Commuting to Work","Other means",6929,"(+/- 1310 )",3895,"(+/- 1354 )",2984,"(+/- 1485 )",5419,"(+/- 1447 )",5897,"(+/- 1686 )",6076,"(+/- 1383 )",5371,"(+/- 1327 )"
Workers,"Commuting to Work","Worked from home",29456,"(+/- 3224 )",15349,"(+/- 2287 )",11765,"(+/- 1794 )",18471,"(+/- 2508 )",17120,"(+/- 2610 )",9485,"(+/- 1866 )",19199,"(+/- 2758 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.7,"(+/- 0.6 )",25.3,"(+/- 0.8 )",27.6,"(+/- 0.9 )",23.7,"(+/- 0.5 )",27.7,"(+/- 0.8 )",27.5,"(+/- 1.0 )",23.9,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",401103,"(+/- 6848 )",336153,"(+/- 8164 )",314021,"(+/- 6869 )",366549,"(+/- 7143 )",342402,"(+/- 6270 )",280920,"(+/- 8988 )",318566,"(+/- 8034 )"
Workers,Occupation,"Management, business, science, and arts occupations",172691,"(+/- 6369 )",140746,"(+/- 6884 )",106299,"(+/- 4854 )",142170,"(+/- 5335 )",123100,"(+/- 6270 )",84719,"(+/- 5482 )",100737,"(+/- 5093 )"
Workers,Occupation,"Service occupations",65429,"(+/- 5250 )",54343,"(+/- 5099 )",54786,"(+/- 3731 )",59050,"(+/- 3910 )",57755,"(+/- 4494 )",58896,"(+/- 5002 )",64676,"(+/- 5334 )"
Workers,Occupation,"Sales and office occupations",85372,"(+/- 6184 )",68907,"(+/- 4483 )",55234,"(+/- 3812 )",72158,"(+/- 4280 )",71148,"(+/- 4314 )",57345,"(+/- 5015 )",72431,"(+/- 4902 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",34365,"(+/- 3538 )",27073,"(+/- 3094 )",33118,"(+/- 3054 )",29570,"(+/- 3195 )",28806,"(+/- 3246 )",30064,"(+/- 3485 )",31164,"(+/- 3395 )"
Workers,Occupation,"Production, transportation, and material moving occupations",43246,"(+/- 4452 )",45084,"(+/- 4199 )",64584,"(+/- 4447 )",63601,"(+/- 4627 )",61593,"(+/- 4796 )",49896,"(+/- 4189 )",49558,"(+/- 4106 )"
Workers,Industry,"Civilian employed population 16 years and over",401103,"(+/- 6848 )",336153,"(+/- 8164 )",314021,"(+/- 6869 )",366549,"(+/- 7143 )",342402,"(+/- 6270 )",280920,"(+/- 8988 )",318566,"(+/- 8034 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",2142,"(+/- 1124 )",3517,"(+/- 1099 )",2806,"(+/- 970 )",2330,"(+/- 1073 )",4526,"(+/- 1338 )",3825,"(+/- 1101 )",2522,"(+/- 827 )"
Workers,Industry,Construction,31220,"(+/- 4136 )",23001,"(+/- 2782 )",24305,"(+/- 3074 )",26595,"(+/- 2760 )",16877,"(+/- 2670 )",23351,"(+/- 2973 )",25230,"(+/- 3431 )"
Workers,Industry,Manufacturing,36545,"(+/- 4009 )",33711,"(+/- 3121 )",63072,"(+/- 3867 )",67489,"(+/- 5689 )",54486,"(+/- 4505 )",31515,"(+/- 3419 )",35291,"(+/- 3991 )"
Workers,Industry,"Wholesale trade",8169,"(+/- 2146 )",7213,"(+/- 1505 )",6312,"(+/- 1467 )",11481,"(+/- 1651 )",8696,"(+/- 2068 )",5030,"(+/- 1089 )",6739,"(+/- 1319 )"
Workers,Industry,"Retail trade",44908,"(+/- 4588 )",34190,"(+/- 3278 )",35588,"(+/- 3984 )",34349,"(+/- 3341 )",41076,"(+/- 3814 )",33499,"(+/- 3877 )",46763,"(+/- 4150 )"
