cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Residence 1 Year Ago","Same county",62930,"(+/- 8728 )",46725,"(+/- 5921 )"
People,"Residence 1 Year Ago","Different county",26187,"(+/- 3081 )",30432,"(+/- 4192 )"
People,"Residence 1 Year Ago","Same state",2945,"(+/- 1213 )",3966,"(+/- 1329 )"
People,"Residence 1 Year Ago","Different state",23242,"(+/- 2959 )",26466,"(+/- 3799 )"
People,"Residence 1 Year Ago",Abroad,8380,"(+/- 2319 )",6191,"(+/- 1859 )"
Workers,"Employment Status","Population 16 years and over",593844,"(+/- 6929 )",553725,"(+/- 7120 )"
Workers,"Employment Status","In labor force",393013,"(+/- 7337 )",352223,"(+/- 7631 )"
Workers,"Employment Status","Civilian labor force",365711,"(+/- 7213 )",333169,"(+/- 7512 )"
Workers,"Employment Status",Employed,353173,"(+/- 7357 )",318595,"(+/- 7341 )"
Workers,"Employment Status",Unemployed,12538,"(+/- 2008 )",14574,"(+/- 2104 )"
Workers,"Employment Status","Armed Forces",27302,"(+/- 2746 )",19054,"(+/- 1689 )"
Workers,"Employment Status","Not in labor force",200831,"(+/- 5836 )",201502,"(+/- 5767 )"
Workers,"Employment Status","Civilian labor force",365711,"(+/- 7213 )",333169,"(+/- 7512 )"
Workers,"Employment Status","Unemployment Rate",3.4,"(+/- 0.5 )",4.4,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",372456,"(+/- 7392 )",329604,"(+/- 7539 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",247768,"(+/- 7018 )",238567,"(+/- 6436 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",47104,"(+/- 3535 )",45961,"(+/- 4010 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",29082,"(+/- 3265 )",8590,"(+/- 1803 )"
Workers,"Commuting to Work",Walked,19913,"(+/- 3527 )",12089,"(+/- 2293 )"
Workers,"Commuting to Work","Other means",14930,"(+/- 2113 )",4568,"(+/- 998 )"
Workers,"Commuting to Work","Worked from home",13659,"(+/- 2144 )",19829,"(+/- 2335 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",28.9,"(+/- 0.6 )",27.3,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",353173,"(+/- 7357 )",318595,"(+/- 7341 )"
Workers,Occupation,"Management, business, science, and arts occupations",135556,"(+/- 6022 )",107193,"(+/- 4429 )"
Workers,Occupation,"Service occupations",76132,"(+/- 4922 )",80585,"(+/- 5095 )"
Workers,Occupation,"Sales and office occupations",82727,"(+/- 4966 )",67646,"(+/- 4521 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",28233,"(+/- 2744 )",32342,"(+/- 3380 )"
Workers,Occupation,"Production, transportation, and material moving occupations",30525,"(+/- 3139 )",30829,"(+/- 2813 )"
Workers,Industry,"Civilian employed population 16 years and over",353173,"(+/- 7357 )",318595,"(+/- 7341 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",2027,"(+/- 877 )",8238,"(+/- 2086 )"
Workers,Industry,Construction,23863,"(+/- 2777 )",24545,"(+/- 2747 )"
Workers,Industry,Manufacturing,11241,"(+/- 1997 )",7949,"(+/- 1629 )"
Workers,Industry,"Wholesale trade",8290,"(+/- 1919 )",7286,"(+/- 1258 )"
Workers,Industry,"Retail trade",41077,"(+/- 3673 )",36522,"(+/- 3622 )"
Workers,Industry,"Transportation and warehousing, and utilities",24839,"(+/- 3353 )",17092,"(+/- 2088 )"
Workers,Industry,Information,5074,"(+/- 1132 )",3687,"(+/- 837 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",23767,"(+/- 2576 )",16958,"(+/- 2200 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",36912,"(+/- 2879 )",36599,"(+/- 3776 )"
Workers,Industry,"Educational services, and health care and social assistance",80951,"(+/- 4963 )",64002,"(+/- 4950 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",50140,"(+/- 3936 )",58488,"(+/- 4692 )"
Workers,Industry,"Other services, except public administration",13679,"(+/- 2060 )",14928,"(+/- 2549 )"
Workers,Industry,"Public administration",31313,"(+/- 3165 )",22301,"(+/- 2507 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",353173,"(+/- 7357 )",318595,"(+/- 7341 )"
Workers,"Class of Worker","Private wage and salary workers",257883,"(+/- 7362 )",236630,"(+/- 7063 )"
Workers,"Class of Worker","Government workers",76285,"(+/- 5245 )",53528,"(+/- 4027 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",18283,"(+/- 1986 )",27267,"(+/- 2926 )"
Workers,"Class of Worker","Unpaid family workers",722,"(+/- 277 )",1170,"(+/- 479 )"
Housing,"Housing Occupancy","Total housing units",273133,"(+/- 2663 )",277195,"(+/- 2661 )"
Housing,"Housing Occupancy","Occupied housing units",243440,"(+/- 3702 )",221859,"(+/- 4241 )"
Housing,"Housing Occupancy","Vacant housing units",29693,"(+/- 2973 )",55336,"(+/- 3708 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.4,"(+/- 0.7 )",1.4,"(+/- 0.7 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.6,"(+/- 1.4 )",12.8,"(+/- 2.2 )"
Housing,"Housing Tenure","Occupied housing units",243440,"(+/- 3702 )",221859,"(+/- 4241 )"
Housing,"Housing Tenure",Owner-occupied,136717,"(+/- 4296 )",143243,"(+/- 4349 )"
Housing,"Housing Tenure",Renter-occupied,106723,"(+/- 4261 )",78616,"(+/- 4038 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",3.08,"(+/- 0.07 )",3.11,"(+/- 0.08 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.61,"(+/- 0.08 )",2.90,"(+/- 0.13 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",243440,"(+/- 3702 )",221859,"(+/- 4241 )"
Housing,"Year Householder Moved into Unit","Moved in 2017 or later",71210,"(+/- 3660 )",58333,"(+/- 3999 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2016",26639,"(+/- 2654 )",22253,"(+/- 2092 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",31662,"(+/- 2768 )",33036,"(+/- 2933 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",46932,"(+/- 3054 )",42656,"(+/- 3042 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",25268,"(+/- 2145 )",27879,"(+/- 2367 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",41729,"(+/- 2080 )",37702,"(+/- 2171 )"
Housing,Value,"Owner-occupied units",136717,"(+/- 4296 )",143243,"(+/- 4349 )"
Housing,Value,"Less than $50,000",1101,"(+/- 476 )",1304,"(+/- 578 )"
Housing,Value,"$50,000 to $99,999",187,"(+/- 153 )",1509,"(+/- 667 )"
Housing,Value,"$100,000 to $149,999",409,"(+/- 251 )",2994,"(+/- 667 )"
Housing,Value,"$150,000 to $199,999",1022,"(+/- 572 )",4878,"(+/- 1233 )"
Housing,Value,"$200,000 to $299,999",4582,"(+/- 931 )",11775,"(+/- 1525 )"
Housing,Value,"$300,000 to $499,999",26275,"(+/- 2458 )",31591,"(+/- 2470 )"
Housing,Value,"$500,000 to $999,999",77685,"(+/- 3650 )",69253,"(+/- 3286 )"
Housing,Value,"$1,000,000 or more",25456,"(+/- 2287 )",19939,"(+/- 1848 )"
Housing,Value,"Median (dollars)",728900,"(+/- 15037 )",611600,"(+/- 13730 )"
Housing,"Mortgage Status","Owner-occupied units",136717,"(+/- 4296 )",143243,"(+/- 4349 )"
Housing,"Mortgage Status","Housing units with a mortgage",89267,"(+/- 3861 )",91037,"(+/- 4278 )"
Housing,"Mortgage Status","Housing units without a mortgage",47450,"(+/- 3111 )",52206,"(+/- 2959 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",89267,"(+/- 3861 )",91037,"(+/- 4278 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",279,"(+/- 191 )",573,"(+/- 340 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",3008,"(+/- 737 )",7243,"(+/- 1415 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",7250,"(+/- 1255 )",12865,"(+/- 1877 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",12071,"(+/- 1521 )",16197,"(+/- 1931 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",17512,"(+/- 2238 )",14973,"(+/- 2154 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",14803,"(+/- 2115 )",11855,"(+/- 1733 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",34344,"(+/- 2668 )",27331,"(+/- 2386 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",2652,"(+/- 69 )",2289,"(+/- 66 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",47450,"(+/- 3111 )",52206,"(+/- 2959 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",2547,"(+/- 818 )",8891,"(+/- 1624 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",5449,"(+/- 913 )",12882,"(+/- 1838 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",13317,"(+/- 1553 )",13238,"(+/- 1702 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",11640,"(+/- 1586 )",7283,"(+/- 1259 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",7160,"(+/- 1364 )",4081,"(+/- 849 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",7337,"(+/- 1149 )",5831,"(+/- 1147 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",638,"(+/- 18 )",453,"(+/- 21 )"
Housing,"Gross Rent","Occupied units paying rent",103331,"(+/- 4196 )",72290,"(+/- 3717 )"
Housing,"Gross Rent","Less than $500",6746,"(+/- 1245 )",5562,"(+/- 1266 )"
Housing,"Gross Rent","$500 to $999",11878,"(+/- 2071 )",9099,"(+/- 1514 )"
Housing,"Gross Rent","$1,000 to $1,499",25458,"(+/- 2642 )",18809,"(+/- 2439 )"
Housing,"Gross Rent","$1,500 to $1,999",20998,"(+/- 2462 )",13068,"(+/- 1810 )"
Housing,"Gross Rent","$2,000 to $2,499",14785,"(+/- 2135 )",11398,"(+/- 2012 )"
Housing,"Gross Rent","$2,500 to $2,999",10786,"(+/- 1997 )",7743,"(+/- 1737 )"
Housing,"Gross Rent","$3,000 or more",12680,"(+/- 1744 )",6611,"(+/- 982 )"
Housing,"Gross Rent","Median (dollars)",1681,"(+/- 61 )",1602,"(+/- 91 )"
Housing,"Gross Rent","No rent paid",3392,"(+/- 797 )",6326,"(+/- 1295 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Total households",243440,"(+/- 3702 )",221859,"(+/- 4241 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Less than $10,000",11544,"(+/- 1748 )",11800,"(+/- 1853 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$10,000 to $14,999",6214,"(+/- 1413 )",6024,"(+/- 1327 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$15,000 to $24,999",12337,"(+/- 2196 )",15119,"(+/- 2358 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$25,000 to $34,999",15637,"(+/- 1974 )",13961,"(+/- 2240 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$35,000 to $49,999",20798,"(+/- 2184 )",19484,"(+/- 2252 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$50,000 to $74,999",40034,"(+/- 2949 )",38257,"(+/- 2745 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$75,000 to $99,999",32262,"(+/- 3065 )",30488,"(+/- 2495 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$100,000 to $149,999",49140,"(+/- 3457 )",43666,"(+/- 3474 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$150,000 to $199,000",26756,"(+/- 2515 )",21123,"(+/- 2131 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$200,000 or more",28718,"(+/- 2233 )",21937,"(+/- 2487 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Median household income (dollars)",86674,"(+/- 2571 )",79985,"(+/- 3483 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Mean household income (dollars)",110739,"(+/- 2950 )",101317,"(+/- 3348 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",687126,"(+/- 8961 )",671589,"(+/- 8786 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",661830,"(+/- 9602 )",640406,"(+/- 9160 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",551107,"(+/- 12492 )",483050,"(+/- 10955 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",224781,"(+/- 7719 )",268248,"(+/- 8571 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",25296,"(+/- 3402 )",31183,"(+/- 4221 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",150355,"(+/- 4690 )",164698,"(+/- 4611 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",3638,"(+/- 1482 )",5185,"(+/- 1852 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",4.6,"(+/- 0.9 )",8.3,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",7.1,"(+/- 2.0 )",14.0,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",6.0,"(+/- 3.5 )",10.4,"(+/- 4.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.1,"(+/- 0.9 )",4.8,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",3.8,"(+/- 1.6 )",6.1,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.3,"(+/- 2.9 )",5.0,"(+/- 3.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",11.2,"(+/- 3.7 )",21.4,"(+/- 5.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",18.7,"(+/- 7.2 )",34.4,"(+/- 8.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",30.8,"(+/- 18.4 )",25.1,"(+/- 12.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",7.6,"(+/- 0.9 )",11.1,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",7.8,"(+/- 1.9 )",16.5,"(+/- 3.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",7.4,"(+/- 1.9 )",16.1,"(+/- 3.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",8.3,"(+/- 2.7 )",15.4,"(+/- 3.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",7.1,"(+/- 2.0 )",16.3,"(+/- 4.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",7.6,"(+/- 0.8 )",9.5,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",8.8,"(+/- 1.5 )",8.5,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",4.6,"(+/- 0.9 )",8.6,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",20.5,"(+/- 1.9 )",23.1,"(+/- 2.0 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",160547,"(+/- 5776 )",156872,"(+/- 5404 )"
Education,"School Enrollment","Nursery school, preschool",13465,"(+/- 2220 )",11362,"(+/- 1682 )"
Education,"School Enrollment",Kindergarten,7339,"(+/- 1477 )",9324,"(+/- 1691 )"
Education,"School Enrollment","Elementary school (grades 1-8)",57984,"(+/- 3225 )",67834,"(+/- 3415 )"
Education,"School Enrollment","High school (grades 9-12)",30642,"(+/- 2468 )",34296,"(+/- 2196 )"
Education,"School Enrollment","College or graduate school",51117,"(+/- 3570 )",34056,"(+/- 3199 )"
Education,"Educational Attainment","Population 25 years and over",516378,"(+/- 6071 )",480290,"(+/- 6125 )"
Education,"Educational Attainment","Less than 9th grade",20391,"(+/- 3046 )",15887,"(+/- 2758 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",21118,"(+/- 2514 )",18582,"(+/- 2619 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",127260,"(+/- 6318 )",146161,"(+/- 5633 )"
Education,"Educational Attainment","Some college, no degree",98631,"(+/- 4850 )",107333,"(+/- 5046 )"
Education,"Educational Attainment","Associate's degree",59401,"(+/- 4314 )",46695,"(+/- 3515 )"
Education,"Educational Attainment","Bachelor's degree",124079,"(+/- 4802 )",95900,"(+/- 4402 )"
Education,"Educational Attainment","Graduate or professional degree",65498,"(+/- 4427 )",49732,"(+/- 3413 )"
Education,"Educational Attainment","Percent high school graduate or higher",92.0,"(+/- 0.7 )",92.8,"(+/- 0.8 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",36.7,"(+/- 1.3 )",30.3,"(+/- 1.1 )"

"Source: 2019 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",329256,G,191769,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",21,J,109,J
