cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","60 to 64 years",53871,"(+/- 3468 )",43447,"(+/- 3930 )",41716,"(+/- 3150 )",54384,"(+/- 2749 )",47521,"(+/- 2792 )",48413,"(+/- 2821 )",52246,"(+/- 2789 )",50318,"(+/- 3215 )",52883,"(+/- 2248 )",49226,"(+/- 2799 )",51283,"(+/- 2636 )",50648,"(+/- 2352 )",52116,"(+/- 3031 )",57889,"(+/- 2614 )",52550,"(+/- 2206 )",49516,"(+/- 2517 )",57203,"(+/- 3119 )",48515,"(+/- 2981 )"
People,"Sex and Age","65 to 74 years",76346,"(+/- 1341 )",56120,"(+/- 2822 )",63043,"(+/- 2513 )",75692,"(+/- 1608 )",66579,"(+/- 2072 )",69214,"(+/- 1790 )",73947,"(+/- 1646 )",79134,"(+/- 1870 )",80653,"(+/- 1893 )",75955,"(+/- 2216 )",76532,"(+/- 1919 )",78159,"(+/- 1486 )",82017,"(+/- 1998 )",85649,"(+/- 1197 )",81064,"(+/- 2052 )",78313,"(+/- 1387 )",84154,"(+/- 3066 )",70624,"(+/- 2836 )"
People,"Sex and Age","75 to 84 years",39863,"(+/- 1734 )",28954,"(+/- 2261 )",31959,"(+/- 1967 )",38709,"(+/- 2139 )",32417,"(+/- 2603 )",35653,"(+/- 2404 )",41097,"(+/- 2343 )",42912,"(+/- 2383 )",40872,"(+/- 2511 )",40208,"(+/- 2116 )",41326,"(+/- 2294 )",44036,"(+/- 1877 )",47406,"(+/- 1725 )",42444,"(+/- 2077 )",44399,"(+/- 1743 )",40058,"(+/- 1681 )",41333,"(+/- 2392 )",36548,"(+/- 2624 )"
People,"Sex and Age","85 years and over",18297,"(+/- 1804 )",12705,"(+/- 2106 )",12827,"(+/- 1554 )",20268,"(+/- 1868 )",18704,"(+/- 2221 )",15675,"(+/- 2000 )",17490,"(+/- 2097 )",17390,"(+/- 1763 )",19774,"(+/- 1943 )",15897,"(+/- 1630 )",19116,"(+/- 1948 )",17160,"(+/- 1460 )",19289,"(+/- 1712 )",21431,"(+/- 1684 )",17642,"(+/- 1548 )",18249,"(+/- 1699 )",19315,"(+/- 2308 )",23600,"(+/- 2397 )"
People,"Sex and Age","Median age (years)",43.5,"(+/- 0.3 )",35.7,"(+/- 0.7 )",33.6,"(+/- 0.6 )",41.2,"(+/- 0.5 )",38.6,"(+/- 0.6 )",39.3,"(+/- 0.5 )",40.6,"(+/- 0.5 )",43.0,"(+/- 0.6 )",44.2,"(+/- 0.6 )",40.3,"(+/- 0.6 )",39.5,"(+/- 0.5 )",41.1,"(+/- 0.4 )",44.2,"(+/- 0.5 )",45.6,"(+/- 0.3 )",44.8,"(+/- 0.4 )",43.0,"(+/- 0.5 )",43.5,"(+/- 0.6 )",38.5,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",567894,"(+/- 3775 )",543092,"(+/- 13333 )",607247,"(+/- 12509 )",575593,"(+/- 4522 )",559252,"(+/- 7455 )",564430,"(+/- 3834 )",577146,"(+/- 5164 )",561078,"(+/- 5940 )",563696,"(+/- 5388 )",583206,"(+/- 5325 )",565858,"(+/- 4694 )",564084,"(+/- 4636 )",555901,"(+/- 5653 )",551141,"(+/- 3211 )",548570,"(+/- 5589 )",542952,"(+/- 2707 )",567088,"(+/- 7346 )",571436,"(+/- 7359 )"
People,"Sex and Age","65 years and over",134506,"(+/- 1724 )",97779,"(+/- 3391 )",107829,"(+/- 3402 )",134669,"(+/- 2360 )",117700,"(+/- 2876 )",120542,"(+/- 2354 )",132534,"(+/- 2025 )",139436,"(+/- 2561 )",141299,"(+/- 2867 )",132060,"(+/- 2527 )",136974,"(+/- 2243 )",139355,"(+/- 2266 )",148712,"(+/- 2477 )",149524,"(+/- 1581 )",143105,"(+/- 2705 )",136620,"(+/- 1489 )",144802,"(+/- 3937 )",130772,"(+/- 3825 )"
People,Race,"Total population",713411,"(+/- 5339 )",722722,"(+/- 19127 )",741654,"(+/- 16737 )",730701,"(+/- 6613 )",719973,"(+/- 11211 )",735283,"(+/- 5426 )",731467,"(+/- 6773 )",698973,"(+/- 7650 )",699832,"(+/- 7401 )",744681,"(+/- 6761 )",734038,"(+/- 6202 )",701387,"(+/- 5494 )",697051,"(+/- 7470 )",678915,"(+/- 4393 )",672749,"(+/- 7145 )",678333,"(+/- 4191 )",706961,"(+/- 9139 )",693858,"(+/- 9046 )"
People,Race,"One race",698428,"(+/- 5972 )",693967,"(+/- 19819 )",719601,"(+/- 18153 )",711179,"(+/- 6779 )",703334,"(+/- 11921 )",712830,"(+/- 6916 )",708549,"(+/- 7265 )",683627,"(+/- 8208 )",689726,"(+/- 7594 )",716822,"(+/- 7115 )",710697,"(+/- 7556 )",689600,"(+/- 5523 )",685401,"(+/- 7455 )",663770,"(+/- 4657 )",664067,"(+/- 7335 )",658111,"(+/- 4589 )",688569,"(+/- 10026 )",671003,"(+/- 9289 )"
People,Race,White,609026,"(+/- 5847 )",325152,"(+/- 13368 )",246857,"(+/- 8907 )",581586,"(+/- 7606 )",456095,"(+/- 7686 )",573777,"(+/- 7809 )",600026,"(+/- 9189 )",589106,"(+/- 7527 )",645419,"(+/- 7858 )",581914,"(+/- 7892 )",653693,"(+/- 8364 )",658067,"(+/- 5036 )",650844,"(+/- 7665 )",633984,"(+/- 4039 )",640736,"(+/- 7157 )",614553,"(+/- 4852 )",622904,"(+/- 8814 )",510053,"(+/- 8602 )"
People,Race,"Black or African American",33269,"(+/- 3516 )",182004,"(+/- 14950 )",418050,"(+/- 15194 )",70556,"(+/- 3180 )",185702,"(+/- 8880 )",51568,"(+/- 4564 )",55036,"(+/- 4428 )",55307,"(+/- 5902 )",18314,"(+/- 2557 )",85079,"(+/- 3550 )",27241,"(+/- 3752 )",15476,"(+/- 2168 )",22354,"(+/- 2643 )",20587,"(+/- 1794 )",16077,"(+/- 2394 )",30249,"(+/- 2512 )",42335,"(+/- 6429 )",125549,"(+/- 6571 )"
People,Race,"American Indian and Alaska Native",436,"(+/- 320 )",2751,"(+/- 1560 )",4142,"(+/- 1826 )",817,"(+/- 642 )",2047,"(+/- 1071 )",1561,"(+/- 830 )",1367,"(+/- 726 )",1930,"(+/- 991 )",2145,"(+/- 962 )",1658,"(+/- 805 )",693,"(+/- 508 )",1568,"(+/- 492 )",2785,"(+/- 1953 )",117,"(+/- 140 )",476,"(+/- 377 )",1062,"(+/- 167 )",514,"(+/- 279 )",1019,"(+/- 483 )"
People,Race,Asian,44160,"(+/- 3008 )",63804,"(+/- 5415 )",41852,"(+/- 4854 )",49265,"(+/- 2915 )",50234,"(+/- 4437 )",34299,"(+/- 1381 )",21874,"(+/- 2070 )",13235,"(+/- 1437 )",8747,"(+/- 1730 )",30475,"(+/- 1904 )",13448,"(+/- 1234 )",11645,"(+/- 1313 )",3555,"(+/- 739 )",6259,"(+/- 815 )",4902,"(+/- 1343 )",7204,"(+/- 1179 )",18891,"(+/- 2818 )",29813,"(+/- 3059 )"
People,Race,"Native Hawaiian and Other Pacific Islander",93,"(+/- 156 )",37,"(+/- 66 )",719,"(+/- 447 )",203,"(+/- 198 )",622,"(+/- 464 )",301,"(+/- 314 )",221,"(+/- 292 )",242,"(+/- 183 )",81,"(+/- 95 )",280,"(+/- 314 )",121,"(+/- 213 )",383,"(+/- 299 )",127,"(+/- 155 )",246,"(+/- 207 )",88,"(+/- 128 )",102,"(+/- 121 )",231,"(+/- 359 )",51,"(+/- 85 )"
People,Race,"Some other race",11444,"(+/- 3632 )",120219,"(+/- 10915 )",7981,"(+/- 2364 )",8752,"(+/- 2883 )",8634,"(+/- 2740 )",51324,"(+/- 6197 )",30025,"(+/- 5742 )",23807,"(+/- 4908 )",15020,"(+/- 2543 )",17416,"(+/- 4050 )",15501,"(+/- 4540 )",2461,"(+/- 935 )",5736,"(+/- 2423 )",2577,"(+/- 987 )",1788,"(+/- 799 )",4941,"(+/- 1922 )",3694,"(+/- 1524 )",4518,"(+/- 1704 )"
People,Race,"Two or more races",14983,"(+/- 2752 )",28755,"(+/- 5658 )",22053,"(+/- 5225 )",19522,"(+/- 3309 )",16639,"(+/- 3225 )",22453,"(+/- 3843 )",22918,"(+/- 3516 )",15346,"(+/- 2873 )",10106,"(+/- 2633 )",27859,"(+/- 3729 )",23341,"(+/- 3887 )",11787,"(+/- 1990 )",11650,"(+/- 1966 )",15145,"(+/- 2242 )",8682,"(+/- 1436 )",20222,"(+/- 2884 )",18392,"(+/- 3709 )",22855,"(+/- 2934 )"
People,"Hispanic or Latino and Race","Total population",713411,"(+/- 5339 )",722722,"(+/- 19127 )",741654,"(+/- 16737 )",730701,"(+/- 6613 )",719973,"(+/- 11211 )",735283,"(+/- 5426 )",731467,"(+/- 6773 )",698973,"(+/- 7650 )",699832,"(+/- 7401 )",744681,"(+/- 6761 )",734038,"(+/- 6202 )",701387,"(+/- 5494 )",697051,"(+/- 7470 )",678915,"(+/- 4393 )",672749,"(+/- 7145 )",678333,"(+/- 4191 )",706961,"(+/- 9139 )",693858,"(+/- 9046 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",39580,"(+/- 2246 )",201666,"(+/- 6203 )",32106,"(+/- 5244 )",41567,"(+/- 2900 )",32240,"(+/- 3780 )",118163,"(+/- 3108 )",149773,"(+/- 3540 )",88622,"(+/- 3597 )",49828,"(+/- 3205 )",67716,"(+/- 1882 )",65522,"(+/- 1483 )",18558,"(+/- 1341 )",24315,"(+/- 1101 )",10324,"(+/- 159 )",8436,"(+/- 1146 )",18448,"(+/- 612 )",12271,"(+/- 1811 )",18695,"(+/- 1706 )"
People,"Hispanic or Latino and Race",Mexican,10049,"(+/- 3595 )",11207,"(+/- 7594 )",7017,"(+/- 2515 )",15581,"(+/- 4681 )",8590,"(+/- 2274 )",27026,"(+/- 4770 )",10593,"(+/- 3818 )",14939,"(+/- 4207 )",5712,"(+/- 2097 )",7229,"(+/- 2633 )",10107,"(+/- 2945 )",3536,"(+/- 989 )",10841,"(+/- 2356 )",3824,"(+/- 984 )",2111,"(+/- 571 )",5179,"(+/- 1872 )",3496,"(+/- 1069 )",6870,"(+/- 1683 )"
People,"Hispanic or Latino and Race","Puerto Rican",16279,"(+/- 4020 )",132578,"(+/- 11036 )",11342,"(+/- 2893 )",13812,"(+/- 3276 )",8632,"(+/- 2665 )",53922,"(+/- 6755 )",83985,"(+/- 7565 )",35184,"(+/- 5281 )",29606,"(+/- 3323 )",40099,"(+/- 4655 )",35328,"(+/- 4670 )",7755,"(+/- 1823 )",5080,"(+/- 1480 )",2349,"(+/- 860 )",2572,"(+/- 762 )",9077,"(+/- 1658 )",2533,"(+/- 894 )",3122,"(+/- 1397 )"
People,"Hispanic or Latino and Race",Cuban,1225,"(+/- 738 )",1918,"(+/- 1050 )",1494,"(+/- 586 )",1670,"(+/- 880 )",1222,"(+/- 992 )",1609,"(+/- 1010 )",1508,"(+/- 851 )",927,"(+/- 603 )",1310,"(+/- 937 )",1701,"(+/- 866 )",3722,"(+/- 2322 )",503,"(+/- 276 )",997,"(+/- 669 )",470,"(+/- 425 )",471,"(+/- 316 )",408,"(+/- 259 )",509,"(+/- 601 )",886,"(+/- 399 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",12027,"(+/- 2834 )",55963,"(+/- 9341 )",12253,"(+/- 3063 )",10504,"(+/- 2959 )",13796,"(+/- 3875 )",35606,"(+/- 6632 )",53687,"(+/- 7043 )",37572,"(+/- 4497 )",13200,"(+/- 2708 )",18687,"(+/- 3895 )",16365,"(+/- 4711 )",6764,"(+/- 1610 )",7397,"(+/- 2405 )",3681,"(+/- 960 )",3282,"(+/- 956 )",3784,"(+/- 1303 )",5733,"(+/- 1545 )",7817,"(+/- 1843 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",673831,"(+/- 4998 )",521056,"(+/- 17337 )",709548,"(+/- 16491 )",689134,"(+/- 6113 )",687733,"(+/- 10672 )",617120,"(+/- 5173 )",581694,"(+/- 5940 )",610351,"(+/- 6792 )",650004,"(+/- 7375 )",676965,"(+/- 6546 )",668516,"(+/- 6004 )",682829,"(+/- 5608 )",672736,"(+/- 7204 )",668591,"(+/- 4402 )",664313,"(+/- 7104 )",659885,"(+/- 4210 )",694690,"(+/- 9172 )",675163,"(+/- 8998 )"
People,"Place of Birth","Total population",713411,"(+/- 5339 )",722722,"(+/- 19127 )",741654,"(+/- 16737 )",730701,"(+/- 6613 )",719973,"(+/- 11211 )",735283,"(+/- 5426 )",731467,"(+/- 6773 )",698973,"(+/- 7650 )",699832,"(+/- 7401 )",744681,"(+/- 6761 )",734038,"(+/- 6202 )",701387,"(+/- 5494 )",697051,"(+/- 7470 )",678915,"(+/- 4393 )",672749,"(+/- 7145 )",678333,"(+/- 4191 )",706961,"(+/- 9139 )",693858,"(+/- 9046 )"
People,"Place of Birth",Native,634955,"(+/- 8411 )",588364,"(+/- 17519 )",676347,"(+/- 17243 )",660332,"(+/- 6905 )",633060,"(+/- 12095 )",663783,"(+/- 7200 )",659555,"(+/- 8440 )",652042,"(+/- 8010 )",676050,"(+/- 7274 )",689100,"(+/- 7954 )",703094,"(+/- 7856 )",679931,"(+/- 5152 )",681062,"(+/- 7681 )",667005,"(+/- 4571 )",662113,"(+/- 7249 )",663578,"(+/- 4228 )",670316,"(+/- 8913 )",648135,"(+/- 8762 )"
People,"Place of Birth","Born in United States",626278,"(+/- 8063 )",535868,"(+/- 17947 )",665587,"(+/- 17502 )",652464,"(+/- 7498 )",621817,"(+/- 11985 )",634173,"(+/- 7434 )",622016,"(+/- 9189 )",636405,"(+/- 8704 )",660289,"(+/- 7736 )",667636,"(+/- 9148 )",685335,"(+/- 7532 )",673161,"(+/- 5335 )",675842,"(+/- 7485 )",664391,"(+/- 4600 )",658314,"(+/- 7186 )",656158,"(+/- 4435 )",665086,"(+/- 8898 )",642225,"(+/- 8764 )"
People,"Place of Birth","State of residence",463312,"(+/- 9355 )",452170,"(+/- 17229 )",486892,"(+/- 17913 )",530077,"(+/- 9209 )",498325,"(+/- 11894 )",454259,"(+/- 8140 )",416515,"(+/- 10174 )",422379,"(+/- 8467 )",560606,"(+/- 9001 )",511143,"(+/- 10457 )",517733,"(+/- 8297 )",539109,"(+/- 6608 )",529088,"(+/- 7936 )",567147,"(+/- 6004 )",571247,"(+/- 6867 )",544862,"(+/- 6805 )",546111,"(+/- 9132 )",525853,"(+/- 9163 )"
People,"Place of Birth","Different state",162966,"(+/- 9556 )",83698,"(+/- 6913 )",178695,"(+/- 7180 )",122387,"(+/- 5462 )",123492,"(+/- 6545 )",179914,"(+/- 6726 )",205501,"(+/- 10422 )",214026,"(+/- 8743 )",99683,"(+/- 5614 )",156493,"(+/- 8046 )",167602,"(+/- 8865 )",134052,"(+/- 6292 )",146754,"(+/- 5967 )",97244,"(+/- 5158 )",87067,"(+/- 5333 )",111296,"(+/- 5402 )",118975,"(+/- 5824 )",116372,"(+/- 5696 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8677,"(+/- 2699 )",52496,"(+/- 5703 )",10760,"(+/- 3974 )",7868,"(+/- 2074 )",11243,"(+/- 2310 )",29610,"(+/- 5054 )",37539,"(+/- 4344 )",15637,"(+/- 3514 )",15761,"(+/- 2578 )",21464,"(+/- 4328 )",17759,"(+/- 2495 )",6770,"(+/- 1273 )",5220,"(+/- 1418 )",2614,"(+/- 684 )",3799,"(+/- 835 )",7420,"(+/- 1677 )",5230,"(+/- 1443 )",5910,"(+/- 1210 )"
People,"Place of Birth","Foreign born",78456,"(+/- 6620 )",134358,"(+/- 9699 )",65307,"(+/- 6380 )",70369,"(+/- 3885 )",86913,"(+/- 6905 )",71500,"(+/- 4927 )",71912,"(+/- 5807 )",46931,"(+/- 3776 )",23782,"(+/- 3071 )",55581,"(+/- 4752 )",30944,"(+/- 3555 )",21456,"(+/- 2884 )",15989,"(+/- 1939 )",11910,"(+/- 1827 )",10636,"(+/- 2470 )",14755,"(+/- 1881 )",36645,"(+/- 3882 )",45723,"(+/- 4387 )"
People,Ancestry,"Total population",713411,"(+/- 5339 )",722722,"(+/- 19127 )",741654,"(+/- 16737 )",730701,"(+/- 6613 )",719973,"(+/- 11211 )",735283,"(+/- 5426 )",731467,"(+/- 6773 )",698973,"(+/- 7650 )",699832,"(+/- 7401 )",744681,"(+/- 6761 )",734038,"(+/- 6202 )",701387,"(+/- 5494 )",697051,"(+/- 7470 )",678915,"(+/- 4393 )",672749,"(+/- 7145 )",678333,"(+/- 4191 )",706961,"(+/- 9139 )",693858,"(+/- 9046 )"
People,Ancestry,American,29353,"(+/- 4338 )",13892,"(+/- 2982 )",12168,"(+/- 2300 )",31873,"(+/- 4059 )",20543,"(+/- 3069 )",19806,"(+/- 3065 )",41492,"(+/- 6344 )",24229,"(+/- 4347 )",32252,"(+/- 3761 )",42775,"(+/- 4669 )",51061,"(+/- 5550 )",54009,"(+/- 3618 )",63077,"(+/- 5941 )",25326,"(+/- 3009 )",34954,"(+/- 2762 )",27924,"(+/- 3110 )",21789,"(+/- 2968 )",15978,"(+/- 2239 )"
People,Ancestry,Arab,4180,"(+/- 2147 )",8836,"(+/- 4264 )",3715,"(+/- 1452 )",4693,"(+/- 2130 )",5125,"(+/- 1670 )",2168,"(+/- 941 )",12131,"(+/- 3601 )",3903,"(+/- 1783 )",2551,"(+/- 984 )",3934,"(+/- 1342 )",1381,"(+/- 869 )",1802,"(+/- 704 )",1289,"(+/- 721 )",4046,"(+/- 1270 )",810,"(+/- 421 )",4251,"(+/- 1471 )",5132,"(+/- 1809 )",5874,"(+/- 2860 )"
People,Ancestry,Czech,1466,"(+/- 664 )",3164,"(+/- 3845 )",1186,"(+/- 584 )",2577,"(+/- 1015 )",1689,"(+/- 854 )",2193,"(+/- 668 )",1536,"(+/- 479 )",1021,"(+/- 511 )",2221,"(+/- 860 )",902,"(+/- 449 )",1389,"(+/- 1085 )",1981,"(+/- 911 )",1935,"(+/- 699 )",5801,"(+/- 1522 )",2502,"(+/- 676 )",2915,"(+/- 892 )",5439,"(+/- 1356 )",4280,"(+/- 1385 )"
People,Ancestry,Danish,1395,"(+/- 950 )",306,"(+/- 264 )",692,"(+/- 352 )",1568,"(+/- 684 )",1010,"(+/- 591 )",1778,"(+/- 793 )",822,"(+/- 427 )",1723,"(+/- 961 )",423,"(+/- 250 )",1156,"(+/- 579 )",681,"(+/- 398 )",987,"(+/- 553 )",979,"(+/- 550 )",339,"(+/- 240 )",680,"(+/- 323 )",773,"(+/- 401 )",613,"(+/- 425 )",543,"(+/- 316 )"
People,Ancestry,Dutch,8422,"(+/- 2245 )",2835,"(+/- 1875 )",2083,"(+/- 745 )",8684,"(+/- 2268 )",4418,"(+/- 1127 )",11706,"(+/- 2494 )",11757,"(+/- 2401 )",8321,"(+/- 1946 )",18537,"(+/- 2987 )",10391,"(+/- 2096 )",8459,"(+/- 2021 )",16095,"(+/- 1713 )",9408,"(+/- 1709 )",12368,"(+/- 2337 )",14291,"(+/- 1741 )",10107,"(+/- 1748 )",7843,"(+/- 1732 )",4666,"(+/- 1423 )"
People,Ancestry,English,70293,"(+/- 5275 )",16970,"(+/- 3214 )",23465,"(+/- 3133 )",56384,"(+/- 4236 )",46007,"(+/- 4238 )",71698,"(+/- 5237 )",39029,"(+/- 4294 )",39694,"(+/- 3452 )",40829,"(+/- 4019 )",48428,"(+/- 4202 )",48791,"(+/- 5192 )",58163,"(+/- 4018 )",45998,"(+/- 4022 )",60280,"(+/- 4293 )",56002,"(+/- 4081 )",57497,"(+/- 4759 )",60515,"(+/- 4935 )",42886,"(+/- 4684 )"
