cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","65 years and over",154809,"(+/- 5642 )",163401,"(+/- 3748 )",97382,"(+/- 4574 )",231593,"(+/- 4413 )",146847,"(+/- 5868 )",162366,"(+/- 6043 )",72596,"(+/- 4449 )",178500,"(+/- 6843 )",99747,"(+/- 5465 )"
People,Race,"Total population",782088,"(+/- 10038 )",733197,"(+/- 13189 )",801531,"(+/- 19365 )",825763,"(+/- 14933 )",849917,"(+/- 12828 )",814971,"(+/- 18151 )",853856,"(+/- 21938 )",798544,"(+/- 12591 )",818850,"(+/- 17431 )"
People,Race,"One race",752960,"(+/- 10537 )",698140,"(+/- 12764 )",763355,"(+/- 19227 )",799181,"(+/- 15138 )",817155,"(+/- 12521 )",784785,"(+/- 17304 )",825133,"(+/- 22394 )",769872,"(+/- 12752 )",787562,"(+/- 18223 )"
People,Race,White,502033,"(+/- 9842 )",599844,"(+/- 11888 )",596963,"(+/- 20884 )",725078,"(+/- 13679 )",704936,"(+/- 15158 )",673502,"(+/- 17766 )",622724,"(+/- 21974 )",661387,"(+/- 14549 )",615343,"(+/- 15315 )"
People,Race,"Black or African American",22032,"(+/- 3561 )",31650,"(+/- 2910 )",35114,"(+/- 6264 )",13707,"(+/- 4647 )",33878,"(+/- 5984 )",24601,"(+/- 4601 )",84627,"(+/- 10395 )",40530,"(+/- 6306 )",57590,"(+/- 6978 )"
People,Race,"American Indian and Alaska Native",180019,"(+/- 4435 )",10104,"(+/- 2536 )",37049,"(+/- 4738 )",18525,"(+/- 3339 )",9390,"(+/- 2698 )",15165,"(+/- 3199 )",21738,"(+/- 4488 )",10491,"(+/- 3985 )",29792,"(+/- 6637 )"
People,Race,Asian,12520,"(+/- 2733 )",20725,"(+/- 2525 )",13733,"(+/- 2731 )",8637,"(+/- 1782 )",45334,"(+/- 7216 )",46309,"(+/- 5766 )",21031,"(+/- 5061 )",30104,"(+/- 4395 )",43328,"(+/- 5791 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1474,"(+/- 554 )",1728,"(+/- 460 )",911,"(+/- 905 )",783,"(+/- 478 )",466,"(+/- 532 )",1211,"(+/- 743 )",4201,"(+/- 2155 )",720,"(+/- 461 )",2674,"(+/- 1916 )"
People,Race,"Some other race",34882,"(+/- 6050 )",34089,"(+/- 5449 )",79585,"(+/- 9819 )",32451,"(+/- 7263 )",23151,"(+/- 5105 )",23997,"(+/- 5458 )",70812,"(+/- 9001 )",26640,"(+/- 4688 )",38835,"(+/- 7136 )"
People,Race,"Two or more races",29128,"(+/- 4333 )",35057,"(+/- 5028 )",38176,"(+/- 5737 )",26582,"(+/- 4602 )",32762,"(+/- 4907 )",30186,"(+/- 4510 )",28723,"(+/- 4271 )",28672,"(+/- 4594 )",31288,"(+/- 4405 )"
People,"Hispanic or Latino and Race","Total population",782088,"(+/- 10038 )",733197,"(+/- 13189 )",801531,"(+/- 19365 )",825763,"(+/- 14933 )",849917,"(+/- 12828 )",814971,"(+/- 18151 )",853856,"(+/- 21938 )",798544,"(+/- 12591 )",818850,"(+/- 17431 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",180055,"(+/- 10223 )",215257,"(+/- 9991 )",521506,"(+/- 16066 )",169358,"(+/- 11752 )",140987,"(+/- 10732 )",145918,"(+/- 12757 )",546780,"(+/- 19252 )",172609,"(+/- 12649 )",218122,"(+/- 15164 )"
People,"Hispanic or Latino and Race",Mexican,156464,"(+/- 10535 )",187332,"(+/- 10221 )",482389,"(+/- 15501 )",143311,"(+/- 11512 )",113514,"(+/- 10083 )",119836,"(+/- 11841 )",495262,"(+/- 19326 )",138092,"(+/- 11804 )",188570,"(+/- 14575 )"
People,"Hispanic or Latino and Race","Puerto Rican",3522,"(+/- 1395 )",6384,"(+/- 2915 )",6432,"(+/- 2823 )",2866,"(+/- 1033 )",7726,"(+/- 3396 )",5065,"(+/- 1531 )",7514,"(+/- 3124 )",4469,"(+/- 1320 )",4815,"(+/- 1574 )"
People,"Hispanic or Latino and Race",Cuban,982,"(+/- 676 )",1119,"(+/- 702 )",3496,"(+/- 2066 )",2654,"(+/- 1541 )",795,"(+/- 578 )",2501,"(+/- 2240 )",2942,"(+/- 2111 )",1770,"(+/- 985 )",1888,"(+/- 875 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",19087,"(+/- 4226 )",20422,"(+/- 4076 )",29189,"(+/- 6681 )",20527,"(+/- 5376 )",18952,"(+/- 3791 )",18516,"(+/- 4191 )",41062,"(+/- 8244 )",28278,"(+/- 7079 )",22849,"(+/- 3717 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",602033,"(+/- 10001 )",517940,"(+/- 10043 )",280025,"(+/- 12897 )",656405,"(+/- 9851 )",708930,"(+/- 12321 )",669053,"(+/- 14472 )",307076,"(+/- 16960 )",625935,"(+/- 13617 )",600728,"(+/- 15860 )"
People,"Place of Birth","Total population",782088,"(+/- 10038 )",733197,"(+/- 13189 )",801531,"(+/- 19365 )",825763,"(+/- 14933 )",849917,"(+/- 12828 )",814971,"(+/- 18151 )",853856,"(+/- 21938 )",798544,"(+/- 12591 )",818850,"(+/- 17431 )"
People,"Place of Birth",Native,732032,"(+/- 11479 )",648481,"(+/- 13274 )",633840,"(+/- 17690 )",766852,"(+/- 12867 )",767174,"(+/- 13006 )",695816,"(+/- 14937 )",644312,"(+/- 21661 )",713697,"(+/- 12567 )",700212,"(+/- 15011 )"
People,"Place of Birth","Born in United States",724308,"(+/- 11538 )",633495,"(+/- 13067 )",623714,"(+/- 17512 )",759203,"(+/- 12788 )",752988,"(+/- 12911 )",683642,"(+/- 15049 )",633036,"(+/- 21771 )",702968,"(+/- 12890 )",688739,"(+/- 14780 )"
People,"Place of Birth","State of residence",409633,"(+/- 11835 )",274125,"(+/- 10358 )",382014,"(+/- 12782 )",237803,"(+/- 12644 )",320984,"(+/- 11384 )",259754,"(+/- 13469 )",421722,"(+/- 17903 )",270179,"(+/- 11659 )",325003,"(+/- 11979 )"
People,"Place of Birth","Different state",314675,"(+/- 10323 )",359370,"(+/- 8026 )",241700,"(+/- 12548 )",521400,"(+/- 12562 )",432004,"(+/- 12489 )",423888,"(+/- 10583 )",211314,"(+/- 10684 )",432789,"(+/- 12585 )",363736,"(+/- 11163 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7724,"(+/- 1808 )",14986,"(+/- 2204 )",10126,"(+/- 2626 )",7649,"(+/- 1811 )",14186,"(+/- 3315 )",12174,"(+/- 2490 )",11276,"(+/- 2588 )",10729,"(+/- 1917 )",11473,"(+/- 2325 )"
People,"Place of Birth","Foreign born",50056,"(+/- 6063 )",84716,"(+/- 6524 )",167691,"(+/- 8545 )",58911,"(+/- 4879 )",82743,"(+/- 6919 )",119155,"(+/- 9344 )",209544,"(+/- 11437 )",84847,"(+/- 7479 )",118638,"(+/- 10436 )"
People,Ancestry,"Total population",782088,"(+/- 10038 )",733197,"(+/- 13189 )",801531,"(+/- 19365 )",825763,"(+/- 14933 )",849917,"(+/- 12828 )",814971,"(+/- 18151 )",853856,"(+/- 21938 )",798544,"(+/- 12591 )",818850,"(+/- 17431 )"
People,Ancestry,American,24562,"(+/- 3343 )",26905,"(+/- 3957 )",22807,"(+/- 4886 )",38385,"(+/- 4427 )",51621,"(+/- 7272 )",35463,"(+/- 4261 )",18825,"(+/- 3939 )",30535,"(+/- 4150 )",32565,"(+/- 4491 )"
People,Ancestry,Arab,1204,"(+/- 914 )",3832,"(+/- 1834 )",3639,"(+/- 1627 )",1285,"(+/- 597 )",3339,"(+/- 1370 )",7571,"(+/- 2570 )",4310,"(+/- 2000 )",8804,"(+/- 3587 )",8133,"(+/- 3721 )"
People,Ancestry,Czech,2395,"(+/- 1016 )",2422,"(+/- 825 )",897,"(+/- 528 )",3684,"(+/- 1229 )",4135,"(+/- 1815 )",4010,"(+/- 1124 )",1445,"(+/- 650 )",3519,"(+/- 1015 )",3465,"(+/- 981 )"
People,Ancestry,Danish,4689,"(+/- 1395 )",4928,"(+/- 1753 )",1690,"(+/- 790 )",5134,"(+/- 1319 )",9241,"(+/- 1886 )",3584,"(+/- 1093 )",1871,"(+/- 1495 )",6729,"(+/- 1227 )",4747,"(+/- 1326 )"
People,Ancestry,Dutch,8433,"(+/- 1550 )",8632,"(+/- 1861 )",3013,"(+/- 1000 )",13329,"(+/- 3017 )",11865,"(+/- 2530 )",10013,"(+/- 2033 )",3369,"(+/- 1273 )",13009,"(+/- 2861 )",7108,"(+/- 1857 )"
People,Ancestry,English,64707,"(+/- 6330 )",72446,"(+/- 5481 )",25215,"(+/- 3106 )",93792,"(+/- 6928 )",95021,"(+/- 7692 )",74582,"(+/- 5756 )",19919,"(+/- 2647 )",77011,"(+/- 6625 )",66336,"(+/- 5770 )"
People,Ancestry,"French (except Basque)",15623,"(+/- 2803 )",17661,"(+/- 2478 )",7860,"(+/- 1925 )",24727,"(+/- 3944 )",22063,"(+/- 4289 )",17756,"(+/- 2558 )",6768,"(+/- 1539 )",17396,"(+/- 2346 )",17163,"(+/- 2676 )"
People,Ancestry,"French Canadian",2703,"(+/- 1150 )",6249,"(+/- 1749 )",2830,"(+/- 1125 )",5647,"(+/- 1657 )",4462,"(+/- 906 )",3899,"(+/- 1180 )",1399,"(+/- 688 )",4305,"(+/- 1023 )",4877,"(+/- 1342 )"
People,Ancestry,German,84019,"(+/- 6818 )",107429,"(+/- 6662 )",43453,"(+/- 4361 )",128258,"(+/- 6211 )",124817,"(+/- 7919 )",118300,"(+/- 7534 )",35351,"(+/- 4188 )",118242,"(+/- 6413 )",102338,"(+/- 6739 )"
People,Ancestry,Greek,2700,"(+/- 1259 )",2341,"(+/- 749 )",1147,"(+/- 561 )",3362,"(+/- 1714 )",2896,"(+/- 1206 )",4250,"(+/- 1375 )",724,"(+/- 367 )",3702,"(+/- 1420 )",3598,"(+/- 1250 )"
People,Ancestry,Hungarian,2526,"(+/- 865 )",3819,"(+/- 1158 )",667,"(+/- 348 )",4754,"(+/- 1290 )",3752,"(+/- 1142 )",4694,"(+/- 1574 )",1614,"(+/- 707 )",2877,"(+/- 1240 )",2499,"(+/- 806 )"
People,Ancestry,Irish,56563,"(+/- 5725 )",76853,"(+/- 6095 )",32713,"(+/- 3985 )",83851,"(+/- 6177 )",73969,"(+/- 5391 )",78459,"(+/- 5438 )",27324,"(+/- 3940 )",79422,"(+/- 7303 )",71058,"(+/- 5481 )"
People,Ancestry,Italian,25613,"(+/- 4060 )",33520,"(+/- 4751 )",12130,"(+/- 2248 )",33058,"(+/- 3980 )",44712,"(+/- 5658 )",44962,"(+/- 5359 )",13284,"(+/- 3494 )",44767,"(+/- 5755 )",40075,"(+/- 4209 )"
People,Ancestry,Lithuanian,1258,"(+/- 749 )",1780,"(+/- 586 )",384,"(+/- 286 )",2391,"(+/- 1353 )",1435,"(+/- 655 )",2536,"(+/- 910 )",1033,"(+/- 862 )",1633,"(+/- 796 )",1325,"(+/- 570 )"
People,Ancestry,Norwegian,10745,"(+/- 2259 )",14178,"(+/- 2140 )",4798,"(+/- 1065 )",20052,"(+/- 2823 )",19059,"(+/- 2884 )",18774,"(+/- 2310 )",3525,"(+/- 1149 )",19780,"(+/- 2927 )",12647,"(+/- 2018 )"
People,Ancestry,Polish,14134,"(+/- 2463 )",18401,"(+/- 1983 )",7430,"(+/- 1530 )",19955,"(+/- 2671 )",23189,"(+/- 3267 )",25087,"(+/- 2755 )",5982,"(+/- 1294 )",25598,"(+/- 3296 )",20935,"(+/- 3158 )"
People,Ancestry,Portuguese,1204,"(+/- 549 )",1063,"(+/- 479 )",1710,"(+/- 1057 )",3338,"(+/- 1521 )",2866,"(+/- 1644 )",1695,"(+/- 809 )",696,"(+/- 434 )",1936,"(+/- 815 )",3721,"(+/- 1459 )"
People,Ancestry,Russian,4050,"(+/- 1352 )",5820,"(+/- 1232 )",2985,"(+/- 867 )",4553,"(+/- 1390 )",6298,"(+/- 1832 )",10337,"(+/- 1956 )",1810,"(+/- 742 )",5185,"(+/- 1541 )",5053,"(+/- 1358 )"
People,Ancestry,Scotch-Irish,6110,"(+/- 1616 )",10518,"(+/- 2402 )",3741,"(+/- 1240 )",9583,"(+/- 2166 )",7384,"(+/- 1790 )",8437,"(+/- 2059 )",2054,"(+/- 755 )",6106,"(+/- 1453 )",6114,"(+/- 1372 )"
People,Ancestry,Scottish,12624,"(+/- 2039 )",15408,"(+/- 3091 )",7508,"(+/- 1951 )",17314,"(+/- 2777 )",16526,"(+/- 2997 )",16377,"(+/- 2482 )",4609,"(+/- 1468 )",17800,"(+/- 3260 )",14387,"(+/- 2471 )"
People,Ancestry,Slovak,1058,"(+/- 957 )",569,"(+/- 476 )",182,"(+/- 164 )",508,"(+/- 330 )",725,"(+/- 370 )",2321,"(+/- 940 )",221,"(+/- 278 )",1309,"(+/- 663 )",447,"(+/- 239 )"
People,Ancestry,"Subsaharan African",1249,"(+/- 575 )",5388,"(+/- 2424 )",6035,"(+/- 2584 )",967,"(+/- 579 )",4288,"(+/- 1764 )",6334,"(+/- 2335 )",19942,"(+/- 7133 )",6625,"(+/- 3354 )",7756,"(+/- 2537 )"
People,Ancestry,Swedish,8609,"(+/- 1743 )",12001,"(+/- 2131 )",3808,"(+/- 1282 )",16300,"(+/- 3270 )",16844,"(+/- 2800 )",13501,"(+/- 2041 )",5032,"(+/- 1482 )",12511,"(+/- 2010 )",9975,"(+/- 1683 )"
People,Ancestry,Swiss,2029,"(+/- 793 )",1855,"(+/- 646 )",611,"(+/- 310 )",1184,"(+/- 492 )",3672,"(+/- 1063 )",1860,"(+/- 625 )",634,"(+/- 438 )",1991,"(+/- 691 )",2809,"(+/- 1240 )"
People,Ancestry,Ukrainian,1243,"(+/- 776 )",2493,"(+/- 945 )",1242,"(+/- 720 )",1096,"(+/- 470 )",1652,"(+/- 653 )",4931,"(+/- 1955 )",883,"(+/- 611 )",2004,"(+/- 971 )",1608,"(+/- 670 )"
People,Ancestry,Welsh,6640,"(+/- 1979 )",5090,"(+/- 1274 )",2167,"(+/- 623 )",6383,"(+/- 1477 )",7046,"(+/- 1396 )",7256,"(+/- 1852 )",2318,"(+/- 1127 )",5546,"(+/- 1110 )",5005,"(+/- 1383 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1107,"(+/- 529 )",1398,"(+/- 878 )",896,"(+/- 602 )",860,"(+/- 567 )",1605,"(+/- 782 )",1099,"(+/- 745 )",1513,"(+/- 754 )",1215,"(+/- 1169 )",2807,"(+/- 1972 )"
People,"Veteran Status","Civilian population 18 years and over",603849,"(+/- 8507 )",583440,"(+/- 8432 )",582449,"(+/- 14178 )",667742,"(+/- 11414 )",633750,"(+/- 10918 )",660059,"(+/- 13823 )",607721,"(+/- 14933 )",622899,"(+/- 11025 )",653024,"(+/- 12496 )"
People,"Veteran Status","Civilian veterans",51824,"(+/- 4019 )",70339,"(+/- 3991 )",36978,"(+/- 3348 )",86450,"(+/- 4520 )",54958,"(+/- 4294 )",47420,"(+/- 3897 )",23896,"(+/- 2667 )",66960,"(+/- 3763 )",39529,"(+/- 3326 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",763470,"(+/- 10255 )",708507,"(+/- 12686 )",784050,"(+/- 19052 )",799297,"(+/- 15606 )",848045,"(+/- 12712 )",812997,"(+/- 18250 )",847070,"(+/- 21653 )",786377,"(+/- 12573 )",816091,"(+/- 17613 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",121874,"(+/- 5599 )",113833,"(+/- 6074 )",99466,"(+/- 6545 )",141265,"(+/- 7399 )",92190,"(+/- 4835 )",92226,"(+/- 6104 )",94880,"(+/- 6387 )",103949,"(+/- 6215 )",86798,"(+/- 6043 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",177450,"(+/- 5937 )",138060,"(+/- 6669 )",216151,"(+/- 9550 )",153462,"(+/- 6546 )",215560,"(+/- 7668 )",154517,"(+/- 7855 )",245119,"(+/- 10781 )",172041,"(+/- 7837 )",165072,"(+/- 10002 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",8106,"(+/- 1524 )",6667,"(+/- 1568 )",10971,"(+/- 2484 )",7842,"(+/- 1911 )",7090,"(+/- 1494 )",5622,"(+/- 1429 )",10079,"(+/- 2626 )",7219,"(+/- 1670 )",5685,"(+/- 1402 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",431949,"(+/- 9134 )",409556,"(+/- 8519 )",471865,"(+/- 13010 )",416175,"(+/- 11879 )",486575,"(+/- 10369 )",497249,"(+/- 13231 )",529876,"(+/- 14077 )",437644,"(+/- 10472 )",552649,"(+/- 12616 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",57167,"(+/- 4241 )",54715,"(+/- 4102 )",49756,"(+/- 4004 )",56897,"(+/- 5072 )",39759,"(+/- 3824 )",44012,"(+/- 4209 )",55218,"(+/- 4605 )",42183,"(+/- 3979 )",50156,"(+/- 4404 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",154071,"(+/- 5677 )",160891,"(+/- 3639 )",96034,"(+/- 4449 )",229660,"(+/- 4398 )",145910,"(+/- 5830 )",161231,"(+/- 5996 )",72075,"(+/- 4463 )",176692,"(+/- 6849 )",98370,"(+/- 5398 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",56601,"(+/- 3216 )",52451,"(+/- 3958 )",38739,"(+/- 3202 )",76526,"(+/- 4851 )",45341,"(+/- 3102 )",42592,"(+/- 3788 )",29583,"(+/- 2983 )",54547,"(+/- 3983 )",30957,"(+/- 2743 )"
People,"Residence 1 Year Ago","Population 1 year and over",773623,"(+/- 10384 )",726636,"(+/- 13113 )",790719,"(+/- 18791 )",818776,"(+/- 15034 )",839938,"(+/- 12961 )",807775,"(+/- 17744 )",841929,"(+/- 21663 )",792268,"(+/- 12546 )",808956,"(+/- 17020 )"
People,"Residence 1 Year Ago","Same house",659340,"(+/- 12664 )",600644,"(+/- 13612 )",658778,"(+/- 17649 )",695386,"(+/- 17643 )",722471,"(+/- 15345 )",682635,"(+/- 18332 )",718634,"(+/- 21363 )",671356,"(+/- 14919 )",629532,"(+/- 15767 )"
People,"Residence 1 Year Ago","Different house in the U.S.",112008,"(+/- 8483 )",119060,"(+/- 8677 )",123574,"(+/- 11404 )",120876,"(+/- 10453 )",113804,"(+/- 10622 )",121121,"(+/- 8883 )",119095,"(+/- 11592 )",118196,"(+/- 9977 )",167496,"(+/- 10154 )"
People,"Residence 1 Year Ago","Same county",53642,"(+/- 6652 )",75682,"(+/- 6818 )",90261,"(+/- 9439 )",53067,"(+/- 7431 )",74654,"(+/- 7992 )",84320,"(+/- 7353 )",100418,"(+/- 11160 )",83909,"(+/- 8952 )",120751,"(+/- 8830 )"
People,"Residence 1 Year Ago","Different county",58366,"(+/- 6267 )",43378,"(+/- 4611 )",33313,"(+/- 5258 )",67809,"(+/- 7989 )",39150,"(+/- 5591 )",36801,"(+/- 5578 )",18677,"(+/- 3214 )",34287,"(+/- 5294 )",46745,"(+/- 5605 )"
People,"Residence 1 Year Ago","Same state",33371,"(+/- 5251 )",12241,"(+/- 2936 )",12202,"(+/- 1807 )",30213,"(+/- 6135 )",7636,"(+/- 2380 )",7213,"(+/- 2969 )",4398,"(+/- 1392 )",4728,"(+/- 1244 )",13229,"(+/- 4116 )"
People,"Residence 1 Year Ago","Different state",24995,"(+/- 3722 )",31137,"(+/- 3615 )",21111,"(+/- 5005 )",37596,"(+/- 4753 )",31514,"(+/- 4999 )",29588,"(+/- 4864 )",14279,"(+/- 2673 )",29559,"(+/- 5056 )",33516,"(+/- 4068 )"
People,"Residence 1 Year Ago",Abroad,2275,"(+/- 1022 )",6932,"(+/- 2578 )",8367,"(+/- 4572 )",2514,"(+/- 878 )",3663,"(+/- 1133 )",4019,"(+/- 1610 )",4200,"(+/- 1649 )",2716,"(+/- 1281 )",11928,"(+/- 3329 )"
Workers,"Employment Status","Population 16 years and over",623108,"(+/- 8845 )",609162,"(+/- 9459 )",606762,"(+/- 14585 )",689590,"(+/- 11567 )",661000,"(+/- 11393 )",677880,"(+/- 14123 )",632766,"(+/- 15565 )",648618,"(+/- 11528 )",671721,"(+/- 13317 )"
Workers,"Employment Status","In labor force",324277,"(+/- 8812 )",352679,"(+/- 9296 )",377960,"(+/- 12112 )",329726,"(+/- 10247 )",427019,"(+/- 9960 )",433738,"(+/- 12225 )",415102,"(+/- 11369 )",373448,"(+/- 10539 )",472357,"(+/- 11782 )"
Workers,"Employment Status","Civilian labor force",323653,"(+/- 8884 )",341532,"(+/- 8969 )",375174,"(+/- 12131 )",325365,"(+/- 10004 )",426509,"(+/- 9971 )",433738,"(+/- 12225 )",414380,"(+/- 11435 )",369982,"(+/- 10512 )",471837,"(+/- 11743 )"
Workers,"Employment Status",Employed,301393,"(+/- 8795 )",325435,"(+/- 8572 )",346135,"(+/- 11457 )",307949,"(+/- 10105 )",410184,"(+/- 9640 )",418800,"(+/- 11804 )",391716,"(+/- 11074 )",353220,"(+/- 9935 )",450470,"(+/- 11892 )"
Workers,"Employment Status",Unemployed,22260,"(+/- 2806 )",16097,"(+/- 2532 )",29039,"(+/- 3919 )",17416,"(+/- 2676 )",16325,"(+/- 1998 )",14938,"(+/- 2507 )",22664,"(+/- 3192 )",16762,"(+/- 2559 )",21367,"(+/- 2685 )"
Workers,"Employment Status","Armed Forces",624,"(+/- 458 )",11147,"(+/- 1682 )",2786,"(+/- 1084 )",4361,"(+/- 1254 )",510,"(+/- 590 )",0,"(+/- 218 )",722,"(+/- 643 )",3466,"(+/- 759 )",520,"(+/- 470 )"
