cdTopic,Subject,Title,District 01 Estimate,District (At Large) MOE
Workers,Industry,Civilian employed population 16 years and over,283750,(+/- 5185 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",32253,(+/- 3037 )
Workers,Industry,Construction,24292,(+/- 3038 )
Workers,Industry,Manufacturing,10689,(+/- 1974 )
Workers,Industry,Wholesale trade,5070,(+/- 1307 )
Workers,Industry,Retail trade,29876,(+/- 3163 )
Workers,Industry,"Transportation and warehousing, and utilities",16868,(+/- 2135 )
Workers,Industry,Information,3236,(+/- 987 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",12755,(+/- 1780 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",22242,(+/- 2403 )
Workers,Industry,"Educational services, and health care and social assistance",69635,(+/- 3679 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",27200,(+/- 2962 )
Workers,Industry,"Other services, except public administration",12639,(+/- 2209 )
Workers,Industry,Public administration,16995,(+/- 2078 )
Workers,Class of Worker,Civilian employed population 16 years and over,283750,(+/- 5185 )
Workers,Class of Worker,Private wage and salary workers,200625,(+/- 5052 )
Workers,Class of Worker,Government workers,61560,(+/- 3932 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,21026,(+/- 2535 )
Workers,Class of Worker,Unpaid family workers,539,(+/- 416 )
Housing,Housing Occupancy,Total housing units,280281,(+/- 97 )
Housing,Housing Occupancy,Occupied housing units,233128,(+/- 3322 )
Housing,Housing Occupancy,Vacant housing units,47153,(+/- 3344 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.4,(+/- 0.5 )
Housing,Housing Occupancy,Rental vacancy rate,12.9,(+/- 2.0 )
Housing,Housing Tenure,Occupied housing units,233128,(+/- 3322 )
Housing,Housing Tenure,Owner-occupied,167582,(+/- 4047 )
Housing,Housing Tenure,Renter-occupied,65546,(+/- 4070 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.5,(+/- 0.05 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.22,(+/- 0.10 )
Housing,Year Householder Moved into Unit,Occupied housing units,233128,(+/- 3322 )
Housing,Year Householder Moved into Unit,Moved in 2017 or later,74742,(+/- 3952 )
Housing,Year Householder Moved into Unit,Moved in 2015 to 2016,27436,(+/- 2554 )
Housing,Year Householder Moved into Unit,Moved in 2014 to 2014,37768,(+/- 3013 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,44894,(+/- 3080 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,22563,(+/- 2728 )
Housing,Year Householder Moved into Unit,Moved in 1989 and earlier,25725,(+/- 2333 )
Housing,Value,Owner-occupied units,167582,(+/- 4047 )
Housing,Value,"Less than $50,000",13307,(+/- 2037 )
Housing,Value,"$50,000 to $99,999",8743,(+/- 1381 )
Housing,Value,"$100,000 to $149,999",13298,(+/- 1742 )
Housing,Value,"$150,000 to $199,999",30210,(+/- 2744 )
Housing,Value,"$200,000 to $299,999",50316,(+/- 3653 )
Housing,Value,"$300,000 to $499,999",35416,(+/- 2989 )
Housing,Value,"$500,000 to $999,999",11485,(+/- 1796 )
Housing,Value,"$1,000,000 or more",4807,(+/- 1178 )
Housing,Value,Median (dollars),235200,(+/- 6203 )
Housing,Mortgage Status,Owner-occupied units,167582,(+/- 4047 )
Housing,Mortgage Status,Housing units with a mortgage,99193,(+/- 4712 )
Housing,Mortgage Status,Housing units without a mortgage,68389,(+/- 2974 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,99193,(+/- 4712 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,943,(+/- 582 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,16160,(+/- 2090 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",38511,(+/- 3085 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",24482,(+/- 2757 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",10363,(+/- 1688 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",5351,(+/- 1300 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",3383,(+/- 779 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1417,(+/- 37 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,68389,(+/- 2974 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,9422,(+/- 1499 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,22609,(+/- 2262 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,21112,(+/- 2127 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,10092,(+/- 1660 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,3127,(+/- 1027 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",2027,(+/- 664 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),419,(+/- 19 )
Housing,Gross Rent,Occupied units paying rent,59357,(+/- 3863 )
Housing,Gross Rent,Less than $500,7601,(+/- 1521 )
Housing,Gross Rent,$500 to $999,32364,(+/- 3240 )
Housing,Gross Rent,"$1,000 to $1,499",12939,(+/- 2187 )
Housing,Gross Rent,"$1,500 to $1,999",5021,(+/- 1194 )
Housing,Gross Rent,"$2,000 to $2,499",1265,(+/- 846 )
Housing,Gross Rent,"$2,500 to $2,999",76,(+/- 129 )
Housing,Gross Rent,"$3,000 or more",91,(+/- 154 )
Housing,Gross Rent,Median (dollars),822,(+/- 33 )
Housing,Gross Rent,No rent paid,6189,(+/- 1241 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),Total households,233128,(+/- 3322 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),"Less than $10,000",11707,(+/- 1905 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),"$10,000 to $14,999",9486,(+/- 1853 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),"$15,000 to $24,999",19140,(+/- 1987 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),"$25,000 to $34,999",19996,(+/- 2551 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),"$35,000 to $49,999",24516,(+/- 2722 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),"$50,000 to $74,999",47692,(+/- 3467 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),"$75,000 to $99,999",35493,(+/- 3298 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),"$100,000 to $149,999",38610,(+/- 3240 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),"$150,000 to $199,000",14838,(+/- 1892 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),"$200,000 or more",11650,(+/- 1656 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),Median household income (dollars),65003,(+/- 2118 )
Socioeconomic,Income and Benefits (In 2019 inflation-adjusted dollars),Mean household income (dollars),83155,(+/- 2932 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,568859,(+/- 919 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,498806,(+/- 7189 )
Socioeconomic,Health Insurance Coverage,With private health insurance,407193,(+/- 9218 )
Socioeconomic,Health Insurance Coverage,With public coverage,165870,(+/- 5199 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,70053,(+/- 7237 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 19 years,143312,(+/- 2891 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,15245,(+/- 2585 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,6.6,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,11,(+/- 2.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,15.5,(+/- 6.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,3.3,(+/- 0.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,4.1,(+/- 1.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,5,(+/- 3.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no spouse present",25.1,(+/- 5.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,36.8,(+/- 8.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,63.8,(+/- 19.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,10.1,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,11.6,(+/- 2.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,11,(+/- 2.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,14.5,(+/- 4.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,9.9,(+/- 2.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,9.7,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,7.4,(+/- 1.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,7,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,22.6,(+/- 2.3 )
Education,School Enrollment,Population 3 years and over enrolled in school,146180,(+/- 4338 )
Education,School Enrollment,"Nursery school, preschool",8160,(+/- 1448 )
Education,School Enrollment,Kindergarten,6715,(+/- 1442 )
Education,School Enrollment,Elementary school (grades 1-8),64720,(+/- 2727 )
Education,School Enrollment,High school (grades 9-12),29007,(+/- 2504 )
Education,School Enrollment,College or graduate school,37578,(+/- 3276 )
Education,Educational Attainment,Population 25 years and over,389847,(+/- 2859 )
Education,Educational Attainment,Less than 9th grade,6546,(+/- 1300 )
Education,Educational Attainment,"9th to 12th grade, no diploma",14704,(+/- 2276 )
Education,Educational Attainment,High school graduate (includes equivalency),117501,(+/- 6522 )
Education,Educational Attainment,"Some college, no degree",93505,(+/- 5150 )
Education,Educational Attainment,Associate's degree,44034,(+/- 3480 )
Education,Educational Attainment,Bachelor's degree,73183,(+/- 4387 )
Education,Educational Attainment,Graduate or professional degree,40374,(+/- 3126 )
Education,Educational Attainment,Percent high school graduate or higher,94.5,(+/- 0.7 )
Education,Educational Attainment,Percent bachelor's degree or higher,29.1,(+/- 1.4 )
,,,,
"The Census Bureau did not collect district boundaries for the 117th Congress, in keeping with the practice of not collecting the session which aligns with the decennial census. ",,,,
American Community Survey and County Business Patterns for districts in North Carolina are not currently available.  Estimates for the 116th Congressional districts and state and local geographies are available at data.census.gov.,,,,
,,,,
Source: 2019 American Community Survey 1-Year Estimates,,,,
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics.",,,,
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race.",,,,
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",,,,
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.,,,,
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.,,,,
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.,,,,
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.,,,,
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,
An '(X)' means that the estimate is not applicable or not available,,,,
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes.",,,,
,,,,
Topic,Subject,Title,District (At Large) Estimate,District (At Large) Flag
Business,Paid employees for pay period including March 12,Total for all sectors,207016,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",214,G
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",16988,G
Business,Paid employees for pay period including March 12,Utilities,2674,J
Business,Paid employees for pay period including March 12,Construction,18121,G
Business,Paid employees for pay period including March 12,Manufacturing,10511,G
Business,Paid employees for pay period including March 12,Wholesale trade,7538,G
Business,Paid employees for pay period including March 12,Retail trade,30007,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,9712,G
Business,Paid employees for pay period including March 12,Information,4022,G
Business,Paid employees for pay period including March 12,Finance and insurance,6943,G
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,4644,G
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",10556,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,1316,H
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,7142,G
Business,Paid employees for pay period including March 12,Educational services,2090,G
Business,Paid employees for pay period including March 12,Health care and social assistance,32643,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",5171,H
Business,Paid employees for pay period including March 12,Accommodation and food services,28374,G
Business,Paid employees for pay period including March 12,Other services (except public administration),8279,G
Business,Paid employees for pay period including March 12,Industries not classified,71,H
Business,"Annual payroll ($1,000)",Total for all sectors,10422564,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",8654,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",1565305,G
Business,"Annual payroll ($1,000)",Utilities,261183,J
Business,"Annual payroll ($1,000)",Construction,1107468,G
Business,"Annual payroll ($1,000)",Manufacturing,794857,G
Business,"Annual payroll ($1,000)",Wholesale trade,484370,G
Business,"Annual payroll ($1,000)",Retail trade,931694,G
Business,"Annual payroll ($1,000)",Transportation and warehousing,545516,G
Business,"Annual payroll ($1,000)",Information,194065,G
Business,"Annual payroll ($1,000)",Finance and insurance,435545,G
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,244483,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",662417,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,106786,G
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,283386,G
Business,"Annual payroll ($1,000)",Educational services,65982,G
Business,"Annual payroll ($1,000)",Health care and social assistance,1700766,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",115168,G
Business,"Annual payroll ($1,000)",Accommodation and food services,630365,G
Business,"Annual payroll ($1,000)",Other services (except public administration),281779,G
Business,"Annual payroll ($1,000)",Industries not classified,2775,G
Business,Total Establishments,Total for all sectors,21578,X
Business,Total Establishments,"Agriculture, forestry, fishing and hunting",88,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",672,X
Business,Total Establishments,Utilities,155,X
Business,Total Establishments,Construction,2715,X
Business,Total Establishments,Manufacturing,580,X
Business,Total Establishments,Wholesale trade,802,X
Business,Total Establishments,Retail trade,2559,X
Business,Total Establishments,Transportation and warehousing,965,X
Business,Total Establishments,Information,421,X
Business,Total Establishments,Finance and insurance,1085,X
Business,Total Establishments,Real estate and rental and leasing,1238,X
Business,Total Establishments,"Professional, scientific, and technical services",2641,X
Business,Total Establishments,Management of companies and enterprises,86,X
Business,Total Establishments,Administrative and support and waste management and remediation services,1091,X
Business,Total Establishments,Educational services,223,X
Business,Total Establishments,Health care and social assistance,2029,X
Business,Total Establishments,"Arts, entertainment, and recreation",475,X
Business,Total Establishments,Accommodation and food services,1829,X
Business,Total Establishments,Other services (except public administration),1853,X
Business,Total Establishments,Industries not classified,71,X
,,,,
"The Census Bureau did not collect district boundaries for the 117th Congress, in keeping with the practice of not collecting the session which aligns with the decennial census. ",,,,
American Community Survey and County Business Patterns for districts in North Carolina are not currently available.  Estimates for the 116th Congressional districts and state and local geographies are available at data.census.gov.,,,,
,,,,
Source: 2019 County Business Patterns for Congressional Districts,,,,
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry.",,,,
2. Industries not classified - Industry could not be determined.,,,,
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates.",,,,
4. Disclosure and Quality Indicator Flag Definitions:,,,,
G Cell value changed by less than 2 percent by the application of noise,,,,
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise,,,,
J Cell value changed by 5 percent or more by the application of noise,,,,
S Cell value withheld because it did not meet publication standards,,,,
N Not available or not comparable,,,,
X Not applicable,,,,
