cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","45 to 54 years",99483,"(+/- 4344 )",100407,"(+/- 4626 )",103824,"(+/- 4557 )",94294,"(+/- 4164 )",100671,"(+/- 4372 )",98052,"(+/- 5331 )",84095,"(+/- 5219 )",85449,"(+/- 5124 )",87474,"(+/- 4710 )",86946,"(+/- 6230 )",97431,"(+/- 3164 )",81047,"(+/- 6049 )",93363,"(+/- 5885 )",90986,"(+/- 5464 )",90694,"(+/- 3932 )",96355,"(+/- 5178 )",95196,"(+/- 3456 )",98662,"(+/- 2455 )",92801,"(+/- 2906 )",88918,"(+/- 2961 )",87525,"(+/- 1732 )",83170,"(+/- 1523 )",81503,"(+/- 1623 )",89662,"(+/- 1222 )",85891,"(+/- 1195 )",79360,"(+/- 3311 )",98408,"(+/- 3588 )"
People,"Sex and Age","55 to 59 years",51967,"(+/- 3526 )",51398,"(+/- 4052 )",57291,"(+/- 3647 )",52566,"(+/- 3597 )",58498,"(+/- 3379 )",55806,"(+/- 3010 )",37764,"(+/- 3595 )",46684,"(+/- 3488 )",40888,"(+/- 3333 )",39422,"(+/- 4001 )",51385,"(+/- 3656 )",34187,"(+/- 3542 )",47163,"(+/- 4018 )",43619,"(+/- 3908 )",42521,"(+/- 3092 )",47227,"(+/- 3049 )",48485,"(+/- 3449 )",53687,"(+/- 3518 )",55559,"(+/- 3123 )",46959,"(+/- 2804 )",53317,"(+/- 2890 )",48014,"(+/- 2370 )",49628,"(+/- 2217 )",49299,"(+/- 2660 )",50822,"(+/- 2566 )",49422,"(+/- 3055 )",56093,"(+/- 3195 )"
People,"Sex and Age","60 to 64 years",52312,"(+/- 3763 )",51476,"(+/- 3447 )",54839,"(+/- 3244 )",48610,"(+/- 3242 )",47220,"(+/- 3372 )",49540,"(+/- 3837 )",35533,"(+/- 3450 )",45350,"(+/- 3697 )",44542,"(+/- 3988 )",44435,"(+/- 4188 )",45570,"(+/- 2905 )",37743,"(+/- 3622 )",37884,"(+/- 2939 )",34847,"(+/- 3399 )",39010,"(+/- 3606 )",48691,"(+/- 3470 )",50035,"(+/- 3980 )",48171,"(+/- 3252 )",57245,"(+/- 3227 )",50051,"(+/- 2973 )",49359,"(+/- 2224 )",52562,"(+/- 2505 )",50800,"(+/- 2331 )",53015,"(+/- 2732 )",47414,"(+/- 2646 )",48880,"(+/- 3224 )",56787,"(+/- 3081 )"
People,"Sex and Age","65 to 74 years",75336,"(+/- 3616 )",61673,"(+/- 3661 )",79594,"(+/- 4426 )",71862,"(+/- 3015 )",70209,"(+/- 2918 )",69133,"(+/- 3718 )",49422,"(+/- 3750 )",66289,"(+/- 4109 )",68356,"(+/- 3923 )",69073,"(+/- 4974 )",73056,"(+/- 2131 )",62616,"(+/- 4756 )",55996,"(+/- 3916 )",56968,"(+/- 3498 )",44129,"(+/- 2761 )",71502,"(+/- 3912 )",65650,"(+/- 3036 )",66075,"(+/- 2093 )",87496,"(+/- 2531 )",74748,"(+/- 2122 )",76261,"(+/- 1574 )",73933,"(+/- 1282 )",77953,"(+/- 1166 )",71454,"(+/- 1157 )",72866,"(+/- 824 )",69918,"(+/- 2691 )",82324,"(+/- 2913 )"
People,"Sex and Age","75 to 84 years",38310,"(+/- 2570 )",35499,"(+/- 2546 )",48092,"(+/- 3728 )",33695,"(+/- 2314 )",35216,"(+/- 2334 )",38506,"(+/- 2832 )",26720,"(+/- 2808 )",38851,"(+/- 2667 )",32931,"(+/- 2634 )",33916,"(+/- 4114 )",34858,"(+/- 1925 )",40371,"(+/- 4044 )",30226,"(+/- 3088 )",34165,"(+/- 3731 )",24333,"(+/- 2334 )",42974,"(+/- 3741 )",38903,"(+/- 2666 )",35607,"(+/- 2000 )",44379,"(+/- 2406 )",36571,"(+/- 1969 )",38182,"(+/- 1373 )",41509,"(+/- 1590 )",39317,"(+/- 1901 )",35061,"(+/- 1866 )",36798,"(+/- 1769 )",32950,"(+/- 2284 )",44504,"(+/- 3152 )"
People,"Sex and Age","85 years and over",14612,"(+/- 2212 )",16053,"(+/- 2165 )",28128,"(+/- 2528 )",17383,"(+/- 2085 )",15906,"(+/- 1680 )",16602,"(+/- 2287 )",11242,"(+/- 2180 )",15464,"(+/- 2140 )",11549,"(+/- 1616 )",15471,"(+/- 2533 )",17988,"(+/- 2256 )",16473,"(+/- 3034 )",14074,"(+/- 2194 )",14975,"(+/- 2883 )",7190,"(+/- 1262 )",22776,"(+/- 3481 )",16298,"(+/- 1750 )",12578,"(+/- 1563 )",16217,"(+/- 1674 )",18167,"(+/- 1881 )",15234,"(+/- 1514 )",15854,"(+/- 1399 )",17197,"(+/- 1640 )",18004,"(+/- 1725 )",18072,"(+/- 1673 )",19545,"(+/- 1970 )",16580,"(+/- 2285 )"
People,"Sex and Age","Median age (years)",42.3,"(+/- 0.9 )",40.6,"(+/- 0.8 )",45.9,"(+/- 0.9 )",40.4,"(+/- 0.6 )",39.7,"(+/- 0.6 )",42.0,"(+/- 0.8 )",34.9,"(+/- 0.7 )",36.4,"(+/- 0.7 )",37.2,"(+/- 0.7 )",37.0,"(+/- 0.9 )",39.8,"(+/- 0.6 )",36.2,"(+/- 0.6 )",35.3,"(+/- 0.8 )",37.8,"(+/- 1.0 )",32.1,"(+/- 0.6 )",40.4,"(+/- 0.7 )",39.0,"(+/- 0.6 )",39.7,"(+/- 0.5 )",45.4,"(+/- 0.5 )",39.2,"(+/- 0.5 )",41.5,"(+/- 0.6 )",41.0,"(+/- 0.4 )",41.2,"(+/- 0.4 )",40.4,"(+/- 0.4 )",39.1,"(+/- 0.3 )",38.1,"(+/- 0.7 )",44.4,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",563385,"(+/- 6450 )",551182,"(+/- 9150 )",583035,"(+/- 9756 )",568761,"(+/- 10174 )",594921,"(+/- 14154 )",572844,"(+/- 12828 )",546260,"(+/- 16259 )",616285,"(+/- 13492 )",564414,"(+/- 13426 )",590333,"(+/- 15019 )",572509,"(+/- 7627 )",639014,"(+/- 15147 )",600224,"(+/- 15305 )",555426,"(+/- 13281 )",536837,"(+/- 12358 )",580348,"(+/- 11466 )",558878,"(+/- 5725 )",556501,"(+/- 4897 )",573692,"(+/- 4668 )",587394,"(+/- 4737 )",555922,"(+/- 3783 )",548914,"(+/- 3767 )",553107,"(+/- 3024 )",555788,"(+/- 2743 )",567397,"(+/- 2165 )",561361,"(+/- 5335 )",576733,"(+/- 6452 )"
People,"Sex and Age","65 years and over",128258,"(+/- 4657 )",113225,"(+/- 4397 )",155814,"(+/- 6196 )",122940,"(+/- 4196 )",121331,"(+/- 3801 )",124241,"(+/- 4797 )",87384,"(+/- 5248 )",120604,"(+/- 5133 )",112836,"(+/- 5140 )",118460,"(+/- 7304 )",125902,"(+/- 3026 )",119460,"(+/- 6722 )",100296,"(+/- 5377 )",106108,"(+/- 5390 )",75652,"(+/- 3923 )",137252,"(+/- 6299 )",120851,"(+/- 4017 )",114260,"(+/- 2986 )",148092,"(+/- 3083 )",129486,"(+/- 2584 )",129677,"(+/- 2021 )",131296,"(+/- 1515 )",134467,"(+/- 1583 )",124519,"(+/- 1268 )",127736,"(+/- 1047 )",122413,"(+/- 3181 )",143408,"(+/- 3669 )"
People,Race,"Total population",713168,"(+/- 5293 )",698974,"(+/- 9107 )",725746,"(+/- 11728 )",730314,"(+/- 12509 )",759001,"(+/- 18721 )",714299,"(+/- 18826 )",698794,"(+/- 21552 )",776825,"(+/- 19704 )",720316,"(+/- 19819 )",732732,"(+/- 20718 )",737390,"(+/- 11021 )",725760,"(+/- 18574 )",751661,"(+/- 19085 )",696664,"(+/- 17664 )",739390,"(+/- 17023 )",739893,"(+/- 13763 )",737355,"(+/- 6742 )",718624,"(+/- 5766 )",701011,"(+/- 5617 )",725669,"(+/- 6345 )",694835,"(+/- 5151 )",688391,"(+/- 5314 )",687583,"(+/- 3878 )",701841,"(+/- 4195 )",714657,"(+/- 3027 )",703114,"(+/- 5190 )",719554,"(+/- 6488 )"
People,Race,"One race",698136,"(+/- 5863 )",680511,"(+/- 9812 )",708906,"(+/- 11765 )",700243,"(+/- 12138 )",730756,"(+/- 17623 )",690752,"(+/- 18554 )",668332,"(+/- 20956 )",752497,"(+/- 19908 )",693980,"(+/- 19174 )",710154,"(+/- 20711 )",719983,"(+/- 10463 )",701216,"(+/- 18501 )",710080,"(+/- 19577 )",665888,"(+/- 18993 )",709306,"(+/- 17868 )",710049,"(+/- 13100 )",716558,"(+/- 7419 )",694569,"(+/- 7447 )",679049,"(+/- 6302 )",690865,"(+/- 7877 )",679585,"(+/- 4971 )",665786,"(+/- 5743 )",671362,"(+/- 4240 )",675513,"(+/- 5021 )",692728,"(+/- 4977 )",681288,"(+/- 5937 )",706171,"(+/- 6893 )"
People,Race,White,609438,"(+/- 10232 )",516218,"(+/- 13866 )",532099,"(+/- 12803 )",470752,"(+/- 11642 )",131438,"(+/- 10949 )",295148,"(+/- 13161 )",338843,"(+/- 14693 )",245758,"(+/- 12617 )",260531,"(+/- 10361 )",503607,"(+/- 16826 )",511527,"(+/- 8723 )",515038,"(+/- 15239 )",225691,"(+/- 15423 )",288342,"(+/- 13163 )",120577,"(+/- 11498 )",328712,"(+/- 10787 )",509344,"(+/- 9721 )",554583,"(+/- 9226 )",610864,"(+/- 6234 )",568073,"(+/- 6842 )",642777,"(+/- 5167 )",610787,"(+/- 5293 )",621613,"(+/- 4682 )",584533,"(+/- 4703 )",535686,"(+/- 5434 )",494724,"(+/- 6246 )",666977,"(+/- 7521 )"
People,Race,"Black or African American",36942,"(+/- 5403 )",69762,"(+/- 7057 )",20765,"(+/- 4421 )",111223,"(+/- 6468 )",373374,"(+/- 10194 )",38428,"(+/- 6793 )",81657,"(+/- 7808 )",403080,"(+/- 13786 )",336566,"(+/- 13031 )",27045,"(+/- 5260 )",57105,"(+/- 3520 )",38876,"(+/- 7915 )",221387,"(+/- 11939 )",72978,"(+/- 7481 )",310436,"(+/- 14038 )",237018,"(+/- 11620 )",83239,"(+/- 6973 )",76169,"(+/- 4172 )",34081,"(+/- 3492 )",67434,"(+/- 3885 )",19695,"(+/- 1709 )",26576,"(+/- 3096 )",20206,"(+/- 1666 )",59333,"(+/- 3403 )",113229,"(+/- 3359 )",128828,"(+/- 3374 )",18872,"(+/- 2804 )"
People,Race,"American Indian and Alaska Native",924,"(+/- 629 )",3803,"(+/- 1329 )",3957,"(+/- 2130 )",1491,"(+/- 913 )",4955,"(+/- 1793 )",2983,"(+/- 1747 )",3959,"(+/- 1883 )",1588,"(+/- 1067 )",2229,"(+/- 1693 )",2096,"(+/- 1608 )",1128,"(+/- 650 )",651,"(+/- 439 )",4197,"(+/- 2563 )",4367,"(+/- 2101 )",3309,"(+/- 1394 )",4822,"(+/- 1608 )",491,"(+/- 346 )",2029,"(+/- 1648 )",1839,"(+/- 996 )",529,"(+/- 381 )",3358,"(+/- 988 )",1382,"(+/- 576 )",4071,"(+/- 547 )",3472,"(+/- 1176 )",1744,"(+/- 727 )",3868,"(+/- 1255 )",4318,"(+/- 1139 )"
People,Race,Asian,29313,"(+/- 3660 )",28460,"(+/- 5031 )",120882,"(+/- 8122 )",53351,"(+/- 4903 )",114487,"(+/- 8558 )",288295,"(+/- 11143 )",127614,"(+/- 9430 )",47331,"(+/- 6433 )",52578,"(+/- 5360 )",136773,"(+/- 9196 )",113667,"(+/- 7357 )",112130,"(+/- 8337 )",32000,"(+/- 4460 )",124209,"(+/- 8700 )",13435,"(+/- 3050 )",38057,"(+/- 4020 )",44985,"(+/- 3116 )",22585,"(+/- 1939 )",11043,"(+/- 1506 )",38254,"(+/- 2393 )",8348,"(+/- 1465 )",20425,"(+/- 969 )",16338,"(+/- 1265 )",19686,"(+/- 888 )",26360,"(+/- 1484 )",32751,"(+/- 2124 )",6862,"(+/- 1794 )"
People,Race,"Native Hawaiian and Other Pacific Islander",77,"(+/- 106 )",385,"(+/- 282 )",0,"(+/- 207 )",0,"(+/- 207 )",663,"(+/- 641 )",0,"(+/- 207 )",532,"(+/- 607 )",77,"(+/- 130 )",245,"(+/- 296 )",0,"(+/- 207 )",221,"(+/- 233 )",270,"(+/- 327 )",1226,"(+/- 1537 )",267,"(+/- 271 )",316,"(+/- 426 )",108,"(+/- 126 )",41,"(+/- 70 )",464,"(+/- 499 )",248,"(+/- 251 )",474,"(+/- 472 )",326,"(+/- 357 )",37,"(+/- 61 )",235,"(+/- 207 )",313,"(+/- 263 )",1150,"(+/- 1451 )",287,"(+/- 302 )",315,"(+/- 416 )"
People,Race,"Some other race",21442,"(+/- 5929 )",61883,"(+/- 10814 )",31203,"(+/- 8575 )",63426,"(+/- 9843 )",105839,"(+/- 10949 )",65898,"(+/- 10428 )",115727,"(+/- 11214 )",54663,"(+/- 8342 )",41831,"(+/- 8355 )",40633,"(+/- 9181 )",36335,"(+/- 6398 )",34251,"(+/- 6404 )",225579,"(+/- 15713 )",175725,"(+/- 12274 )",261233,"(+/- 15053 )",101332,"(+/- 12734 )",78458,"(+/- 9282 )",38739,"(+/- 5766 )",20974,"(+/- 4104 )",16101,"(+/- 2566 )",5081,"(+/- 970 )",6579,"(+/- 1464 )",8899,"(+/- 2434 )",8176,"(+/- 2493 )",14559,"(+/- 3275 )",20830,"(+/- 3053 )",8827,"(+/- 2542 )"
People,Race,"Two or more races",15032,"(+/- 3307 )",18463,"(+/- 4265 )",16840,"(+/- 3189 )",30071,"(+/- 5344 )",28245,"(+/- 4119 )",23547,"(+/- 4098 )",30462,"(+/- 5029 )",24328,"(+/- 4709 )",26336,"(+/- 5541 )",22578,"(+/- 3665 )",17407,"(+/- 3781 )",24544,"(+/- 4097 )",41581,"(+/- 6796 )",30776,"(+/- 7929 )",30084,"(+/- 5497 )",29844,"(+/- 5123 )",20797,"(+/- 3543 )",24055,"(+/- 4192 )",21962,"(+/- 3556 )",34804,"(+/- 4449 )",15250,"(+/- 2423 )",22605,"(+/- 3450 )",16221,"(+/- 1913 )",26328,"(+/- 3464 )",21929,"(+/- 3973 )",21826,"(+/- 3216 )",13383,"(+/- 2329 )"
People,"Hispanic or Latino and Race","Total population",713168,"(+/- 5293 )",698974,"(+/- 9107 )",725746,"(+/- 11728 )",730314,"(+/- 12509 )",759001,"(+/- 18721 )",714299,"(+/- 18826 )",698794,"(+/- 21552 )",776825,"(+/- 19704 )",720316,"(+/- 19819 )",732732,"(+/- 20718 )",737390,"(+/- 11021 )",725760,"(+/- 18574 )",751661,"(+/- 19085 )",696664,"(+/- 17664 )",739390,"(+/- 17023 )",739893,"(+/- 13763 )",737355,"(+/- 6742 )",718624,"(+/- 5766 )",701011,"(+/- 5617 )",725669,"(+/- 6345 )",694835,"(+/- 5151 )",688391,"(+/- 5314 )",687583,"(+/- 3878 )",701841,"(+/- 4195 )",714657,"(+/- 3027 )",703114,"(+/- 5190 )",719554,"(+/- 6488 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",127633,"(+/- 11045 )",164794,"(+/- 10654 )",80656,"(+/- 10541 )",163808,"(+/- 9146 )",151796,"(+/- 12391 )",141832,"(+/- 12203 )",273010,"(+/- 14768 )",132766,"(+/- 11330 )",87412,"(+/- 8983 )",98403,"(+/- 10182 )",127339,"(+/- 5752 )",104219,"(+/- 10056 )",409547,"(+/- 15639 )",347621,"(+/- 13255 )",472895,"(+/- 12844 )",207671,"(+/- 11338 )",167343,"(+/- 6926 )",131573,"(+/- 3802 )",59070,"(+/- 3217 )",48551,"(+/- 1691 )",23805,"(+/- 1573 )",27723,"(+/- 895 )",28735,"(+/- 953 )",33280,"(+/- 247 )",67507,"(+/- 404 )",49337,"(+/- 2250 )",20931,"(+/- 2336 )"
People,"Hispanic or Latino and Race",Mexican,8029,"(+/- 2937 )",3131,"(+/- 1632 )",4599,"(+/- 1802 )",7273,"(+/- 2491 )",10219,"(+/- 3285 )",17977,"(+/- 5206 )",41608,"(+/- 7099 )",11298,"(+/- 3239 )",15033,"(+/- 4820 )",22165,"(+/- 6683 )",24134,"(+/- 4981 )",12645,"(+/- 3940 )",48026,"(+/- 10266 )",69215,"(+/- 11431 )",48940,"(+/- 11149 )",36858,"(+/- 7334 )",21567,"(+/- 6333 )",27180,"(+/- 5448 )",9178,"(+/- 3112 )",5237,"(+/- 1381 )",5448,"(+/- 1748 )",1712,"(+/- 815 )",4645,"(+/- 1841 )",3958,"(+/- 1287 )",4430,"(+/- 1602 )",2237,"(+/- 911 )",4069,"(+/- 1320 )"
People,"Hispanic or Latino and Race","Puerto Rican",38370,"(+/- 6976 )",38876,"(+/- 6069 )",14153,"(+/- 3747 )",29029,"(+/- 5458 )",28317,"(+/- 5046 )",34125,"(+/- 6762 )",89192,"(+/- 9292 )",47047,"(+/- 6967 )",23864,"(+/- 5015 )",20589,"(+/- 5039 )",55405,"(+/- 4722 )",28125,"(+/- 4898 )",83866,"(+/- 10709 )",59274,"(+/- 6631 )",163151,"(+/- 11926 )",59316,"(+/- 7082 )",31689,"(+/- 5188 )",57235,"(+/- 5759 )",21647,"(+/- 2986 )",23602,"(+/- 3158 )",10343,"(+/- 1804 )",14874,"(+/- 2351 )",14950,"(+/- 1882 )",16838,"(+/- 2719 )",46465,"(+/- 2996 )",36754,"(+/- 3160 )",9727,"(+/- 2896 )"
People,"Hispanic or Latino and Race",Cuban,1735,"(+/- 878 )",2310,"(+/- 1146 )",2851,"(+/- 1209 )",5163,"(+/- 3014 )",1783,"(+/- 936 )",2844,"(+/- 1369 )",1770,"(+/- 885 )",1725,"(+/- 699 )",2163,"(+/- 1012 )",2892,"(+/- 1537 )",2028,"(+/- 1044 )",4605,"(+/- 1664 )",6050,"(+/- 1500 )",3875,"(+/- 1456 )",2787,"(+/- 956 )",5145,"(+/- 2853 )",3563,"(+/- 1363 )",4245,"(+/- 1699 )",2703,"(+/- 1137 )",1072,"(+/- 641 )",51,"(+/- 93 )",671,"(+/- 409 )",596,"(+/- 438 )",2128,"(+/- 998 )",3077,"(+/- 1291 )",1203,"(+/- 801 )",961,"(+/- 656 )"
