cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","45 to 54 years",93769,"(+/- 2511 )",90658,"(+/- 3130 )",90947,"(+/- 3593 )",107131,"(+/- 3968 )",87029,"(+/- 4481 )",94425,"(+/- 2955 )",104539,"(+/- 3917 )",91242,"(+/- 1871 )",113581,"(+/- 6209 )",106835,"(+/- 4684 )",83369,"(+/- 4675 )",106659,"(+/- 3171 )",91877,"(+/- 2871 )",113919,"(+/- 4249 )",101123,"(+/- 7357 )",104543,"(+/- 4327 )",87683,"(+/- 4897 )",94350,"(+/- 4621 )",90471,"(+/- 3388 )",103343,"(+/- 6074 )",97395,"(+/- 4503 )",106395,"(+/- 5427 )",112211,"(+/- 5814 )",90898,"(+/- 5370 )",116745,"(+/- 5498 )",117495,"(+/- 6083 )",109602,"(+/- 6392 )"
People,"Sex and Age","55 to 59 years",58589,"(+/- 3167 )",52660,"(+/- 3098 )",50194,"(+/- 3418 )",59368,"(+/- 4077 )",47384,"(+/- 2951 )",57657,"(+/- 3363 )",53008,"(+/- 4511 )",65861,"(+/- 3269 )",53109,"(+/- 3982 )",51146,"(+/- 4476 )",51828,"(+/- 3857 )",57826,"(+/- 3330 )",57264,"(+/- 3068 )",49235,"(+/- 3449 )",54737,"(+/- 4105 )",60987,"(+/- 3158 )",55910,"(+/- 3562 )",56619,"(+/- 4083 )",52611,"(+/- 3322 )",50904,"(+/- 4647 )",50846,"(+/- 3805 )",57258,"(+/- 3685 )",53501,"(+/- 4339 )",47742,"(+/- 4468 )",60315,"(+/- 5124 )",56467,"(+/- 4130 )",52393,"(+/- 3813 )"
People,"Sex and Age","60 to 64 years",52499,"(+/- 3239 )",49070,"(+/- 3139 )",48298,"(+/- 3015 )",53738,"(+/- 4206 )",42606,"(+/- 3040 )",66038,"(+/- 3202 )",41555,"(+/- 2980 )",59850,"(+/- 3268 )",53647,"(+/- 4163 )",48552,"(+/- 3953 )",60051,"(+/- 3735 )",54754,"(+/- 3151 )",63914,"(+/- 3023 )",49285,"(+/- 3423 )",48829,"(+/- 4838 )",62298,"(+/- 3994 )",60061,"(+/- 3600 )",60734,"(+/- 3868 )",65113,"(+/- 3719 )",47818,"(+/- 4315 )",52753,"(+/- 3871 )",53604,"(+/- 4030 )",48922,"(+/- 4426 )",45672,"(+/- 4377 )",45219,"(+/- 4129 )",43237,"(+/- 3840 )",44224,"(+/- 4252 )"
People,"Sex and Age","65 to 74 years",81767,"(+/- 1493 )",87628,"(+/- 3037 )",76498,"(+/- 2635 )",88191,"(+/- 3262 )",60046,"(+/- 3190 )",116136,"(+/- 2734 )",68334,"(+/- 3166 )",108531,"(+/- 1508 )",88573,"(+/- 4683 )",60986,"(+/- 3547 )",161839,"(+/- 3231 )",104820,"(+/- 3041 )",97218,"(+/- 2836 )",66633,"(+/- 3245 )",76309,"(+/- 5082 )",129499,"(+/- 4085 )",136255,"(+/- 3860 )",107590,"(+/- 3371 )",141029,"(+/- 2946 )",59509,"(+/- 4303 )",101651,"(+/- 3745 )",90717,"(+/- 4719 )",74292,"(+/- 4433 )",64373,"(+/- 4382 )",75543,"(+/- 3787 )",70601,"(+/- 4445 )",68515,"(+/- 4532 )"
People,"Sex and Age","75 to 84 years",39721,"(+/- 2185 )",46360,"(+/- 2497 )",39754,"(+/- 2206 )",41766,"(+/- 2740 )",30587,"(+/- 2254 )",64748,"(+/- 3339 )",36977,"(+/- 3165 )",69317,"(+/- 2958 )",48057,"(+/- 3977 )",26684,"(+/- 2590 )",112236,"(+/- 4718 )",71649,"(+/- 3013 )",53650,"(+/- 3208 )",31917,"(+/- 2494 )",40626,"(+/- 3769 )",78578,"(+/- 3843 )",97033,"(+/- 4164 )",75565,"(+/- 3791 )",97268,"(+/- 3178 )",35891,"(+/- 3820 )",73442,"(+/- 4067 )",53336,"(+/- 3701 )",36026,"(+/- 2930 )",33702,"(+/- 2753 )",52290,"(+/- 3394 )",36582,"(+/- 3760 )",50288,"(+/- 3739 )"
People,"Sex and Age","85 years and over",15745,"(+/- 1817 )",15334,"(+/- 2119 )",13695,"(+/- 1882 )",15127,"(+/- 2142 )",9061,"(+/- 1440 )",24199,"(+/- 2472 )",14711,"(+/- 1755 )",24327,"(+/- 2673 )",17322,"(+/- 2618 )",8920,"(+/- 1848 )",30658,"(+/- 3695 )",22623,"(+/- 2222 )",24965,"(+/- 2489 )",13600,"(+/- 2105 )",15108,"(+/- 2526 )",31824,"(+/- 3187 )",30575,"(+/- 2780 )",26720,"(+/- 2801 )",33118,"(+/- 3155 )",17375,"(+/- 2557 )",36371,"(+/- 3211 )",26470,"(+/- 3254 )",19120,"(+/- 2659 )",13200,"(+/- 2571 )",24168,"(+/- 3266 )",13591,"(+/- 2578 )",23138,"(+/- 3153 )"
People,"Sex and Age","Median age (years)",38.8,"(+/- 0.5 )",42.7,"(+/- 0.7 )",37.9,"(+/- 0.6 )",39.3,"(+/- 0.7 )",34.7,"(+/- 0.6 )",48.2,"(+/- 0.5 )",36.9,"(+/- 0.8 )",48.3,"(+/- 0.4 )",38.0,"(+/- 0.7 )",36.1,"(+/- 0.7 )",56.0,"(+/- 0.7 )",46.5,"(+/- 0.7 )",47.8,"(+/- 0.7 )",36.4,"(+/- 0.6 )",39.4,"(+/- 0.9 )",48.3,"(+/- 0.7 )",52.7,"(+/- 1.1 )",48.1,"(+/- 0.7 )",52.0,"(+/- 0.7 )",36.9,"(+/- 0.8 )",47.0,"(+/- 0.9 )",45.8,"(+/- 1.0 )",41.8,"(+/- 0.7 )",37.3,"(+/- 0.8 )",42.8,"(+/- 0.6 )",40.3,"(+/- 0.8 )",42.1,"(+/- 0.9 )"
People,"Sex and Age","18 years and over",627275,"(+/- 1403 )",577876,"(+/- 7359 )",605614,"(+/- 5837 )",658721,"(+/- 10860 )",578609,"(+/- 11564 )",650764,"(+/- 6810 )",655953,"(+/- 13391 )",640378,"(+/- 3405 )",712557,"(+/- 16021 )",622958,"(+/- 15158 )",688043,"(+/- 10161 )",652642,"(+/- 7187 )",618332,"(+/- 6826 )",651159,"(+/- 12219 )",628354,"(+/- 15849 )",716290,"(+/- 10109 )",671188,"(+/- 11516 )",649896,"(+/- 8993 )",700029,"(+/- 9061 )",609277,"(+/- 15019 )",648162,"(+/- 11227 )",627791,"(+/- 11507 )",600852,"(+/- 8700 )",587255,"(+/- 15896 )",640032,"(+/- 16482 )",606766,"(+/- 14700 )",619009,"(+/- 14113 )"
People,"Sex and Age","65 years and over",137233,"(+/- 1905 )",149322,"(+/- 3918 )",129947,"(+/- 3604 )",145084,"(+/- 3888 )",99694,"(+/- 3876 )",205083,"(+/- 3337 )",120022,"(+/- 4338 )",202175,"(+/- 1356 )",153952,"(+/- 6051 )",96590,"(+/- 4653 )",304733,"(+/- 4823 )",199092,"(+/- 3718 )",175833,"(+/- 3702 )",112150,"(+/- 3869 )",132043,"(+/- 6819 )",239901,"(+/- 4759 )",263863,"(+/- 5216 )",209875,"(+/- 4731 )",271415,"(+/- 4533 )",112775,"(+/- 6233 )",211464,"(+/- 4877 )",170523,"(+/- 5717 )",129438,"(+/- 6121 )",111275,"(+/- 5954 )",152001,"(+/- 5458 )",120774,"(+/- 6247 )",141941,"(+/- 6632 )"
People,Race,"Total population",798305,"(+/- 1594 )",720777,"(+/- 9195 )",758939,"(+/- 6802 )",836235,"(+/- 15700 )",742643,"(+/- 16104 )",790455,"(+/- 9332 )",814980,"(+/- 19094 )",780036,"(+/- 5489 )",931872,"(+/- 21323 )",811634,"(+/- 19731 )",813112,"(+/- 12773 )",811308,"(+/- 9679 )",731658,"(+/- 8994 )",831508,"(+/- 17116 )",801294,"(+/- 19880 )",873875,"(+/- 14734 )",804754,"(+/- 13912 )",795742,"(+/- 10675 )",833013,"(+/- 12133 )",802463,"(+/- 16017 )",786566,"(+/- 14424 )",760953,"(+/- 12049 )",762858,"(+/- 8912 )",754731,"(+/- 20042 )",796422,"(+/- 19963 )",780951,"(+/- 18280 )",750653,"(+/- 17949 )"
People,Race,"One race",754484,"(+/- 5200 )",702961,"(+/- 9326 )",733118,"(+/- 7106 )",806105,"(+/- 16831 )",722076,"(+/- 14898 )",770403,"(+/- 10734 )",791019,"(+/- 18513 )",750368,"(+/- 7387 )",904017,"(+/- 21661 )",778679,"(+/- 20962 )",793187,"(+/- 12370 )",782967,"(+/- 9068 )",704622,"(+/- 9269 )",797630,"(+/- 16437 )",780411,"(+/- 19660 )",854184,"(+/- 14966 )",789931,"(+/- 14475 )",772813,"(+/- 11966 )",820502,"(+/- 12860 )",773456,"(+/- 16763 )",764847,"(+/- 13733 )",742283,"(+/- 12612 )",735893,"(+/- 8685 )",735691,"(+/- 19904 )",786566,"(+/- 20248 )",762827,"(+/- 18124 )",735145,"(+/- 17803 )"
People,Race,White,610105,"(+/- 3591 )",584919,"(+/- 8544 )",566550,"(+/- 7749 )",665073,"(+/- 10978 )",330808,"(+/- 11016 )",629851,"(+/- 8079 )",602360,"(+/- 18258 )",645766,"(+/- 6516 )",689400,"(+/- 23383 )",439898,"(+/- 17393 )",703430,"(+/- 13006 )",700266,"(+/- 10061 )",577591,"(+/- 9869 )",570683,"(+/- 15514 )",592165,"(+/- 19622 )",718753,"(+/- 12209 )",689915,"(+/- 14281 )",633471,"(+/- 10364 )",707780,"(+/- 13422 )",307837,"(+/- 16295 )",584990,"(+/- 13421 )",584725,"(+/- 14471 )",549287,"(+/- 14494 )",327064,"(+/- 18242 )",720833,"(+/- 19977 )",634078,"(+/- 16845 )",642481,"(+/- 18031 )"
People,Race,"Black or African American",102694,"(+/- 4190 )",91048,"(+/- 5699 )",124096,"(+/- 6640 )",82632,"(+/- 9624 )",349752,"(+/- 10331 )",85968,"(+/- 6425 )",94528,"(+/- 6929 )",70312,"(+/- 5122 )",121885,"(+/- 10738 )",239675,"(+/- 10326 )",59904,"(+/- 6928 )",44759,"(+/- 3631 )",88347,"(+/- 5213 )",158038,"(+/- 11058 )",113234,"(+/- 9042 )",84474,"(+/- 9747 )",60802,"(+/- 5279 )",101978,"(+/- 8667 )",64865,"(+/- 4739 )",424842,"(+/- 15915 )",127907,"(+/- 10511 )",114958,"(+/- 10402 )",115837,"(+/- 12551 )",355273,"(+/- 14910 )",32792,"(+/- 5211 )",87653,"(+/- 12189 )",42809,"(+/- 8385 )"
People,Race,"American Indian and Alaska Native",3299,"(+/- 1585 )",1585,"(+/- 885 )",2147,"(+/- 729 )",3103,"(+/- 1434 )",2849,"(+/- 1098 )",1529,"(+/- 833 )",3164,"(+/- 1898 )",1830,"(+/- 937 )",3650,"(+/- 1454 )",1295,"(+/- 1131 )",3377,"(+/- 1886 )",2290,"(+/- 845 )",1662,"(+/- 694 )",589,"(+/- 432 )",3641,"(+/- 1607 )",1700,"(+/- 1066 )",3266,"(+/- 953 )",2642,"(+/- 1412 )",1090,"(+/- 894 )",2668,"(+/- 1870 )",3380,"(+/- 2379 )",1058,"(+/- 611 )",2487,"(+/- 1245 )",1500,"(+/- 737 )",679,"(+/- 566 )",2340,"(+/- 2456 )",738,"(+/- 522 )"
People,Race,Asian,19100,"(+/- 1804 )",14734,"(+/- 1655 )",24988,"(+/- 2040 )",38391,"(+/- 4654 )",17521,"(+/- 3541 )",14875,"(+/- 1283 )",41633,"(+/- 4915 )",17410,"(+/- 2526 )",28148,"(+/- 4053 )",42185,"(+/- 5624 )",11809,"(+/- 2219 )",24737,"(+/- 2859 )",25572,"(+/- 2153 )",36629,"(+/- 3823 )",25625,"(+/- 4190 )",19418,"(+/- 2036 )",10214,"(+/- 1956 )",18453,"(+/- 2225 )",15964,"(+/- 1849 )",19999,"(+/- 5039 )",21523,"(+/- 3054 )",26354,"(+/- 3795 )",37555,"(+/- 5374 )",8670,"(+/- 2076 )",9017,"(+/- 2417 )",11038,"(+/- 2692 )",18237,"(+/- 3474 )"
People,Race,"Native Hawaiian and Other Pacific Islander",877,"(+/- 806 )",1504,"(+/- 1238 )",1383,"(+/- 1406 )",684,"(+/- 524 )",149,"(+/- 232 )",870,"(+/- 1264 )",717,"(+/- 763 )",623,"(+/- 87 )",1219,"(+/- 836 )",0,"(+/- 234 )",353,"(+/- 460 )",473,"(+/- 245 )",425,"(+/- 394 )",1021,"(+/- 782 )",1559,"(+/- 1326 )",0,"(+/- 234 )",299,"(+/- 376 )",436,"(+/- 591 )",951,"(+/- 923 )",165,"(+/- 220 )",0,"(+/- 234 )",574,"(+/- 558 )",688,"(+/- 743 )",1069,"(+/- 1222 )",0,"(+/- 234 )",73,"(+/- 146 )",50,"(+/- 81 )"
People,Race,"Some other race",18409,"(+/- 3097 )",9171,"(+/- 2223 )",13954,"(+/- 4010 )",16222,"(+/- 4684 )",20997,"(+/- 5015 )",37310,"(+/- 6749 )",48617,"(+/- 8701 )",14427,"(+/- 5468 )",59715,"(+/- 9686 )",55626,"(+/- 9171 )",14314,"(+/- 5353 )",10442,"(+/- 2630 )",11025,"(+/- 2908 )",30670,"(+/- 6163 )",44187,"(+/- 8058 )",29839,"(+/- 7482 )",25435,"(+/- 5143 )",15833,"(+/- 4183 )",29852,"(+/- 7199 )",17945,"(+/- 3894 )",27047,"(+/- 6536 )",14614,"(+/- 3455 )",30039,"(+/- 7163 )",42115,"(+/- 8099 )",23245,"(+/- 6194 )",27645,"(+/- 6110 )",30830,"(+/- 5360 )"
People,Race,"Two or more races",43821,"(+/- 4785 )",17816,"(+/- 3414 )",25821,"(+/- 3945 )",30130,"(+/- 5141 )",20567,"(+/- 4427 )",20052,"(+/- 3905 )",23961,"(+/- 4246 )",29668,"(+/- 5771 )",27855,"(+/- 6559 )",32955,"(+/- 6735 )",19925,"(+/- 3796 )",28341,"(+/- 4839 )",27036,"(+/- 4065 )",33878,"(+/- 5228 )",20883,"(+/- 4206 )",19691,"(+/- 3798 )",14823,"(+/- 3060 )",22929,"(+/- 5476 )",12511,"(+/- 2982 )",29007,"(+/- 6549 )",21719,"(+/- 4224 )",18670,"(+/- 3775 )",26965,"(+/- 5091 )",19040,"(+/- 3974 )",9856,"(+/- 2527 )",18124,"(+/- 5579 )",15508,"(+/- 3405 )"
People,"Hispanic or Latino and Race","Total population",798305,"(+/- 1594 )",720777,"(+/- 9195 )",758939,"(+/- 6802 )",836235,"(+/- 15700 )",742643,"(+/- 16104 )",790455,"(+/- 9332 )",814980,"(+/- 19094 )",780036,"(+/- 5489 )",931872,"(+/- 21323 )",811634,"(+/- 19731 )",813112,"(+/- 12773 )",811308,"(+/- 9679 )",731658,"(+/- 8994 )",831508,"(+/- 17116 )",801294,"(+/- 19880 )",873875,"(+/- 14734 )",804754,"(+/- 13912 )",795742,"(+/- 10675 )",833013,"(+/- 12133 )",802463,"(+/- 16017 )",786566,"(+/- 14424 )",760953,"(+/- 12049 )",762858,"(+/- 8912 )",754731,"(+/- 20042 )",796422,"(+/- 19963 )",780951,"(+/- 18280 )",750653,"(+/- 17949 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",55078,"(+/- 3 )",47261,"(+/- 3496 )",86434,"(+/- 4462 )",72950,"(+/- 5692 )",72108,"(+/- 5953 )",105691,"(+/- 3881 )",218001,"(+/- 13012 )",92112,"(+/- 4442 )",410313,"(+/- 14751 )",231635,"(+/- 14513 )",96315,"(+/- 6959 )",113913,"(+/- 3703 )",79210,"(+/- 3551 )",273316,"(+/- 10340 )",190656,"(+/- 13184 )",154606,"(+/- 10029 )",135320,"(+/- 8657 )",139608,"(+/- 7116 )",170559,"(+/- 10497 )",214781,"(+/- 15104 )",199896,"(+/- 10953 )",176508,"(+/- 12998 )",305924,"(+/- 11634 )",319684,"(+/- 16352 )",604995,"(+/- 18829 )",565291,"(+/- 17601 )",531464,"(+/- 17941 )"
People,"Hispanic or Latino and Race",Mexican,17814,"(+/- 3118 )",13778,"(+/- 2992 )",15458,"(+/- 4076 )",13481,"(+/- 3333 )",18123,"(+/- 4266 )",23426,"(+/- 5489 )",18878,"(+/- 5899 )",18492,"(+/- 5010 )",30104,"(+/- 8616 )",31167,"(+/- 7439 )",18700,"(+/- 4443 )",21584,"(+/- 5210 )",14323,"(+/- 3307 )",30606,"(+/- 6492 )",50879,"(+/- 9129 )",71635,"(+/- 9596 )",55163,"(+/- 6470 )",31607,"(+/- 7732 )",49874,"(+/- 9272 )",26370,"(+/- 7432 )",32141,"(+/- 6268 )",21779,"(+/- 6621 )",10414,"(+/- 3028 )",9370,"(+/- 4818 )",45863,"(+/- 7645 )",33710,"(+/- 8808 )",18254,"(+/- 4282 )"
People,"Hispanic or Latino and Race","Puerto Rican",13524,"(+/- 2755 )",11303,"(+/- 4013 )",28950,"(+/- 5022 )",18537,"(+/- 4079 )",22162,"(+/- 4485 )",46715,"(+/- 5780 )",103807,"(+/- 10211 )",35766,"(+/- 6187 )",228342,"(+/- 16768 )",77546,"(+/- 9222 )",43256,"(+/- 6944 )",42461,"(+/- 4895 )",21596,"(+/- 3711 )",68741,"(+/- 7540 )",64245,"(+/- 8607 )",29771,"(+/- 5436 )",29307,"(+/- 5597 )",35515,"(+/- 7136 )",30407,"(+/- 6768 )",26446,"(+/- 5032 )",31218,"(+/- 6823 )",27864,"(+/- 4884 )",43214,"(+/- 6442 )",31172,"(+/- 7049 )",17128,"(+/- 4243 )",37516,"(+/- 6084 )",24382,"(+/- 3885 )"
People,"Hispanic or Latino and Race",Cuban,4899,"(+/- 2239 )",5185,"(+/- 1685 )",13227,"(+/- 3260 )",13961,"(+/- 4317 )",9554,"(+/- 3145 )",8588,"(+/- 3896 )",21540,"(+/- 5237 )",11077,"(+/- 3449 )",18274,"(+/- 4841 )",19911,"(+/- 4808 )",11105,"(+/- 3858 )",16290,"(+/- 3442 )",15071,"(+/- 3201 )",90548,"(+/- 11107 )",21306,"(+/- 5652 )",19013,"(+/- 4986 )",19785,"(+/- 4359 )",17281,"(+/- 4430 )",37512,"(+/- 7369 )",49023,"(+/- 9585 )",35706,"(+/- 5529 )",30162,"(+/- 5522 )",73382,"(+/- 8411 )",107089,"(+/- 10646 )",334867,"(+/- 14986 )",310744,"(+/- 17292 )",274355,"(+/- 15229 )"
