cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Hispanic or Latino and Race",Mexican,74223,"(+/- 2850 )",35806,"(+/- 1704 )",67722,"(+/- 3273 )",52885,"(+/- 3209 )",124060,"(+/- 4512 )"
People,"Hispanic or Latino and Race","Puerto Rican",4587,"(+/- 1310 )",2248,"(+/- 858 )",2690,"(+/- 1215 )",4915,"(+/- 1507 )",2349,"(+/- 990 )"
People,"Hispanic or Latino and Race",Cuban,584,"(+/- 320 )",773,"(+/- 640 )",193,"(+/- 203 )",326,"(+/- 241 )",309,"(+/- 243 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",17299,"(+/- 2855 )",3907,"(+/- 1100 )",12676,"(+/- 2420 )",11673,"(+/- 2448 )",18881,"(+/- 4223 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",712807,"(+/- 2373 )",704603,"(+/- 2876 )",698810,"(+/- 4588 )",723129,"(+/- 6211 )",679516,"(+/- 4276 )"
People,"Place of Birth","Total population",809500,"(+/- 2328 )",747337,"(+/- 2602 )",782091,"(+/- 4257 )",792928,"(+/- 6156 )",825115,"(+/- 4376 )"
People,"Place of Birth",Native,744012,"(+/- 3739 )",730468,"(+/- 3203 )",741023,"(+/- 5775 )",756589,"(+/- 7288 )",744670,"(+/- 6162 )"
People,"Place of Birth","Born in United States",734643,"(+/- 3866 )",725686,"(+/- 3209 )",736317,"(+/- 5659 )",744563,"(+/- 7147 )",734700,"(+/- 6258 )"
People,"Place of Birth","State of residence",467154,"(+/- 5879 )",461167,"(+/- 5551 )",500112,"(+/- 8362 )",476349,"(+/- 9836 )",492657,"(+/- 9839 )"
People,"Place of Birth","Different state",267489,"(+/- 5868 )",264519,"(+/- 4812 )",236205,"(+/- 7023 )",268214,"(+/- 7642 )",242043,"(+/- 9570 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9369,"(+/- 1370 )",4782,"(+/- 951 )",4706,"(+/- 1208 )",12026,"(+/- 1863 )",9970,"(+/- 2125 )"
People,"Place of Birth","Foreign born",65488,"(+/- 3309 )",16869,"(+/- 1774 )",41068,"(+/- 3655 )",36339,"(+/- 3287 )",80445,"(+/- 4550 )"
People,Ancestry,"Total population",809500,"(+/- 2328 )",747337,"(+/- 2602 )",782091,"(+/- 4257 )",792928,"(+/- 6156 )",825115,"(+/- 4376 )"
People,Ancestry,American,53223,"(+/- 4460 )",62128,"(+/- 4520 )",64760,"(+/- 5391 )",80622,"(+/- 6937 )",50585,"(+/- 4662 )"
People,Ancestry,Arab,4252,"(+/- 1386 )",231,"(+/- 176 )",1141,"(+/- 495 )",1724,"(+/- 953 )",2177,"(+/- 904 )"
People,Ancestry,Czech,2289,"(+/- 580 )",1704,"(+/- 669 )",6259,"(+/- 2159 )",2413,"(+/- 1068 )",3236,"(+/- 1272 )"
People,Ancestry,Danish,2065,"(+/- 640 )",999,"(+/- 568 )",2121,"(+/- 1071 )",1420,"(+/- 689 )",923,"(+/- 507 )"
People,Ancestry,Dutch,8320,"(+/- 1471 )",7068,"(+/- 1170 )",16830,"(+/- 3945 )",10615,"(+/- 2378 )",6146,"(+/- 1323 )"
People,Ancestry,English,68590,"(+/- 3906 )",47256,"(+/- 3608 )",59940,"(+/- 5047 )",56547,"(+/- 5606 )",52906,"(+/- 3984 )"
People,Ancestry,"French (except Basque)",14136,"(+/- 2072 )",9695,"(+/- 1470 )",14060,"(+/- 1762 )",13953,"(+/- 2595 )",10548,"(+/- 1821 )"
People,Ancestry,"French Canadian",1937,"(+/- 792 )",1551,"(+/- 497 )",1814,"(+/- 731 )",2580,"(+/- 1084 )",1340,"(+/- 458 )"
People,Ancestry,German,95153,"(+/- 4893 )",71573,"(+/- 5002 )",106838,"(+/- 6315 )",87257,"(+/- 5736 )",88663,"(+/- 7308 )"
People,Ancestry,Greek,1399,"(+/- 505 )",145,"(+/- 169 )",211,"(+/- 144 )",768,"(+/- 522 )",1322,"(+/- 648 )"
People,Ancestry,Hungarian,846,"(+/- 372 )",494,"(+/- 237 )",428,"(+/- 347 )",1003,"(+/- 582 )",751,"(+/- 548 )"
People,Ancestry,Irish,77360,"(+/- 4303 )",74987,"(+/- 5388 )",73484,"(+/- 5538 )",80183,"(+/- 5373 )",61911,"(+/- 5472 )"
People,Ancestry,Italian,16680,"(+/- 2151 )",10382,"(+/- 1565 )",13116,"(+/- 2817 )",17177,"(+/- 3356 )",14729,"(+/- 3143 )"
People,Ancestry,Lithuanian,379,"(+/- 389 )",239,"(+/- 158 )",223,"(+/- 234 )",244,"(+/- 186 )",44,"(+/- 74 )"
People,Ancestry,Norwegian,5615,"(+/- 1017 )",2990,"(+/- 713 )",7890,"(+/- 1727 )",5056,"(+/- 1220 )",4865,"(+/- 1360 )"
People,Ancestry,Polish,7188,"(+/- 1381 )",4243,"(+/- 1051 )",5653,"(+/- 1307 )",5125,"(+/- 1424 )",7765,"(+/- 2427 )"
People,Ancestry,Portuguese,598,"(+/- 326 )",1177,"(+/- 583 )",442,"(+/- 250 )",1239,"(+/- 598 )",1567,"(+/- 965 )"
People,Ancestry,Russian,2605,"(+/- 752 )",1768,"(+/- 838 )",1405,"(+/- 491 )",2349,"(+/- 1714 )",1915,"(+/- 711 )"
People,Ancestry,Scotch-Irish,10657,"(+/- 1620 )",6001,"(+/- 1121 )",9669,"(+/- 2245 )",7964,"(+/- 1551 )",6227,"(+/- 1510 )"
People,Ancestry,Scottish,18756,"(+/- 2155 )",9979,"(+/- 1459 )",13239,"(+/- 1952 )",13946,"(+/- 1832 )",13152,"(+/- 2412 )"
People,Ancestry,Slovak,320,"(+/- 200 )",118,"(+/- 114 )",171,"(+/- 205 )",191,"(+/- 217 )",318,"(+/- 330 )"
People,Ancestry,"Subsaharan African",4474,"(+/- 1198 )",855,"(+/- 385 )",2065,"(+/- 1114 )",4746,"(+/- 2147 )",5337,"(+/- 1837 )"
People,Ancestry,Swedish,6635,"(+/- 1223 )",2637,"(+/- 689 )",5816,"(+/- 1834 )",3127,"(+/- 963 )",3028,"(+/- 929 )"
People,Ancestry,Swiss,1233,"(+/- 653 )",499,"(+/- 212 )",1245,"(+/- 435 )",1084,"(+/- 769 )",2190,"(+/- 784 )"
People,Ancestry,Ukrainian,1492,"(+/- 666 )",358,"(+/- 242 )",453,"(+/- 519 )",702,"(+/- 479 )",609,"(+/- 379 )"
People,Ancestry,Welsh,5914,"(+/- 1596 )",4049,"(+/- 1027 )",4486,"(+/- 917 )",4876,"(+/- 1317 )",4518,"(+/- 1353 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",2785,"(+/- 817 )",5117,"(+/- 1220 )",1658,"(+/- 459 )",6393,"(+/- 2147 )",2194,"(+/- 1165 )"
People,"Veteran Status","Civilian population 18 years and over",606804,"(+/- 1603 )",574588,"(+/- 1756 )",590742,"(+/- 3744 )",594899,"(+/- 4844 )",615178,"(+/- 3804 )"
People,"Veteran Status","Civilian veterans",44433,"(+/- 2208 )",52463,"(+/- 2171 )",47802,"(+/- 2792 )",67901,"(+/- 3500 )",48960,"(+/- 2791 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",803178,"(+/- 2586 )",730509,"(+/- 2811 )",758620,"(+/- 4501 )",765940,"(+/- 6400 )",813411,"(+/- 4375 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",102516,"(+/- 3195 )",160538,"(+/- 4441 )",115361,"(+/- 4958 )",125554,"(+/- 5537 )",118480,"(+/- 5364 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",201438,"(+/- 1374 )",172001,"(+/- 1657 )",187879,"(+/- 2017 )",182434,"(+/- 3184 )",206669,"(+/- 2578 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7785,"(+/- 1074 )",11507,"(+/- 1358 )",7847,"(+/- 1205 )",10496,"(+/- 1807 )",7985,"(+/- 1322 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",481312,"(+/- 1891 )",419918,"(+/- 2270 )",447555,"(+/- 3856 )",465105,"(+/- 4761 )",491544,"(+/- 3662 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",51994,"(+/- 2702 )",82749,"(+/- 3446 )",58701,"(+/- 3986 )",66497,"(+/- 4399 )",64661,"(+/- 4541 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",120428,"(+/- 868 )",138590,"(+/- 1401 )",123186,"(+/- 1827 )",118401,"(+/- 2304 )",115198,"(+/- 1590 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42737,"(+/- 1975 )",66282,"(+/- 1832 )",48813,"(+/- 2140 )",48561,"(+/- 2431 )",45834,"(+/- 2383 )"
People,"Residence 1 Year Ago","Population 1 year and over",798546,"(+/- 2471 )",738654,"(+/- 2726 )",773855,"(+/- 4207 )",783101,"(+/- 6080 )",813102,"(+/- 4992 )"
People,"Residence 1 Year Ago","Same house",666766,"(+/- 7500 )",636614,"(+/- 6734 )",657252,"(+/- 8439 )",655216,"(+/- 8369 )",666898,"(+/- 9447 )"
People,"Residence 1 Year Ago","Different house in the U.S.",129094,"(+/- 7155 )",101117,"(+/- 6134 )",114338,"(+/- 8270 )",123528,"(+/- 7377 )",142904,"(+/- 7670 )"
People,"Residence 1 Year Ago","Same county",80641,"(+/- 5971 )",54826,"(+/- 4720 )",54283,"(+/- 5748 )",63286,"(+/- 5764 )",97457,"(+/- 7348 )"
People,"Residence 1 Year Ago","Different county",48453,"(+/- 3949 )",46291,"(+/- 3533 )",60055,"(+/- 5450 )",60242,"(+/- 5785 )",45447,"(+/- 4812 )"
People,"Residence 1 Year Ago","Same state",27156,"(+/- 2728 )",30871,"(+/- 3157 )",42139,"(+/- 4337 )",34728,"(+/- 4295 )",23750,"(+/- 3593 )"
People,"Residence 1 Year Ago","Different state",21297,"(+/- 2962 )",15420,"(+/- 1945 )",17916,"(+/- 3018 )",25514,"(+/- 3534 )",21697,"(+/- 3540 )"
People,"Residence 1 Year Ago",Abroad,2686,"(+/- 844 )",923,"(+/- 374 )",2265,"(+/- 606 )",4357,"(+/- 1507 )",3300,"(+/- 1485 )"
Workers,"Employment Status","Population 16 years and over",629340,"(+/- 1889 )",594092,"(+/- 1925 )",614558,"(+/- 4091 )",631263,"(+/- 4933 )",641373,"(+/- 3984 )"
Workers,"Employment Status","In labor force",413454,"(+/- 4000 )",318497,"(+/- 4209 )",361784,"(+/- 6837 )",393005,"(+/- 6824 )",409108,"(+/- 5789 )"
Workers,"Employment Status","Civilian labor force",412395,"(+/- 4062 )",318030,"(+/- 4165 )",358673,"(+/- 6868 )",377752,"(+/- 6698 )",406083,"(+/- 5959 )"
Workers,"Employment Status",Employed,392588,"(+/- 4145 )",302319,"(+/- 4183 )",346432,"(+/- 6454 )",361778,"(+/- 7064 )",388111,"(+/- 5844 )"
Workers,"Employment Status",Unemployed,19807,"(+/- 1684 )",15711,"(+/- 1562 )",12241,"(+/- 1911 )",15974,"(+/- 2320 )",17972,"(+/- 2658 )"
Workers,"Employment Status","Armed Forces",1059,"(+/- 463 )",467,"(+/- 287 )",3111,"(+/- 846 )",15253,"(+/- 1545 )",3025,"(+/- 949 )"
Workers,"Employment Status","Not in labor force",215886,"(+/- 3970 )",275595,"(+/- 4115 )",252774,"(+/- 6100 )",238258,"(+/- 6485 )",232265,"(+/- 5493 )"
Workers,"Employment Status","Civilian labor force",412395,"(+/- 4062 )",318030,"(+/- 4165 )",358673,"(+/- 6868 )",377752,"(+/- 6698 )",406083,"(+/- 5959 )"
Workers,"Employment Status","Unemployment Rate",4.8,"(+/- 0.4 )",4.9,"(+/- 0.5 )",3.4,"(+/- 0.5 )",4.2,"(+/- 0.6 )",4.4,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",387003,"(+/- 4142 )",298515,"(+/- 4342 )",344714,"(+/- 6233 )",370222,"(+/- 7240 )",386235,"(+/- 5806 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",316416,"(+/- 4635 )",245246,"(+/- 4487 )",288109,"(+/- 6099 )",304078,"(+/- 6631 )",322881,"(+/- 7188 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",40765,"(+/- 2715 )",29880,"(+/- 1882 )",33717,"(+/- 3127 )",33632,"(+/- 3196 )",31348,"(+/- 3124 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2036,"(+/- 584 )",872,"(+/- 376 )",876,"(+/- 559 )",966,"(+/- 637 )",2859,"(+/- 1129 )"
Workers,"Commuting to Work",Walked,4572,"(+/- 937 )",5840,"(+/- 1040 )",5046,"(+/- 1079 )",5716,"(+/- 1137 )",4881,"(+/- 982 )"
Workers,"Commuting to Work","Other means",7192,"(+/- 966 )",3828,"(+/- 773 )",3394,"(+/- 769 )",7134,"(+/- 1653 )",6458,"(+/- 1574 )"
Workers,"Commuting to Work","Worked from home",16022,"(+/- 1395 )",12849,"(+/- 1408 )",13572,"(+/- 1759 )",18696,"(+/- 2407 )",17808,"(+/- 2630 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",20.6,"(+/- 0.3 )",24.9,"(+/- 0.6 )",22.8,"(+/- 0.6 )",23.5,"(+/- 0.6 )",22.2,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",392588,"(+/- 4145 )",302319,"(+/- 4183 )",346432,"(+/- 6454 )",361778,"(+/- 7064 )",388111,"(+/- 5844 )"
Workers,Occupation,"Management, business, science, and arts occupations",154709,"(+/- 4492 )",91110,"(+/- 2915 )",114999,"(+/- 5456 )",141446,"(+/- 5642 )",146358,"(+/- 5146 )"
Workers,Occupation,"Service occupations",64259,"(+/- 3413 )",58359,"(+/- 2998 )",60557,"(+/- 3552 )",58789,"(+/- 4009 )",71606,"(+/- 5335 )"
Workers,Occupation,"Sales and office occupations",84188,"(+/- 3772 )",61754,"(+/- 3299 )",70975,"(+/- 4058 )",74816,"(+/- 3805 )",82295,"(+/- 4561 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",35193,"(+/- 2457 )",37130,"(+/- 2143 )",45506,"(+/- 3377 )",39347,"(+/- 2864 )",37963,"(+/- 2747 )"
Workers,Occupation,"Production, transportation, and material moving occupations",54239,"(+/- 2477 )",53966,"(+/- 2628 )",54395,"(+/- 3711 )",47380,"(+/- 3489 )",49889,"(+/- 3604 )"
Workers,Industry,"Civilian employed population 16 years and over",392588,"(+/- 4145 )",302319,"(+/- 4183 )",346432,"(+/- 6454 )",361778,"(+/- 7064 )",388111,"(+/- 5844 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",9911,"(+/- 1257 )",13697,"(+/- 1417 )",27745,"(+/- 2380 )",16363,"(+/- 1985 )",14573,"(+/- 1995 )"
Workers,Industry,Construction,27400,"(+/- 2343 )",23525,"(+/- 1847 )",23714,"(+/- 2618 )",21851,"(+/- 2213 )",27217,"(+/- 2713 )"
Workers,Industry,Manufacturing,45246,"(+/- 2677 )",36738,"(+/- 2207 )",31016,"(+/- 2547 )",29092,"(+/- 2727 )",27794,"(+/- 2886 )"
Workers,Industry,"Wholesale trade",10824,"(+/- 1248 )",7218,"(+/- 1026 )",7624,"(+/- 1295 )",8037,"(+/- 1444 )",9745,"(+/- 1554 )"
Workers,Industry,"Retail trade",43281,"(+/- 2453 )",35519,"(+/- 2501 )",40766,"(+/- 3352 )",42069,"(+/- 3327 )",41395,"(+/- 3302 )"
Workers,Industry,"Transportation and warehousing, and utilities",24101,"(+/- 1761 )",17716,"(+/- 1728 )",20752,"(+/- 2156 )",18445,"(+/- 2243 )",20400,"(+/- 2161 )"
Workers,Industry,Information,7446,"(+/- 1124 )",2881,"(+/- 553 )",4164,"(+/- 934 )",4536,"(+/- 1108 )",5792,"(+/- 1406 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",23316,"(+/- 1890 )",11936,"(+/- 1389 )",14783,"(+/- 1706 )",17496,"(+/- 2205 )",24276,"(+/- 2290 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",40474,"(+/- 2498 )",18522,"(+/- 1758 )",26322,"(+/- 3341 )",31777,"(+/- 2911 )",43456,"(+/- 3717 )"
Workers,Industry,"Educational services, and health care and social assistance",84371,"(+/- 3025 )",70120,"(+/- 2977 )",79162,"(+/- 4239 )",92188,"(+/- 5145 )",86828,"(+/- 5168 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",40963,"(+/- 2574 )",30391,"(+/- 2350 )",31544,"(+/- 2502 )",32941,"(+/- 3531 )",41650,"(+/- 3228 )"
Workers,Industry,"Other services, except public administration",22612,"(+/- 2250 )",14377,"(+/- 1587 )",19261,"(+/- 2066 )",17079,"(+/- 2147 )",18149,"(+/- 2620 )"
Workers,Industry,"Public administration",12643,"(+/- 1376 )",19679,"(+/- 1886 )",19579,"(+/- 1862 )",29904,"(+/- 2863 )",26836,"(+/- 2772 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",392588,"(+/- 4145 )",302319,"(+/- 4183 )",346432,"(+/- 6454 )",361778,"(+/- 7064 )",388111,"(+/- 5844 )"
Workers,"Class of Worker","Private wage and salary workers",322642,"(+/- 4330 )",218348,"(+/- 3969 )",259350,"(+/- 5934 )",261855,"(+/- 7166 )",296385,"(+/- 6118 )"
Workers,"Class of Worker","Government workers",43794,"(+/- 2546 )",61150,"(+/- 2767 )",62314,"(+/- 3965 )",76968,"(+/- 4808 )",62325,"(+/- 3668 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",25285,"(+/- 1858 )",21786,"(+/- 1588 )",23798,"(+/- 2532 )",22126,"(+/- 2266 )",28076,"(+/- 3060 )"
Workers,"Class of Worker","Unpaid family workers",867,"(+/- 351 )",1035,"(+/- 414 )",970,"(+/- 410 )",829,"(+/- 328 )",1325,"(+/- 636 )"
Housing,"Housing Occupancy","Total housing units",353147,"(+/- 776 )",359289,"(+/- 1203 )",341109,"(+/- 1587 )",336727,"(+/- 2118 )",359248,"(+/- 1880 )"
Housing,"Housing Occupancy","Occupied housing units",314493,"(+/- 2302 )",285136,"(+/- 2869 )",286280,"(+/- 3516 )",293347,"(+/- 3112 )",315895,"(+/- 3330 )"
Housing,"Housing Occupancy","Vacant housing units",38654,"(+/- 2175 )",74153,"(+/- 2804 )",54829,"(+/- 3199 )",43380,"(+/- 2791 )",43353,"(+/- 3447 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.7,"(+/- 0.4 )",2.4,"(+/- 0.4 )",2.0,"(+/- 0.5 )",1.8,"(+/- 0.5 )",1.6,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",8.6,"(+/- 1.0 )",8.4,"(+/- 1.2 )",8.7,"(+/- 1.7 )",5.8,"(+/- 1.3 )",8.4,"(+/- 1.5 )"
Housing,"Housing Tenure","Occupied housing units",314493,"(+/- 2302 )",285136,"(+/- 2869 )",286280,"(+/- 3516 )",293347,"(+/- 3112 )",315895,"(+/- 3330 )"
Housing,"Housing Tenure",Owner-occupied,196370,"(+/- 2996 )",202612,"(+/- 3412 )",202255,"(+/- 3707 )",192743,"(+/- 3660 )",185918,"(+/- 4442 )"
Housing,"Housing Tenure",Renter-occupied,118123,"(+/- 2896 )",82524,"(+/- 3208 )",84025,"(+/- 3147 )",100604,"(+/- 4255 )",129977,"(+/- 4417 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.69,"(+/- 0.04 )",2.57,"(+/- 0.03 )",2.63,"(+/- 0.04 )",2.67,"(+/- 0.04 )",2.66,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.31,"(+/- 0.05 )",2.47,"(+/- 0.07 )",2.57,"(+/- 0.08 )",2.50,"(+/- 0.07 )",2.42,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",314493,"(+/- 2302 )",285136,"(+/- 2869 )",286280,"(+/- 3516 )",293347,"(+/- 3112 )",315895,"(+/- 3330 )"
Housing,"Year Householder Moved into Unit","Moved in 2017 or later",103204,"(+/- 3057 )",72253,"(+/- 3103 )",78871,"(+/- 3897 )",90128,"(+/- 3758 )",113137,"(+/- 4622 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2016",42789,"(+/- 2281 )",30351,"(+/- 2008 )",32387,"(+/- 2479 )",34591,"(+/- 2406 )",38124,"(+/- 2950 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",49985,"(+/- 2133 )",44891,"(+/- 2290 )",47459,"(+/- 3225 )",49987,"(+/- 3191 )",49283,"(+/- 2968 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",60871,"(+/- 2449 )",65911,"(+/- 2843 )",63703,"(+/- 2996 )",57322,"(+/- 2787 )",56526,"(+/- 3138 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",28910,"(+/- 1780 )",33321,"(+/- 1851 )",30484,"(+/- 2007 )",29573,"(+/- 2100 )",28025,"(+/- 2038 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",28734,"(+/- 1489 )",38409,"(+/- 1939 )",33376,"(+/- 1794 )",31746,"(+/- 2015 )",30800,"(+/- 2086 )"
Housing,Value,"Owner-occupied units",196370,"(+/- 2996 )",202612,"(+/- 3412 )",202255,"(+/- 3707 )",192743,"(+/- 3660 )",185918,"(+/- 4442 )"
Housing,Value,"Less than $50,000",12728,"(+/- 1170 )",33958,"(+/- 2060 )",28665,"(+/- 2135 )",18390,"(+/- 1467 )",14999,"(+/- 1503 )"
Housing,Value,"$50,000 to $99,999",29946,"(+/- 1598 )",56034,"(+/- 2318 )",44388,"(+/- 2536 )",35666,"(+/- 1987 )",33802,"(+/- 2185 )"
Housing,Value,"$100,000 to $149,999",39367,"(+/- 2070 )",37182,"(+/- 2108 )",38650,"(+/- 2357 )",41068,"(+/- 2266 )",36443,"(+/- 3230 )"
Housing,Value,"$150,000 to $199,999",41497,"(+/- 2325 )",32102,"(+/- 2148 )",33005,"(+/- 2332 )",36695,"(+/- 2401 )",31951,"(+/- 2468 )"
