cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",30519,"(+/- 3376 )",25475,"(+/- 2147 )"
Workers,"Class of Worker","Unpaid family workers",737,"(+/- 358 )",860,"(+/- 402 )"
Housing,"Housing Occupancy","Total housing units",364607,"(+/- 1795 )",386357,"(+/- 1809 )"
Housing,"Housing Occupancy","Occupied housing units",293012,"(+/- 4049 )",280606,"(+/- 3436 )"
Housing,"Housing Occupancy","Vacant housing units",71595,"(+/- 3842 )",105751,"(+/- 3216 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.4,"(+/- 0.6 )",1.8,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",4.2,"(+/- 1.3 )",5.7,"(+/- 1.5 )"
Housing,"Housing Tenure","Occupied housing units",293012,"(+/- 4049 )",280606,"(+/- 3436 )"
Housing,"Housing Tenure",Owner-occupied,208305,"(+/- 4131 )",205814,"(+/- 4045 )"
Housing,"Housing Tenure",Renter-occupied,84707,"(+/- 4438 )",74792,"(+/- 3811 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.41,"(+/- 0.05 )",2.34,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.96,"(+/- 0.07 )",2.09,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",293012,"(+/- 4049 )",280606,"(+/- 3436 )"
Housing,"Year Householder Moved into Unit","Moved in 2017 or later",68881,"(+/- 4085 )",62067,"(+/- 3580 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2016",34394,"(+/- 2528 )",30466,"(+/- 2485 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",49804,"(+/- 3245 )",43989,"(+/- 2987 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",63887,"(+/- 3461 )",61696,"(+/- 3443 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",35888,"(+/- 2339 )",35909,"(+/- 2469 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",40158,"(+/- 2333 )",46479,"(+/- 2594 )"
Housing,Value,"Owner-occupied units",208305,"(+/- 4131 )",205814,"(+/- 4045 )"
Housing,Value,"Less than $50,000",6641,"(+/- 1342 )",20190,"(+/- 2062 )"
Housing,Value,"$50,000 to $99,999",10402,"(+/- 1650 )",38043,"(+/- 2311 )"
Housing,Value,"$100,000 to $149,999",15380,"(+/- 1942 )",42034,"(+/- 3071 )"
Housing,Value,"$150,000 to $199,999",30977,"(+/- 2273 )",42877,"(+/- 2862 )"
Housing,Value,"$200,000 to $299,999",61382,"(+/- 3318 )",40512,"(+/- 2497 )"
Housing,Value,"$300,000 to $499,999",59133,"(+/- 3678 )",15733,"(+/- 1827 )"
Housing,Value,"$500,000 to $999,999",20075,"(+/- 1915 )",5099,"(+/- 932 )"
Housing,Value,"$1,000,000 or more",4315,"(+/- 810 )",1326,"(+/- 390 )"
Housing,Value,"Median (dollars)",267600,"(+/- 5071 )",152500,"(+/- 3180 )"
Housing,"Mortgage Status","Owner-occupied units",208305,"(+/- 4131 )",205814,"(+/- 4045 )"
Housing,"Mortgage Status","Housing units with a mortgage",136225,"(+/- 4454 )",114226,"(+/- 4163 )"
Housing,"Mortgage Status","Housing units without a mortgage",72080,"(+/- 4001 )",91588,"(+/- 3636 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",136225,"(+/- 4454 )",114226,"(+/- 4163 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1224,"(+/- 452 )",3172,"(+/- 797 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",17297,"(+/- 2048 )",35275,"(+/- 2559 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",40915,"(+/- 2957 )",45996,"(+/- 2881 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",36082,"(+/- 2830 )",18585,"(+/- 1888 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",21278,"(+/- 2139 )",7075,"(+/- 1076 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",9983,"(+/- 1443 )",1844,"(+/- 555 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",9446,"(+/- 1367 )",2279,"(+/- 722 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1600,"(+/- 29 )",1189,"(+/- 21 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",72080,"(+/- 4001 )",91588,"(+/- 3636 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",3665,"(+/- 921 )",12460,"(+/- 1325 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",9309,"(+/- 1353 )",25949,"(+/- 2056 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",21204,"(+/- 2453 )",30327,"(+/- 2248 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",17722,"(+/- 1904 )",13827,"(+/- 1276 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",10905,"(+/- 1555 )",4827,"(+/- 1126 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",9275,"(+/- 1527 )",4198,"(+/- 709 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",619,"(+/- 20 )",442,"(+/- 10 )"
Housing,"Gross Rent","Occupied units paying rent",79647,"(+/- 4275 )",67153,"(+/- 3666 )"
Housing,"Gross Rent","Less than $500",11336,"(+/- 2180 )",13715,"(+/- 1754 )"
Housing,"Gross Rent","$500 to $999",27214,"(+/- 2610 )",39669,"(+/- 3101 )"
Housing,"Gross Rent","$1,000 to $1,499",28080,"(+/- 3171 )",11308,"(+/- 1711 )"
Housing,"Gross Rent","$1,500 to $1,999",10191,"(+/- 1794 )",1807,"(+/- 548 )"
Housing,"Gross Rent","$2,000 to $2,499",1881,"(+/- 809 )",258,"(+/- 206 )"
Housing,"Gross Rent","$2,500 to $2,999",515,"(+/- 298 )",274,"(+/- 192 )"
Housing,"Gross Rent","$3,000 or more",430,"(+/- 346 )",122,"(+/- 107 )"
Housing,"Gross Rent","Median (dollars)",1019,"(+/- 37 )",755,"(+/- 27 )"
Housing,"Gross Rent","No rent paid",5060,"(+/- 1004 )",7639,"(+/- 1177 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Total households",293012,"(+/- 4049 )",280606,"(+/- 3436 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Less than $10,000",13646,"(+/- 2002 )",15510,"(+/- 1736 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$10,000 to $14,999",9630,"(+/- 1622 )",17142,"(+/- 2118 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$15,000 to $24,999",22857,"(+/- 2313 )",31503,"(+/- 2368 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$25,000 to $34,999",24925,"(+/- 2407 )",30705,"(+/- 2557 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$35,000 to $49,999",36142,"(+/- 3394 )",42169,"(+/- 3031 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$50,000 to $74,999",53802,"(+/- 3958 )",52084,"(+/- 2877 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$75,000 to $99,999",42167,"(+/- 3218 )",36134,"(+/- 2374 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$100,000 to $149,999",49166,"(+/- 2890 )",34788,"(+/- 2461 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$150,000 to $199,000",19996,"(+/- 2272 )",11450,"(+/- 1597 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$200,000 or more",20681,"(+/- 2096 )",9121,"(+/- 1289 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Median household income (dollars)",67392,"(+/- 2410 )",51202,"(+/- 1559 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Mean household income (dollars)",88603,"(+/- 2443 )",67548,"(+/- 2009 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",677299,"(+/- 4158 )",650324,"(+/- 4249 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",632286,"(+/- 5505 )",588800,"(+/- 6171 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",502366,"(+/- 8856 )",419925,"(+/- 9369 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",237498,"(+/- 8405 )",275563,"(+/- 7247 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",45013,"(+/- 4909 )",61524,"(+/- 4833 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",131638,"(+/- 2028 )",130099,"(+/- 2280 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",6104,"(+/- 1976 )",8559,"(+/- 2340 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",5.5,"(+/- 1.2 )",7.5,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",9.8,"(+/- 2.5 )",13.1,"(+/- 1.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",8.2,"(+/- 3.5 )",14.0,"(+/- 4.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.8,"(+/- 0.8 )",3.7,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",3.5,"(+/- 1.7 )",5.2,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.3,"(+/- 2.2 )",2.5,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",18.9,"(+/- 5.5 )",22.4,"(+/- 3.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",28.3,"(+/- 7.7 )",29.0,"(+/- 4.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",37.1,"(+/- 19.5 )",38.3,"(+/- 14.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",8.9,"(+/- 1.0 )",13.0,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",12.3,"(+/- 2.8 )",15.4,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",12.0,"(+/- 2.8 )",14.8,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",15.0,"(+/- 3.8 )",19.2,"(+/- 4.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",11.0,"(+/- 3.0 )",13.2,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",8.1,"(+/- 0.8 )",12.4,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",7.0,"(+/- 1.3 )",10.0,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",6.0,"(+/- 1.3 )",8.4,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",17.1,"(+/- 1.5 )",26.6,"(+/- 1.6 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",137860,"(+/- 4419 )",137176,"(+/- 3494 )"
Education,"School Enrollment","Nursery school, preschool",9293,"(+/- 1599 )",7107,"(+/- 1057 )"
Education,"School Enrollment",Kindergarten,6086,"(+/- 1323 )",6693,"(+/- 1360 )"
Education,"School Enrollment","Elementary school (grades 1-8)",54505,"(+/- 2656 )",55080,"(+/- 2226 )"
Education,"School Enrollment","High school (grades 9-12)",30956,"(+/- 1936 )",29702,"(+/- 1877 )"
Education,"School Enrollment","College or graduate school",37020,"(+/- 3384 )",38594,"(+/- 2776 )"
Education,"Educational Attainment","Population 25 years and over",509126,"(+/- 2852 )",482026,"(+/- 2783 )"
Education,"Educational Attainment","Less than 9th grade",8790,"(+/- 1835 )",11993,"(+/- 1570 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",21452,"(+/- 2811 )",25079,"(+/- 1732 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",139498,"(+/- 5372 )",171610,"(+/- 5495 )"
Education,"Educational Attainment","Some college, no degree",87933,"(+/- 4910 )",96790,"(+/- 4101 )"
Education,"Educational Attainment","Associate's degree",45019,"(+/- 3810 )",53989,"(+/- 3034 )"
Education,"Educational Attainment","Bachelor's degree",126423,"(+/- 5256 )",79299,"(+/- 4217 )"
Education,"Educational Attainment","Graduate or professional degree",80011,"(+/- 4468 )",43266,"(+/- 3334 )"
Education,"Educational Attainment","Percent high school graduate or higher",94.1,"(+/- 0.6 )",92.3,"(+/- 0.5 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",40.5,"(+/- 1.2 )",25.4,"(+/- 1.0 )"

"Source: 2019 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",310741,G,206627,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",896,G,2447,G
