cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE"
People,"Sex and Age","45 to 54 years",93635,"(+/- 2913 )",89716,"(+/- 2831 )",88755,"(+/- 3437 )",90512,"(+/- 2673 )",88049,"(+/- 2622 )",89834,"(+/- 2352 )",90198,"(+/- 3215 )",91486,"(+/- 1344 )",82481,"(+/- 4365 )",85184,"(+/- 1261 )",78472,"(+/- 2912 )",106491,"(+/- 3653 )",89288,"(+/- 4051 )",91834,"(+/- 2893 )",103858,"(+/- 3615 )",91546,"(+/- 3559 )"
People,"Sex and Age","55 to 59 years",48798,"(+/- 3130 )",48358,"(+/- 3193 )",48971,"(+/- 3860 )",50926,"(+/- 2665 )",50395,"(+/- 2696 )",51960,"(+/- 2810 )",52577,"(+/- 3297 )",48751,"(+/- 2825 )",42929,"(+/- 3273 )",47629,"(+/- 2439 )",48222,"(+/- 3358 )",48280,"(+/- 3009 )",50020,"(+/- 2958 )",51790,"(+/- 3405 )",50669,"(+/- 2773 )",53101,"(+/- 3274 )"
People,"Sex and Age","60 to 64 years",51552,"(+/- 2933 )",52088,"(+/- 2865 )",42700,"(+/- 2985 )",50911,"(+/- 2812 )",50956,"(+/- 2488 )",53702,"(+/- 2746 )",50182,"(+/- 2710 )",50661,"(+/- 2651 )",50169,"(+/- 2912 )",48879,"(+/- 2165 )",49883,"(+/- 3784 )",52062,"(+/- 3114 )",49932,"(+/- 3048 )",56688,"(+/- 3071 )",49565,"(+/- 2848 )",52747,"(+/- 3269 )"
People,"Sex and Age","65 to 74 years",63557,"(+/- 2203 )",77036,"(+/- 2104 )",54308,"(+/- 2780 )",76166,"(+/- 1985 )",74812,"(+/- 1884 )",82384,"(+/- 2139 )",76471,"(+/- 2927 )",73651,"(+/- 1182 )",69807,"(+/- 3705 )",75424,"(+/- 994 )",66242,"(+/- 2696 )",76205,"(+/- 2226 )",79321,"(+/- 2824 )",84390,"(+/- 2510 )",71397,"(+/- 2823 )",86470,"(+/- 3557 )"
People,"Sex and Age","75 to 84 years",32485,"(+/- 2108 )",38041,"(+/- 2351 )",23956,"(+/- 2409 )",41144,"(+/- 2096 )",39825,"(+/- 1870 )",46690,"(+/- 2258 )",43605,"(+/- 2337 )",37483,"(+/- 1722 )",33012,"(+/- 2487 )",41809,"(+/- 1708 )",36423,"(+/- 2538 )",34271,"(+/- 2725 )",39118,"(+/- 2527 )",45358,"(+/- 2296 )",35642,"(+/- 2389 )",44073,"(+/- 3016 )"
People,"Sex and Age","85 years and over",13124,"(+/- 1501 )",15693,"(+/- 1950 )",10955,"(+/- 1567 )",13587,"(+/- 1441 )",15110,"(+/- 1432 )",13249,"(+/- 1735 )",17782,"(+/- 2230 )",14164,"(+/- 1701 )",13935,"(+/- 1562 )",14754,"(+/- 1486 )",17528,"(+/- 2170 )",15464,"(+/- 1825 )",19080,"(+/- 2068 )",18462,"(+/- 2065 )",11501,"(+/- 1425 )",18584,"(+/- 1845 )"
People,"Sex and Age","Median age (years)",36.7,"(+/- 0.6 )",39.9,"(+/- 0.5 )",32.6,"(+/- 0.4 )",41.4,"(+/- 0.4 )",39.8,"(+/- 0.6 )",43.5,"(+/- 0.6 )",41.4,"(+/- 0.8 )",39.0,"(+/- 0.3 )",37.5,"(+/- 1.0 )",38.7,"(+/- 0.4 )",39.3,"(+/- 0.6 )",39.2,"(+/- 0.6 )",41.7,"(+/- 0.8 )",43.8,"(+/- 0.6 )",38.8,"(+/- 0.7 )",43.5,"(+/- 0.8 )"
People,"Sex and Age","18 years and over",573798,"(+/- 7123 )",564633,"(+/- 7161 )",614395,"(+/- 8113 )",556659,"(+/- 4736 )",561344,"(+/- 4597 )",551844,"(+/- 4829 )",557550,"(+/- 6587 )",564976,"(+/- 1515 )",537215,"(+/- 8022 )",567143,"(+/- 819 )",541565,"(+/- 8350 )",608230,"(+/- 9397 )",573246,"(+/- 7653 )",563606,"(+/- 6900 )",608043,"(+/- 8203 )",570006,"(+/- 7560 )"
People,"Sex and Age","65 years and over",109166,"(+/- 2872 )",130770,"(+/- 2920 )",89219,"(+/- 3709 )",130897,"(+/- 2450 )",129747,"(+/- 2641 )",142323,"(+/- 2760 )",137858,"(+/- 3561 )",125298,"(+/- 1091 )",116754,"(+/- 4832 )",131987,"(+/- 1073 )",120193,"(+/- 3943 )",125940,"(+/- 3626 )",137519,"(+/- 3715 )",148210,"(+/- 3753 )",118540,"(+/- 3575 )",149127,"(+/- 4632 )"
People,Race,"Total population",749773,"(+/- 8208 )",730151,"(+/- 9104 )",813890,"(+/- 9835 )",712261,"(+/- 5219 )",721212,"(+/- 6614 )",698284,"(+/- 6239 )",727011,"(+/- 9081 )",733811,"(+/- 1965 )",697570,"(+/- 10955 )",723716,"(+/- 1176 )",684617,"(+/- 10816 )",788335,"(+/- 10998 )",704191,"(+/- 9471 )",714870,"(+/- 8661 )",769664,"(+/- 9437 )",719744,"(+/- 10485 )"
People,Race,"One race",727253,"(+/- 9804 )",710918,"(+/- 9351 )",776024,"(+/- 12337 )",690395,"(+/- 5839 )",702357,"(+/- 5760 )",686851,"(+/- 6381 )",709219,"(+/- 9103 )",716888,"(+/- 3517 )",666771,"(+/- 10300 )",691566,"(+/- 5030 )",664322,"(+/- 10923 )",766350,"(+/- 11023 )",681784,"(+/- 10158 )",698445,"(+/- 8816 )",750819,"(+/- 9815 )",705797,"(+/- 10611 )"
People,Race,White,530281,"(+/- 6902 )",629338,"(+/- 8564 )",430038,"(+/- 13107 )",635946,"(+/- 5542 )",657924,"(+/- 6200 )",664685,"(+/- 6266 )",669556,"(+/- 8439 )",642366,"(+/- 2848 )",519976,"(+/- 9900 )",546380,"(+/- 2742 )",272681,"(+/- 8558 )",681978,"(+/- 11164 )",571945,"(+/- 9152 )",644694,"(+/- 9003 )",687485,"(+/- 9951 )",667377,"(+/- 10325 )"
People,Race,"Black or African American",160639,"(+/- 7490 )",67536,"(+/- 6459 )",281245,"(+/- 7565 )",37072,"(+/- 2897 )",21680,"(+/- 3628 )",14966,"(+/- 2218 )",30350,"(+/- 2690 )",49886,"(+/- 2366 )",110801,"(+/- 7032 )",117319,"(+/- 4454 )",362284,"(+/- 7605 )",39764,"(+/- 3941 )",88437,"(+/- 6446 )",35296,"(+/- 4348 )",36045,"(+/- 4733 )",14011,"(+/- 2862 )"
People,Race,"American Indian and Alaska Native",325,"(+/- 262 )",844,"(+/- 485 )",2007,"(+/- 1166 )",1756,"(+/- 854 )",1883,"(+/- 937 )",340,"(+/- 347 )",1335,"(+/- 900 )",1088,"(+/- 873 )",2933,"(+/- 1192 )",3072,"(+/- 1738 )",2728,"(+/- 1290 )",1471,"(+/- 729 )",507,"(+/- 369 )",646,"(+/- 454 )",1719,"(+/- 1021 )",890,"(+/- 604 )"
People,Race,Asian,29845,"(+/- 2203 )",9898,"(+/- 1623 )",35864,"(+/- 5092 )",8515,"(+/- 1498 )",9754,"(+/- 1806 )",3323,"(+/- 1175 )",4984,"(+/- 1350 )",17414,"(+/- 1454 )",14451,"(+/- 3264 )",15303,"(+/- 1296 )",16381,"(+/- 2478 )",38505,"(+/- 4990 )",17202,"(+/- 3441 )",13892,"(+/- 2717 )",21362,"(+/- 4376 )",17892,"(+/- 2520 )"
People,Race,"Native Hawaiian and Other Pacific Islander",579,"(+/- 309 )",0,"(+/- 198 )",463,"(+/- 550 )",441,"(+/- 395 )",907,"(+/- 926 )",219,"(+/- 236 )",67,"(+/- 115 )",49,"(+/- 70 )",806,"(+/- 1237 )",764,"(+/- 580 )",100,"(+/- 121 )",118,"(+/- 152 )",280,"(+/- 368 )",286,"(+/- 388 )",91,"(+/- 163 )",104,"(+/- 179 )"
People,Race,"Some other race",5584,"(+/- 2101 )",3302,"(+/- 1874 )",26407,"(+/- 5389 )",6665,"(+/- 2312 )",10209,"(+/- 1855 )",3318,"(+/- 1645 )",2927,"(+/- 1351 )",6085,"(+/- 2395 )",17804,"(+/- 3239 )",8728,"(+/- 2562 )",10148,"(+/- 3316 )",4514,"(+/- 1610 )",3413,"(+/- 1355 )",3631,"(+/- 2252 )",4117,"(+/- 1405 )",5523,"(+/- 1886 )"
People,Race,"Two or more races",22520,"(+/- 4844 )",19233,"(+/- 3157 )",37866,"(+/- 6848 )",21866,"(+/- 3298 )",18855,"(+/- 3317 )",11433,"(+/- 2675 )",17792,"(+/- 2574 )",16923,"(+/- 2859 )",30799,"(+/- 4083 )",32150,"(+/- 4894 )",20295,"(+/- 3691 )",21985,"(+/- 3605 )",22407,"(+/- 4176 )",16425,"(+/- 2450 )",18845,"(+/- 3003 )",13947,"(+/- 2370 )"
People,"Hispanic or Latino and Race","Total population",749773,"(+/- 8208 )",730151,"(+/- 9104 )",813890,"(+/- 9835 )",712261,"(+/- 5219 )",721212,"(+/- 6614 )",698284,"(+/- 6239 )",727011,"(+/- 9081 )",733811,"(+/- 1965 )",697570,"(+/- 10955 )",723716,"(+/- 1176 )",684617,"(+/- 10816 )",788335,"(+/- 10998 )",704191,"(+/- 9471 )",714870,"(+/- 8661 )",769664,"(+/- 9437 )",719744,"(+/- 10485 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",25303,"(+/- 2953 )",17880,"(+/- 3112 )",58824,"(+/- 4724 )",27628,"(+/- 2242 )",43160,"(+/- 2512 )",8501,"(+/- 1363 )",21349,"(+/- 2390 )",27497,"(+/- 436 )",75942,"(+/- 4784 )",22767,"(+/- 416 )",32739,"(+/- 4008 )",20241,"(+/- 3086 )",24866,"(+/- 1783 )",23639,"(+/- 2894 )",18388,"(+/- 4050 )",18865,"(+/- 3199 )"
People,"Hispanic or Latino and Race",Mexican,8574,"(+/- 2806 )",8017,"(+/- 2336 )",32168,"(+/- 5601 )",16853,"(+/- 1802 )",31631,"(+/- 2900 )",6416,"(+/- 1305 )",10063,"(+/- 2033 )",14867,"(+/- 2533 )",22993,"(+/- 3180 )",11245,"(+/- 2495 )",5937,"(+/- 2080 )",8857,"(+/- 2138 )",3916,"(+/- 1405 )",9318,"(+/- 1798 )",9733,"(+/- 3775 )",7161,"(+/- 2467 )"
People,"Hispanic or Latino and Race","Puerto Rican",3862,"(+/- 2108 )",2320,"(+/- 1140 )",5760,"(+/- 2895 )",6832,"(+/- 2048 )",4536,"(+/- 1504 )",848,"(+/- 460 )",4793,"(+/- 1996 )",1866,"(+/- 1198 )",42061,"(+/- 4199 )",2717,"(+/- 1435 )",19778,"(+/- 3254 )",3872,"(+/- 1231 )",14197,"(+/- 1837 )",8792,"(+/- 3526 )",3443,"(+/- 1503 )",5023,"(+/- 1394 )"
People,"Hispanic or Latino and Race",Cuban,1560,"(+/- 1276 )",324,"(+/- 266 )",997,"(+/- 641 )",591,"(+/- 580 )",206,"(+/- 232 )",200,"(+/- 190 )",563,"(+/- 419 )",1233,"(+/- 801 )",1797,"(+/- 1185 )",615,"(+/- 531 )",641,"(+/- 473 )",521,"(+/- 537 )",1391,"(+/- 992 )",223,"(+/- 211 )",364,"(+/- 362 )",346,"(+/- 331 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",11307,"(+/- 2641 )",7219,"(+/- 2935 )",19899,"(+/- 4420 )",3352,"(+/- 1590 )",6787,"(+/- 1666 )",1037,"(+/- 469 )",5930,"(+/- 1582 )",9531,"(+/- 2506 )",9091,"(+/- 2232 )",8190,"(+/- 2446 )",6383,"(+/- 1920 )",6991,"(+/- 2306 )",5362,"(+/- 1426 )",5306,"(+/- 1711 )",4848,"(+/- 1599 )",6335,"(+/- 2281 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",724470,"(+/- 8143 )",712271,"(+/- 9587 )",755066,"(+/- 10005 )",684633,"(+/- 4989 )",678052,"(+/- 6343 )",689783,"(+/- 6176 )",705662,"(+/- 9072 )",706314,"(+/- 1981 )",621628,"(+/- 10332 )",700949,"(+/- 1207 )",651878,"(+/- 11107 )",768094,"(+/- 11242 )",679325,"(+/- 9530 )",691231,"(+/- 8739 )",751276,"(+/- 9810 )",700879,"(+/- 10670 )"
People,"Place of Birth","Total population",749773,"(+/- 8208 )",730151,"(+/- 9104 )",813890,"(+/- 9835 )",712261,"(+/- 5219 )",721212,"(+/- 6614 )",698284,"(+/- 6239 )",727011,"(+/- 9081 )",733811,"(+/- 1965 )",697570,"(+/- 10955 )",723716,"(+/- 1176 )",684617,"(+/- 10816 )",788335,"(+/- 10998 )",704191,"(+/- 9471 )",714870,"(+/- 8661 )",769664,"(+/- 9437 )",719744,"(+/- 10485 )"
People,"Place of Birth",Native,698997,"(+/- 8991 )",709166,"(+/- 8740 )",708676,"(+/- 15094 )",697333,"(+/- 5648 )",702114,"(+/- 6799 )",690873,"(+/- 6557 )",715911,"(+/- 9567 )",701211,"(+/- 4456 )",659338,"(+/- 10411 )",691032,"(+/- 3577 )",647403,"(+/- 9842 )",737990,"(+/- 11715 )",675582,"(+/- 9202 )",680854,"(+/- 9305 )",737628,"(+/- 10538 )",676040,"(+/- 10023 )"
People,"Place of Birth","Born in United States",694211,"(+/- 8718 )",706072,"(+/- 8706 )",696442,"(+/- 15056 )",693338,"(+/- 5757 )",697873,"(+/- 6803 )",688636,"(+/- 6325 )",712533,"(+/- 9584 )",698277,"(+/- 4279 )",642302,"(+/- 10478 )",684684,"(+/- 3981 )",637115,"(+/- 10099 )",732795,"(+/- 11850 )",667489,"(+/- 9449 )",675816,"(+/- 9433 )",731351,"(+/- 10411 )",669967,"(+/- 10031 )"
People,"Place of Birth","State of residence",527084,"(+/- 9034 )",542897,"(+/- 9396 )",527658,"(+/- 14397 )",589084,"(+/- 7145 )",573176,"(+/- 8597 )",487003,"(+/- 9705 )",609012,"(+/- 10357 )",542117,"(+/- 6803 )",520114,"(+/- 11054 )",507366,"(+/- 7269 )",508102,"(+/- 10660 )",560798,"(+/- 10046 )",539716,"(+/- 9746 )",548770,"(+/- 8909 )",593188,"(+/- 10036 )",559488,"(+/- 10583 )"
People,"Place of Birth","Different state",167127,"(+/- 8131 )",163175,"(+/- 6628 )",168784,"(+/- 9194 )",104254,"(+/- 5905 )",124697,"(+/- 5770 )",201633,"(+/- 7311 )",103521,"(+/- 6454 )",156160,"(+/- 6658 )",122188,"(+/- 5461 )",177318,"(+/- 7210 )",129013,"(+/- 6018 )",171997,"(+/- 7633 )",127773,"(+/- 6944 )",127046,"(+/- 6095 )",138163,"(+/- 6850 )",110479,"(+/- 5282 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4786,"(+/- 1282 )",3094,"(+/- 803 )",12234,"(+/- 4784 )",3995,"(+/- 1102 )",4241,"(+/- 1120 )",2237,"(+/- 820 )",3378,"(+/- 1001 )",2934,"(+/- 954 )",17036,"(+/- 3011 )",6348,"(+/- 1454 )",10288,"(+/- 2136 )",5195,"(+/- 1218 )",8093,"(+/- 1541 )",5038,"(+/- 1618 )",6277,"(+/- 1500 )",6073,"(+/- 1581 )"
People,"Place of Birth","Foreign born",50776,"(+/- 4303 )",20985,"(+/- 3152 )",105214,"(+/- 9413 )",14928,"(+/- 2544 )",19098,"(+/- 2257 )",7411,"(+/- 1305 )",11100,"(+/- 2436 )",32600,"(+/- 4067 )",38232,"(+/- 5220 )",32684,"(+/- 3527 )",37214,"(+/- 4999 )",50345,"(+/- 5606 )",28609,"(+/- 3380 )",34016,"(+/- 4339 )",32036,"(+/- 4350 )",43704,"(+/- 4942 )"
People,Ancestry,"Total population",749773,"(+/- 8208 )",730151,"(+/- 9104 )",813890,"(+/- 9835 )",712261,"(+/- 5219 )",721212,"(+/- 6614 )",698284,"(+/- 6239 )",727011,"(+/- 9081 )",733811,"(+/- 1965 )",697570,"(+/- 10955 )",723716,"(+/- 1176 )",684617,"(+/- 10816 )",788335,"(+/- 10998 )",704191,"(+/- 9471 )",714870,"(+/- 8661 )",769664,"(+/- 9437 )",719744,"(+/- 10485 )"
People,Ancestry,American,37891,"(+/- 3421 )",59793,"(+/- 5294 )",33953,"(+/- 4848 )",60759,"(+/- 5851 )",51662,"(+/- 5037 )",56538,"(+/- 5245 )",55954,"(+/- 4955 )",57805,"(+/- 5656 )",28517,"(+/- 4012 )",46880,"(+/- 4769 )",19505,"(+/- 4059 )",48793,"(+/- 5032 )",77134,"(+/- 7701 )",35036,"(+/- 4260 )",60736,"(+/- 6099 )",36518,"(+/- 3988 )"
People,Ancestry,Arab,4463,"(+/- 1682 )",2020,"(+/- 1033 )",5672,"(+/- 4006 )",1694,"(+/- 712 )",3524,"(+/- 1182 )",1490,"(+/- 663 )",2689,"(+/- 1442 )",1544,"(+/- 982 )",14454,"(+/- 4377 )",3021,"(+/- 1183 )",5016,"(+/- 2617 )",5634,"(+/- 3006 )",5884,"(+/- 2218 )",4848,"(+/- 1855 )",4504,"(+/- 1934 )",10639,"(+/- 3329 )"
People,Ancestry,Czech,2172,"(+/- 1050 )",1789,"(+/- 841 )",2043,"(+/- 1021 )",1108,"(+/- 664 )",3469,"(+/- 1548 )",2639,"(+/- 1055 )",3211,"(+/- 899 )",1956,"(+/- 657 )",5476,"(+/- 1724 )",1043,"(+/- 634 )",3924,"(+/- 1207 )",2099,"(+/- 740 )",4187,"(+/- 1663 )",9969,"(+/- 1902 )",2376,"(+/- 956 )",8041,"(+/- 1406 )"
People,Ancestry,Danish,1442,"(+/- 605 )",853,"(+/- 500 )",1024,"(+/- 717 )",569,"(+/- 292 )",1468,"(+/- 1204 )",249,"(+/- 168 )",841,"(+/- 490 )",836,"(+/- 747 )",746,"(+/- 411 )",1463,"(+/- 737 )",545,"(+/- 417 )",1221,"(+/- 660 )",805,"(+/- 405 )",1571,"(+/- 655 )",1497,"(+/- 888 )",956,"(+/- 439 )"
People,Ancestry,Dutch,8150,"(+/- 2067 )",8450,"(+/- 1708 )",7812,"(+/- 2562 )",9062,"(+/- 1824 )",11955,"(+/- 2074 )",9852,"(+/- 2409 )",11718,"(+/- 2442 )",9670,"(+/- 2061 )",5798,"(+/- 1278 )",10335,"(+/- 3236 )",4016,"(+/- 1456 )",11302,"(+/- 2222 )",10017,"(+/- 2164 )",11082,"(+/- 3736 )",11309,"(+/- 2728 )",9543,"(+/- 2416 )"
People,Ancestry,English,49515,"(+/- 4772 )",68029,"(+/- 5724 )",43032,"(+/- 4153 )",60936,"(+/- 5482 )",53340,"(+/- 4390 )",61265,"(+/- 5798 )",67336,"(+/- 5143 )",58913,"(+/- 5194 )",45715,"(+/- 4483 )",62902,"(+/- 4749 )",26936,"(+/- 3202 )",81809,"(+/- 7000 )",49201,"(+/- 4993 )",67426,"(+/- 5621 )",74155,"(+/- 5435 )",68420,"(+/- 5639 )"
People,Ancestry,"French (except Basque)",11372,"(+/- 1873 )",13667,"(+/- 2666 )",13584,"(+/- 2629 )",15209,"(+/- 2511 )",23957,"(+/- 3392 )",10339,"(+/- 1733 )",12288,"(+/- 2204 )",17397,"(+/- 3557 )",16384,"(+/- 3155 )",12649,"(+/- 1876 )",6068,"(+/- 1432 )",16636,"(+/- 2379 )",11295,"(+/- 2025 )",14470,"(+/- 2245 )",14027,"(+/- 2634 )",17058,"(+/- 2594 )"
People,Ancestry,"French Canadian",874,"(+/- 463 )",1417,"(+/- 607 )",1145,"(+/- 528 )",1186,"(+/- 665 )",3750,"(+/- 1176 )",977,"(+/- 492 )",1162,"(+/- 687 )",1934,"(+/- 840 )",3380,"(+/- 1399 )",2238,"(+/- 946 )",1161,"(+/- 650 )",1934,"(+/- 819 )",570,"(+/- 303 )",1435,"(+/- 587 )",2952,"(+/- 1391 )",2420,"(+/- 973 )"
People,Ancestry,German,189491,"(+/- 8342 )",169837,"(+/- 7948 )",109704,"(+/- 7226 )",207215,"(+/- 8953 )",248803,"(+/- 8507 )",136989,"(+/- 8035 )",193285,"(+/- 9158 )",185707,"(+/- 9273 )",139616,"(+/- 7810 )",148204,"(+/- 8936 )",55750,"(+/- 4835 )",181200,"(+/- 9078 )",128203,"(+/- 7438 )",146290,"(+/- 8130 )",180352,"(+/- 10175 )",182808,"(+/- 9303 )"
People,Ancestry,Greek,2394,"(+/- 993 )",2314,"(+/- 804 )",2351,"(+/- 1281 )",2230,"(+/- 865 )",2011,"(+/- 810 )",1814,"(+/- 845 )",5767,"(+/- 2205 )",2033,"(+/- 927 )",1944,"(+/- 585 )",1771,"(+/- 677 )",2637,"(+/- 1110 )",4038,"(+/- 1752 )",7371,"(+/- 2147 )",3496,"(+/- 1182 )",3814,"(+/- 1407 )",6776,"(+/- 2649 )"
People,Ancestry,Hungarian,3709,"(+/- 1176 )",2878,"(+/- 943 )",4431,"(+/- 1154 )",8010,"(+/- 1377 )",11424,"(+/- 2383 )",5993,"(+/- 1260 )",10598,"(+/- 1900 )",4035,"(+/- 1332 )",18889,"(+/- 2501 )",4837,"(+/- 1174 )",9036,"(+/- 1776 )",7174,"(+/- 1441 )",15305,"(+/- 2219 )",26096,"(+/- 2825 )",6858,"(+/- 1570 )",24604,"(+/- 3560 )"
People,Ancestry,Irish,101865,"(+/- 7135 )",94095,"(+/- 6094 )",69278,"(+/- 5761 )",89468,"(+/- 6111 )",85497,"(+/- 5497 )",90193,"(+/- 6330 )",92628,"(+/- 7029 )",84329,"(+/- 7248 )",93947,"(+/- 6827 )",87919,"(+/- 5523 )",41048,"(+/- 4156 )",123000,"(+/- 9132 )",96348,"(+/- 6540 )",100699,"(+/- 6608 )",106449,"(+/- 7253 )",107989,"(+/- 6912 )"
People,Ancestry,Italian,30928,"(+/- 4555 )",27511,"(+/- 3255 )",30588,"(+/- 4187 )",28678,"(+/- 3526 )",22768,"(+/- 2985 )",47320,"(+/- 4757 )",41995,"(+/- 4651 )",26683,"(+/- 5304 )",50206,"(+/- 4757 )",22243,"(+/- 3289 )",34130,"(+/- 3580 )",44048,"(+/- 4750 )",81610,"(+/- 5983 )",97652,"(+/- 7218 )",44416,"(+/- 5567 )",75368,"(+/- 6490 )"
