cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
Workers,Industry,"Wholesale trade",7623,"(+/- 1095 )",8924,"(+/- 1576 )",11706,"(+/- 1796 )",8713,"(+/- 1189 )"
Workers,Industry,"Retail trade",35614,"(+/- 3712 )",39536,"(+/- 3591 )",42255,"(+/- 3167 )",33888,"(+/- 2801 )"
Workers,Industry,"Transportation and warehousing, and utilities",17216,"(+/- 1636 )",21246,"(+/- 2466 )",20165,"(+/- 2039 )",14665,"(+/- 2200 )"
Workers,Industry,Information,5130,"(+/- 1035 )",5341,"(+/- 1287 )",11157,"(+/- 1976 )",4045,"(+/- 940 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",16708,"(+/- 1814 )",19258,"(+/- 2328 )",36285,"(+/- 2760 )",15986,"(+/- 2167 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",20813,"(+/- 2054 )",26827,"(+/- 2689 )",67943,"(+/- 3530 )",29953,"(+/- 3076 )"
Workers,Industry,"Educational services, and health care and social assistance",89703,"(+/- 4266 )",88033,"(+/- 4085 )",92674,"(+/- 4764 )",88404,"(+/- 4043 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",27212,"(+/- 3042 )",28332,"(+/- 2830 )",37522,"(+/- 3620 )",31043,"(+/- 2706 )"
Workers,Industry,"Other services, except public administration",13711,"(+/- 2002 )",16349,"(+/- 2009 )",16759,"(+/- 1790 )",15982,"(+/- 2312 )"
Workers,Industry,"Public administration",16405,"(+/- 1817 )",23378,"(+/- 2172 )",14482,"(+/- 1900 )",10791,"(+/- 1506 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",339960,"(+/- 4970 )",354073,"(+/- 5574 )",414921,"(+/- 4698 )",346792,"(+/- 5836 )"
Workers,"Class of Worker","Private wage and salary workers",247033,"(+/- 5650 )",267347,"(+/- 5912 )",342696,"(+/- 5559 )",277153,"(+/- 6099 )"
Workers,"Class of Worker","Government workers",64308,"(+/- 3673 )",67003,"(+/- 3655 )",50554,"(+/- 3197 )",49973,"(+/- 2945 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",26649,"(+/- 2192 )",18883,"(+/- 2170 )",21299,"(+/- 2507 )",19087,"(+/- 1943 )"
Workers,"Class of Worker","Unpaid family workers",1970,"(+/- 726 )",840,"(+/- 356 )",372,"(+/- 276 )",579,"(+/- 310 )"
Housing,"Housing Occupancy","Total housing units",323644,"(+/- 1490 )",323252,"(+/- 1403 )",321749,"(+/- 905 )",319785,"(+/- 1026 )"
Housing,"Housing Occupancy","Occupied housing units",272404,"(+/- 3095 )",286494,"(+/- 3184 )",297879,"(+/- 3406 )",281552,"(+/- 3664 )"
Housing,"Housing Occupancy","Vacant housing units",51240,"(+/- 3323 )",36758,"(+/- 2924 )",23870,"(+/- 3203 )",38233,"(+/- 3711 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",3.6,"(+/- 0.8 )",1.3,"(+/- 0.6 )",1.1,"(+/- 0.5 )",1.1,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",9.6,"(+/- 1.5 )",8.2,"(+/- 1.6 )",4.2,"(+/- 1.4 )",9.3,"(+/- 1.9 )"
Housing,"Housing Tenure","Occupied housing units",272404,"(+/- 3095 )",286494,"(+/- 3184 )",297879,"(+/- 3406 )",281552,"(+/- 3664 )"
Housing,"Housing Tenure",Owner-occupied,181236,"(+/- 4526 )",189570,"(+/- 3486 )",200563,"(+/- 3967 )",185197,"(+/- 4021 )"
Housing,"Housing Tenure",Renter-occupied,91168,"(+/- 4189 )",96924,"(+/- 4066 )",97316,"(+/- 3816 )",96355,"(+/- 3847 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.55,"(+/- 0.04 )",2.52,"(+/- 0.04 )",2.79,"(+/- 0.04 )",2.64,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.21,"(+/- 0.07 )",2.17,"(+/- 0.06 )",2.20,"(+/- 0.06 )",2.28,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",272404,"(+/- 3095 )",286494,"(+/- 3184 )",297879,"(+/- 3406 )",281552,"(+/- 3664 )"
Housing,"Year Householder Moved into Unit","Moved in 2017 or later",83888,"(+/- 3415 )",86800,"(+/- 3711 )",91315,"(+/- 3815 )",82833,"(+/- 3970 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2016",30974,"(+/- 2398 )",32149,"(+/- 2414 )",40985,"(+/- 2615 )",34091,"(+/- 3131 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",40709,"(+/- 2765 )",42135,"(+/- 3293 )",50334,"(+/- 3266 )",44704,"(+/- 3013 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",47651,"(+/- 3040 )",56631,"(+/- 3384 )",58196,"(+/- 3337 )",55557,"(+/- 2848 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",31018,"(+/- 2099 )",32185,"(+/- 2141 )",30335,"(+/- 2520 )",33636,"(+/- 2574 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",38164,"(+/- 1927 )",36594,"(+/- 2168 )",26714,"(+/- 1950 )",30731,"(+/- 2097 )"
Housing,Value,"Owner-occupied units",181236,"(+/- 4526 )",189570,"(+/- 3486 )",200563,"(+/- 3967 )",185197,"(+/- 4021 )"
Housing,Value,"Less than $50,000",28050,"(+/- 2205 )",26939,"(+/- 2457 )",8526,"(+/- 1382 )",19443,"(+/- 1781 )"
Housing,Value,"$50,000 to $99,999",42243,"(+/- 3045 )",41800,"(+/- 2316 )",12634,"(+/- 1508 )",42535,"(+/- 2578 )"
Housing,Value,"$100,000 to $149,999",34042,"(+/- 2612 )",32133,"(+/- 2330 )",17043,"(+/- 1711 )",34712,"(+/- 2505 )"
Housing,Value,"$150,000 to $199,999",30071,"(+/- 2129 )",33264,"(+/- 2123 )",24079,"(+/- 2163 )",34978,"(+/- 2869 )"
Housing,Value,"$200,000 to $299,999",28870,"(+/- 2104 )",31437,"(+/- 2562 )",60462,"(+/- 2496 )",30061,"(+/- 2234 )"
Housing,Value,"$300,000 to $499,999",14113,"(+/- 1669 )",18272,"(+/- 2002 )",55335,"(+/- 2619 )",17648,"(+/- 2077 )"
Housing,Value,"$500,000 to $999,999",3274,"(+/- 556 )",4868,"(+/- 831 )",19117,"(+/- 1612 )",5029,"(+/- 918 )"
Housing,Value,"$1,000,000 or more",573,"(+/- 343 )",857,"(+/- 422 )",3367,"(+/- 977 )",791,"(+/- 359 )"
Housing,Value,"Median (dollars)",128600,"(+/- 4130 )",139200,"(+/- 5154 )",261800,"(+/- 4896 )",144100,"(+/- 4333 )"
Housing,"Mortgage Status","Owner-occupied units",181236,"(+/- 4526 )",189570,"(+/- 3486 )",200563,"(+/- 3967 )",185197,"(+/- 4021 )"
Housing,"Mortgage Status","Housing units with a mortgage",89174,"(+/- 3692 )",103062,"(+/- 3245 )",137531,"(+/- 3668 )",108638,"(+/- 3837 )"
Housing,"Mortgage Status","Housing units without a mortgage",92062,"(+/- 3262 )",86508,"(+/- 3348 )",63032,"(+/- 3154 )",76559,"(+/- 3477 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",89174,"(+/- 3692 )",103062,"(+/- 3245 )",137531,"(+/- 3668 )",108638,"(+/- 3837 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1689,"(+/- 522 )",2020,"(+/- 821 )",580,"(+/- 309 )",2170,"(+/- 665 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",28173,"(+/- 2240 )",27962,"(+/- 2217 )",11788,"(+/- 1398 )",29776,"(+/- 2395 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",32263,"(+/- 2621 )",40324,"(+/- 2494 )",35841,"(+/- 2573 )",39242,"(+/- 2515 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",16980,"(+/- 1739 )",17151,"(+/- 1736 )",38985,"(+/- 2276 )",20064,"(+/- 2178 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",6066,"(+/- 1145 )",8907,"(+/- 1488 )",21200,"(+/- 2091 )",10386,"(+/- 1700 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",1713,"(+/- 552 )",3687,"(+/- 914 )",14515,"(+/- 1578 )",3202,"(+/- 815 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",2290,"(+/- 539 )",3011,"(+/- 1029 )",14622,"(+/- 1499 )",3798,"(+/- 980 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1201,"(+/- 24 )",1262,"(+/- 31 )",1738,"(+/- 26 )",1288,"(+/- 31 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",92062,"(+/- 3262 )",86508,"(+/- 3348 )",63032,"(+/- 3154 )",76559,"(+/- 3477 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",10572,"(+/- 1511 )",7706,"(+/- 996 )",1465,"(+/- 426 )",7966,"(+/- 1270 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",24923,"(+/- 1923 )",20562,"(+/- 2012 )",6127,"(+/- 1147 )",17794,"(+/- 1944 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",30915,"(+/- 2119 )",31407,"(+/- 2334 )",17996,"(+/- 2181 )",25758,"(+/- 2386 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",16947,"(+/- 1813 )",16064,"(+/- 1669 )",17248,"(+/- 1605 )",15043,"(+/- 1799 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",5947,"(+/- 956 )",5849,"(+/- 1012 )",10430,"(+/- 1327 )",5623,"(+/- 1181 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2758,"(+/- 662 )",4920,"(+/- 816 )",9766,"(+/- 1323 )",4375,"(+/- 950 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",460,"(+/- 10 )",487,"(+/- 11 )",667,"(+/- 18 )",494,"(+/- 15 )"
Housing,"Gross Rent","Occupied units paying rent",83676,"(+/- 3955 )",91553,"(+/- 3986 )",94913,"(+/- 3809 )",91746,"(+/- 3881 )"
