cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","45 to 54 years",81413,"(+/- 1150 )",84733,"(+/- 2793 )",91067,"(+/- 2574 )",87752,"(+/- 1615 )",84700,"(+/- 1589 )",84074,"(+/- 1603 )",91020,"(+/- 2076 )",94895,"(+/- 2940 )",96131,"(+/- 4091 )",100270,"(+/- 3147 )",106799,"(+/- 4104 )",83997,"(+/- 3784 )",82994,"(+/- 3864 )",82854,"(+/- 4056 )"
People,"Sex and Age","55 to 59 years",54763,"(+/- 2211 )",52417,"(+/- 2845 )",48405,"(+/- 2883 )",51161,"(+/- 2301 )",45718,"(+/- 2441 )",48112,"(+/- 2114 )",52978,"(+/- 2772 )",53940,"(+/- 2676 )",52950,"(+/- 3229 )",56172,"(+/- 3055 )",55305,"(+/- 3309 )",45911,"(+/- 2776 )",41132,"(+/- 3138 )",42745,"(+/- 3157 )"
People,"Sex and Age","60 to 64 years",58894,"(+/- 2263 )",45924,"(+/- 2589 )",49619,"(+/- 3334 )",49731,"(+/- 2080 )",54829,"(+/- 2489 )",49558,"(+/- 2015 )",54261,"(+/- 2735 )",52261,"(+/- 2429 )",45631,"(+/- 2794 )",54418,"(+/- 2618 )",55062,"(+/- 3515 )",42390,"(+/- 2790 )",38633,"(+/- 3141 )",46553,"(+/- 3067 )"
People,"Sex and Age","65 to 74 years",98883,"(+/- 793 )",71993,"(+/- 2038 )",70364,"(+/- 1908 )",80276,"(+/- 1375 )",74500,"(+/- 1364 )",76303,"(+/- 998 )",79786,"(+/- 1692 )",71535,"(+/- 2619 )",69762,"(+/- 3195 )",82319,"(+/- 2562 )",75932,"(+/- 2998 )",67496,"(+/- 3244 )",57205,"(+/- 3110 )",65459,"(+/- 3446 )"
People,"Sex and Age","75 to 84 years",49929,"(+/- 1457 )",35669,"(+/- 1999 )",30977,"(+/- 1949 )",42392,"(+/- 1746 )",39181,"(+/- 1737 )",36472,"(+/- 1903 )",40848,"(+/- 1931 )",34221,"(+/- 1988 )",36666,"(+/- 2428 )",41860,"(+/- 2137 )",35953,"(+/- 2725 )",29188,"(+/- 2360 )",27199,"(+/- 2142 )",30348,"(+/- 2148 )"
People,"Sex and Age","85 years and over",19909,"(+/- 1407 )",15374,"(+/- 1673 )",14556,"(+/- 1647 )",15967,"(+/- 1458 )",14810,"(+/- 1625 )",15526,"(+/- 1784 )",15245,"(+/- 1563 )",11632,"(+/- 1292 )",18112,"(+/- 2049 )",14900,"(+/- 1897 )",18003,"(+/- 1800 )",12469,"(+/- 1452 )",11882,"(+/- 1643 )",15308,"(+/- 1608 )"
People,"Sex and Age","Median age (years)",47.1,"(+/- 0.3 )",37.3,"(+/- 0.5 )",37.4,"(+/- 0.4 )",41.8,"(+/- 0.4 )",41.8,"(+/- 0.5 )",39.1,"(+/- 0.4 )",42.2,"(+/- 0.5 )",39.0,"(+/- 0.5 )",39.9,"(+/- 0.8 )",43.7,"(+/- 0.7 )",42.4,"(+/- 0.9 )",36.4,"(+/- 0.8 )",35.3,"(+/- 0.6 )",37.0,"(+/- 0.9 )"
People,"Sex and Age","18 years and over",570443,"(+/- 1609 )",572700,"(+/- 3670 )",577422,"(+/- 3780 )",559500,"(+/- 2837 )",527184,"(+/- 3034 )",561332,"(+/- 900 )",561397,"(+/- 2880 )",588904,"(+/- 4987 )",579672,"(+/- 6793 )",570032,"(+/- 5089 )",580147,"(+/- 6195 )",560409,"(+/- 7379 )",507146,"(+/- 10579 )",527747,"(+/- 9742 )"
People,"Sex and Age","65 years and over",168721,"(+/- 980 )",123036,"(+/- 2622 )",115897,"(+/- 2536 )",138635,"(+/- 1734 )",128491,"(+/- 1627 )",128301,"(+/- 997 )",135879,"(+/- 1885 )",117388,"(+/- 3496 )",124540,"(+/- 4068 )",139079,"(+/- 3379 )",129888,"(+/- 4502 )",109153,"(+/- 4494 )",96286,"(+/- 3786 )",111115,"(+/- 4299 )"
People,Race,"Total population",697102,"(+/- 1104 )",746998,"(+/- 3252 )",752287,"(+/- 2976 )",702887,"(+/- 3617 )",672466,"(+/- 3646 )",721508,"(+/- 1278 )",710064,"(+/- 4256 )",740750,"(+/- 5416 )",718223,"(+/- 7936 )",721753,"(+/- 5522 )",735677,"(+/- 6438 )",704912,"(+/- 7157 )",672291,"(+/- 13697 )",689939,"(+/- 13776 )"
People,Race,"One race",678341,"(+/- 1916 )",720790,"(+/- 4359 )",718982,"(+/- 5832 )",688214,"(+/- 3849 )",649865,"(+/- 5271 )",694463,"(+/- 4031 )",688819,"(+/- 5021 )",720057,"(+/- 6361 )",694471,"(+/- 8655 )",707137,"(+/- 5676 )",715443,"(+/- 7085 )",679659,"(+/- 7545 )",655843,"(+/- 13537 )",672433,"(+/- 14375 )"
People,Race,White,642735,"(+/- 1486 )",633304,"(+/- 6164 )",623004,"(+/- 5883 )",658899,"(+/- 3890 )",518850,"(+/- 3897 )",612051,"(+/- 3084 )",645163,"(+/- 4828 )",630546,"(+/- 7020 )",549812,"(+/- 9230 )",663644,"(+/- 7447 )",593221,"(+/- 9311 )",547006,"(+/- 9244 )",258937,"(+/- 9489 )",234993,"(+/- 9135 )"
People,Race,"Black or African American",9777,"(+/- 1235 )",46328,"(+/- 4207 )",62185,"(+/- 4672 )",12781,"(+/- 1485 )",117430,"(+/- 3418 )",61209,"(+/- 3884 )",28724,"(+/- 2610 )",45067,"(+/- 4289 )",99489,"(+/- 5749 )",22970,"(+/- 4211 )",35731,"(+/- 5422 )",79610,"(+/- 5845 )",363772,"(+/- 12335 )",385996,"(+/- 14369 )"
People,Race,"American Indian and Alaska Native",18626,"(+/- 1552 )",3960,"(+/- 1158 )",2021,"(+/- 795 )",5622,"(+/- 869 )",3420,"(+/- 957 )",3021,"(+/- 669 )",3220,"(+/- 906 )",2826,"(+/- 704 )",3694,"(+/- 1751 )",1102,"(+/- 502 )",1167,"(+/- 559 )",2133,"(+/- 788 )",4528,"(+/- 1768 )",2445,"(+/- 1136 )"
People,Race,Asian,4921,"(+/- 786 )",16812,"(+/- 2158 )",15948,"(+/- 1878 )",7221,"(+/- 1122 )",6469,"(+/- 989 )",10669,"(+/- 1608 )",8589,"(+/- 1574 )",38144,"(+/- 2992 )",38502,"(+/- 3797 )",12052,"(+/- 3107 )",82122,"(+/- 5471 )",38443,"(+/- 2754 )",8252,"(+/- 2562 )",39086,"(+/- 4332 )"
People,Race,"Native Hawaiian and Other Pacific Islander",578,"(+/- 452 )",94,"(+/- 132 )",48,"(+/- 81 )",130,"(+/- 164 )",91,"(+/- 129 )",0,"(+/- 175 )",47,"(+/- 99 )",0,"(+/- 175 )",44,"(+/- 119 )",772,"(+/- 390 )",99,"(+/- 171 )",56,"(+/- 91 )",54,"(+/- 87 )",65,"(+/- 111 )"
People,Race,"Some other race",1704,"(+/- 709 )",20292,"(+/- 5382 )",15776,"(+/- 4162 )",3561,"(+/- 1194 )",3605,"(+/- 1212 )",7513,"(+/- 1904 )",3076,"(+/- 1044 )",3474,"(+/- 1039 )",2930,"(+/- 1321 )",6597,"(+/- 3017 )",3103,"(+/- 1106 )",12411,"(+/- 3599 )",20300,"(+/- 5283 )",9848,"(+/- 3260 )"
People,Race,"Two or more races",18761,"(+/- 1644 )",26208,"(+/- 3374 )",33305,"(+/- 4998 )",14673,"(+/- 1616 )",22601,"(+/- 3389 )",27045,"(+/- 3784 )",21245,"(+/- 2382 )",20693,"(+/- 3422 )",23752,"(+/- 3872 )",14616,"(+/- 2400 )",20234,"(+/- 3360 )",25253,"(+/- 3088 )",16448,"(+/- 3189 )",17506,"(+/- 3353 )"
People,"Hispanic or Latino and Race","Total population",697102,"(+/- 1104 )",746998,"(+/- 3252 )",752287,"(+/- 2976 )",702887,"(+/- 3617 )",672466,"(+/- 3646 )",721508,"(+/- 1278 )",710064,"(+/- 4256 )",740750,"(+/- 5416 )",718223,"(+/- 7936 )",721753,"(+/- 5522 )",735677,"(+/- 6438 )",704912,"(+/- 7157 )",672291,"(+/- 13697 )",689939,"(+/- 13776 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",13254,"(+/- 514 )",72073,"(+/- 3633 )",60188,"(+/- 3565 )",24643,"(+/- 1609 )",34131,"(+/- 1599 )",47106,"(+/- 567 )",31998,"(+/- 1366 )",38636,"(+/- 3663 )",18524,"(+/- 2878 )",24426,"(+/- 2502 )",32329,"(+/- 3806 )",43948,"(+/- 4662 )",51971,"(+/- 5557 )",32746,"(+/- 4895 )"
People,"Hispanic or Latino and Race",Mexican,8542,"(+/- 1266 )",52786,"(+/- 5050 )",41240,"(+/- 4683 )",18588,"(+/- 1830 )",27667,"(+/- 2572 )",33231,"(+/- 2547 )",25490,"(+/- 1969 )",25766,"(+/- 3309 )",11148,"(+/- 2575 )",17594,"(+/- 2730 )",19148,"(+/- 3373 )",30046,"(+/- 4047 )",35312,"(+/- 5175 )",19855,"(+/- 4280 )"
People,"Hispanic or Latino and Race","Puerto Rican",1362,"(+/- 512 )",8046,"(+/- 2947 )",3586,"(+/- 1305 )",2244,"(+/- 835 )",2925,"(+/- 1456 )",3827,"(+/- 1907 )",2171,"(+/- 951 )",2974,"(+/- 1171 )",1766,"(+/- 1100 )",1799,"(+/- 908 )",3755,"(+/- 1408 )",3723,"(+/- 1343 )",7905,"(+/- 2265 )",6274,"(+/- 2461 )"
People,"Hispanic or Latino and Race",Cuban,718,"(+/- 427 )",1920,"(+/- 1146 )",1545,"(+/- 941 )",415,"(+/- 220 )",171,"(+/- 185 )",1194,"(+/- 790 )",777,"(+/- 408 )",1875,"(+/- 1086 )",688,"(+/- 482 )",582,"(+/- 461 )",1667,"(+/- 1400 )",735,"(+/- 473 )",1256,"(+/- 1666 )",890,"(+/- 718 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",2632,"(+/- 872 )",9321,"(+/- 2739 )",13817,"(+/- 3735 )",3396,"(+/- 1075 )",3368,"(+/- 1378 )",8854,"(+/- 2179 )",3560,"(+/- 1423 )",8021,"(+/- 2728 )",4922,"(+/- 2102 )",4451,"(+/- 1408 )",7759,"(+/- 2421 )",9444,"(+/- 2348 )",7498,"(+/- 3146 )",5727,"(+/- 2089 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",683848,"(+/- 1112 )",674925,"(+/- 4579 )",692099,"(+/- 4491 )",678244,"(+/- 3183 )",638335,"(+/- 3305 )",674402,"(+/- 1277 )",678066,"(+/- 4199 )",702114,"(+/- 6037 )",699699,"(+/- 8068 )",697327,"(+/- 5430 )",703348,"(+/- 6889 )",660964,"(+/- 8814 )",620320,"(+/- 13345 )",657193,"(+/- 14225 )"
People,"Place of Birth","Total population",697102,"(+/- 1104 )",746998,"(+/- 3252 )",752287,"(+/- 2976 )",702887,"(+/- 3617 )",672466,"(+/- 3646 )",721508,"(+/- 1278 )",710064,"(+/- 4256 )",740750,"(+/- 5416 )",718223,"(+/- 7936 )",721753,"(+/- 5522 )",735677,"(+/- 6438 )",704912,"(+/- 7157 )",672291,"(+/- 13697 )",689939,"(+/- 13776 )"
People,"Place of Birth",Native,684898,"(+/- 1786 )",705104,"(+/- 4761 )",710277,"(+/- 4800 )",690988,"(+/- 3247 )",657931,"(+/- 3467 )",687395,"(+/- 4789 )",686662,"(+/- 5155 )",675269,"(+/- 7182 )",635139,"(+/- 8387 )",675389,"(+/- 6149 )",619463,"(+/- 8941 )",619831,"(+/- 9308 )",623084,"(+/- 13611 )",614502,"(+/- 13039 )"
People,"Place of Birth","Born in United States",681681,"(+/- 1846 )",698516,"(+/- 5268 )",705756,"(+/- 4892 )",687579,"(+/- 3321 )",654647,"(+/- 3515 )",683770,"(+/- 4819 )",683791,"(+/- 5378 )",670788,"(+/- 7442 )",628259,"(+/- 8576 )",669711,"(+/- 6226 )",612120,"(+/- 9149 )",609049,"(+/- 8744 )",615564,"(+/- 13497 )",602093,"(+/- 12458 )"
People,"Place of Birth","State of residence",544104,"(+/- 5230 )",587654,"(+/- 7602 )",590229,"(+/- 7284 )",598410,"(+/- 5454 )",566715,"(+/- 6496 )",495819,"(+/- 7244 )",523583,"(+/- 7341 )",550478,"(+/- 9626 )",547400,"(+/- 9120 )",601318,"(+/- 7323 )",507181,"(+/- 8803 )",485500,"(+/- 10191 )",520509,"(+/- 13808 )",495575,"(+/- 12543 )"
People,"Place of Birth","Different state",137577,"(+/- 5149 )",110862,"(+/- 6624 )",115527,"(+/- 5713 )",89169,"(+/- 4350 )",87932,"(+/- 5059 )",187951,"(+/- 6681 )",160208,"(+/- 6599 )",120310,"(+/- 5602 )",80859,"(+/- 5275 )",68393,"(+/- 4848 )",104939,"(+/- 4676 )",123549,"(+/- 4842 )",95055,"(+/- 5415 )",106518,"(+/- 5006 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3217,"(+/- 726 )",6588,"(+/- 1735 )",4521,"(+/- 1203 )",3409,"(+/- 808 )",3284,"(+/- 762 )",3625,"(+/- 1048 )",2871,"(+/- 847 )",4481,"(+/- 1150 )",6880,"(+/- 1600 )",5678,"(+/- 1329 )",7343,"(+/- 1556 )",10782,"(+/- 3162 )",7520,"(+/- 1980 )",12409,"(+/- 3592 )"
People,"Place of Birth","Foreign born",12204,"(+/- 1498 )",41894,"(+/- 3760 )",42010,"(+/- 4068 )",11899,"(+/- 1530 )",14535,"(+/- 2491 )",34113,"(+/- 4685 )",23402,"(+/- 2672 )",65481,"(+/- 5256 )",83084,"(+/- 7197 )",46364,"(+/- 4974 )",116214,"(+/- 5816 )",85081,"(+/- 5460 )",49207,"(+/- 5336 )",75437,"(+/- 5588 )"
People,Ancestry,"Total population",697102,"(+/- 1104 )",746998,"(+/- 3252 )",752287,"(+/- 2976 )",702887,"(+/- 3617 )",672466,"(+/- 3646 )",721508,"(+/- 1278 )",710064,"(+/- 4256 )",740750,"(+/- 5416 )",718223,"(+/- 7936 )",721753,"(+/- 5522 )",735677,"(+/- 6438 )",704912,"(+/- 7157 )",672291,"(+/- 13697 )",689939,"(+/- 13776 )"
People,Ancestry,American,42281,"(+/- 3994 )",29652,"(+/- 4142 )",30455,"(+/- 3627 )",39729,"(+/- 3701 )",35808,"(+/- 4419 )",41740,"(+/- 5094 )",61659,"(+/- 4961 )",34536,"(+/- 3668 )",31313,"(+/- 5161 )",36030,"(+/- 4043 )",25294,"(+/- 3054 )",43882,"(+/- 5018 )",39842,"(+/- 6150 )",18235,"(+/- 3116 )"
People,Ancestry,Arab,1360,"(+/- 587 )",2554,"(+/- 1057 )",3382,"(+/- 1616 )",3052,"(+/- 1063 )",4260,"(+/- 1644 )",3201,"(+/- 2954 )",7529,"(+/- 2505 )",10478,"(+/- 3215 )",25239,"(+/- 5039 )",10873,"(+/- 3523 )",24421,"(+/- 4089 )",57792,"(+/- 5705 )",38706,"(+/- 8737 )",28784,"(+/- 4671 )"
People,Ancestry,Czech,5400,"(+/- 1235 )",2638,"(+/- 863 )",2422,"(+/- 931 )",4746,"(+/- 1166 )",2715,"(+/- 1091 )",3528,"(+/- 878 )",3093,"(+/- 849 )",3508,"(+/- 1197 )",1749,"(+/- 632 )",2083,"(+/- 635 )",2726,"(+/- 1035 )",1938,"(+/- 669 )",478,"(+/- 291 )",1407,"(+/- 821 )"
People,Ancestry,Danish,4870,"(+/- 1047 )",4859,"(+/- 1192 )",3806,"(+/- 1058 )",5033,"(+/- 1382 )",1795,"(+/- 998 )",2492,"(+/- 775 )",1757,"(+/- 794 )",3482,"(+/- 1145 )",1390,"(+/- 711 )",1240,"(+/- 437 )",1628,"(+/- 617 )",1282,"(+/- 577 )",468,"(+/- 279 )",1258,"(+/- 513 )"
People,Ancestry,Dutch,19332,"(+/- 2237 )",126428,"(+/- 7291 )",91591,"(+/- 6284 )",28051,"(+/- 3161 )",10225,"(+/- 1616 )",62156,"(+/- 4258 )",15965,"(+/- 2508 )",13236,"(+/- 1910 )",9108,"(+/- 1936 )",11857,"(+/- 2124 )",8676,"(+/- 1543 )",8571,"(+/- 1499 )",2987,"(+/- 1458 )",2385,"(+/- 704 )"
People,Ancestry,English,75286,"(+/- 4145 )",60471,"(+/- 4140 )",79414,"(+/- 5081 )",72266,"(+/- 4598 )",51201,"(+/- 3825 )",67849,"(+/- 5329 )",89529,"(+/- 5743 )",91474,"(+/- 5763 )",51096,"(+/- 4111 )",62193,"(+/- 4890 )",68995,"(+/- 5073 )",47285,"(+/- 4064 )",16813,"(+/- 2622 )",20019,"(+/- 3442 )"
People,Ancestry,"French (except Basque)",47252,"(+/- 3431 )",20008,"(+/- 2265 )",18057,"(+/- 2657 )",30759,"(+/- 3241 )",36852,"(+/- 3687 )",17998,"(+/- 2283 )",30592,"(+/- 3228 )",25499,"(+/- 2639 )",26797,"(+/- 3381 )",36479,"(+/- 3407 )",25657,"(+/- 2740 )",24365,"(+/- 3018 )",7448,"(+/- 1333 )",9131,"(+/- 2163 )"
People,Ancestry,"French Canadian",22024,"(+/- 2117 )",7454,"(+/- 1685 )",6307,"(+/- 1566 )",12251,"(+/- 1604 )",13881,"(+/- 2185 )",3601,"(+/- 796 )",10176,"(+/- 1934 )",12993,"(+/- 2189 )",14938,"(+/- 2570 )",18083,"(+/- 2187 )",12829,"(+/- 2113 )",13545,"(+/- 3458 )",5245,"(+/- 1547 )",2770,"(+/- 941 )"
People,Ancestry,German,150918,"(+/- 5427 )",135788,"(+/- 8346 )",142546,"(+/- 7059 )",183130,"(+/- 6794 )",127515,"(+/- 7893 )",138239,"(+/- 6489 )",166472,"(+/- 7594 )",147657,"(+/- 6646 )",118684,"(+/- 6572 )",180238,"(+/- 8089 )",121627,"(+/- 5568 )",104273,"(+/- 6347 )",39716,"(+/- 4588 )",40549,"(+/- 4386 )"
People,Ancestry,Greek,1403,"(+/- 505 )",1643,"(+/- 1186 )",2501,"(+/- 1752 )",2728,"(+/- 913 )",2754,"(+/- 1110 )",3288,"(+/- 2046 )",2371,"(+/- 995 )",3427,"(+/- 1307 )",5210,"(+/- 1276 )",4697,"(+/- 1783 )",5086,"(+/- 1192 )",5473,"(+/- 1706 )",1168,"(+/- 575 )",2771,"(+/- 1337 )"
People,Ancestry,Hungarian,5995,"(+/- 1221 )",4060,"(+/- 1626 )",3278,"(+/- 1017 )",5163,"(+/- 1051 )",6415,"(+/- 1432 )",4106,"(+/- 1118 )",7918,"(+/- 2221 )",7300,"(+/- 1219 )",5590,"(+/- 1207 )",6409,"(+/- 1254 )",9662,"(+/- 2080 )",13298,"(+/- 2301 )",3060,"(+/- 1010 )",2924,"(+/- 1445 )"
People,Ancestry,Irish,73310,"(+/- 4405 )",66536,"(+/- 5824 )",83598,"(+/- 6073 )",74812,"(+/- 4864 )",70666,"(+/- 5465 )",74861,"(+/- 5457 )",79141,"(+/- 4711 )",85462,"(+/- 5857 )",80896,"(+/- 4904 )",84291,"(+/- 6499 )",90746,"(+/- 5747 )",77805,"(+/- 6884 )",27600,"(+/- 3494 )",26715,"(+/- 3836 )"
People,Ancestry,Italian,29611,"(+/- 2464 )",17502,"(+/- 2579 )",19892,"(+/- 2653 )",18037,"(+/- 2071 )",15867,"(+/- 2897 )",22001,"(+/- 2968 )",23886,"(+/- 3391 )",42518,"(+/- 3861 )",57833,"(+/- 4355 )",61900,"(+/- 6327 )",48370,"(+/- 5168 )",33933,"(+/- 3940 )",13895,"(+/- 2385 )",14401,"(+/- 2299 )"
People,Ancestry,Lithuanian,2068,"(+/- 864 )",3841,"(+/- 1681 )",3680,"(+/- 1252 )",1981,"(+/- 969 )",1285,"(+/- 697 )",1468,"(+/- 699 )",1343,"(+/- 692 )",3000,"(+/- 965 )",3731,"(+/- 1774 )",1547,"(+/- 538 )",1891,"(+/- 631 )",2454,"(+/- 749 )",527,"(+/- 339 )",1221,"(+/- 1009 )"
People,Ancestry,Norwegian,14518,"(+/- 1602 )",8643,"(+/- 1488 )",5253,"(+/- 1371 )",7887,"(+/- 1300 )",4550,"(+/- 1548 )",5609,"(+/- 1210 )",4373,"(+/- 1180 )",6469,"(+/- 1950 )",3515,"(+/- 1082 )",3606,"(+/- 1169 )",5325,"(+/- 1100 )",4711,"(+/- 1380 )",1822,"(+/- 698 )",673,"(+/- 395 )"
People,Ancestry,Polish,62008,"(+/- 3526 )",45906,"(+/- 4379 )",45964,"(+/- 4828 )",40725,"(+/- 3090 )",57940,"(+/- 5701 )",34175,"(+/- 3556 )",50415,"(+/- 5202 )",67188,"(+/- 4842 )",96961,"(+/- 6240 )",102888,"(+/- 6167 )",76922,"(+/- 5564 )",64108,"(+/- 5201 )",33157,"(+/- 4296 )",22110,"(+/- 2747 )"
People,Ancestry,Portuguese,367,"(+/- 197 )",208,"(+/- 164 )",786,"(+/- 582 )",349,"(+/- 156 )",293,"(+/- 198 )",1482,"(+/- 1202 )",251,"(+/- 221 )",943,"(+/- 501 )",380,"(+/- 247 )",550,"(+/- 373 )",1333,"(+/- 670 )",768,"(+/- 557 )",137,"(+/- 137 )",90,"(+/- 138 )"
People,Ancestry,Russian,2185,"(+/- 518 )",1707,"(+/- 694 )",4246,"(+/- 1749 )",3445,"(+/- 1245 )",5860,"(+/- 2985 )",3559,"(+/- 1184 )",2376,"(+/- 680 )",6087,"(+/- 1465 )",7573,"(+/- 2007 )",5752,"(+/- 2326 )",9390,"(+/- 1829 )",5937,"(+/- 1197 )",965,"(+/- 349 )",5524,"(+/- 1188 )"
People,Ancestry,Scotch-Irish,5528,"(+/- 1115 )",4763,"(+/- 1271 )",5235,"(+/- 1183 )",4714,"(+/- 1154 )",5364,"(+/- 1165 )",5288,"(+/- 1243 )",8051,"(+/- 3029 )",6285,"(+/- 1259 )",6183,"(+/- 1366 )",6012,"(+/- 1337 )",6804,"(+/- 1527 )",4258,"(+/- 1029 )",2617,"(+/- 874 )",2026,"(+/- 733 )"
People,Ancestry,Scottish,17367,"(+/- 1824 )",9090,"(+/- 1360 )",14150,"(+/- 2112 )",17883,"(+/- 2384 )",12946,"(+/- 2350 )",11579,"(+/- 2127 )",16463,"(+/- 2479 )",21417,"(+/- 2606 )",14758,"(+/- 2452 )",21254,"(+/- 3250 )",22755,"(+/- 2866 )",14764,"(+/- 2102 )",4433,"(+/- 1158 )",6775,"(+/- 2182 )"
People,Ancestry,Slovak,1231,"(+/- 421 )",1717,"(+/- 796 )",808,"(+/- 588 )",1718,"(+/- 644 )",1559,"(+/- 640 )",1028,"(+/- 446 )",1144,"(+/- 555 )",2258,"(+/- 973 )",3014,"(+/- 968 )",1703,"(+/- 778 )",3535,"(+/- 1088 )",1438,"(+/- 508 )",336,"(+/- 391 )",1104,"(+/- 548 )"
