cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Place of Birth",Native,606466,"(+/- 5205 )",621160,"(+/- 5654 )",564314,"(+/- 4465 )"
People,"Place of Birth","Born in United States",600069,"(+/- 4940 )",615180,"(+/- 5666 )",560645,"(+/- 4456 )"
People,"Place of Birth","State of residence",437986,"(+/- 6521 )",406804,"(+/- 8010 )",407111,"(+/- 5415 )"
People,"Place of Birth","Different state",162083,"(+/- 5665 )",208376,"(+/- 7242 )",153534,"(+/- 4765 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6397,"(+/- 1433 )",5980,"(+/- 1362 )",3669,"(+/- 1062 )"
People,"Place of Birth","Foreign born",45492,"(+/- 3795 )",63722,"(+/- 5169 )",33254,"(+/- 2574 )"
People,Ancestry,"Total population",651958,"(+/- 4415 )",684882,"(+/- 2363 )",597568,"(+/- 4006 )"
People,Ancestry,American,23047,"(+/- 3308 )",21633,"(+/- 3430 )",31579,"(+/- 3198 )"
People,Ancestry,Arab,2910,"(+/- 1436 )",2542,"(+/- 999 )",941,"(+/- 341 )"
People,Ancestry,Czech,37853,"(+/- 4093 )",21434,"(+/- 2492 )",19890,"(+/- 2207 )"
People,Ancestry,Danish,12809,"(+/- 1855 )",14681,"(+/- 2618 )",12562,"(+/- 1450 )"
People,Ancestry,Dutch,10475,"(+/- 1986 )",10486,"(+/- 2076 )",11068,"(+/- 2048 )"
People,Ancestry,English,43802,"(+/- 3290 )",53018,"(+/- 4388 )",45946,"(+/- 3350 )"
People,Ancestry,"French (except Basque)",11815,"(+/- 1924 )",14588,"(+/- 2788 )",11866,"(+/- 2205 )"
People,Ancestry,"French Canadian",2126,"(+/- 930 )",2449,"(+/- 920 )",1547,"(+/- 548 )"
People,Ancestry,German,203699,"(+/- 7318 )",190695,"(+/- 7323 )",202733,"(+/- 5644 )"
People,Ancestry,Greek,1168,"(+/- 515 )",982,"(+/- 360 )",493,"(+/- 319 )"
People,Ancestry,Hungarian,821,"(+/- 370 )",2021,"(+/- 759 )",428,"(+/- 223 )"
People,Ancestry,Irish,65623,"(+/- 4359 )",90081,"(+/- 6392 )",67441,"(+/- 4569 )"
People,Ancestry,Italian,12334,"(+/- 2190 )",26954,"(+/- 3523 )",6722,"(+/- 1196 )"
People,Ancestry,Lithuanian,816,"(+/- 405 )",1613,"(+/- 686 )",392,"(+/- 385 )"
People,Ancestry,Norwegian,11804,"(+/- 2152 )",13971,"(+/- 2147 )",10021,"(+/- 1309 )"
People,Ancestry,Polish,20334,"(+/- 2981 )",27737,"(+/- 2935 )",14999,"(+/- 1870 )"
People,Ancestry,Portuguese,1080,"(+/- 540 )",129,"(+/- 126 )",206,"(+/- 200 )"
People,Ancestry,Russian,3674,"(+/- 1204 )",3646,"(+/- 1307 )",4003,"(+/- 1017 )"
People,Ancestry,Scotch-Irish,5118,"(+/- 1466 )",5163,"(+/- 1204 )",3847,"(+/- 733 )"
People,Ancestry,Scottish,7909,"(+/- 1438 )",9908,"(+/- 1965 )",7717,"(+/- 1199 )"
People,Ancestry,Slovak,67,"(+/- 78 )",284,"(+/- 270 )",350,"(+/- 360 )"
People,Ancestry,"Subsaharan African",4556,"(+/- 2441 )",20082,"(+/- 4887 )",3928,"(+/- 1295 )"
People,Ancestry,Swedish,25703,"(+/- 2736 )",24108,"(+/- 3480 )",25955,"(+/- 2369 )"
People,Ancestry,Swiss,2748,"(+/- 884 )",2221,"(+/- 732 )",1793,"(+/- 520 )"
People,Ancestry,Ukrainian,944,"(+/- 774 )",792,"(+/- 466 )",526,"(+/- 471 )"
People,Ancestry,Welsh,2971,"(+/- 728 )",4240,"(+/- 1320 )",2155,"(+/- 481 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",439,"(+/- 332 )",313,"(+/- 326 )",647,"(+/- 627 )"
People,"Veteran Status","Civilian population 18 years and over",493298,"(+/- 3289 )",503077,"(+/- 2187 )",456347,"(+/- 2516 )"
People,"Veteran Status","Civilian veterans",40783,"(+/- 2467 )",36309,"(+/- 2565 )",35085,"(+/- 1659 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",640490,"(+/- 4529 )",675784,"(+/- 2869 )",587937,"(+/- 3922 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",75718,"(+/- 4079 )",69577,"(+/- 4566 )",83349,"(+/- 3261 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",154367,"(+/- 2803 )",178780,"(+/- 1749 )",140707,"(+/- 2732 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7813,"(+/- 1358 )",5423,"(+/- 1280 )",6229,"(+/- 1252 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",388268,"(+/- 3649 )",409635,"(+/- 2644 )",331464,"(+/- 2481 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",36536,"(+/- 3324 )",39049,"(+/- 3822 )",36796,"(+/- 2620 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",97855,"(+/- 1822 )",87369,"(+/- 1410 )",115766,"(+/- 1713 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",31369,"(+/- 1877 )",25105,"(+/- 2008 )",40324,"(+/- 2191 )"
People,"Residence 1 Year Ago","Population 1 year and over",645012,"(+/- 4605 )",674883,"(+/- 2815 )",590816,"(+/- 3943 )"
People,"Residence 1 Year Ago","Same house",538760,"(+/- 6687 )",576252,"(+/- 6909 )",507225,"(+/- 5921 )"
People,"Residence 1 Year Ago","Different house in the U.S.",103102,"(+/- 6741 )",95523,"(+/- 6321 )",81761,"(+/- 5913 )"
People,"Residence 1 Year Ago","Same county",61350,"(+/- 5564 )",60583,"(+/- 5943 )",40370,"(+/- 4278 )"
People,"Residence 1 Year Ago","Different county",41752,"(+/- 3541 )",34940,"(+/- 4036 )",41391,"(+/- 4055 )"
People,"Residence 1 Year Ago","Same state",25007,"(+/- 2893 )",18045,"(+/- 2487 )",28967,"(+/- 3810 )"
People,"Residence 1 Year Ago","Different state",16745,"(+/- 2574 )",16895,"(+/- 3312 )",12424,"(+/- 2808 )"
People,"Residence 1 Year Ago",Abroad,3150,"(+/- 1030 )",3108,"(+/- 1236 )",1830,"(+/- 819 )"
Workers,"Employment Status","Population 16 years and over",513545,"(+/- 3618 )",523527,"(+/- 2466 )",472218,"(+/- 2783 )"
Workers,"Employment Status","In labor force",360636,"(+/- 6005 )",377866,"(+/- 4917 )",311178,"(+/- 3997 )"
Workers,"Employment Status","Civilian labor force",356599,"(+/- 5924 )",375549,"(+/- 4814 )",310942,"(+/- 3993 )"
Workers,"Employment Status",Employed,346046,"(+/- 6398 )",360275,"(+/- 5233 )",302636,"(+/- 4152 )"
Workers,"Employment Status",Unemployed,10553,"(+/- 2102 )",15274,"(+/- 2175 )",8306,"(+/- 1093 )"
Workers,"Employment Status","Armed Forces",4037,"(+/- 940 )",2317,"(+/- 814 )",236,"(+/- 191 )"
Workers,"Employment Status","Not in labor force",152909,"(+/- 4760 )",145661,"(+/- 4890 )",161040,"(+/- 3659 )"
Workers,"Employment Status","Civilian labor force",356599,"(+/- 5924 )",375549,"(+/- 4814 )",310942,"(+/- 3993 )"
Workers,"Employment Status","Unemployment Rate",3.0,"(+/- 0.6 )",4.1,"(+/- 0.6 )",2.7,"(+/- 0.4 )"
Workers,"Commuting to Work","Workers 16 years and over",346362,"(+/- 6489 )",357924,"(+/- 5677 )",296982,"(+/- 4226 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",284517,"(+/- 6074 )",296244,"(+/- 6306 )",238154,"(+/- 4952 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",32413,"(+/- 2823 )",29625,"(+/- 2551 )",27700,"(+/- 2485 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2961,"(+/- 1042 )",4555,"(+/- 1254 )",643,"(+/- 277 )"
Workers,"Commuting to Work",Walked,9345,"(+/- 1609 )",6674,"(+/- 1440 )",11542,"(+/- 1393 )"
Workers,"Commuting to Work","Other means",4923,"(+/- 1057 )",2854,"(+/- 1061 )",2682,"(+/- 710 )"
Workers,"Commuting to Work","Worked from home",12203,"(+/- 1538 )",17972,"(+/- 2505 )",16261,"(+/- 1529 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19.7,"(+/- 0.5 )",20.5,"(+/- 0.4 )",18.2,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",346046,"(+/- 6398 )",360275,"(+/- 5233 )",302636,"(+/- 4152 )"
Workers,Occupation,"Management, business, science, and arts occupations",134670,"(+/- 4956 )",163468,"(+/- 4861 )",105873,"(+/- 3632 )"
Workers,Occupation,"Service occupations",58642,"(+/- 3700 )",51914,"(+/- 3601 )",48571,"(+/- 2791 )"
Workers,Occupation,"Sales and office occupations",67903,"(+/- 3767 )",75537,"(+/- 4205 )",55804,"(+/- 3047 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",36542,"(+/- 2564 )",30048,"(+/- 2473 )",39931,"(+/- 2532 )"
Workers,Occupation,"Production, transportation, and material moving occupations",48289,"(+/- 3039 )",39308,"(+/- 3480 )",52457,"(+/- 3040 )"
Workers,Industry,"Civilian employed population 16 years and over",346046,"(+/- 6398 )",360275,"(+/- 5233 )",302636,"(+/- 4152 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",13158,"(+/- 1723 )",3473,"(+/- 1173 )",30145,"(+/- 1838 )"
Workers,Industry,Construction,26771,"(+/- 2270 )",27160,"(+/- 2598 )",22823,"(+/- 1979 )"
Workers,Industry,Manufacturing,40128,"(+/- 3128 )",27533,"(+/- 2967 )",34200,"(+/- 2544 )"
Workers,Industry,"Wholesale trade",6757,"(+/- 1079 )",7776,"(+/- 1413 )",9306,"(+/- 1014 )"
Workers,Industry,"Retail trade",36366,"(+/- 3008 )",35892,"(+/- 3283 )",33197,"(+/- 2414 )"
Workers,Industry,"Transportation and warehousing, and utilities",17121,"(+/- 2046 )",17420,"(+/- 1954 )",21339,"(+/- 1948 )"
Workers,Industry,Information,6102,"(+/- 1094 )",8394,"(+/- 1489 )",2953,"(+/- 615 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",25413,"(+/- 2098 )",42499,"(+/- 2799 )",12373,"(+/- 1459 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",28094,"(+/- 2470 )",44500,"(+/- 3569 )",15594,"(+/- 1854 )"
Workers,Industry,"Educational services, and health care and social assistance",85587,"(+/- 3910 )",90219,"(+/- 3811 )",76192,"(+/- 3467 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",24624,"(+/- 2592 )",30015,"(+/- 3350 )",18654,"(+/- 1677 )"
Workers,Industry,"Other services, except public administration",14785,"(+/- 2293 )",16251,"(+/- 2039 )",15165,"(+/- 1905 )"
Workers,Industry,"Public administration",21140,"(+/- 2218 )",9143,"(+/- 1371 )",10695,"(+/- 1271 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",346046,"(+/- 6398 )",360275,"(+/- 5233 )",302636,"(+/- 4152 )"
Workers,"Class of Worker","Private wage and salary workers",267172,"(+/- 6562 )",303635,"(+/- 5253 )",227348,"(+/- 4597 )"
Workers,"Class of Worker","Government workers",59301,"(+/- 3563 )",40036,"(+/- 3055 )",45466,"(+/- 2675 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",18660,"(+/- 1528 )",16316,"(+/- 1802 )",28583,"(+/- 2048 )"
Workers,"Class of Worker","Unpaid family workers",913,"(+/- 536 )",288,"(+/- 205 )",1239,"(+/- 409 )"
Housing,"Housing Occupancy","Total housing units",280254,"(+/- 1957 )",280322,"(+/- 1453 )",290591,"(+/- 1435 )"
Housing,"Housing Occupancy","Occupied housing units",259127,"(+/- 3869 )",262877,"(+/- 2553 )",249440,"(+/- 2756 )"
Housing,"Housing Occupancy","Vacant housing units",21127,"(+/- 3081 )",17445,"(+/- 2286 )",41151,"(+/- 2509 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.8,"(+/- 0.4 )",0.6,"(+/- 0.3 )",0.8,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",4.4,"(+/- 1.5 )",8.3,"(+/- 1.6 )",4.5,"(+/- 1.3 )"
Housing,"Housing Tenure","Occupied housing units",259127,"(+/- 3869 )",262877,"(+/- 2553 )",249440,"(+/- 2756 )"
Housing,"Housing Tenure",Owner-occupied,168919,"(+/- 4075 )",167766,"(+/- 3152 )",174685,"(+/- 3270 )"
Housing,"Housing Tenure",Renter-occupied,90208,"(+/- 4066 )",95111,"(+/- 3546 )",74755,"(+/- 2993 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.62,"(+/- 0.04 )",2.78,"(+/- 0.04 )",2.41,"(+/- 0.03 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.11,"(+/- 0.06 )",2.15,"(+/- 0.07 )",2.13,"(+/- 0.06 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",259127,"(+/- 3869 )",262877,"(+/- 2553 )",249440,"(+/- 2756 )"
Housing,"Year Householder Moved into Unit","Moved in 2017 or later",78123,"(+/- 3866 )",84685,"(+/- 3511 )",61628,"(+/- 3083 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2016",34454,"(+/- 2724 )",39066,"(+/- 2445 )",28533,"(+/- 2316 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",39626,"(+/- 2912 )",40777,"(+/- 3051 )",38573,"(+/- 2120 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",50400,"(+/- 2677 )",48893,"(+/- 2868 )",50070,"(+/- 2607 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",29011,"(+/- 2269 )",26781,"(+/- 2041 )",30200,"(+/- 2147 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",27513,"(+/- 2050 )",22675,"(+/- 1575 )",40436,"(+/- 1962 )"
Housing,Value,"Owner-occupied units",168919,"(+/- 4075 )",167766,"(+/- 3152 )",174685,"(+/- 3270 )"
Housing,Value,"Less than $50,000",8813,"(+/- 1272 )",5066,"(+/- 1054 )",23335,"(+/- 1890 )"
Housing,Value,"$50,000 to $99,999",16086,"(+/- 1678 )",14297,"(+/- 1597 )",41312,"(+/- 2447 )"
Housing,Value,"$100,000 to $149,999",33751,"(+/- 2081 )",26621,"(+/- 2434 )",33203,"(+/- 1854 )"
Housing,Value,"$150,000 to $199,999",36854,"(+/- 2461 )",38665,"(+/- 2757 )",27976,"(+/- 2007 )"
Housing,Value,"$200,000 to $299,999",40703,"(+/- 2450 )",44840,"(+/- 2262 )",28674,"(+/- 1924 )"
Housing,Value,"$300,000 to $499,999",24208,"(+/- 1929 )",28532,"(+/- 2147 )",15330,"(+/- 1355 )"
Housing,Value,"$500,000 to $999,999",7326,"(+/- 1062 )",8184,"(+/- 1305 )",3596,"(+/- 586 )"
Housing,Value,"$1,000,000 or more",1178,"(+/- 445 )",1561,"(+/- 548 )",1259,"(+/- 430 )"
Housing,Value,"Median (dollars)",182000,"(+/- 4080 )",199000,"(+/- 2761 )",132100,"(+/- 4055 )"
Housing,"Mortgage Status","Owner-occupied units",168919,"(+/- 4075 )",167766,"(+/- 3152 )",174685,"(+/- 3270 )"
Housing,"Mortgage Status","Housing units with a mortgage",103631,"(+/- 3264 )",117779,"(+/- 3492 )",82831,"(+/- 2538 )"
Housing,"Mortgage Status","Housing units without a mortgage",65288,"(+/- 2743 )",49987,"(+/- 2709 )",91854,"(+/- 2702 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",103631,"(+/- 3264 )",117779,"(+/- 3492 )",82831,"(+/- 2538 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1279,"(+/- 487 )",609,"(+/- 255 )",1210,"(+/- 361 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",19695,"(+/- 1756 )",10971,"(+/- 1197 )",25495,"(+/- 1947 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",37481,"(+/- 2752 )",40847,"(+/- 2862 )",30298,"(+/- 2033 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",26223,"(+/- 2073 )",33683,"(+/- 2613 )",16261,"(+/- 1636 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",10100,"(+/- 1129 )",16152,"(+/- 1714 )",5063,"(+/- 779 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4115,"(+/- 911 )",8093,"(+/- 1079 )",2089,"(+/- 620 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",4738,"(+/- 959 )",7424,"(+/- 1118 )",2415,"(+/- 676 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1406,"(+/- 23 )",1592,"(+/- 29 )",1225,"(+/- 28 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",65288,"(+/- 2743 )",49987,"(+/- 2709 )",91854,"(+/- 2702 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",3296,"(+/- 683 )",2259,"(+/- 504 )",9832,"(+/- 1021 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",11192,"(+/- 1377 )",5864,"(+/- 1118 )",21814,"(+/- 1498 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",25397,"(+/- 2201 )",13859,"(+/- 1660 )",33037,"(+/- 2008 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",14376,"(+/- 1545 )",14300,"(+/- 1654 )",17303,"(+/- 1550 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",6554,"(+/- 878 )",6398,"(+/- 999 )",6019,"(+/- 889 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",4473,"(+/- 742 )",7307,"(+/- 1054 )",3849,"(+/- 643 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",542,"(+/- 12 )",638,"(+/- 19 )",482,"(+/- 9 )"
Housing,"Gross Rent","Occupied units paying rent",87107,"(+/- 4032 )",92956,"(+/- 3713 )",65758,"(+/- 2897 )"
Housing,"Gross Rent","Less than $500",9368,"(+/- 1367 )",5253,"(+/- 1087 )",12888,"(+/- 1414 )"
Housing,"Gross Rent","$500 to $999",50523,"(+/- 3071 )",45875,"(+/- 2393 )",41444,"(+/- 2556 )"
Housing,"Gross Rent","$1,000 to $1,499",21123,"(+/- 2235 )",30017,"(+/- 2542 )",9057,"(+/- 1411 )"
Housing,"Gross Rent","$1,500 to $1,999",4286,"(+/- 798 )",9107,"(+/- 1630 )",1417,"(+/- 673 )"
Housing,"Gross Rent","$2,000 to $2,499",610,"(+/- 308 )",1629,"(+/- 537 )",461,"(+/- 226 )"
Housing,"Gross Rent","$2,500 to $2,999",277,"(+/- 200 )",99,"(+/- 121 )",0,"(+/- 165 )"
Housing,"Gross Rent","$3,000 or more",920,"(+/- 480 )",976,"(+/- 520 )",491,"(+/- 265 )"
Housing,"Gross Rent","Median (dollars)",849,"(+/- 15 )",965,"(+/- 16 )",714,"(+/- 17 )"
Housing,"Gross Rent","No rent paid",3101,"(+/- 699 )",2155,"(+/- 675 )",8997,"(+/- 1071 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Total households",259127,"(+/- 3869 )",262877,"(+/- 2553 )",249440,"(+/- 2756 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Less than $10,000",10978,"(+/- 1480 )",13008,"(+/- 1757 )",13233,"(+/- 1503 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$10,000 to $14,999",9432,"(+/- 1835 )",8405,"(+/- 1295 )",12558,"(+/- 1473 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$15,000 to $24,999",20185,"(+/- 2365 )",18961,"(+/- 2125 )",22481,"(+/- 1947 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$25,000 to $34,999",22721,"(+/- 2444 )",19998,"(+/- 2001 )",24325,"(+/- 1894 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$35,000 to $49,999",34261,"(+/- 2689 )",29718,"(+/- 2503 )",38368,"(+/- 2194 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$50,000 to $74,999",52533,"(+/- 3088 )",47699,"(+/- 2804 )",50125,"(+/- 2945 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$75,000 to $99,999",36858,"(+/- 2824 )",38407,"(+/- 2837 )",36173,"(+/- 2443 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$100,000 to $149,999",42831,"(+/- 2907 )",46603,"(+/- 2960 )",32929,"(+/- 2184 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$150,000 to $199,000",15538,"(+/- 1309 )",19869,"(+/- 1881 )",11872,"(+/- 1340 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$200,000 or more",13790,"(+/- 1691 )",20209,"(+/- 1686 )",7376,"(+/- 1096 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Median household income (dollars)",63921,"(+/- 1657 )",71277,"(+/- 1476 )",55729,"(+/- 1313 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Mean household income (dollars)",82207,"(+/- 2024 )",93424,"(+/- 2292 )",71413,"(+/- 2037 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",640490,"(+/- 4529 )",675784,"(+/- 2869 )",587937,"(+/- 3922 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",590653,"(+/- 6217 )",618643,"(+/- 5825 )",536992,"(+/- 5352 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",497232,"(+/- 8242 )",512430,"(+/- 7428 )",421850,"(+/- 7030 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",171522,"(+/- 6644 )",168317,"(+/- 6426 )",199075,"(+/- 5935 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",49837,"(+/- 4258 )",57141,"(+/- 4946 )",50945,"(+/- 4541 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",164228,"(+/- 3070 )",187527,"(+/- 2422 )",150339,"(+/- 3097 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",9566,"(+/- 1948 )",9372,"(+/- 2670 )",9456,"(+/- 1619 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",5.2,"(+/- 0.9 )",6.5,"(+/- 1.0 )",6.9,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",8.9,"(+/- 1.5 )",9.6,"(+/- 1.8 )",10.1,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",9.9,"(+/- 4.1 )",11.9,"(+/- 4.9 )",14.9,"(+/- 4.5 )"
