cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE"
People,"Sex and Age","45 to 54 years",79397,"(+/- 2548 )",96212,"(+/- 6824 )",133931,"(+/- 3521 )",99094,"(+/- 4378 )",94904,"(+/- 4674 )",106388,"(+/- 5750 )",93618,"(+/- 8287 )",121025,"(+/- 4488 )",96672,"(+/- 6810 )",121778,"(+/- 8157 )",83726,"(+/- 3409 )",104798,"(+/- 5430 )",82855,"(+/- 2814 )",92892,"(+/- 2700 )",90341,"(+/- 3974 )",87590,"(+/- 2687 )",87765,"(+/- 4560 )",96830,"(+/- 7322 )",73313,"(+/- 2951 )",93868,"(+/- 5316 )",103239,"(+/- 6366 )",135044,"(+/- 5207 )",91198,"(+/- 5295 )",106582,"(+/- 5930 )",109912,"(+/- 5893 )",134978,"(+/- 4037 )",82485,"(+/- 2858 )",88204,"(+/- 4250 )",89129,"(+/- 6766 )",93350,"(+/- 4900 )",113785,"(+/- 1788 )",101033,"(+/- 5708 )",89515,"(+/- 6174 )",81572,"(+/- 3081 )",99672,"(+/- 7087 )",100150,"(+/- 5232 )"
People,"Sex and Age","55 to 59 years",45952,"(+/- 3005 )",46439,"(+/- 5018 )",53319,"(+/- 3385 )",53656,"(+/- 3845 )",45771,"(+/- 3584 )",48772,"(+/- 3680 )",43078,"(+/- 4667 )",58243,"(+/- 4458 )",43427,"(+/- 4354 )",52151,"(+/- 4356 )",48260,"(+/- 3067 )",50092,"(+/- 3314 )",45385,"(+/- 2618 )",52023,"(+/- 4055 )",37635,"(+/- 3422 )",40692,"(+/- 2970 )",43397,"(+/- 3032 )",42402,"(+/- 3803 )",40887,"(+/- 2628 )",43356,"(+/- 3734 )",50007,"(+/- 4265 )",53013,"(+/- 4276 )",40779,"(+/- 3624 )",55234,"(+/- 4746 )",54225,"(+/- 4130 )",62231,"(+/- 3838 )",47604,"(+/- 3020 )",36952,"(+/- 3310 )",39824,"(+/- 4145 )",49174,"(+/- 4410 )",49924,"(+/- 2949 )",49099,"(+/- 4849 )",39921,"(+/- 3730 )",36256,"(+/- 3054 )",43494,"(+/- 4103 )",46425,"(+/- 3352 )"
People,"Sex and Age","60 to 64 years",42768,"(+/- 2906 )",46806,"(+/- 4612 )",48891,"(+/- 3790 )",50999,"(+/- 2946 )",43655,"(+/- 3499 )",46007,"(+/- 4162 )",43307,"(+/- 4260 )",52235,"(+/- 3882 )",43100,"(+/- 5240 )",48284,"(+/- 3587 )",47072,"(+/- 3225 )",46680,"(+/- 3379 )",41521,"(+/- 2597 )",49126,"(+/- 3658 )",39809,"(+/- 3558 )",37031,"(+/- 2733 )",42957,"(+/- 3419 )",41288,"(+/- 3693 )",41335,"(+/- 2509 )",39283,"(+/- 3174 )",51509,"(+/- 3619 )",57352,"(+/- 4402 )",42157,"(+/- 3843 )",45730,"(+/- 3485 )",49426,"(+/- 3831 )",45273,"(+/- 3382 )",43350,"(+/- 2725 )",37602,"(+/- 2954 )",33374,"(+/- 3676 )",43107,"(+/- 3776 )",43444,"(+/- 2716 )",42880,"(+/- 2985 )",34815,"(+/- 3209 )",33767,"(+/- 2998 )",40564,"(+/- 3957 )",49295,"(+/- 3685 )"
People,"Sex and Age","65 to 74 years",73531,"(+/- 1750 )",64064,"(+/- 4638 )",65126,"(+/- 2349 )",75616,"(+/- 2273 )",66860,"(+/- 2883 )",62579,"(+/- 3064 )",55232,"(+/- 4045 )",79586,"(+/- 4834 )",52786,"(+/- 4501 )",67307,"(+/- 4884 )",69598,"(+/- 2778 )",67463,"(+/- 3709 )",65574,"(+/- 1974 )",65529,"(+/- 1798 )",55521,"(+/- 2756 )",52602,"(+/- 2028 )",58044,"(+/- 3036 )",52336,"(+/- 4005 )",60644,"(+/- 2073 )",58482,"(+/- 3404 )",86838,"(+/- 3813 )",71811,"(+/- 3406 )",63721,"(+/- 4796 )",55538,"(+/- 4023 )",71045,"(+/- 3280 )",64347,"(+/- 2294 )",74350,"(+/- 2695 )",53081,"(+/- 2888 )",45225,"(+/- 3315 )",53800,"(+/- 3491 )",69749,"(+/- 1078 )",60322,"(+/- 3925 )",38913,"(+/- 3650 )",58644,"(+/- 2721 )",55275,"(+/- 4168 )",68202,"(+/- 3437 )"
People,"Sex and Age","75 to 84 years",40795,"(+/- 1736 )",28406,"(+/- 3191 )",31502,"(+/- 1669 )",42872,"(+/- 1878 )",32468,"(+/- 2087 )",28543,"(+/- 2609 )",26402,"(+/- 2960 )",36616,"(+/- 2720 )",24408,"(+/- 2915 )",34116,"(+/- 3216 )",38289,"(+/- 2310 )",31172,"(+/- 2754 )",35584,"(+/- 2171 )",32688,"(+/- 2051 )",29138,"(+/- 2634 )",27192,"(+/- 1732 )",29533,"(+/- 2421 )",22397,"(+/- 2551 )",32358,"(+/- 1971 )",26087,"(+/- 2201 )",37223,"(+/- 3398 )",27939,"(+/- 2186 )",30311,"(+/- 3057 )",25549,"(+/- 2696 )",33547,"(+/- 2391 )",26746,"(+/- 1992 )",36121,"(+/- 2395 )",27401,"(+/- 2338 )",17168,"(+/- 2353 )",22938,"(+/- 2320 )",29539,"(+/- 2021 )",28789,"(+/- 2603 )",19054,"(+/- 2490 )",31288,"(+/- 2323 )",26484,"(+/- 2727 )",30462,"(+/- 2430 )"
People,"Sex and Age","85 years and over",14565,"(+/- 1698 )",8488,"(+/- 1911 )",9266,"(+/- 1563 )",12391,"(+/- 1591 )",13067,"(+/- 1917 )",9653,"(+/- 1781 )",8238,"(+/- 1330 )",12203,"(+/- 2154 )",8896,"(+/- 1881 )",12360,"(+/- 1861 )",15244,"(+/- 1802 )",13473,"(+/- 1801 )",12969,"(+/- 1609 )",11364,"(+/- 1801 )",9467,"(+/- 2010 )",13157,"(+/- 1638 )",12604,"(+/- 1903 )",7979,"(+/- 1534 )",12503,"(+/- 1522 )",13288,"(+/- 2289 )",17950,"(+/- 2632 )",8607,"(+/- 1875 )",9065,"(+/- 1891 )",9497,"(+/- 1921 )",10748,"(+/- 1658 )",8366,"(+/- 1347 )",14319,"(+/- 2056 )",11531,"(+/- 2017 )",6213,"(+/- 1509 )",9587,"(+/- 1387 )",12997,"(+/- 1892 )",9920,"(+/- 1603 )",5536,"(+/- 970 )",12974,"(+/- 2062 )",8459,"(+/- 1526 )",11317,"(+/- 1640 )"
People,"Sex and Age","Median age (years)",37.4,"(+/- 0.4 )",35.9,"(+/- 0.9 )",37.5,"(+/- 0.4 )",39.1,"(+/- 0.5 )",36.4,"(+/- 0.8 )",35.2,"(+/- 0.7 )",35.6,"(+/- 0.8 )",37.9,"(+/- 0.6 )",34.4,"(+/- 1.3 )",35.7,"(+/- 0.7 )",35.6,"(+/- 0.3 )",35.9,"(+/- 0.6 )",37.0,"(+/- 0.4 )",37.3,"(+/- 0.6 )",31.8,"(+/- 0.6 )",32.4,"(+/- 0.4 )",33.3,"(+/- 0.5 )",32.4,"(+/- 0.6 )",33.9,"(+/- 0.4 )",32.6,"(+/- 0.7 )",38.9,"(+/- 0.8 )",36.7,"(+/- 0.6 )",34.4,"(+/- 0.5 )",35.6,"(+/- 0.6 )",37.8,"(+/- 0.7 )",36.3,"(+/- 0.6 )",36.7,"(+/- 0.5 )",31.2,"(+/- 0.8 )",30.3,"(+/- 0.6 )",33.0,"(+/- 0.7 )",35.0,"(+/- 0.2 )",35.3,"(+/- 0.7 )",30.6,"(+/- 0.8 )",32.5,"(+/- 0.6 )",33.0,"(+/- 0.6 )",37.0,"(+/- 0.8 )"
People,"Sex and Age","18 years and over",550945,"(+/- 3010 )",601851,"(+/- 21055 )",681712,"(+/- 6602 )",591083,"(+/- 5594 )",571662,"(+/- 8437 )",606368,"(+/- 10345 )",580541,"(+/- 20007 )",672583,"(+/- 9008 )",574973,"(+/- 22012 )",687361,"(+/- 17767 )",588065,"(+/- 4301 )",635912,"(+/- 11969 )",536893,"(+/- 3961 )",578024,"(+/- 6097 )",565759,"(+/- 10252 )",547355,"(+/- 5601 )",611391,"(+/- 9153 )",613034,"(+/- 21633 )",552318,"(+/- 4579 )",617653,"(+/- 17752 )",672180,"(+/- 15823 )",697593,"(+/- 14973 )",570532,"(+/- 13922 )",646512,"(+/- 10104 )",628517,"(+/- 13350 )",685310,"(+/- 8277 )",562040,"(+/- 5070 )",537307,"(+/- 10826 )",536639,"(+/- 19032 )",578946,"(+/- 14145 )",677582,"(+/- 4668 )",587167,"(+/- 11858 )",523343,"(+/- 15264 )",508821,"(+/- 8446 )",653286,"(+/- 18914 )",567992,"(+/- 9184 )"
People,"Sex and Age","65 years and over",128891,"(+/- 2014 )",100958,"(+/- 5800 )",105894,"(+/- 2404 )",130879,"(+/- 3283 )",112395,"(+/- 3583 )",100775,"(+/- 4104 )",89872,"(+/- 5100 )",128405,"(+/- 4927 )",86090,"(+/- 5475 )",113783,"(+/- 5866 )",123131,"(+/- 2843 )",112108,"(+/- 4546 )",114127,"(+/- 1973 )",109581,"(+/- 2414 )",94126,"(+/- 3953 )",92951,"(+/- 2152 )",100181,"(+/- 3244 )",82712,"(+/- 4478 )",105505,"(+/- 2369 )",97857,"(+/- 4734 )",142011,"(+/- 4562 )",108357,"(+/- 4382 )",103097,"(+/- 5155 )",90584,"(+/- 5108 )",115340,"(+/- 4489 )",99459,"(+/- 2815 )",124790,"(+/- 2868 )",92013,"(+/- 4344 )",68606,"(+/- 4209 )",86325,"(+/- 3956 )",112285,"(+/- 899 )",99031,"(+/- 4616 )",63503,"(+/- 4542 )",102906,"(+/- 3296 )",90218,"(+/- 4885 )",109981,"(+/- 4231 )"
People,Race,"Total population",726094,"(+/- 3652 )",787271,"(+/- 29771 )",913161,"(+/- 8354 )",782743,"(+/- 8162 )",759749,"(+/- 12381 )",818442,"(+/- 14521 )",762826,"(+/- 28683 )",895861,"(+/- 11687 )",769335,"(+/- 33086 )",925348,"(+/- 26874 )",790264,"(+/- 5561 )",844563,"(+/- 18753 )",714733,"(+/- 5768 )",760530,"(+/- 9570 )",804562,"(+/- 14986 )",747648,"(+/- 7891 )",786023,"(+/- 11190 )",827015,"(+/- 30455 )",729664,"(+/- 6452 )",832518,"(+/- 23248 )",829628,"(+/- 21422 )",960957,"(+/- 20983 )",786712,"(+/- 18666 )",832445,"(+/- 13592 )",818807,"(+/- 16587 )",920865,"(+/- 12445 )",745526,"(+/- 6659 )",772410,"(+/- 16234 )",783915,"(+/- 26724 )",792445,"(+/- 22140 )",916064,"(+/- 6553 )",778087,"(+/- 15673 )",751182,"(+/- 21875 )",712596,"(+/- 12529 )",857654,"(+/- 24352 )",758238,"(+/- 12699 )"
People,Race,"One race",707971,"(+/- 5460 )",761870,"(+/- 29332 )",886385,"(+/- 9457 )",756740,"(+/- 8470 )",743266,"(+/- 12578 )",792096,"(+/- 14500 )",737209,"(+/- 28204 )",871301,"(+/- 12433 )",751958,"(+/- 33196 )",895242,"(+/- 26727 )",769431,"(+/- 6764 )",818906,"(+/- 18503 )",694580,"(+/- 6567 )",744506,"(+/- 10443 )",783530,"(+/- 16535 )",727263,"(+/- 8194 )",759474,"(+/- 11146 )",808782,"(+/- 30272 )",709550,"(+/- 7015 )",800590,"(+/- 22478 )",800677,"(+/- 20235 )",924987,"(+/- 21393 )",767250,"(+/- 18736 )",802240,"(+/- 14358 )",789054,"(+/- 16938 )",885914,"(+/- 13226 )",730515,"(+/- 7107 )",754045,"(+/- 15627 )",771619,"(+/- 27218 )",777445,"(+/- 22198 )",875287,"(+/- 7910 )",749262,"(+/- 15282 )",737513,"(+/- 21752 )",701630,"(+/- 12751 )",834575,"(+/- 24729 )",737291,"(+/- 12558 )"
People,Race,White,562797,"(+/- 4828 )",522787,"(+/- 22663 )",613332,"(+/- 8864 )",629311,"(+/- 8341 )",572437,"(+/- 12820 )",524922,"(+/- 13151 )",457317,"(+/- 22870 )",743993,"(+/- 11591 )",265600,"(+/- 21293 )",648467,"(+/- 22407 )",656552,"(+/- 10844 )",666252,"(+/- 17215 )",608357,"(+/- 8047 )",555583,"(+/- 8221 )",673951,"(+/- 16260 )",590426,"(+/- 16856 )",598086,"(+/- 10844 )",422157,"(+/- 23432 )",610334,"(+/- 8095 )",653853,"(+/- 22236 )",702484,"(+/- 19369 )",573797,"(+/- 15253 )",663333,"(+/- 17090 )",518092,"(+/- 14850 )",674846,"(+/- 14026 )",700197,"(+/- 13209 )",639102,"(+/- 8867 )",677177,"(+/- 15291 )",566071,"(+/- 24870 )",379301,"(+/- 18198 )",682987,"(+/- 7428 )",524069,"(+/- 16191 )",456809,"(+/- 24294 )",653713,"(+/- 13322 )",659727,"(+/- 21713 )",625107,"(+/- 13199 )"
People,Race,"Black or African American",124684,"(+/- 3704 )",93823,"(+/- 12782 )",90163,"(+/- 6862 )",85256,"(+/- 6829 )",114347,"(+/- 10165 )",172311,"(+/- 13263 )",117962,"(+/- 15221 )",75317,"(+/- 6114 )",300202,"(+/- 19356 )",117135,"(+/- 13035 )",34120,"(+/- 2618 )",81689,"(+/- 9861 )",39614,"(+/- 2059 )",146413,"(+/- 6079 )",15332,"(+/- 2177 )",28613,"(+/- 2363 )",107767,"(+/- 7413 )",279070,"(+/- 14392 )",45260,"(+/- 2993 )",47638,"(+/- 5839 )",34580,"(+/- 5822 )",138861,"(+/- 11573 )",27258,"(+/- 5947 )",108712,"(+/- 12072 )",60306,"(+/- 6527 )",83798,"(+/- 7802 )",36889,"(+/- 2436 )",29977,"(+/- 6578 )",82553,"(+/- 13410 )",326682,"(+/- 15605 )",112907,"(+/- 6580 )",116090,"(+/- 11927 )",121634,"(+/- 12001 )",10005,"(+/- 3393 )",78878,"(+/- 9080 )",68076,"(+/- 6508 )"
People,Race,"American Indian and Alaska Native",3044,"(+/- 1322 )",3869,"(+/- 1913 )",2900,"(+/- 977 )",5258,"(+/- 1299 )",4156,"(+/- 1350 )",2214,"(+/- 782 )",5399,"(+/- 1926 )",2954,"(+/- 1437 )",2390,"(+/- 1113 )",5158,"(+/- 3434 )",4944,"(+/- 2658 )",6358,"(+/- 2109 )",6049,"(+/- 1135 )",1845,"(+/- 722 )",1354,"(+/- 653 )",4577,"(+/- 1445 )",4307,"(+/- 2114 )",3381,"(+/- 1592 )",2991,"(+/- 1039 )",8916,"(+/- 3359 )",6407,"(+/- 2093 )",5297,"(+/- 1748 )",6505,"(+/- 2848 )",4436,"(+/- 1745 )",4034,"(+/- 1240 )",5227,"(+/- 1638 )",1648,"(+/- 845 )",3486,"(+/- 1701 )",2199,"(+/- 1380 )",2008,"(+/- 1103 )",4310,"(+/- 1510 )",4279,"(+/- 1735 )",2869,"(+/- 1123 )",2010,"(+/- 846 )",4786,"(+/- 1787 )",3428,"(+/- 2180 )"
