cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",24421,"(+/- 1016 )",41445,"(+/- 399 )",123805,"(+/- 1013 )",42280,"(+/- 2653 )"
People,"Hispanic or Latino and Race",Mexican,18096,"(+/- 1808 )",30063,"(+/- 3671 )",83793,"(+/- 6102 )",36569,"(+/- 3366 )"
People,"Hispanic or Latino and Race","Puerto Rican",2700,"(+/- 1142 )",1070,"(+/- 730 )",3641,"(+/- 1672 )",386,"(+/- 335 )"
People,"Hispanic or Latino and Race",Cuban,236,"(+/- 259 )",492,"(+/- 487 )",561,"(+/- 577 )",50,"(+/- 72 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",3389,"(+/- 1239 )",9820,"(+/- 3604 )",35810,"(+/- 5784 )",5275,"(+/- 2377 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",694627,"(+/- 3686 )",726217,"(+/- 1996 )",705344,"(+/- 3749 )",659665,"(+/- 5050 )"
People,"Place of Birth","Total population",719048,"(+/- 3717 )",767662,"(+/- 2108 )",829149,"(+/- 3780 )",701945,"(+/- 4274 )"
People,"Place of Birth",Native,704765,"(+/- 4487 )",736056,"(+/- 2913 )",744582,"(+/- 5494 )",678115,"(+/- 5140 )"
People,"Place of Birth","Born in United States",700659,"(+/- 4365 )",729302,"(+/- 3423 )",737102,"(+/- 5415 )",674550,"(+/- 5339 )"
People,"Place of Birth","State of residence",468232,"(+/- 8768 )",510662,"(+/- 8509 )",403645,"(+/- 9329 )",444109,"(+/- 9041 )"
People,"Place of Birth","Different state",232427,"(+/- 7987 )",218640,"(+/- 8986 )",333457,"(+/- 10020 )",230441,"(+/- 9038 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4106,"(+/- 1332 )",6754,"(+/- 1359 )",7480,"(+/- 1655 )",3565,"(+/- 1464 )"
People,"Place of Birth","Foreign born",14283,"(+/- 2434 )",31606,"(+/- 2619 )",84567,"(+/- 4968 )",23830,"(+/- 2538 )"
People,Ancestry,"Total population",719048,"(+/- 3717 )",767662,"(+/- 2108 )",829149,"(+/- 3780 )",701945,"(+/- 4274 )"
People,Ancestry,American,73392,"(+/- 5158 )",59680,"(+/- 4917 )",63472,"(+/- 5816 )",86032,"(+/- 5663 )"
People,Ancestry,Arab,1596,"(+/- 1215 )",770,"(+/- 526 )",1561,"(+/- 968 )",909,"(+/- 788 )"
People,Ancestry,Czech,627,"(+/- 346 )",943,"(+/- 527 )",2225,"(+/- 1357 )",774,"(+/- 438 )"
People,Ancestry,Danish,376,"(+/- 246 )",2184,"(+/- 1747 )",2455,"(+/- 949 )",720,"(+/- 370 )"
People,Ancestry,Dutch,7453,"(+/- 1698 )",5791,"(+/- 1691 )",8843,"(+/- 2459 )",6809,"(+/- 1808 )"
People,Ancestry,English,45461,"(+/- 4923 )",54009,"(+/- 5621 )",66151,"(+/- 6637 )",51162,"(+/- 4868 )"
People,Ancestry,"French (except Basque)",9058,"(+/- 1959 )",11016,"(+/- 2241 )",13052,"(+/- 2161 )",9838,"(+/- 2490 )"
People,Ancestry,"French Canadian",917,"(+/- 398 )",1938,"(+/- 912 )",1479,"(+/- 711 )",740,"(+/- 395 )"
People,Ancestry,German,65091,"(+/- 4881 )",62956,"(+/- 5005 )",81995,"(+/- 6353 )",42021,"(+/- 4365 )"
People,Ancestry,Greek,372,"(+/- 459 )",709,"(+/- 568 )",750,"(+/- 463 )",908,"(+/- 605 )"
People,Ancestry,Hungarian,669,"(+/- 434 )",836,"(+/- 345 )",1451,"(+/- 1165 )",230,"(+/- 224 )"
People,Ancestry,Irish,69373,"(+/- 5406 )",58419,"(+/- 5226 )",73117,"(+/- 5703 )",54551,"(+/- 4386 )"
People,Ancestry,Italian,8361,"(+/- 1952 )",9279,"(+/- 1786 )",15930,"(+/- 2600 )",8922,"(+/- 1615 )"
People,Ancestry,Lithuanian,0,"(+/- 206 )",632,"(+/- 484 )",468,"(+/- 458 )",213,"(+/- 244 )"
People,Ancestry,Norwegian,2628,"(+/- 1070 )",3263,"(+/- 1225 )",5874,"(+/- 1532 )",2538,"(+/- 1084 )"
People,Ancestry,Polish,6035,"(+/- 1795 )",6023,"(+/- 2143 )",7731,"(+/- 1745 )",3453,"(+/- 931 )"
People,Ancestry,Portuguese,627,"(+/- 443 )",214,"(+/- 224 )",1157,"(+/- 934 )",752,"(+/- 521 )"
People,Ancestry,Russian,1183,"(+/- 677 )",836,"(+/- 680 )",916,"(+/- 460 )",615,"(+/- 381 )"
People,Ancestry,Scotch-Irish,6966,"(+/- 1830 )",9306,"(+/- 1838 )",8993,"(+/- 1794 )",6393,"(+/- 1465 )"
People,Ancestry,Scottish,11998,"(+/- 2475 )",12080,"(+/- 1945 )",16277,"(+/- 3283 )",8150,"(+/- 2124 )"
People,Ancestry,Slovak,224,"(+/- 237 )",561,"(+/- 720 )",439,"(+/- 335 )",80,"(+/- 122 )"
People,Ancestry,"Subsaharan African",4088,"(+/- 2301 )",29182,"(+/- 6869 )",2414,"(+/- 1297 )",6865,"(+/- 1795 )"
People,Ancestry,Swedish,1717,"(+/- 628 )",2861,"(+/- 945 )",5474,"(+/- 1546 )",1524,"(+/- 545 )"
People,Ancestry,Swiss,786,"(+/- 608 )",1239,"(+/- 641 )",1853,"(+/- 786 )",379,"(+/- 259 )"
People,Ancestry,Ukrainian,163,"(+/- 229 )",805,"(+/- 603 )",921,"(+/- 676 )",450,"(+/- 430 )"
People,Ancestry,Welsh,2941,"(+/- 978 )",4066,"(+/- 1435 )",4817,"(+/- 1345 )",3872,"(+/- 1201 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",489,"(+/- 566 )",1131,"(+/- 631 )",1096,"(+/- 830 )",702,"(+/- 429 )"
People,"Veteran Status","Civilian population 18 years and over",554898,"(+/- 3171 )",587699,"(+/- 2403 )",625543,"(+/- 2869 )",544685,"(+/- 3580 )"
People,"Veteran Status","Civilian veterans",44244,"(+/- 3005 )",50090,"(+/- 3625 )",48396,"(+/- 3354 )",42266,"(+/- 2805 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",695986,"(+/- 3985 )",756027,"(+/- 2992 )",822276,"(+/- 4430 )",688307,"(+/- 4746 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",135500,"(+/- 6197 )",123177,"(+/- 5712 )",124486,"(+/- 6230 )",135931,"(+/- 5143 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",163003,"(+/- 2249 )",175258,"(+/- 1262 )",202942,"(+/- 2609 )",155765,"(+/- 3003 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",11604,"(+/- 1899 )",9388,"(+/- 1698 )",10293,"(+/- 2145 )",7774,"(+/- 1428 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",406369,"(+/- 3432 )",455572,"(+/- 3199 )",497775,"(+/- 3708 )",398264,"(+/- 4128 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",69902,"(+/- 4692 )",64755,"(+/- 5080 )",64692,"(+/- 4260 )",71337,"(+/- 4190 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",126614,"(+/- 1946 )",125197,"(+/- 1996 )",121559,"(+/- 2102 )",134278,"(+/- 2173 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",53994,"(+/- 2934 )",49034,"(+/- 3038 )",49501,"(+/- 2913 )",56820,"(+/- 2671 )"
People,"Residence 1 Year Ago","Population 1 year and over",711641,"(+/- 4022 )",760238,"(+/- 2691 )",820754,"(+/- 4218 )",696421,"(+/- 4494 )"
People,"Residence 1 Year Ago","Same house",598578,"(+/- 8157 )",662252,"(+/- 9304 )",695062,"(+/- 8957 )",603552,"(+/- 8607 )"
People,"Residence 1 Year Ago","Different house in the U.S.",112188,"(+/- 7384 )",95657,"(+/- 8127 )",122578,"(+/- 7662 )",91062,"(+/- 7069 )"
People,"Residence 1 Year Ago","Same county",69347,"(+/- 6434 )",58029,"(+/- 6643 )",67686,"(+/- 6253 )",47791,"(+/- 5660 )"
People,"Residence 1 Year Ago","Different county",42841,"(+/- 4401 )",37628,"(+/- 4425 )",54892,"(+/- 6617 )",43271,"(+/- 5116 )"
People,"Residence 1 Year Ago","Same state",32496,"(+/- 3898 )",26265,"(+/- 3936 )",31688,"(+/- 4784 )",28460,"(+/- 4516 )"
People,"Residence 1 Year Ago","Different state",10345,"(+/- 2072 )",11363,"(+/- 2072 )",23204,"(+/- 4479 )",14811,"(+/- 3510 )"
People,"Residence 1 Year Ago",Abroad,875,"(+/- 427 )",2329,"(+/- 1170 )",3114,"(+/- 1936 )",1807,"(+/- 1386 )"
Workers,"Employment Status","Population 16 years and over",575116,"(+/- 3753 )",611804,"(+/- 2150 )",649631,"(+/- 3528 )",564748,"(+/- 4133 )"
Workers,"Employment Status","In labor force",320478,"(+/- 5820 )",371641,"(+/- 6539 )",399402,"(+/- 7598 )",306679,"(+/- 7052 )"
Workers,"Employment Status","Civilian labor force",319552,"(+/- 5845 )",367198,"(+/- 6920 )",399153,"(+/- 7584 )",306330,"(+/- 7033 )"
Workers,"Employment Status",Employed,299282,"(+/- 6468 )",353600,"(+/- 6996 )",379820,"(+/- 7693 )",292389,"(+/- 6962 )"
Workers,"Employment Status",Unemployed,20270,"(+/- 2876 )",13598,"(+/- 2079 )",19333,"(+/- 2715 )",13941,"(+/- 1872 )"
Workers,"Employment Status","Armed Forces",926,"(+/- 447 )",4443,"(+/- 1430 )",249,"(+/- 242 )",349,"(+/- 229 )"
Workers,"Employment Status","Not in labor force",254638,"(+/- 5091 )",240163,"(+/- 6563 )",250229,"(+/- 7716 )",258069,"(+/- 6591 )"
Workers,"Employment Status","Civilian labor force",319552,"(+/- 5845 )",367198,"(+/- 6920 )",399153,"(+/- 7584 )",306330,"(+/- 7033 )"
Workers,"Employment Status","Unemployment Rate",6.3,"(+/- 0.9 )",3.7,"(+/- 0.6 )",4.8,"(+/- 0.7 )",4.6,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",294720,"(+/- 6679 )",355826,"(+/- 6454 )",374889,"(+/- 7760 )",288079,"(+/- 7046 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",240821,"(+/- 6183 )",295471,"(+/- 7353 )",307461,"(+/- 7297 )",238655,"(+/- 7088 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",35796,"(+/- 3932 )",36415,"(+/- 4921 )",39902,"(+/- 4208 )",28554,"(+/- 2974 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",181,"(+/- 155 )",2486,"(+/- 1146 )",1558,"(+/- 828 )",1066,"(+/- 848 )"
Workers,"Commuting to Work",Walked,4940,"(+/- 1183 )",6356,"(+/- 1745 )",5989,"(+/- 1873 )",8076,"(+/- 1735 )"
Workers,"Commuting to Work","Other means",2009,"(+/- 660 )",3813,"(+/- 1353 )",3943,"(+/- 1067 )",3826,"(+/- 1150 )"
Workers,"Commuting to Work","Worked from home",10973,"(+/- 1657 )",11285,"(+/- 1717 )",16036,"(+/- 2241 )",7902,"(+/- 1668 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.4,"(+/- 0.8 )",22.2,"(+/- 0.6 )",20.4,"(+/- 0.5 )",23.2,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",299282,"(+/- 6468 )",353600,"(+/- 6996 )",379820,"(+/- 7693 )",292389,"(+/- 6962 )"
Workers,Occupation,"Management, business, science, and arts occupations",90669,"(+/- 4590 )",131268,"(+/- 6293 )",138251,"(+/- 5422 )",88929,"(+/- 4804 )"
Workers,Occupation,"Service occupations",50910,"(+/- 4052 )",59233,"(+/- 5888 )",63624,"(+/- 5621 )",55477,"(+/- 4231 )"
Workers,Occupation,"Sales and office occupations",59630,"(+/- 4249 )",77180,"(+/- 5022 )",76506,"(+/- 5425 )",56582,"(+/- 4301 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",33978,"(+/- 2795 )",31712,"(+/- 3578 )",35547,"(+/- 4160 )",32547,"(+/- 2964 )"
Workers,Occupation,"Production, transportation, and material moving occupations",64095,"(+/- 4678 )",54207,"(+/- 4120 )",65892,"(+/- 5185 )",58854,"(+/- 4507 )"
Workers,Industry,"Civilian employed population 16 years and over",299282,"(+/- 6468 )",353600,"(+/- 6996 )",379820,"(+/- 7693 )",292389,"(+/- 6962 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",11686,"(+/- 1895 )",4272,"(+/- 1695 )",7967,"(+/- 2357 )",12563,"(+/- 1665 )"
Workers,Industry,Construction,22059,"(+/- 2398 )",25153,"(+/- 2781 )",30043,"(+/- 3699 )",16326,"(+/- 2256 )"
Workers,Industry,Manufacturing,48114,"(+/- 3799 )",29901,"(+/- 2815 )",53989,"(+/- 4113 )",50499,"(+/- 4136 )"
Workers,Industry,"Wholesale trade",8316,"(+/- 1416 )",7994,"(+/- 1633 )",9729,"(+/- 1924 )",4769,"(+/- 1194 )"
Workers,Industry,"Retail trade",37153,"(+/- 3613 )",44885,"(+/- 4647 )",57533,"(+/- 4016 )",31841,"(+/- 2837 )"
Workers,Industry,"Transportation and warehousing, and utilities",18150,"(+/- 2118 )",20778,"(+/- 2480 )",25386,"(+/- 3082 )",15217,"(+/- 1945 )"
Workers,Industry,Information,2543,"(+/- 880 )",6683,"(+/- 1476 )",3609,"(+/- 1043 )",2965,"(+/- 1242 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",13043,"(+/- 1784 )",20077,"(+/- 2645 )",15164,"(+/- 1817 )",12706,"(+/- 1856 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",14201,"(+/- 1780 )",35319,"(+/- 4593 )",34997,"(+/- 3542 )",14732,"(+/- 2427 )"
Workers,Industry,"Educational services, and health care and social assistance",76432,"(+/- 4453 )",91316,"(+/- 5612 )",79653,"(+/- 4862 )",72623,"(+/- 4454 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",20976,"(+/- 2665 )",30799,"(+/- 4344 )",33920,"(+/- 4062 )",25844,"(+/- 3161 )"
Workers,Industry,"Other services, except public administration",12380,"(+/- 1956 )",16323,"(+/- 2413 )",17246,"(+/- 2601 )",15763,"(+/- 2139 )"
Workers,Industry,"Public administration",14229,"(+/- 1947 )",20100,"(+/- 2698 )",10584,"(+/- 1824 )",16541,"(+/- 2615 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",299282,"(+/- 6468 )",353600,"(+/- 6996 )",379820,"(+/- 7693 )",292389,"(+/- 6962 )"
Workers,"Class of Worker","Private wage and salary workers",228044,"(+/- 7246 )",276417,"(+/- 8557 )",312087,"(+/- 7568 )",221469,"(+/- 6667 )"
Workers,"Class of Worker","Government workers",50000,"(+/- 3710 )",61759,"(+/- 4764 )",42446,"(+/- 3251 )",54749,"(+/- 4774 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",20677,"(+/- 2555 )",13901,"(+/- 2043 )",24654,"(+/- 2877 )",15407,"(+/- 2008 )"
Workers,"Class of Worker","Unpaid family workers",561,"(+/- 336 )",1523,"(+/- 748 )",633,"(+/- 350 )",764,"(+/- 354 )"
Housing,"Housing Occupancy","Total housing units",346700,"(+/- 1880 )",346110,"(+/- 1251 )",348991,"(+/- 1920 )",347358,"(+/- 2688 )"
Housing,"Housing Occupancy","Occupied housing units",283256,"(+/- 4715 )",298841,"(+/- 4200 )",310011,"(+/- 4536 )",271539,"(+/- 5239 )"
Housing,"Housing Occupancy","Vacant housing units",63444,"(+/- 4600 )",47269,"(+/- 4092 )",38980,"(+/- 3975 )",75819,"(+/- 4913 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",2.3,"(+/- 0.6 )",1.8,"(+/- 0.7 )",2.3,"(+/- 0.8 )",1.4,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.7,"(+/- 1.5 )",10.1,"(+/- 1.7 )",5.7,"(+/- 1.3 )",8.0,"(+/- 2.0 )"
Housing,"Housing Tenure","Occupied housing units",283256,"(+/- 4715 )",298841,"(+/- 4200 )",310011,"(+/- 4536 )",271539,"(+/- 5239 )"
Housing,"Housing Tenure",Owner-occupied,184383,"(+/- 4292 )",190150,"(+/- 6132 )",194545,"(+/- 5008 )",192731,"(+/- 5829 )"
Housing,"Housing Tenure",Renter-occupied,98873,"(+/- 3892 )",108691,"(+/- 4862 )",115466,"(+/- 5159 )",78808,"(+/- 4127 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.44,"(+/- 0.05 )",2.61,"(+/- 0.05 )",2.73,"(+/- 0.05 )",2.56,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.45,"(+/- 0.08 )",2.34,"(+/- 0.08 )",2.42,"(+/- 0.08 )",2.36,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",283256,"(+/- 4715 )",298841,"(+/- 4200 )",310011,"(+/- 4536 )",271539,"(+/- 5239 )"
Housing,"Year Householder Moved into Unit","Moved in 2017 or later",78797,"(+/- 3449 )",91358,"(+/- 4977 )",100386,"(+/- 4440 )",60373,"(+/- 4038 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2016",33453,"(+/- 2836 )",42247,"(+/- 3711 )",47197,"(+/- 3811 )",33395,"(+/- 2713 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",42665,"(+/- 3043 )",49677,"(+/- 4041 )",53096,"(+/- 3411 )",40942,"(+/- 2839 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",60943,"(+/- 3522 )",58356,"(+/- 3717 )",58636,"(+/- 4092 )",60309,"(+/- 3534 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",34885,"(+/- 2671 )",30293,"(+/- 3422 )",27886,"(+/- 2491 )",36200,"(+/- 2508 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",32513,"(+/- 2447 )",26910,"(+/- 2093 )",22810,"(+/- 2173 )",40320,"(+/- 2665 )"
Housing,Value,"Owner-occupied units",184383,"(+/- 4292 )",190150,"(+/- 6132 )",194545,"(+/- 5008 )",192731,"(+/- 5829 )"
Housing,Value,"Less than $50,000",34783,"(+/- 2511 )",17648,"(+/- 2220 )",12603,"(+/- 1951 )",36847,"(+/- 3283 )"
Housing,Value,"$50,000 to $99,999",51826,"(+/- 2912 )",33175,"(+/- 2574 )",26307,"(+/- 2610 )",56317,"(+/- 3549 )"
Housing,Value,"$100,000 to $149,999",34550,"(+/- 2890 )",39731,"(+/- 3610 )",40685,"(+/- 3291 )",37869,"(+/- 3244 )"
Housing,Value,"$150,000 to $199,999",26137,"(+/- 2194 )",33999,"(+/- 2561 )",39998,"(+/- 3257 )",24576,"(+/- 2467 )"
Housing,Value,"$200,000 to $299,999",23284,"(+/- 2359 )",37863,"(+/- 3049 )",39335,"(+/- 3143 )",21500,"(+/- 2205 )"
Housing,Value,"$300,000 to $499,999",10370,"(+/- 1525 )",20065,"(+/- 2076 )",24432,"(+/- 2296 )",11193,"(+/- 1662 )"
Housing,Value,"$500,000 to $999,999",2429,"(+/- 737 )",6312,"(+/- 1239 )",9045,"(+/- 1578 )",3194,"(+/- 995 )"
Housing,Value,"$1,000,000 or more",1004,"(+/- 325 )",1357,"(+/- 476 )",2140,"(+/- 681 )",1235,"(+/- 525 )"
Housing,Value,"Median (dollars)",107800,"(+/- 3793 )",155600,"(+/- 3933 )",170500,"(+/- 3877 )",103600,"(+/- 3756 )"
Housing,"Mortgage Status","Owner-occupied units",184383,"(+/- 4292 )",190150,"(+/- 6132 )",194545,"(+/- 5008 )",192731,"(+/- 5829 )"
Housing,"Mortgage Status","Housing units with a mortgage",87856,"(+/- 3767 )",113205,"(+/- 5929 )",118061,"(+/- 5012 )",84429,"(+/- 4222 )"
Housing,"Mortgage Status","Housing units without a mortgage",96527,"(+/- 3155 )",76945,"(+/- 4065 )",76484,"(+/- 3187 )",108302,"(+/- 5193 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",87856,"(+/- 3767 )",113205,"(+/- 5929 )",118061,"(+/- 5012 )",84429,"(+/- 4222 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",4372,"(+/- 895 )",2853,"(+/- 910 )",2055,"(+/- 642 )",3308,"(+/- 874 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",42056,"(+/- 2505 )",35927,"(+/- 3106 )",37195,"(+/- 3039 )",44094,"(+/- 3166 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",25379,"(+/- 2597 )",41145,"(+/- 3478 )",42464,"(+/- 3147 )",23102,"(+/- 2401 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",10310,"(+/- 1349 )",17867,"(+/- 2470 )",18898,"(+/- 2165 )",8846,"(+/- 1423 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",3672,"(+/- 871 )",7864,"(+/- 1441 )",9016,"(+/- 1601 )",3216,"(+/- 975 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",1075,"(+/- 500 )",4544,"(+/- 968 )",4040,"(+/- 1043 )",1301,"(+/- 637 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",992,"(+/- 452 )",3005,"(+/- 739 )",4393,"(+/- 1046 )",562,"(+/- 365 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",972,"(+/- 22 )",1184,"(+/- 24 )",1194,"(+/- 25 )",945,"(+/- 22 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",96527,"(+/- 3155 )",76945,"(+/- 4065 )",76484,"(+/- 3187 )",108302,"(+/- 5193 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",26845,"(+/- 2152 )",15891,"(+/- 1889 )",16056,"(+/- 2110 )",33278,"(+/- 3178 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",37989,"(+/- 2716 )",25205,"(+/- 2421 )",25480,"(+/- 2776 )",43032,"(+/- 3066 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",24551,"(+/- 2248 )",25503,"(+/- 2629 )",23394,"(+/- 2294 )",23668,"(+/- 2237 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",4926,"(+/- 969 )",5638,"(+/- 1206 )",6321,"(+/- 1212 )",6174,"(+/- 1197 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1128,"(+/- 457 )",2486,"(+/- 915 )",2349,"(+/- 801 )",1657,"(+/- 660 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",1088,"(+/- 456 )",2222,"(+/- 773 )",2884,"(+/- 916 )",493,"(+/- 288 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",331,"(+/- 10 )",386,"(+/- 12 )",379,"(+/- 16 )",320,"(+/- 9 )"
Housing,"Gross Rent","Occupied units paying rent",86470,"(+/- 3739 )",102272,"(+/- 4863 )",108493,"(+/- 4718 )",67420,"(+/- 3991 )"
