cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","45 to 54 years",86962,"(+/- 2323 )",96418,"(+/- 2410 )",88739,"(+/- 1185 )",103174,"(+/- 2695 )",90799,"(+/- 1969 )",96308,"(+/- 2615 )"
People,"Sex and Age","55 to 59 years",46456,"(+/- 2456 )",50547,"(+/- 2593 )",47965,"(+/- 3012 )",49226,"(+/- 2485 )",48082,"(+/- 2601 )",53292,"(+/- 3123 )"
People,"Sex and Age","60 to 64 years",52030,"(+/- 2682 )",52671,"(+/- 2812 )",51069,"(+/- 2967 )",53622,"(+/- 2606 )",47032,"(+/- 2547 )",45903,"(+/- 3170 )"
People,"Sex and Age","65 to 74 years",80626,"(+/- 1931 )",75476,"(+/- 1965 )",73582,"(+/- 862 )",76950,"(+/- 1816 )",75987,"(+/- 1656 )",72311,"(+/- 2224 )"
People,"Sex and Age","75 to 84 years",42909,"(+/- 1695 )",38483,"(+/- 1685 )",35084,"(+/- 1691 )",34190,"(+/- 1557 )",38743,"(+/- 1973 )",33579,"(+/- 1569 )"
People,"Sex and Age","85 years and over",12568,"(+/- 1518 )",12569,"(+/- 1641 )",15320,"(+/- 1783 )",12327,"(+/- 1609 )",10927,"(+/- 1836 )",12928,"(+/- 1632 )"
People,"Sex and Age","Median age (years)",40.4,"(+/- 0.4 )",38.8,"(+/- 0.4 )",38.3,"(+/- 0.4 )",39.7,"(+/- 0.4 )",41.3,"(+/- 0.5 )",37.2,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",562191,"(+/- 3846 )",594919,"(+/- 4020 )",580005,"(+/- 2130 )",583820,"(+/- 4226 )",537492,"(+/- 3949 )",607421,"(+/- 4686 )"
People,"Sex and Age","65 years and over",136103,"(+/- 2252 )",126528,"(+/- 2602 )",123986,"(+/- 999 )",123467,"(+/- 1977 )",125657,"(+/- 2559 )",118818,"(+/- 2445 )"
People,Race,"Total population",717704,"(+/- 4135 )",774897,"(+/- 5287 )",742543,"(+/- 3409 )",761936,"(+/- 5608 )",689793,"(+/- 4480 )",780800,"(+/- 5463 )"
People,Race,"One race",701062,"(+/- 5116 )",755393,"(+/- 6015 )",724762,"(+/- 4587 )",745989,"(+/- 5631 )",680261,"(+/- 4856 )",756048,"(+/- 7195 )"
People,Race,White,636458,"(+/- 4692 )",690264,"(+/- 6203 )",526605,"(+/- 3900 )",700198,"(+/- 5472 )",665179,"(+/- 4849 )",654987,"(+/- 5766 )"
People,Race,"Black or African American",50272,"(+/- 3148 )",40149,"(+/- 3513 )",170844,"(+/- 3213 )",24620,"(+/- 2863 )",8083,"(+/- 1579 )",69199,"(+/- 3653 )"
People,Race,"American Indian and Alaska Native",2795,"(+/- 1547 )",1317,"(+/- 886 )",1302,"(+/- 482 )",313,"(+/- 250 )",1068,"(+/- 566 )",1531,"(+/- 737 )"
People,Race,Asian,4474,"(+/- 1088 )",16477,"(+/- 2415 )",20702,"(+/- 1705 )",11824,"(+/- 1849 )",3849,"(+/- 1220 )",15761,"(+/- 1242 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1127,"(+/- 917 )",738,"(+/- 526 )",502,"(+/- 87 )",228,"(+/- 284 )",377,"(+/- 452 )",1240,"(+/- 1424 )"
People,Race,"Some other race",5936,"(+/- 1922 )",6448,"(+/- 1660 )",4807,"(+/- 1584 )",8806,"(+/- 3133 )",1705,"(+/- 988 )",13330,"(+/- 2784 )"
People,Race,"Two or more races",16642,"(+/- 3019 )",19504,"(+/- 3227 )",17781,"(+/- 3212 )",15947,"(+/- 2293 )",9532,"(+/- 2526 )",24752,"(+/- 4079 )"
People,"Hispanic or Latino and Race","Total population",717704,"(+/- 4135 )",774897,"(+/- 5287 )",742543,"(+/- 3409 )",761936,"(+/- 5608 )",689793,"(+/- 4480 )",780800,"(+/- 5463 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",22485,"(+/- 1058 )",26203,"(+/- 1294 )",45239,"(+/- 121 )",25953,"(+/- 1444 )",9705,"(+/- 1332 )",38432,"(+/- 936 )"
People,"Hispanic or Latino and Race",Mexican,15618,"(+/- 1560 )",14380,"(+/- 2399 )",16626,"(+/- 3770 )",13285,"(+/- 2547 )",7287,"(+/- 1302 )",24637,"(+/- 3149 )"
People,"Hispanic or Latino and Race","Puerto Rican",2114,"(+/- 928 )",2232,"(+/- 1039 )",1775,"(+/- 808 )",2276,"(+/- 1605 )",711,"(+/- 425 )",3472,"(+/- 1728 )"
People,"Hispanic or Latino and Race",Cuban,907,"(+/- 583 )",1490,"(+/- 966 )",17095,"(+/- 3352 )",1011,"(+/- 626 )",88,"(+/- 120 )",422,"(+/- 285 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",3846,"(+/- 1387 )",8101,"(+/- 1917 )",9743,"(+/- 2482 )",9381,"(+/- 2428 )",1619,"(+/- 832 )",9901,"(+/- 2907 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",695219,"(+/- 4266 )",748694,"(+/- 5476 )",697304,"(+/- 3417 )",735983,"(+/- 5850 )",680088,"(+/- 4797 )",742368,"(+/- 5523 )"
People,"Place of Birth","Total population",717704,"(+/- 4135 )",774897,"(+/- 5287 )",742543,"(+/- 3409 )",761936,"(+/- 5608 )",689793,"(+/- 4480 )",780800,"(+/- 5463 )"
People,"Place of Birth",Native,704906,"(+/- 4728 )",742036,"(+/- 6521 )",674866,"(+/- 6344 )",730517,"(+/- 6310 )",682949,"(+/- 4801 )",735781,"(+/- 7374 )"
People,"Place of Birth","Born in United States",699924,"(+/- 4821 )",732169,"(+/- 6883 )",667374,"(+/- 6614 )",725900,"(+/- 6641 )",681191,"(+/- 4906 )",729881,"(+/- 7661 )"
People,"Place of Birth","State of residence",487883,"(+/- 9563 )",547610,"(+/- 8551 )",491997,"(+/- 9613 )",456651,"(+/- 10656 )",536086,"(+/- 9248 )",529089,"(+/- 9528 )"
People,"Place of Birth","Different state",212041,"(+/- 8201 )",184559,"(+/- 8123 )",175377,"(+/- 8518 )",269249,"(+/- 9505 )",145105,"(+/- 7143 )",200792,"(+/- 8259 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4982,"(+/- 1175 )",9867,"(+/- 2036 )",7492,"(+/- 2019 )",4617,"(+/- 1474 )",1758,"(+/- 720 )",5900,"(+/- 1443 )"
People,"Place of Birth","Foreign born",12798,"(+/- 2150 )",32861,"(+/- 3359 )",67677,"(+/- 6036 )",31419,"(+/- 3722 )",6844,"(+/- 1520 )",45019,"(+/- 4069 )"
People,Ancestry,"Total population",717704,"(+/- 4135 )",774897,"(+/- 5287 )",742543,"(+/- 3409 )",761936,"(+/- 5608 )",689793,"(+/- 4480 )",780800,"(+/- 5463 )"
People,Ancestry,American,98906,"(+/- 7119 )",109357,"(+/- 7378 )",55891,"(+/- 5356 )",87486,"(+/- 7170 )",148459,"(+/- 8603 )",115009,"(+/- 8356 )"
People,Ancestry,Arab,305,"(+/- 204 )",2096,"(+/- 1690 )",7529,"(+/- 4399 )",1853,"(+/- 1152 )",525,"(+/- 671 )",5046,"(+/- 2019 )"
People,Ancestry,Czech,609,"(+/- 608 )",713,"(+/- 497 )",1228,"(+/- 684 )",702,"(+/- 599 )",67,"(+/- 115 )",550,"(+/- 375 )"
People,Ancestry,Danish,269,"(+/- 203 )",1014,"(+/- 627 )",998,"(+/- 435 )",1092,"(+/- 851 )",396,"(+/- 304 )",1092,"(+/- 543 )"
People,Ancestry,Dutch,5939,"(+/- 1413 )",7474,"(+/- 2290 )",6085,"(+/- 1452 )",9603,"(+/- 1877 )",2748,"(+/- 1050 )",5880,"(+/- 1282 )"
People,Ancestry,English,84076,"(+/- 7009 )",68306,"(+/- 6287 )",67682,"(+/- 5023 )",80342,"(+/- 7136 )",56953,"(+/- 5919 )",82504,"(+/- 6419 )"
People,Ancestry,"French (except Basque)",10263,"(+/- 2173 )",10561,"(+/- 1879 )",13384,"(+/- 3013 )",16084,"(+/- 2690 )",4158,"(+/- 1160 )",11626,"(+/- 2183 )"
People,Ancestry,"French Canadian",1390,"(+/- 807 )",3501,"(+/- 1547 )",1431,"(+/- 990 )",2693,"(+/- 1243 )",485,"(+/- 479 )",2340,"(+/- 942 )"
People,Ancestry,German,56544,"(+/- 5110 )",81252,"(+/- 6153 )",113295,"(+/- 6148 )",176078,"(+/- 8724 )",38887,"(+/- 3999 )",85649,"(+/- 5637 )"
People,Ancestry,Greek,519,"(+/- 398 )",1078,"(+/- 714 )",999,"(+/- 1010 )",2429,"(+/- 921 )",328,"(+/- 384 )",2094,"(+/- 944 )"
People,Ancestry,Hungarian,500,"(+/- 372 )",583,"(+/- 419 )",1484,"(+/- 663 )",1312,"(+/- 672 )",742,"(+/- 611 )",1792,"(+/- 725 )"
People,Ancestry,Irish,60996,"(+/- 5742 )",78687,"(+/- 5190 )",87944,"(+/- 7821 )",106539,"(+/- 6733 )",58365,"(+/- 5294 )",89363,"(+/- 7015 )"
People,Ancestry,Italian,8226,"(+/- 1959 )",13278,"(+/- 2645 )",18303,"(+/- 3328 )",25863,"(+/- 4140 )",3840,"(+/- 1254 )",18571,"(+/- 3281 )"
People,Ancestry,Lithuanian,490,"(+/- 532 )",207,"(+/- 173 )",658,"(+/- 398 )",613,"(+/- 368 )",0,"(+/- 201 )",289,"(+/- 222 )"
People,Ancestry,Norwegian,2358,"(+/- 841 )",2957,"(+/- 1089 )",3008,"(+/- 1143 )",2784,"(+/- 1026 )",1259,"(+/- 847 )",3467,"(+/- 979 )"
People,Ancestry,Polish,3409,"(+/- 921 )",6363,"(+/- 1550 )",9227,"(+/- 2660 )",10394,"(+/- 2999 )",3010,"(+/- 1069 )",10156,"(+/- 1964 )"
People,Ancestry,Portuguese,168,"(+/- 195 )",1861,"(+/- 1332 )",827,"(+/- 701 )",834,"(+/- 535 )",163,"(+/- 208 )",1344,"(+/- 1038 )"
People,Ancestry,Russian,1791,"(+/- 977 )",1477,"(+/- 768 )",2771,"(+/- 1107 )",2002,"(+/- 913 )",287,"(+/- 193 )",3334,"(+/- 1489 )"
People,Ancestry,Scotch-Irish,8657,"(+/- 1753 )",9769,"(+/- 2092 )",7493,"(+/- 1445 )",9080,"(+/- 2099 )",7426,"(+/- 1687 )",15012,"(+/- 2526 )"
People,Ancestry,Scottish,11082,"(+/- 2172 )",15848,"(+/- 2828 )",13742,"(+/- 2577 )",13080,"(+/- 1830 )",10678,"(+/- 2130 )",17173,"(+/- 3021 )"
People,Ancestry,Slovak,436,"(+/- 341 )",443,"(+/- 602 )",290,"(+/- 190 )",485,"(+/- 331 )",0,"(+/- 201 )",443,"(+/- 265 )"
People,Ancestry,"Subsaharan African",6810,"(+/- 2326 )",5632,"(+/- 2825 )",15512,"(+/- 4994 )",2483,"(+/- 1812 )",320,"(+/- 265 )",7988,"(+/- 3530 )"
People,Ancestry,Swedish,1921,"(+/- 810 )",1840,"(+/- 1048 )",2495,"(+/- 733 )",2720,"(+/- 744 )",352,"(+/- 296 )",3531,"(+/- 1056 )"
People,Ancestry,Swiss,2227,"(+/- 1279 )",1714,"(+/- 985 )",2642,"(+/- 863 )",1552,"(+/- 709 )",1045,"(+/- 764 )",1670,"(+/- 767 )"
People,Ancestry,Ukrainian,194,"(+/- 217 )",1348,"(+/- 1156 )",1012,"(+/- 568 )",884,"(+/- 709 )",295,"(+/- 393 )",1401,"(+/- 747 )"
People,Ancestry,Welsh,3676,"(+/- 1205 )",3272,"(+/- 1044 )",3681,"(+/- 956 )",5546,"(+/- 1536 )",3728,"(+/- 1555 )",6219,"(+/- 1473 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",917,"(+/- 601 )",972,"(+/- 763 )",2785,"(+/- 1654 )",527,"(+/- 443 )",219,"(+/- 215 )",1233,"(+/- 837 )"
People,"Veteran Status","Civilian population 18 years and over",553920,"(+/- 4102 )",590031,"(+/- 4002 )",579581,"(+/- 2157 )",583588,"(+/- 4224 )",537229,"(+/- 4040 )",607060,"(+/- 4627 )"
People,"Veteran Status","Civilian veterans",44233,"(+/- 3369 )",53554,"(+/- 3678 )",40437,"(+/- 3177 )",43298,"(+/- 2629 )",28890,"(+/- 2477 )",39624,"(+/- 2624 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",694950,"(+/- 4536 )",760407,"(+/- 5306 )",734608,"(+/- 3453 )",750279,"(+/- 5828 )",673051,"(+/- 5569 )",771601,"(+/- 5699 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",148111,"(+/- 6072 )",139450,"(+/- 6708 )",111225,"(+/- 5663 )",107056,"(+/- 5503 )",157030,"(+/- 6137 )",123115,"(+/- 5872 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",155299,"(+/- 2209 )",179610,"(+/- 2857 )",161878,"(+/- 1779 )",177926,"(+/- 2585 )",151795,"(+/- 2814 )",172858,"(+/- 3159 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",10805,"(+/- 2044 )",12320,"(+/- 1799 )",7723,"(+/- 1679 )",9733,"(+/- 1914 )",8835,"(+/- 1594 )",9417,"(+/- 1697 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",408567,"(+/- 4117 )",458032,"(+/- 4538 )",451863,"(+/- 2308 )",452662,"(+/- 4556 )",399783,"(+/- 4214 )",483109,"(+/- 4456 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",83209,"(+/- 4789 )",77035,"(+/- 5039 )",61495,"(+/- 4349 )",57544,"(+/- 4571 )",92259,"(+/- 5445 )",68065,"(+/- 4382 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",131084,"(+/- 2187 )",122765,"(+/- 2581 )",120867,"(+/- 1020 )",119691,"(+/- 2080 )",121473,"(+/- 2538 )",115634,"(+/- 2480 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",54097,"(+/- 2814 )",50095,"(+/- 3072 )",42007,"(+/- 2684 )",39779,"(+/- 2180 )",55936,"(+/- 3270 )",45633,"(+/- 2705 )"
People,"Residence 1 Year Ago","Population 1 year and over",709457,"(+/- 4454 )",767207,"(+/- 5510 )",734554,"(+/- 3718 )",752667,"(+/- 5772 )",683138,"(+/- 4755 )",774489,"(+/- 5324 )"
People,"Residence 1 Year Ago","Same house",617018,"(+/- 8131 )",655652,"(+/- 7870 )",625254,"(+/- 9358 )",658560,"(+/- 10137 )",605181,"(+/- 7528 )",630772,"(+/- 11550 )"
People,"Residence 1 Year Ago","Different house in the U.S.",91259,"(+/- 7357 )",109672,"(+/- 6392 )",106970,"(+/- 9481 )",91422,"(+/- 8185 )",76906,"(+/- 6398 )",140956,"(+/- 10509 )"
People,"Residence 1 Year Ago","Same county",50088,"(+/- 6302 )",56809,"(+/- 5447 )",79966,"(+/- 7933 )",36847,"(+/- 5423 )",43980,"(+/- 5477 )",79741,"(+/- 6783 )"
People,"Residence 1 Year Ago","Different county",41171,"(+/- 3887 )",52863,"(+/- 5699 )",27004,"(+/- 4169 )",54575,"(+/- 7083 )",32926,"(+/- 4371 )",61215,"(+/- 7522 )"
People,"Residence 1 Year Ago","Same state",23339,"(+/- 3292 )",35245,"(+/- 4948 )",9982,"(+/- 2336 )",36450,"(+/- 5758 )",20404,"(+/- 2900 )",44277,"(+/- 5414 )"
People,"Residence 1 Year Ago","Different state",17832,"(+/- 3230 )",17618,"(+/- 3191 )",17022,"(+/- 3352 )",18125,"(+/- 4487 )",12522,"(+/- 3156 )",16938,"(+/- 3635 )"
People,"Residence 1 Year Ago",Abroad,1180,"(+/- 517 )",1883,"(+/- 1148 )",2330,"(+/- 1288 )",2685,"(+/- 1153 )",1051,"(+/- 656 )",2761,"(+/- 1049 )"
Workers,"Employment Status","Population 16 years and over",580214,"(+/- 4300 )",617216,"(+/- 4637 )",597894,"(+/- 2446 )",605623,"(+/- 4928 )",555444,"(+/- 4227 )",625178,"(+/- 4626 )"
Workers,"Employment Status","In labor force",321342,"(+/- 6376 )",368904,"(+/- 5768 )",389220,"(+/- 5652 )",386757,"(+/- 5744 )",252771,"(+/- 7246 )",393755,"(+/- 7255 )"
Workers,"Employment Status","Civilian labor force",313071,"(+/- 6476 )",364016,"(+/- 5620 )",388796,"(+/- 5689 )",386525,"(+/- 5744 )",252508,"(+/- 7217 )",393394,"(+/- 7211 )"
Workers,"Employment Status",Employed,297611,"(+/- 6191 )",346096,"(+/- 5789 )",370835,"(+/- 5822 )",375038,"(+/- 5866 )",233561,"(+/- 7383 )",374632,"(+/- 7231 )"
Workers,"Employment Status",Unemployed,15460,"(+/- 2410 )",17920,"(+/- 2309 )",17961,"(+/- 2522 )",11487,"(+/- 1693 )",18947,"(+/- 2293 )",18762,"(+/- 2086 )"
Workers,"Employment Status","Armed Forces",8271,"(+/- 1079 )",4888,"(+/- 1141 )",424,"(+/- 340 )",232,"(+/- 233 )",263,"(+/- 333 )",361,"(+/- 314 )"
Workers,"Employment Status","Not in labor force",258872,"(+/- 5663 )",248312,"(+/- 5299 )",208674,"(+/- 5454 )",218866,"(+/- 6462 )",302673,"(+/- 7635 )",231423,"(+/- 6413 )"
Workers,"Employment Status","Civilian labor force",313071,"(+/- 6476 )",364016,"(+/- 5620 )",388796,"(+/- 5689 )",386525,"(+/- 5744 )",252508,"(+/- 7217 )",393394,"(+/- 7211 )"
Workers,"Employment Status","Unemployment Rate",4.9,"(+/- 0.7 )",4.9,"(+/- 0.6 )",4.6,"(+/- 0.6 )",3.0,"(+/- 0.4 )",7.5,"(+/- 0.9 )",4.8,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",301444,"(+/- 6385 )",342714,"(+/- 6191 )",365122,"(+/- 5922 )",368556,"(+/- 6224 )",229448,"(+/- 7307 )",366266,"(+/- 7298 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",248747,"(+/- 5506 )",286416,"(+/- 6188 )",290916,"(+/- 5982 )",306435,"(+/- 8103 )",188791,"(+/- 7311 )",296102,"(+/- 7661 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",27112,"(+/- 3170 )",31948,"(+/- 3134 )",27583,"(+/- 3257 )",31477,"(+/- 3099 )",24223,"(+/- 3561 )",36076,"(+/- 4164 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",679,"(+/- 361 )",892,"(+/- 374 )",10952,"(+/- 2356 )",2026,"(+/- 585 )",1268,"(+/- 731 )",3677,"(+/- 1087 )"
Workers,"Commuting to Work",Walked,8870,"(+/- 1242 )",6767,"(+/- 1549 )",9138,"(+/- 2336 )",5523,"(+/- 1537 )",5518,"(+/- 1356 )",8932,"(+/- 1749 )"
Workers,"Commuting to Work","Other means",3306,"(+/- 1064 )",4619,"(+/- 1322 )",9038,"(+/- 2083 )",5380,"(+/- 1299 )",1751,"(+/- 925 )",4506,"(+/- 1177 )"
Workers,"Commuting to Work","Worked from home",12730,"(+/- 2064 )",12072,"(+/- 1794 )",17495,"(+/- 2692 )",17715,"(+/- 2452 )",7897,"(+/- 1623 )",16973,"(+/- 2331 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",21.9,"(+/- 0.7 )",25.7,"(+/- 0.9 )",22.1,"(+/- 0.6 )",26.2,"(+/- 0.6 )",26.7,"(+/- 1.0 )",23.2,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",297611,"(+/- 6191 )",346096,"(+/- 5789 )",370835,"(+/- 5822 )",375038,"(+/- 5866 )",233561,"(+/- 7383 )",374632,"(+/- 7231 )"
Workers,Occupation,"Management, business, science, and arts occupations",88780,"(+/- 4857 )",114246,"(+/- 5569 )",148374,"(+/- 5741 )",148329,"(+/- 6643 )",72362,"(+/- 4641 )",151239,"(+/- 6025 )"
Workers,Occupation,"Service occupations",49715,"(+/- 3213 )",54439,"(+/- 3626 )",60257,"(+/- 5115 )",54368,"(+/- 3391 )",40600,"(+/- 3226 )",61967,"(+/- 4213 )"
Workers,Occupation,"Sales and office occupations",58855,"(+/- 3814 )",69244,"(+/- 4436 )",74479,"(+/- 4460 )",74764,"(+/- 4642 )",53087,"(+/- 4540 )",74751,"(+/- 5356 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",35273,"(+/- 3038 )",35878,"(+/- 3054 )",21891,"(+/- 3054 )",33347,"(+/- 2755 )",25976,"(+/- 2724 )",29987,"(+/- 2538 )"
Workers,Occupation,"Production, transportation, and material moving occupations",64988,"(+/- 4501 )",72289,"(+/- 4182 )",65834,"(+/- 4216 )",64230,"(+/- 4050 )",41536,"(+/- 3370 )",56688,"(+/- 4360 )"
Workers,Industry,"Civilian employed population 16 years and over",297611,"(+/- 6191 )",346096,"(+/- 5789 )",370835,"(+/- 5822 )",375038,"(+/- 5866 )",233561,"(+/- 7383 )",374632,"(+/- 7231 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",11476,"(+/- 1850 )",6214,"(+/- 1348 )",1402,"(+/- 693 )",3400,"(+/- 1107 )",7964,"(+/- 1408 )",8504,"(+/- 1467 )"
Workers,Industry,Construction,21362,"(+/- 2391 )",23517,"(+/- 2510 )",19535,"(+/- 2542 )",25538,"(+/- 2732 )",13366,"(+/- 2374 )",20593,"(+/- 2326 )"
Workers,Industry,Manufacturing,55936,"(+/- 4323 )",59163,"(+/- 3973 )",43740,"(+/- 4010 )",52885,"(+/- 3807 )",25517,"(+/- 2904 )",48012,"(+/- 3481 )"
Workers,Industry,"Wholesale trade",5143,"(+/- 845 )",10344,"(+/- 1696 )",9144,"(+/- 1596 )",12622,"(+/- 2001 )",5886,"(+/- 1533 )",9033,"(+/- 1844 )"
Workers,Industry,"Retail trade",38268,"(+/- 3389 )",41538,"(+/- 4031 )",41394,"(+/- 3680 )",41865,"(+/- 3041 )",32062,"(+/- 3787 )",45637,"(+/- 4444 )"
Workers,Industry,"Transportation and warehousing, and utilities",18492,"(+/- 2202 )",21674,"(+/- 2290 )",31682,"(+/- 2855 )",23597,"(+/- 2545 )",14175,"(+/- 1955 )",17000,"(+/- 2329 )"
Workers,Industry,Information,3146,"(+/- 840 )",4012,"(+/- 1210 )",5406,"(+/- 1143 )",4650,"(+/- 1015 )",3189,"(+/- 1089 )",3532,"(+/- 772 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",11138,"(+/- 1644 )",15712,"(+/- 1959 )",25345,"(+/- 2144 )",27016,"(+/- 3153 )",9152,"(+/- 1518 )",16819,"(+/- 1993 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",16131,"(+/- 2117 )",27275,"(+/- 2756 )",38734,"(+/- 3416 )",38463,"(+/- 3556 )",15626,"(+/- 2173 )",34808,"(+/- 3141 )"
Workers,Industry,"Educational services, and health care and social assistance",70307,"(+/- 3768 )",80383,"(+/- 4646 )",89969,"(+/- 4567 )",85087,"(+/- 4195 )",67689,"(+/- 4640 )",99477,"(+/- 4821 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",24368,"(+/- 2635 )",29287,"(+/- 2940 )",36980,"(+/- 3946 )",31168,"(+/- 2804 )",16225,"(+/- 2786 )",34344,"(+/- 3380 )"
Workers,Industry,"Other services, except public administration",10664,"(+/- 1769 )",14067,"(+/- 2140 )",17573,"(+/- 2156 )",14282,"(+/- 1653 )",10039,"(+/- 1910 )",17101,"(+/- 2325 )"
Workers,Industry,"Public administration",11180,"(+/- 1706 )",12910,"(+/- 1955 )",9931,"(+/- 1722 )",14465,"(+/- 1741 )",12671,"(+/- 1967 )",19772,"(+/- 2306 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",297611,"(+/- 6191 )",346096,"(+/- 5789 )",370835,"(+/- 5822 )",375038,"(+/- 5866 )",233561,"(+/- 7383 )",374632,"(+/- 7231 )"
Workers,"Class of Worker","Private wage and salary workers",234710,"(+/- 6590 )",277389,"(+/- 5959 )",312590,"(+/- 6589 )",311251,"(+/- 5876 )",181506,"(+/- 6166 )",285272,"(+/- 7437 )"
Workers,"Class of Worker","Government workers",44092,"(+/- 3353 )",50170,"(+/- 3212 )",39935,"(+/- 3533 )",45360,"(+/- 2971 )",40331,"(+/- 3859 )",69302,"(+/- 4511 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",18078,"(+/- 2244 )",17686,"(+/- 1830 )",16938,"(+/- 2122 )",16863,"(+/- 2077 )",11012,"(+/- 1967 )",19363,"(+/- 2135 )"
Workers,"Class of Worker","Unpaid family workers",731,"(+/- 397 )",851,"(+/- 429 )",1372,"(+/- 634 )",1564,"(+/- 576 )",712,"(+/- 362 )",695,"(+/- 417 )"
Housing,"Housing Occupancy","Total housing units",340891,"(+/- 2434 )",334717,"(+/- 2144 )",340492,"(+/- 1357 )",316822,"(+/- 1932 )",332906,"(+/- 2891 )",340507,"(+/- 2820 )"
Housing,"Housing Occupancy","Occupied housing units",284068,"(+/- 4530 )",293329,"(+/- 4004 )",307525,"(+/- 3243 )",287996,"(+/- 3389 )",266136,"(+/- 4700 )",309678,"(+/- 3631 )"
Housing,"Housing Occupancy","Vacant housing units",56823,"(+/- 4353 )",41388,"(+/- 3709 )",32967,"(+/- 3173 )",28826,"(+/- 2977 )",66770,"(+/- 4855 )",30829,"(+/- 2937 )"
