cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","65 to 74 years",66712,"(+/- 2855 )",77338,"(+/- 2292 )",70801,"(+/- 2748 )",63561,"(+/- 2479 )",74147,"(+/- 4215 )"
People,"Sex and Age","75 to 84 years",37901,"(+/- 2448 )",38497,"(+/- 2012 )",37539,"(+/- 2196 )",35315,"(+/- 2300 )",38698,"(+/- 2961 )"
People,"Sex and Age","85 years and over",19741,"(+/- 1980 )",14622,"(+/- 1800 )",17801,"(+/- 1956 )",17537,"(+/- 2023 )",18822,"(+/- 2029 )"
People,"Sex and Age","Median age (years)",40.9,"(+/- 0.6 )",42.3,"(+/- 0.6 )",41.3,"(+/- 1.0 )",40.0,"(+/- 0.5 )",41.9,"(+/- 0.9 )"
People,"Sex and Age","18 years and over",558545,"(+/- 6733 )",569879,"(+/- 5587 )",583763,"(+/- 6628 )",565034,"(+/- 4702 )",560634,"(+/- 10591 )"
People,"Sex and Age","65 years and over",124354,"(+/- 3302 )",130457,"(+/- 2708 )",126141,"(+/- 3279 )",116413,"(+/- 3227 )",131667,"(+/- 5042 )"
People,Race,"Total population",703138,"(+/- 7674 )",701590,"(+/- 5979 )",717989,"(+/- 7838 )",737733,"(+/- 5796 )",704837,"(+/- 11981 )"
People,Race,"One race",670646,"(+/- 8713 )",680798,"(+/- 6385 )",695020,"(+/- 8050 )",711510,"(+/- 7032 )",676245,"(+/- 12195 )"
People,Race,White,476475,"(+/- 10984 )",604510,"(+/- 6502 )",513602,"(+/- 10425 )",533457,"(+/- 8899 )",532184,"(+/- 14426 )"
People,Race,"Black or African American",107703,"(+/- 4322 )",30230,"(+/- 2920 )",111063,"(+/- 7064 )",91538,"(+/- 5337 )",56211,"(+/- 7196 )"
People,Race,"American Indian and Alaska Native",2347,"(+/- 1198 )",2941,"(+/- 975 )",1308,"(+/- 820 )",781,"(+/- 618 )",1675,"(+/- 792 )"
People,Race,Asian,39286,"(+/- 2996 )",26437,"(+/- 2901 )",30311,"(+/- 3036 )",40451,"(+/- 3282 )",29908,"(+/- 4270 )"
People,Race,"Native Hawaiian and Other Pacific Islander",532,"(+/- 732 )",66,"(+/- 106 )",41,"(+/- 70 )",475,"(+/- 594 )",41,"(+/- 70 )"
People,Race,"Some other race",44303,"(+/- 5639 )",16614,"(+/- 3643 )",38695,"(+/- 5993 )",44808,"(+/- 7838 )",56226,"(+/- 9386 )"
People,Race,"Two or more races",32492,"(+/- 4929 )",20792,"(+/- 3315 )",22969,"(+/- 4641 )",26223,"(+/- 4832 )",28592,"(+/- 3872 )"
People,"Hispanic or Latino and Race","Total population",703138,"(+/- 7674 )",701590,"(+/- 5979 )",717989,"(+/- 7838 )",737733,"(+/- 5796 )",704837,"(+/- 11981 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",121150,"(+/- 4458 )",63088,"(+/- 2084 )",120242,"(+/- 6781 )",153359,"(+/- 6435 )",143115,"(+/- 10098 )"
People,"Hispanic or Latino and Race",Mexican,6699,"(+/- 2427 )",9803,"(+/- 2335 )",13169,"(+/- 4313 )",18279,"(+/- 5144 )",14281,"(+/- 4862 )"
People,"Hispanic or Latino and Race","Puerto Rican",82907,"(+/- 5842 )",32245,"(+/- 3572 )",67580,"(+/- 6915 )",44756,"(+/- 5425 )",74539,"(+/- 7782 )"
People,"Hispanic or Latino and Race",Cuban,2482,"(+/- 1408 )",1702,"(+/- 876 )",2957,"(+/- 1745 )",4738,"(+/- 2413 )",3401,"(+/- 1855 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",29062,"(+/- 4872 )",19338,"(+/- 3057 )",36536,"(+/- 5371 )",85586,"(+/- 8285 )",50894,"(+/- 8339 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",581988,"(+/- 7367 )",638502,"(+/- 6214 )",597747,"(+/- 7519 )",584374,"(+/- 8461 )",561722,"(+/- 12518 )"
People,"Place of Birth","Total population",703138,"(+/- 7674 )",701590,"(+/- 5979 )",717989,"(+/- 7838 )",737733,"(+/- 5796 )",704837,"(+/- 11981 )"
People,"Place of Birth",Native,596405,"(+/- 10376 )",649096,"(+/- 6491 )",624255,"(+/- 7913 )",569523,"(+/- 10224 )",597643,"(+/- 13793 )"
People,"Place of Birth","Born in United States",558099,"(+/- 10965 )",635400,"(+/- 6481 )",596235,"(+/- 7611 )",544352,"(+/- 10707 )",562660,"(+/- 13929 )"
People,"Place of Birth","State of residence",406676,"(+/- 11194 )",386890,"(+/- 8527 )",429180,"(+/- 10461 )",309699,"(+/- 10448 )",384563,"(+/- 11489 )"
People,"Place of Birth","Different state",151423,"(+/- 5743 )",248510,"(+/- 8420 )",167055,"(+/- 7964 )",234653,"(+/- 7784 )",178097,"(+/- 8235 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",38306,"(+/- 4886 )",13696,"(+/- 2148 )",28020,"(+/- 4025 )",25171,"(+/- 3629 )",34983,"(+/- 4369 )"
People,"Place of Birth","Foreign born",106733,"(+/- 7517 )",52494,"(+/- 4930 )",93734,"(+/- 5863 )",168210,"(+/- 9194 )",107194,"(+/- 8878 )"
People,Ancestry,"Total population",703138,"(+/- 7674 )",701590,"(+/- 5979 )",717989,"(+/- 7838 )",737733,"(+/- 5796 )",704837,"(+/- 11981 )"
People,Ancestry,American,23921,"(+/- 4165 )",27782,"(+/- 4096 )",21660,"(+/- 3227 )",37919,"(+/- 5434 )",26266,"(+/- 3913 )"
People,Ancestry,Arab,2347,"(+/- 864 )",2058,"(+/- 767 )",6232,"(+/- 2405 )",6466,"(+/- 2236 )",5378,"(+/- 1925 )"
People,Ancestry,Czech,1866,"(+/- 676 )",1443,"(+/- 621 )",1322,"(+/- 572 )",2967,"(+/- 1127 )",1559,"(+/- 893 )"
People,Ancestry,Danish,1702,"(+/- 657 )",2165,"(+/- 911 )",1863,"(+/- 786 )",2383,"(+/- 816 )",2189,"(+/- 889 )"
People,Ancestry,Dutch,6185,"(+/- 2574 )",7516,"(+/- 2325 )",3562,"(+/- 1213 )",4613,"(+/- 1245 )",4924,"(+/- 1820 )"
People,Ancestry,English,48808,"(+/- 3755 )",83509,"(+/- 6143 )",51376,"(+/- 6369 )",52097,"(+/- 5592 )",54365,"(+/- 5351 )"
People,Ancestry,"French (except Basque)",36459,"(+/- 3627 )",57111,"(+/- 5112 )",16542,"(+/- 2738 )",12444,"(+/- 1769 )",35429,"(+/- 4585 )"
People,Ancestry,"French Canadian",22498,"(+/- 3176 )",35013,"(+/- 3659 )",12968,"(+/- 2709 )",4588,"(+/- 1258 )",15172,"(+/- 2692 )"
People,Ancestry,German,49055,"(+/- 5072 )",71367,"(+/- 5080 )",58818,"(+/- 4810 )",56184,"(+/- 4770 )",57452,"(+/- 5200 )"
People,Ancestry,Greek,4195,"(+/- 2577 )",6064,"(+/- 1720 )",4586,"(+/- 1352 )",11988,"(+/- 3257 )",5703,"(+/- 1728 )"
People,Ancestry,Hungarian,3826,"(+/- 1326 )",4416,"(+/- 1046 )",8982,"(+/- 1958 )",11132,"(+/- 3151 )",5340,"(+/- 1357 )"
People,Ancestry,Irish,100128,"(+/- 6566 )",133013,"(+/- 7701 )",103876,"(+/- 7796 )",91003,"(+/- 7135 )",98506,"(+/- 7202 )"
People,Ancestry,Italian,98640,"(+/- 5600 )",102005,"(+/- 6244 )",151501,"(+/- 8967 )",113011,"(+/- 6286 )",116635,"(+/- 8314 )"
People,Ancestry,Lithuanian,8865,"(+/- 2499 )",7482,"(+/- 1936 )",6268,"(+/- 2139 )",2058,"(+/- 764 )",6865,"(+/- 1500 )"
People,Ancestry,Norwegian,3005,"(+/- 1034 )",5029,"(+/- 1499 )",3188,"(+/- 1163 )",3864,"(+/- 1102 )",2842,"(+/- 1021 )"
People,Ancestry,Polish,50753,"(+/- 5534 )",53973,"(+/- 5006 )",44824,"(+/- 4891 )",35654,"(+/- 4033 )",47652,"(+/- 5225 )"
People,Ancestry,Portuguese,9185,"(+/- 2034 )",11223,"(+/- 2154 )",8665,"(+/- 1991 )",8983,"(+/- 3341 )",13939,"(+/- 3681 )"
People,Ancestry,Russian,8254,"(+/- 1912 )",8903,"(+/- 1742 )",12466,"(+/- 2660 )",12671,"(+/- 2518 )",7046,"(+/- 1759 )"
People,Ancestry,Scotch-Irish,2189,"(+/- 691 )",4538,"(+/- 1160 )",3914,"(+/- 1183 )",3042,"(+/- 981 )",3783,"(+/- 1105 )"
People,Ancestry,Scottish,8473,"(+/- 1315 )",19530,"(+/- 3188 )",9962,"(+/- 2878 )",10828,"(+/- 1883 )",9875,"(+/- 1774 )"
People,Ancestry,Slovak,1811,"(+/- 767 )",1423,"(+/- 826 )",5891,"(+/- 1775 )",5573,"(+/- 1651 )",2710,"(+/- 804 )"
People,Ancestry,"Subsaharan African",8269,"(+/- 3573 )",2529,"(+/- 1115 )",11830,"(+/- 4840 )",7229,"(+/- 3478 )",8281,"(+/- 3476 )"
People,Ancestry,Swedish,11453,"(+/- 3324 )",13110,"(+/- 2230 )",7449,"(+/- 1413 )",6910,"(+/- 1600 )",10357,"(+/- 1999 )"
People,Ancestry,Swiss,1149,"(+/- 515 )",1802,"(+/- 740 )",1202,"(+/- 799 )",2981,"(+/- 1030 )",997,"(+/- 416 )"
People,Ancestry,Ukrainian,5320,"(+/- 1540 )",3963,"(+/- 969 )",4386,"(+/- 1498 )",5161,"(+/- 1910 )",2570,"(+/- 762 )"
People,Ancestry,Welsh,2569,"(+/- 926 )",3527,"(+/- 1268 )",3193,"(+/- 1228 )",3332,"(+/- 1614 )",2521,"(+/- 873 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",31371,"(+/- 5335 )",6928,"(+/- 3456 )",13031,"(+/- 3442 )",25361,"(+/- 4810 )",9957,"(+/- 2831 )"
People,"Veteran Status","Civilian population 18 years and over",557342,"(+/- 6650 )",561052,"(+/- 5944 )",583488,"(+/- 6679 )",564921,"(+/- 4728 )",560343,"(+/- 10602 )"
People,"Veteran Status","Civilian veterans",28245,"(+/- 2661 )",47247,"(+/- 3213 )",30281,"(+/- 2403 )",21494,"(+/- 2109 )",29232,"(+/- 2620 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",695431,"(+/- 7573 )",679233,"(+/- 6422 )",711590,"(+/- 8220 )",732527,"(+/- 5926 )",695781,"(+/- 11995 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",83181,"(+/- 4625 )",83413,"(+/- 5076 )",85435,"(+/- 5316 )",77094,"(+/- 5732 )",90129,"(+/- 4578 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",144318,"(+/- 3841 )",131665,"(+/- 3227 )",134063,"(+/- 5073 )",172678,"(+/- 3383 )",144193,"(+/- 6556 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5382,"(+/- 1551 )",5987,"(+/- 1509 )",8140,"(+/- 2181 )",6820,"(+/- 1618 )",5809,"(+/- 1322 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",430879,"(+/- 5911 )",421740,"(+/- 5772 )",455304,"(+/- 6514 )",446882,"(+/- 5067 )",423743,"(+/- 10040 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",41496,"(+/- 3546 )",42179,"(+/- 4134 )",42154,"(+/- 3285 )",35043,"(+/- 4394 )",44674,"(+/- 3312 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",120234,"(+/- 3266 )",125828,"(+/- 2855 )",122223,"(+/- 3340 )",112967,"(+/- 3380 )",127845,"(+/- 5179 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",36303,"(+/- 2782 )",35247,"(+/- 2395 )",35141,"(+/- 3027 )",35231,"(+/- 2327 )",39646,"(+/- 2817 )"
People,"Residence 1 Year Ago","Population 1 year and over",696235,"(+/- 7524 )",696721,"(+/- 6168 )",711334,"(+/- 8129 )",729213,"(+/- 5703 )",698483,"(+/- 11745 )"
People,"Residence 1 Year Ago","Same house",618266,"(+/- 9959 )",607307,"(+/- 9325 )",626964,"(+/- 10582 )",639263,"(+/- 9662 )",614954,"(+/- 13080 )"
People,"Residence 1 Year Ago","Different house in the U.S.",72973,"(+/- 8131 )",84310,"(+/- 6704 )",76991,"(+/- 7284 )",83007,"(+/- 7638 )",78833,"(+/- 7946 )"
People,"Residence 1 Year Ago","Same county",51724,"(+/- 7344 )",40415,"(+/- 5148 )",47017,"(+/- 6319 )",54314,"(+/- 6625 )",48994,"(+/- 7263 )"
People,"Residence 1 Year Ago","Different county",21249,"(+/- 3937 )",43895,"(+/- 4765 )",29974,"(+/- 4178 )",28693,"(+/- 4646 )",29839,"(+/- 4981 )"
People,"Residence 1 Year Ago","Same state",9592,"(+/- 2607 )",19189,"(+/- 3162 )",14546,"(+/- 2754 )",7074,"(+/- 2645 )",13205,"(+/- 2500 )"
People,"Residence 1 Year Ago","Different state",11657,"(+/- 2707 )",24706,"(+/- 3648 )",15428,"(+/- 2861 )",21619,"(+/- 4094 )",16634,"(+/- 3900 )"
People,"Residence 1 Year Ago",Abroad,4996,"(+/- 1937 )",5104,"(+/- 1302 )",7379,"(+/- 3057 )",6943,"(+/- 1882 )",4696,"(+/- 2384 )"
Workers,"Employment Status","Population 16 years and over",576630,"(+/- 6913 )",587154,"(+/- 5988 )",601431,"(+/- 7265 )",584768,"(+/- 4971 )",576871,"(+/- 10929 )"
Workers,"Employment Status","In labor force",385599,"(+/- 7685 )",387257,"(+/- 6274 )",395837,"(+/- 8382 )",386554,"(+/- 5913 )",381948,"(+/- 10474 )"
Workers,"Employment Status","Civilian labor force",384396,"(+/- 7617 )",378430,"(+/- 6619 )",395562,"(+/- 8499 )",386441,"(+/- 5960 )",381657,"(+/- 10446 )"
Workers,"Employment Status",Employed,365733,"(+/- 7563 )",360442,"(+/- 6602 )",371428,"(+/- 8580 )",365038,"(+/- 6349 )",361274,"(+/- 10523 )"
Workers,"Employment Status",Unemployed,18663,"(+/- 2524 )",17988,"(+/- 1997 )",24134,"(+/- 3078 )",21403,"(+/- 3233 )",20383,"(+/- 2623 )"
Workers,"Employment Status","Armed Forces",1203,"(+/- 693 )",8827,"(+/- 1310 )",275,"(+/- 334 )",113,"(+/- 132 )",291,"(+/- 226 )"
Workers,"Employment Status","Not in labor force",191031,"(+/- 5503 )",199897,"(+/- 5162 )",205594,"(+/- 7902 )",198214,"(+/- 5416 )",194923,"(+/- 6550 )"
Workers,"Employment Status","Civilian labor force",384396,"(+/- 7617 )",378430,"(+/- 6619 )",395562,"(+/- 8499 )",386441,"(+/- 5960 )",381657,"(+/- 10446 )"
Workers,"Employment Status","Unemployment Rate",4.9,"(+/- 0.6 )",4.8,"(+/- 0.5 )",6.1,"(+/- 0.8 )",5.5,"(+/- 0.8 )",5.3,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",358933,"(+/- 7611 )",358190,"(+/- 6287 )",364453,"(+/- 8490 )",357968,"(+/- 6603 )",356703,"(+/- 10513 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",293704,"(+/- 7440 )",297437,"(+/- 6487 )",283484,"(+/- 7955 )",244438,"(+/- 8071 )",287931,"(+/- 9600 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",24027,"(+/- 2893 )",24885,"(+/- 3346 )",29614,"(+/- 3484 )",28657,"(+/- 3202 )",28363,"(+/- 3018 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",11758,"(+/- 2098 )",3628,"(+/- 1017 )",14743,"(+/- 2822 )",44357,"(+/- 3405 )",6668,"(+/- 1353 )"
Workers,"Commuting to Work",Walked,9575,"(+/- 2424 )",9126,"(+/- 1844 )",13102,"(+/- 2113 )",10346,"(+/- 2320 )",8269,"(+/- 1779 )"
Workers,"Commuting to Work","Other means",3271,"(+/- 1144 )",2375,"(+/- 823 )",5424,"(+/- 1721 )",5499,"(+/- 2119 )",5374,"(+/- 1299 )"
Workers,"Commuting to Work","Worked from home",16598,"(+/- 2392 )",20739,"(+/- 2766 )",18086,"(+/- 2535 )",24671,"(+/- 2332 )",20098,"(+/- 2517 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.3,"(+/- 0.6 )",25.8,"(+/- 0.6 )",25.4,"(+/- 0.7 )",32.4,"(+/- 0.9 )",28.0,"(+/- 0.9 )"
Workers,Occupation,"Civilian employed population 16 years and over",365733,"(+/- 7563 )",360442,"(+/- 6602 )",371428,"(+/- 8580 )",365038,"(+/- 6349 )",361274,"(+/- 10523 )"
Workers,Occupation,"Management, business, science, and arts occupations",166631,"(+/- 5924 )",157699,"(+/- 5852 )",158324,"(+/- 6577 )",182640,"(+/- 5441 )",150113,"(+/- 6357 )"
Workers,Occupation,"Service occupations",65598,"(+/- 4679 )",69404,"(+/- 4440 )",73901,"(+/- 4647 )",57888,"(+/- 3866 )",67880,"(+/- 5782 )"
Workers,Occupation,"Sales and office occupations",73553,"(+/- 4779 )",67490,"(+/- 4603 )",70017,"(+/- 4820 )",72964,"(+/- 4934 )",72638,"(+/- 4624 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",20734,"(+/- 2378 )",28426,"(+/- 3161 )",28584,"(+/- 3850 )",25540,"(+/- 3321 )",27390,"(+/- 3526 )"
Workers,Occupation,"Production, transportation, and material moving occupations",39217,"(+/- 3695 )",37423,"(+/- 3832 )",40602,"(+/- 3886 )",26006,"(+/- 2685 )",43253,"(+/- 4117 )"
Workers,Industry,"Civilian employed population 16 years and over",365733,"(+/- 7563 )",360442,"(+/- 6602 )",371428,"(+/- 8580 )",365038,"(+/- 6349 )",361274,"(+/- 10523 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",908,"(+/- 624 )",3673,"(+/- 1227 )",561,"(+/- 366 )",846,"(+/- 547 )",2002,"(+/- 540 )"
Workers,Industry,Construction,18798,"(+/- 2518 )",22601,"(+/- 3350 )",23652,"(+/- 3848 )",23695,"(+/- 3118 )",24986,"(+/- 3468 )"
Workers,Industry,Manufacturing,34887,"(+/- 3093 )",42881,"(+/- 3460 )",35157,"(+/- 3182 )",25154,"(+/- 3104 )",42754,"(+/- 4581 )"
Workers,Industry,"Wholesale trade",9065,"(+/- 1510 )",7409,"(+/- 1368 )",8095,"(+/- 1885 )",9868,"(+/- 1796 )",8345,"(+/- 1425 )"
Workers,Industry,"Retail trade",36655,"(+/- 3935 )",39747,"(+/- 3166 )",39075,"(+/- 3683 )",33547,"(+/- 3903 )",42202,"(+/- 3268 )"
Workers,Industry,"Transportation and warehousing, and utilities",17629,"(+/- 2419 )",15284,"(+/- 2184 )",18762,"(+/- 2727 )",12640,"(+/- 2315 )",16018,"(+/- 2342 )"
Workers,Industry,Information,7139,"(+/- 1494 )",3810,"(+/- 1068 )",6814,"(+/- 1498 )",8879,"(+/- 1571 )",6261,"(+/- 1336 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",33881,"(+/- 3090 )",22602,"(+/- 2448 )",23037,"(+/- 2987 )",50068,"(+/- 3504 )",28982,"(+/- 3129 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",39171,"(+/- 3071 )",32839,"(+/- 3073 )",34880,"(+/- 3226 )",60766,"(+/- 3926 )",39231,"(+/- 3552 )"
Workers,Industry,"Educational services, and health care and social assistance",106107,"(+/- 5001 )",97141,"(+/- 5031 )",121491,"(+/- 6452 )",80594,"(+/- 4734 )",90294,"(+/- 5546 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",31397,"(+/- 3452 )",40568,"(+/- 3977 )",32018,"(+/- 4234 )",32076,"(+/- 3756 )",30248,"(+/- 4305 )"
Workers,Industry,"Other services, except public administration",15543,"(+/- 2448 )",16463,"(+/- 2185 )",16228,"(+/- 2437 )",19255,"(+/- 2401 )",17155,"(+/- 2076 )"
Workers,Industry,"Public administration",14553,"(+/- 2060 )",15424,"(+/- 2511 )",11658,"(+/- 1861 )",7650,"(+/- 1527 )",12796,"(+/- 1922 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",365733,"(+/- 7563 )",360442,"(+/- 6602 )",371428,"(+/- 8580 )",365038,"(+/- 6349 )",361274,"(+/- 10523 )"
Workers,"Class of Worker","Private wage and salary workers",292414,"(+/- 7639 )",278923,"(+/- 7111 )",301160,"(+/- 8948 )",303199,"(+/- 7752 )",289338,"(+/- 10342 )"
Workers,"Class of Worker","Government workers",54916,"(+/- 3442 )",60077,"(+/- 4464 )",48608,"(+/- 4129 )",31846,"(+/- 3235 )",46936,"(+/- 3484 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",17709,"(+/- 2372 )",20841,"(+/- 2310 )",21009,"(+/- 2952 )",29124,"(+/- 2881 )",24402,"(+/- 2850 )"
Workers,"Class of Worker","Unpaid family workers",694,"(+/- 355 )",601,"(+/- 363 )",651,"(+/- 419 )",869,"(+/- 364 )",598,"(+/- 328 )"
Housing,"Housing Occupancy","Total housing units",306950,"(+/- 3936 )",308690,"(+/- 3002 )",309546,"(+/- 4419 )",290420,"(+/- 4174 )",309353,"(+/- 6380 )"
Housing,"Housing Occupancy","Occupied housing units",280863,"(+/- 4121 )",278655,"(+/- 3760 )",279104,"(+/- 4510 )",263988,"(+/- 4086 )",274556,"(+/- 6578 )"
Housing,"Housing Occupancy","Vacant housing units",26087,"(+/- 3089 )",30035,"(+/- 3376 )",30442,"(+/- 3163 )",26432,"(+/- 2780 )",34797,"(+/- 2805 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.0,"(+/- 0.5 )",1.2,"(+/- 0.5 )",1.2,"(+/- 0.7 )",2.8,"(+/- 0.7 )",1.6,"(+/- 0.6 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.5,"(+/- 1.4 )",3.5,"(+/- 1.3 )",5.9,"(+/- 1.5 )",8.9,"(+/- 1.7 )",6.7,"(+/- 1.6 )"
Housing,"Housing Tenure","Occupied housing units",280863,"(+/- 4121 )",278655,"(+/- 3760 )",279104,"(+/- 4510 )",263988,"(+/- 4086 )",274556,"(+/- 6578 )"
Housing,"Housing Tenure",Owner-occupied,179899,"(+/- 4186 )",197079,"(+/- 4487 )",170832,"(+/- 4729 )",169954,"(+/- 4334 )",177830,"(+/- 5448 )"
Housing,"Housing Tenure",Renter-occupied,100964,"(+/- 4252 )",81576,"(+/- 4431 )",108272,"(+/- 4784 )",94034,"(+/- 3626 )",96726,"(+/- 4689 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.61,"(+/- 0.04 )",2.51,"(+/- 0.04 )",2.67,"(+/- 0.06 )",2.86,"(+/- 0.05 )",2.63,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.15,"(+/- 0.07 )",2.07,"(+/- 0.08 )",2.18,"(+/- 0.07 )",2.53,"(+/- 0.08 )",2.28,"(+/- 0.10 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",280863,"(+/- 4121 )",278655,"(+/- 3760 )",279104,"(+/- 4510 )",263988,"(+/- 4086 )",274556,"(+/- 6578 )"
Housing,"Year Householder Moved into Unit","Moved in 2017 or later",69963,"(+/- 4060 )",65429,"(+/- 3923 )",73475,"(+/- 4577 )",66647,"(+/- 3571 )",64089,"(+/- 3780 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2016",32717,"(+/- 2577 )",32324,"(+/- 3030 )",32391,"(+/- 3246 )",30668,"(+/- 2743 )",33702,"(+/- 2944 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",38499,"(+/- 3159 )",39410,"(+/- 2852 )",37557,"(+/- 3697 )",41325,"(+/- 3111 )",37028,"(+/- 3473 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",61966,"(+/- 3515 )",58158,"(+/- 3444 )",58446,"(+/- 3566 )",59995,"(+/- 3514 )",63215,"(+/- 3875 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",34795,"(+/- 2775 )",38304,"(+/- 2742 )",33962,"(+/- 2897 )",32445,"(+/- 2261 )",35003,"(+/- 3011 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",42923,"(+/- 2841 )",45030,"(+/- 2857 )",43273,"(+/- 2804 )",32908,"(+/- 2269 )",41519,"(+/- 2947 )"
Housing,Value,"Owner-occupied units",179899,"(+/- 4186 )",197079,"(+/- 4487 )",170832,"(+/- 4729 )",169954,"(+/- 4334 )",177830,"(+/- 5448 )"
Housing,Value,"Less than $50,000",4186,"(+/- 965 )",4048,"(+/- 858 )",3607,"(+/- 841 )",2682,"(+/- 798 )",3481,"(+/- 868 )"
Housing,Value,"$50,000 to $99,999",5900,"(+/- 1290 )",3972,"(+/- 871 )",6129,"(+/- 1528 )",3416,"(+/- 983 )",6010,"(+/- 1229 )"
Housing,Value,"$100,000 to $149,999",18092,"(+/- 1950 )",15050,"(+/- 2106 )",11846,"(+/- 1678 )",4246,"(+/- 1152 )",18341,"(+/- 2276 )"
Housing,Value,"$150,000 to $199,999",36929,"(+/- 2551 )",32373,"(+/- 2648 )",26504,"(+/- 3223 )",7204,"(+/- 1310 )",28492,"(+/- 2855 )"
