cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Hispanic or Latino and Race",Cuban,1173,"(+/- 925 )",461,"(+/- 273 )",159,"(+/- 238 )",626,"(+/- 519 )",1053,"(+/- 909 )",2579,"(+/- 1275 )",631,"(+/- 316 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",8347,"(+/- 3002 )",6453,"(+/- 1936 )",7429,"(+/- 2489 )",19622,"(+/- 4117 )",7302,"(+/- 2506 )",8362,"(+/- 3227 )",8725,"(+/- 2163 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",693809,"(+/- 3245 )",648808,"(+/- 6719 )",696735,"(+/- 6023 )",639722,"(+/- 5866 )",695657,"(+/- 7 )",664043,"(+/- 8220 )",645115,"(+/- 10957 )"
People,"Place of Birth","Total population",717438,"(+/- 3217 )",674920,"(+/- 6894 )",717896,"(+/- 5519 )",687453,"(+/- 6630 )",735858,"(+/- 206 )",699605,"(+/- 8896 )",670015,"(+/- 11607 )"
People,"Place of Birth",Native,694841,"(+/- 4218 )",655335,"(+/- 6551 )",694605,"(+/- 5915 )",659292,"(+/- 6691 )",704648,"(+/- 3343 )",669054,"(+/- 9405 )",650458,"(+/- 11319 )"
People,"Place of Birth","Born in United States",689641,"(+/- 4565 )",647897,"(+/- 6524 )",687023,"(+/- 5871 )",654951,"(+/- 6815 )",694522,"(+/- 3591 )",664994,"(+/- 9432 )",647836,"(+/- 11220 )"
People,"Place of Birth","State of residence",488888,"(+/- 9621 )",458973,"(+/- 9804 )",460655,"(+/- 11186 )",510284,"(+/- 7922 )",435694,"(+/- 9287 )",506117,"(+/- 10282 )",534247,"(+/- 11997 )"
People,"Place of Birth","Different state",200753,"(+/- 9532 )",188924,"(+/- 7974 )",226368,"(+/- 10560 )",144667,"(+/- 6450 )",258828,"(+/- 9250 )",158877,"(+/- 7041 )",113589,"(+/- 7598 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5200,"(+/- 1792 )",7438,"(+/- 1499 )",7582,"(+/- 1483 )",4341,"(+/- 1373 )",10126,"(+/- 1990 )",4060,"(+/- 1255 )",2622,"(+/- 958 )"
People,"Place of Birth","Foreign born",22597,"(+/- 2855 )",19585,"(+/- 2260 )",23291,"(+/- 2990 )",28161,"(+/- 3312 )",31210,"(+/- 3343 )",30551,"(+/- 3454 )",19557,"(+/- 2917 )"
People,Ancestry,"Total population",717438,"(+/- 3217 )",674920,"(+/- 6894 )",717896,"(+/- 5519 )",687453,"(+/- 6630 )",735858,"(+/- 206 )",699605,"(+/- 8896 )",670015,"(+/- 11607 )"
People,Ancestry,American,104615,"(+/- 10240 )",141376,"(+/- 9162 )",122974,"(+/- 9834 )",187829,"(+/- 10490 )",102119,"(+/- 9782 )",99727,"(+/- 8164 )",90464,"(+/- 9235 )"
People,Ancestry,Arab,2323,"(+/- 1266 )",389,"(+/- 305 )",683,"(+/- 445 )",985,"(+/- 980 )",949,"(+/- 571 )",3401,"(+/- 1474 )",706,"(+/- 456 )"
People,Ancestry,Czech,396,"(+/- 264 )",903,"(+/- 467 )",333,"(+/- 306 )",188,"(+/- 145 )",618,"(+/- 352 )",634,"(+/- 326 )",393,"(+/- 295 )"
People,Ancestry,Danish,760,"(+/- 412 )",261,"(+/- 213 )",810,"(+/- 545 )",0,"(+/- 206 )",775,"(+/- 528 )",1527,"(+/- 850 )",316,"(+/- 341 )"
People,Ancestry,Dutch,2932,"(+/- 1275 )",3715,"(+/- 1482 )",4506,"(+/- 1481 )",5400,"(+/- 1663 )",8116,"(+/- 3837 )",5224,"(+/- 1325 )",1835,"(+/- 1059 )"
People,Ancestry,English,48288,"(+/- 5632 )",36963,"(+/- 3349 )",54859,"(+/- 4911 )",46930,"(+/- 4743 )",69522,"(+/- 5592 )",73175,"(+/- 5457 )",21914,"(+/- 3232 )"
People,Ancestry,"French (except Basque)",16083,"(+/- 3384 )",6409,"(+/- 1370 )",7564,"(+/- 2043 )",4182,"(+/- 1121 )",8918,"(+/- 1962 )",11958,"(+/- 1877 )",4300,"(+/- 1182 )"
People,Ancestry,"French Canadian",2292,"(+/- 1095 )",1002,"(+/- 497 )",738,"(+/- 476 )",658,"(+/- 492 )",2502,"(+/- 1158 )",1346,"(+/- 559 )",123,"(+/- 149 )"
People,Ancestry,German,42900,"(+/- 5604 )",28213,"(+/- 2976 )",33315,"(+/- 4410 )",39530,"(+/- 4279 )",57645,"(+/- 5029 )",41621,"(+/- 4584 )",18488,"(+/- 3082 )"
People,Ancestry,Greek,3251,"(+/- 1935 )",1142,"(+/- 584 )",1008,"(+/- 621 )",999,"(+/- 1005 )",1752,"(+/- 1106 )",3199,"(+/- 1599 )",324,"(+/- 276 )"
People,Ancestry,Hungarian,199,"(+/- 128 )",541,"(+/- 357 )",648,"(+/- 548 )",298,"(+/- 194 )",1429,"(+/- 752 )",640,"(+/- 384 )",178,"(+/- 138 )"
People,Ancestry,Irish,56723,"(+/- 6220 )",39890,"(+/- 3471 )",48827,"(+/- 5887 )",54526,"(+/- 5368 )",64376,"(+/- 5589 )",63195,"(+/- 5101 )",22609,"(+/- 3957 )"
People,Ancestry,Italian,14786,"(+/- 3053 )",9249,"(+/- 1872 )",10403,"(+/- 2554 )",6203,"(+/- 1337 )",14611,"(+/- 2745 )",16476,"(+/- 2591 )",5797,"(+/- 1590 )"
People,Ancestry,Lithuanian,420,"(+/- 305 )",114,"(+/- 134 )",605,"(+/- 843 )",146,"(+/- 143 )",593,"(+/- 399 )",534,"(+/- 422 )",143,"(+/- 154 )"
People,Ancestry,Norwegian,2667,"(+/- 948 )",1764,"(+/- 679 )",1918,"(+/- 771 )",1777,"(+/- 774 )",3115,"(+/- 1007 )",2858,"(+/- 906 )",865,"(+/- 607 )"
People,Ancestry,Polish,4745,"(+/- 2179 )",3936,"(+/- 1030 )",4701,"(+/- 1668 )",2910,"(+/- 906 )",7338,"(+/- 2861 )",4323,"(+/- 1418 )",2172,"(+/- 978 )"
People,Ancestry,Portuguese,373,"(+/- 311 )",191,"(+/- 183 )",889,"(+/- 686 )",1211,"(+/- 1267 )",1213,"(+/- 581 )",266,"(+/- 328 )",563,"(+/- 671 )"
People,Ancestry,Russian,3136,"(+/- 1462 )",698,"(+/- 409 )",1129,"(+/- 1028 )",345,"(+/- 246 )",1219,"(+/- 735 )",1525,"(+/- 1066 )",686,"(+/- 443 )"
People,Ancestry,Scotch-Irish,9485,"(+/- 2401 )",8664,"(+/- 1976 )",11652,"(+/- 2774 )",6510,"(+/- 1487 )",14145,"(+/- 2443 )",11268,"(+/- 2103 )",4920,"(+/- 1272 )"
People,Ancestry,Scottish,13310,"(+/- 3680 )",8195,"(+/- 1456 )",14142,"(+/- 2895 )",12462,"(+/- 2294 )",17343,"(+/- 4021 )",20363,"(+/- 3677 )",8081,"(+/- 2973 )"
People,Ancestry,Slovak,11,"(+/- 19 )",85,"(+/- 103 )",66,"(+/- 89 )",126,"(+/- 221 )",514,"(+/- 293 )",1215,"(+/- 953 )",79,"(+/- 97 )"
People,Ancestry,"Subsaharan African",4201,"(+/- 1666 )",4645,"(+/- 1506 )",7994,"(+/- 2469 )",632,"(+/- 438 )",5086,"(+/- 1736 )",6743,"(+/- 3074 )",15571,"(+/- 4414 )"
People,Ancestry,Swedish,2545,"(+/- 1011 )",1970,"(+/- 795 )",2101,"(+/- 818 )",2434,"(+/- 922 )",3317,"(+/- 1102 )",2824,"(+/- 1224 )",1230,"(+/- 564 )"
People,Ancestry,Swiss,556,"(+/- 757 )",620,"(+/- 288 )",691,"(+/- 501 )",162,"(+/- 199 )",1219,"(+/- 801 )",453,"(+/- 326 )",594,"(+/- 667 )"
People,Ancestry,Ukrainian,359,"(+/- 325 )",827,"(+/- 961 )",128,"(+/- 149 )",158,"(+/- 192 )",370,"(+/- 395 )",739,"(+/- 554 )",156,"(+/- 191 )"
People,Ancestry,Welsh,3126,"(+/- 1167 )",1769,"(+/- 664 )",3511,"(+/- 1489 )",2774,"(+/- 876 )",7099,"(+/- 1874 )",5698,"(+/- 1441 )",1227,"(+/- 636 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1261,"(+/- 925 )",1162,"(+/- 796 )",2576,"(+/- 1337 )",511,"(+/- 424 )",2068,"(+/- 934 )",520,"(+/- 485 )",4152,"(+/- 2293 )"
People,"Veteran Status","Civilian population 18 years and over",555386,"(+/- 2271 )",514033,"(+/- 5230 )",557970,"(+/- 4248 )",532704,"(+/- 5192 )",575060,"(+/- 1737 )",540104,"(+/- 6903 )",525438,"(+/- 9283 )"
People,"Veteran Status","Civilian veterans",52884,"(+/- 3726 )",51418,"(+/- 3047 )",46500,"(+/- 3541 )",38159,"(+/- 3033 )",55027,"(+/- 3557 )",39531,"(+/- 4258 )",34735,"(+/- 2762 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",707906,"(+/- 3896 )",651579,"(+/- 7418 )",703954,"(+/- 5943 )",680872,"(+/- 6755 )",723190,"(+/- 1867 )",693338,"(+/- 8978 )",661675,"(+/- 11525 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",98545,"(+/- 6708 )",109631,"(+/- 5022 )",124332,"(+/- 6683 )",120045,"(+/- 5085 )",104451,"(+/- 5459 )",91241,"(+/- 5087 )",116773,"(+/- 5767 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",161230,"(+/- 1806 )",151774,"(+/- 3730 )",155196,"(+/- 2570 )",154222,"(+/- 3346 )",158813,"(+/- 1547 )",158650,"(+/- 4273 )",144177,"(+/- 5356 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6079,"(+/- 1837 )",7258,"(+/- 1301 )",6039,"(+/- 1850 )",5283,"(+/- 1218 )",7036,"(+/- 1490 )",5886,"(+/- 1626 )",6121,"(+/- 1698 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",418008,"(+/- 3399 )",382662,"(+/- 5503 )",431480,"(+/- 4687 )",401450,"(+/- 5454 )",441212,"(+/- 2512 )",420841,"(+/- 7310 )",407960,"(+/- 9012 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",48468,"(+/- 4402 )",55730,"(+/- 4245 )",69538,"(+/- 5388 )",63664,"(+/- 3961 )",53843,"(+/- 3944 )",46156,"(+/- 4414 )",63969,"(+/- 4758 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",128668,"(+/- 2335 )",117143,"(+/- 2206 )",117278,"(+/- 1778 )",125200,"(+/- 2387 )",123165,"(+/- 1964 )",113847,"(+/- 3251 )",109538,"(+/- 3299 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43998,"(+/- 3001 )",46643,"(+/- 2488 )",48755,"(+/- 3437 )",51098,"(+/- 2648 )",43572,"(+/- 2837 )",39199,"(+/- 2851 )",46683,"(+/- 2972 )"
People,"Residence 1 Year Ago","Population 1 year and over",710884,"(+/- 3501 )",667536,"(+/- 7017 )",709848,"(+/- 5887 )",679618,"(+/- 6766 )",727401,"(+/- 1595 )",692181,"(+/- 8675 )",662041,"(+/- 11560 )"
People,"Residence 1 Year Ago","Same house",629038,"(+/- 9008 )",569093,"(+/- 9581 )",610596,"(+/- 10330 )",611518,"(+/- 10057 )",617502,"(+/- 10004 )",606116,"(+/- 10631 )",553835,"(+/- 13728 )"
People,"Residence 1 Year Ago","Different house in the U.S.",81083,"(+/- 8488 )",94788,"(+/- 8276 )",96964,"(+/- 8558 )",67038,"(+/- 6753 )",108197,"(+/- 9687 )",84629,"(+/- 7321 )",106923,"(+/- 9072 )"
People,"Residence 1 Year Ago","Same county",56881,"(+/- 8087 )",49459,"(+/- 6350 )",54440,"(+/- 7463 )",40514,"(+/- 5333 )",66151,"(+/- 7860 )",49783,"(+/- 5620 )",70025,"(+/- 7393 )"
People,"Residence 1 Year Ago","Different county",24202,"(+/- 3486 )",45329,"(+/- 6061 )",42524,"(+/- 5325 )",26524,"(+/- 4593 )",42046,"(+/- 4988 )",34846,"(+/- 4590 )",36898,"(+/- 6282 )"
People,"Residence 1 Year Ago","Same state",11614,"(+/- 2587 )",25400,"(+/- 4178 )",24683,"(+/- 3812 )",19370,"(+/- 3244 )",21276,"(+/- 3868 )",24351,"(+/- 4249 )",20895,"(+/- 5138 )"
People,"Residence 1 Year Ago","Different state",12588,"(+/- 2641 )",19929,"(+/- 3918 )",17841,"(+/- 3596 )",7154,"(+/- 2961 )",20770,"(+/- 3201 )",10495,"(+/- 2180 )",16003,"(+/- 2715 )"
People,"Residence 1 Year Ago",Abroad,763,"(+/- 590 )",3655,"(+/- 1382 )",2288,"(+/- 1257 )",1062,"(+/- 644 )",1702,"(+/- 867 )",1436,"(+/- 756 )",1283,"(+/- 817 )"
Workers,"Employment Status","Population 16 years and over",575641,"(+/- 3223 )",539994,"(+/- 5192 )",578746,"(+/- 4705 )",549714,"(+/- 5172 )",594649,"(+/- 2351 )",559043,"(+/- 6994 )",539666,"(+/- 9549 )"
Workers,"Employment Status","In labor force",323412,"(+/- 6544 )",307687,"(+/- 6097 )",336667,"(+/- 7681 )",307509,"(+/- 7067 )",359132,"(+/- 6698 )",351845,"(+/- 7361 )",295730,"(+/- 8610 )"
Workers,"Employment Status","Civilian labor force",322787,"(+/- 6584 )",298708,"(+/- 6419 )",332396,"(+/- 7700 )",307145,"(+/- 7081 )",357362,"(+/- 6717 )",351095,"(+/- 7328 )",295596,"(+/- 8616 )"
Workers,"Employment Status",Employed,304338,"(+/- 6666 )",285238,"(+/- 6211 )",312851,"(+/- 7781 )",293868,"(+/- 7135 )",342119,"(+/- 6683 )",339524,"(+/- 7188 )",275529,"(+/- 8838 )"
Workers,"Employment Status",Unemployed,18449,"(+/- 2814 )",13470,"(+/- 1775 )",19545,"(+/- 2360 )",13277,"(+/- 1744 )",15243,"(+/- 2306 )",11571,"(+/- 1876 )",20067,"(+/- 3169 )"
Workers,"Employment Status","Armed Forces",625,"(+/- 443 )",8979,"(+/- 2072 )",4271,"(+/- 1438 )",364,"(+/- 441 )",1770,"(+/- 773 )",750,"(+/- 652 )",134,"(+/- 157 )"
Workers,"Employment Status","Not in labor force",252229,"(+/- 7455 )",232307,"(+/- 5596 )",242079,"(+/- 7107 )",242205,"(+/- 5724 )",235517,"(+/- 6990 )",207198,"(+/- 6672 )",243936,"(+/- 8445 )"
Workers,"Employment Status","Civilian labor force",322787,"(+/- 6584 )",298708,"(+/- 6419 )",332396,"(+/- 7700 )",307145,"(+/- 7081 )",357362,"(+/- 6717 )",351095,"(+/- 7328 )",295596,"(+/- 8616 )"
Workers,"Employment Status","Unemployment Rate",5.7,"(+/- 0.9 )",4.5,"(+/- 0.6 )",5.9,"(+/- 0.7 )",4.3,"(+/- 0.6 )",4.3,"(+/- 0.6 )",3.3,"(+/- 0.5 )",6.8,"(+/- 1.1 )"
Workers,"Commuting to Work","Workers 16 years and over",301308,"(+/- 6336 )",287263,"(+/- 6191 )",311410,"(+/- 7663 )",289217,"(+/- 7093 )",339432,"(+/- 6552 )",335386,"(+/- 7300 )",270006,"(+/- 8619 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",256786,"(+/- 6070 )",247215,"(+/- 6310 )",260563,"(+/- 8154 )",248033,"(+/- 6709 )",293953,"(+/- 7119 )",288625,"(+/- 7408 )",222304,"(+/- 8150 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",24680,"(+/- 3374 )",22909,"(+/- 2547 )",32083,"(+/- 4286 )",30095,"(+/- 3688 )",24151,"(+/- 3139 )",23508,"(+/- 3370 )",27618,"(+/- 4058 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1144,"(+/- 531 )",1078,"(+/- 603 )",1291,"(+/- 933 )",598,"(+/- 604 )",627,"(+/- 384 )",291,"(+/- 260 )",3838,"(+/- 2088 )"
Workers,"Commuting to Work",Walked,2498,"(+/- 880 )",4735,"(+/- 1207 )",5600,"(+/- 1303 )",2549,"(+/- 1120 )",3368,"(+/- 983 )",2809,"(+/- 1202 )",4649,"(+/- 1408 )"
Workers,"Commuting to Work","Other means",4726,"(+/- 1451 )",2424,"(+/- 658 )",2982,"(+/- 964 )",1772,"(+/- 623 )",3815,"(+/- 1282 )",3016,"(+/- 1386 )",5249,"(+/- 1414 )"
Workers,"Commuting to Work","Worked from home",11474,"(+/- 2234 )",8902,"(+/- 1599 )",8891,"(+/- 1744 )",6170,"(+/- 1195 )",13518,"(+/- 2160 )",17137,"(+/- 2301 )",6348,"(+/- 1492 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.0,"(+/- 0.7 )",23.5,"(+/- 0.6 )",26.0,"(+/- 0.8 )",26.8,"(+/- 0.9 )",23.3,"(+/- 0.7 )",28.7,"(+/- 0.8 )",24.5,"(+/- 0.9 )"
Workers,Occupation,"Civilian employed population 16 years and over",304338,"(+/- 6666 )",285238,"(+/- 6211 )",312851,"(+/- 7781 )",293868,"(+/- 7135 )",342119,"(+/- 6683 )",339524,"(+/- 7188 )",275529,"(+/- 8838 )"
Workers,Occupation,"Management, business, science, and arts occupations",107035,"(+/- 7046 )",96217,"(+/- 4468 )",109925,"(+/- 6172 )",89020,"(+/- 5397 )",138069,"(+/- 6332 )",153662,"(+/- 6200 )",79331,"(+/- 6195 )"
Workers,Occupation,"Service occupations",53245,"(+/- 4970 )",50918,"(+/- 3786 )",50884,"(+/- 4113 )",44648,"(+/- 3427 )",55454,"(+/- 4133 )",44016,"(+/- 4089 )",55758,"(+/- 4963 )"
Workers,Occupation,"Sales and office occupations",66254,"(+/- 4426 )",61552,"(+/- 3893 )",58559,"(+/- 4388 )",56930,"(+/- 3500 )",64432,"(+/- 4724 )",70971,"(+/- 4094 )",59475,"(+/- 4087 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",31808,"(+/- 3510 )",24541,"(+/- 1968 )",31460,"(+/- 3371 )",35721,"(+/- 3911 )",29854,"(+/- 2858 )",26780,"(+/- 2891 )",22322,"(+/- 2688 )"
Workers,Occupation,"Production, transportation, and material moving occupations",45996,"(+/- 3867 )",52010,"(+/- 4071 )",62023,"(+/- 4677 )",67549,"(+/- 4485 )",54310,"(+/- 3981 )",44095,"(+/- 4387 )",58643,"(+/- 4848 )"
Workers,Industry,"Civilian employed population 16 years and over",304338,"(+/- 6666 )",285238,"(+/- 6211 )",312851,"(+/- 7781 )",293868,"(+/- 7135 )",342119,"(+/- 6683 )",339524,"(+/- 7188 )",275529,"(+/- 8838 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4149,"(+/- 1546 )",5512,"(+/- 1328 )",3383,"(+/- 1140 )",5317,"(+/- 1237 )",1831,"(+/- 765 )",2630,"(+/- 954 )",3907,"(+/- 1242 )"
Workers,Industry,Construction,26690,"(+/- 3323 )",15106,"(+/- 2043 )",24003,"(+/- 3495 )",23412,"(+/- 3098 )",23897,"(+/- 2793 )",21134,"(+/- 2254 )",13634,"(+/- 2224 )"
Workers,Industry,Manufacturing,33117,"(+/- 3418 )",38626,"(+/- 3486 )",53700,"(+/- 4222 )",59494,"(+/- 4486 )",51953,"(+/- 4418 )",36749,"(+/- 4292 )",38840,"(+/- 3991 )"
Workers,Industry,"Wholesale trade",7434,"(+/- 1552 )",7281,"(+/- 1214 )",9268,"(+/- 1856 )",8690,"(+/- 1490 )",6271,"(+/- 1337 )",12599,"(+/- 1947 )",5182,"(+/- 1492 )"
Workers,Industry,"Retail trade",39612,"(+/- 3716 )",34113,"(+/- 2973 )",31710,"(+/- 4049 )",30324,"(+/- 3243 )",36739,"(+/- 3592 )",34975,"(+/- 3574 )",31216,"(+/- 3521 )"
Workers,Industry,"Transportation and warehousing, and utilities",16902,"(+/- 2032 )",18656,"(+/- 2165 )",14193,"(+/- 2263 )",18682,"(+/- 2546 )",13949,"(+/- 1759 )",18749,"(+/- 2620 )",14912,"(+/- 2485 )"
